Safenames Ltd.	Safenames Ltd. (AS60819)	6
dns-parking.com	Hostinger International Limited (AS47583)	2
SECURITYSERVICES	CSC (AS19574)	29
markmonitor.com	HILTON-E (AS26529)	1
lakenetworks.it	LAKENETWORKS-AS (AS6517)	1
credit-suisse.com	UBS Group AG (AS8729)	2
Akamai International B.V.	Akamai International B.V. (AS20940)	3
bserv.com	PATHWAY (AS11342)	1
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	19
dotnice.asia	AMAZON-02 (AS16509)	1
markmonitor.com	AMAZON-02 (AS16509)	20
awsdns-09.net	AMAZON-AES (AS14618)	1
AMAZON-02	OVH SAS (AS16276)	9
he.net	NAMECHEAP-NET (AS22612)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	18
linode.com	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	INCAPSULA (AS19551)	9
zoneedit.com	EDNS (AS16686)	1
cronon.de	Strato GmbH (AS6724)	1
worldnic.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
CLOUDFLARENET	CLOUDFLARENET (AS13335)	22
SECURITYSERVICES	Entain Services Austria GmbH (AS13008)	3
perf1.com	Nameshield SAS (AS20756)	1
Akamai International B.V.	Cloudflare London, LLC (AS209242)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	3
freehostia.com	LIQUIDNETLTD1 (AS14555)	3
awsdns-03.com	AMAZON-AES (AS14618)	1
yourwebhosting.com	BIZLAND-SD (AS29873)	1
com.jm	CWWI-AS (AS10278)	1
azure-dns.com	CSC (AS19574)	1
managed-vps.net	SCALAHOSTING (AS40476)	1
markmonitor.com	EHI-NA-AS-1 (AS13893)	1
nestle.com	FASTLY (AS54113)	1
digitalocean.com	DIGITALOCEAN-ASN (AS14061)	1
audi.de	Audi AG (AS12331)	1
co.uk	CLOUDFLARENET (AS13335)	2
CLOUDFLARENET	OVH SAS (AS16276)	2
mcafee.com	AMAZON-02 (AS16509)	1
yourwebhosting.com	LIQUIDNETLTD1 (AS14555)	1
cprapid.com	GO-DADDY-COM-LLC (AS398101)	1
gandi.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
DIGICERT	DIGICERT (AS16552)	1
blitzwebdesign.com	LIQUIDWEB (AS32244)	4
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
register.it	Register S.p.A. (AS39729)	1
stabletransit.com	LIQUIDWEB (AS53824)	4
ultradns.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
ultradns.biz	AUTOMATTIC (AS2635)	1
prominic.net	PROMINIC-NET-INC (AS22663)	2
bluehost.com	UNIFIEDLAYER-AS-1 (AS46606)	1
ns0.com	PAIR-NETWORKS (AS7859)	1
safenames.com	Safenames Ltd. (AS60819)	3
sureserver.com	ICDSoft Ltd. (AS8739)	1
wix.com	Wix.com Ltd. (AS58182)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	1
domainnetwork.se	Enterprise Services Sverige AB (AS15869)	1
bluehost.com	BAXET-GROUP (AS398343)	1
domaincontrol.com	GO-DADDY-COM-LLC (AS400754)	1
azure-dns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
yahoo.com	MONST-2AS (AS10694)	1
yourhostingaccount.com	BIZLAND-SD (AS29873)	1
linode.com	EZZI-101-BGP (AS15149)	2
linode.com	AMAZON-02 (AS16509)	2
infochange.com	ORACLE-BMC-31898 (AS31898)	1
domainnetwork.se	CSC (AS19574)	1
dnsexterno.com	Grupo Sys4net, S.l. (AS202054)	1
NUCDN	Julius Blum GmbH (AS197964)	1
carrier.com	CLOUDFLARENET (AS13335)	1
dyn.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
infochange.com	LIQUIDWEB (AS53824)	1
infochange.com	RMH-14 (AS33070)	1
websitewelcome.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	3
digicertdns.com	DIGICERT (AS16552)	1
markmonitor.zone	AMAZON-02 (AS16509)	2
anixter.com	ANIXTER-INC (AS29828)	2
Akamai International B.V.	AKAMAI-AS (AS16625)	1
SECURITYSERVICES	AMAZON-02 (AS16509)	2
akashield.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
stabletransit.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
wixdns.net	Wix.com Ltd. (AS58182)	1
uu.net	WUCHICAGO (AS16744)	1
domaincontrol.com	SQUARESPACE (AS53831)	1
3m.com	AMAZON-02 (AS16509)	1
flowja.com	FLOW-NET (AS30689)	2
glipac.ch	Bluewin (AS3303)	1
dynect.net	DIGIKEY (AS14738)	1
gcd-dns.com	AMAZON-02 (AS16509)	2
f5clouddns.com	F5 Networks SARL (AS35280)	1
ascio.com	EPAG Domainservices GmbH (AS12915)	1
webdevjm.com	UPCLOUDUSA (AS25697)	1
zonomi.com	RACKSPACE (AS19994)	1
awsdns-34.com	KYNDRYL BRASIL SERVICOS LTDA (AS26607)	1
awsdns-08.org	AMAZON-02 (AS16509)	1
CLOUDFLARENET	GO-DADDY-COM-LLC (AS400754)	1
NSONE	GOOGLE (AS15169)	1
GOOGLE	GOOGLE (AS15169)	1
com.jm	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
vercel-dns.com	AMAZON-02 (AS16509)	1
nameshield.net	AMAZON-AES (AS14618)	1
awsdns-25.net	AMAZON-02 (AS16509)	1
markmonitor.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	2
td-fn.net	PlusServer GmbH (AS61157)	1
Akamai International B.V.	Koninklijke Luchtvaart Maatschappij N.V. (AS28806)	1
CLOUDFLARENET	AS-VULTR (AS20473)	1
SECURITYSERVICES	COGECO-PEER1 (AS13768)	2
DIGICERT	OVH SAS (AS16276)	1
webdevjm.com	UpCloud Ltd (AS202053)	1
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	1
dreamhost.com	DREAMHOST-AS (AS26347)	2
SECURITYSERVICES	INCAPSULA (AS19551)	1
foxfilm.com	AMAZON-AES (AS14618)	1
DIGICERT	Contabo GmbH (AS51167)	1
bosch.de	Robert Bosch Gesellschaft mit Beschraenkter Haftung (AS9183)	1
azure-dns.com	GOOGLE (AS15169)	1
gandi.net	GANDI SAS (AS29169)	1
SECURITYSERVICES	OVH SAS (AS16276)	1
cwjamaica.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
Akamai International B.V.	LENOVO-NET (AS20111)	2
SECURITYSERVICES	SECURITYSERVICES (AS12008)	2
contabo.net	Contabo GmbH (AS51167)	1
awsdns-03.net	AMAZON-02 (AS16509)	1
awsdns-20.com	AMAZON-AES (AS14618)	1
registrar-servers.com	AMAZON-02 (AS16509)	1
warnerbros.com	AMAZON-02 (AS16509)	1
awsdns-15.com	AMAZON-02 (AS16509)	1
ipmanagerinc.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
peer1.net	COGECO-PEER1 (AS13768)	1
SECURITYSERVICES	AMAZON-AES (AS14618)	1
Safenames Ltd.	DOSARREST (AS19324)	1
afraid.org	DIG001 (AS33576)	1
SECURITYSERVICES	UPS (AS12217)	1
pbsg.com	AFFILIATED (AS13913)	1
SECURITYSERVICES	CERNET-ASN-BLOCK (AS4264)	2
awsdns-04.org	AMAZON-02 (AS16509)	1
domaincontrol.com	AMAZON-02 (AS16509)	1
sedoparking.com	SEDO GmbH (AS47846)	1
a2hosting.com	A2HOSTING (AS55293)	1
inmotionhosting.com	IMH-IAD (AS54641)	1
azure-dns.com	KYN-GTS (AS14904)	1
bluehost.com	CLOUDFLARENET (AS13335)	1
nestle.com	AMAZON-AES (AS14618)	1
co.uk	AMAZON-02 (AS16509)	1
is-fun.net	Westwing GmbH (AS198996)	1
grove.de	HKN GmbH (AS12676)	1
infochange.com	NODISTO (AS394727)	1
markmonitor.com	Itm8 A/S (AS44398)	1
ngninfra.net	HCL Technologies Sweden AB (AS209236)	1
entornodns.com	Adam EcoTech, S.A (AS15699)	1
CLOUDFLARENET	RACKSPACE (AS27357)	1
domaincontrol.com	GO-DADDY-COM-LLC (AS398101)	1
azure-dns.com	Akenes SA (AS61098)	1
zoneedit.com	WEEBLY (AS27647)	1
net.do	CWJ-1 (AS10292)	1
