SECURITYSERVICES	Institut Straumann AG (AS34893)	3
onlydomains.com	OVH SAS (AS16276)	1
is-fun.net	AMAZON-02 (AS16509)	1
site4now.net	SHARKTECH (AS46844)	7
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	27
CLOUDFLARENET	CLOUDFLARENET (AS13335)	195
hostway.net	Cloudflare London, LLC (AS209242)	1
SECURITYSERVICES	SECURITYSERVICES (AS12008)	12
qr.jo	GO-DADDY-COM-LLC (AS398101)	1
NSONE	AMAZON-02 (AS16509)	8
Host Europe GmbH	OVH SAS (AS16276)	2
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	10
gov.jo	National Information Technology Center (AS8934)	66
SECURITYSERVICES	CSC (AS19574)	74
UNIFIEDLAYER-AS-1	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	6
CLOUDFLARENET	Hostinger International Limited (AS47583)	54
hostingbeep.com	Contabo GmbH (AS51167)	2
awsdns-24.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
carrierzone.com	INFB2-AS (AS30447)	1
Contabo GmbH	Contabo GmbH (AS51167)	14
registrar-servers.com	Hostinger International Limited (AS47583)	3
registrar-servers.com	GOOGLE (AS15169)	1
worldnic.com	OIS1 (AS26337)	1
ipcom GmbH	AMAZON-02 (AS16509)	7
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	11
trouble-free.net	IS-AS-1 (AS19318)	4
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	4
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	4
hostgator.com	abaton EDV-Dienstleistungs GmbH (AS42572)	1
com.jo	CLOUDFLARENET (AS13335)	1
com.jo	Jordan Data Communications Company LLC (AS8376)	22
inmotionhosting.com	INMOTION (AS22611)	8
com.jo	Batelco Jordan (AS9038)	9
awsdns-03.net	AMAZON-02 (AS16509)	1
Jordanian mobile phone services Ltd	Jordanian mobile phone services Ltd (AS48832)	8
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	10
emirates.com	AMAZON-02 (AS16509)	9
NSONE	RAMNODE (AS3842)	1
GOOGLE	Wix.com Ltd. (AS58182)	6
popevisit.jo	Royal Hashemite Court (AS33831)	1
CLOUDFLARENET	Vtel Holdings Limited/jordan Co. (AS50670)	1
com.jo	OIS1 (AS26337)	1
awsdns-02.org	AMAZON-02 (AS16509)	2
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	5
CLOUDFLARENET	AMAZON-02 (AS16509)	26
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	11
markmonitor.com	AMAZON-02 (AS16509)	36
ANEXIA Internetdienstleistungs GmbH	Tele2 SWIPnet (AS1257)	2
byethost9.org	Wildcard UK Limited (AS34119)	1
SOFTLAYER	AMAZON-AES (AS14618)	2
exenss.com	Contabo GmbH (AS51167)	2
AMAZON-02	A2HOSTING (AS55293)	13
skoda-auto.cz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
supremedns.com	LIQUIDNETLTD1 (AS14555)	1
Host Europe GmbH	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	7
CLOUDFLARENET	Contabo GmbH (AS51167)	5
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	14
Host Europe GmbH	FASTLY (AS54113)	1
hostingww.com	AMAZON-02 (AS16509)	1
Akamai International B.V.	AKAMAI-AS (AS16625)	2
Host Europe GmbH	HWSERVICES-32400 (AS32400)	1
Batelco Jordan	Batelco Jordan (AS9038)	5
