quattromedia.kg	Asiainfo Te (AS8511)	1
araket.kg	Ddos-guard Ltd (AS57724)	1
Optima Telecom Ltd.	Optima Telecom Ltd. (AS39819)	61
LLC VK	Hoster kg, Ltd. (AS59684)	12
timeweb.org	JSC Selectel (AS50340)	1
SECURITYSERVICES	CSC (AS19574)	75
Asiainfo Te	Asiainfo Te (AS8511)	245
equhost.kz	EQU Technologies LLP (AS42447)	1
Hoster kg, Ltd.	Hoster kg, Ltd. (AS59684)	1268
Alfa Telecom CJSC	Alfa Telecom CJSC (AS50223)	8
markmonitor.com	AMAZON-02 (AS16509)	73
mirra-trading.kg	Asiainfo Te (AS8511)	1
nadns1.com	Hetzner Online GmbH (AS24940)	6
sprinthost.net	Sprinthost.ru LLC (AS35278)	116
trueconf.net	Okb Progress LLC (AS39238)	1
Asiainfo Te	Ddos-guard Ltd (AS57724)	61
CLOUDFLARENET	CLOUDFLARENET (AS13335)	536
CLOUDFLARENET	Superonline Iletisim Hizmetleri A.S. (AS34984)	2
CLOUDFLARENET	Ddos-guard Ltd (AS57724)	241
umma.kg	NLS Kazakhstan LLC (AS200590)	1
cloudns.net	JSC IOT (AS29182)	2
softhoreca.kg	Asiainfo Te (AS8511)	1
Beget LLC	Beget LLC (AS198610)	359
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	77
Hetzner Online GmbH	TimeWeb LLC (AS9123)	2
guel.kg	Asiainfo Te (AS8511)	1
timeweb.org	TimeWeb LLC (AS9123)	208
hostiman.ru	JSC IOT (AS29182)	1
CLOUDFLARENET	Transfer Ltd (AS25035)	3
awsdns-11.com	AMAZON-02 (AS16509)	3
Mega-Line Ltd.	Mega-Line Ltd. (AS41750)	61
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	16
ns14.net	Hetzner Online GmbH (AS24940)	5
DIGITALOCEAN-ASN	GNET Internet Telekomunikasyon A.S. (AS42846)	3
CLOUDFLARENET	PS Internet Company LLP (AS48716)	4
unknown	ElCat Ltd. (AS8449)	6
333.kg	Saimanet Telecomunications CJSC (AS29061)	11
serveroid.com	Ak Bulut Soft LLC (AS51898)	1
Cloud DNS Ltd	JSC Selectel (AS50340)	2
honoraryconsulate.kg	Asiainfo Te (AS8511)	1
CLOUDFLARENET	Datacamp Limited (AS60068)	1
Cjsc telecommunications Company dun	Cjsc telecommunications Company dun (AS48271)	27
EuroByte LLC	Iron Hosting Centre LTD (AS216139)	27
CLOUDFLARENET	Individual Entrepreneur Anton Levin (AS50053)	8
YANDEX LLC	YANDEX LLC (AS13238)	1
Hoster kg, Ltd.	Ddos-guard Ltd (AS57724)	66
GANDI SAS	GANDI SAS (AS29169)	18
JSC Selectel	Hetzner Online GmbH (AS24940)	1
register.it	Register S.p.A. (AS39729)	18
YANDEX LLC	EuroByte LLC (AS210079)	5
reg.ru	Ddos-guard Ltd (AS57724)	5
darek.kg	OJSC Kyrgyztelecom (AS12997)	1
antanta.com	CityLanCom LTD (AS204076)	1
NUR Telecom LLC	NUR Telecom LLC (AS47237)	16
auto-vision.ru	JSC Selectel (AS49505)	3
unknown	Scalaxy B.V. (AS58061)	31
CLOUDFLARENET	Tilda Publishing Ltd. (AS205282)	17
keremetbank.kg	OJSC Keremet Bank (AS60515)	1
Goodhost.KZ LLP	Goodhost.KZ LLP (AS211971)	27
ns.kg	PS Internet Company LLP (AS48716)	1
volonter.kg	NLS Kazakhstan LLC (AS200590)	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
YANDEX LLC	JSC Selectel (AS49505)	7
CLOUDFLARENET	Cizgi Telekomunikasyon Anonim Sirketi (AS42807)	3
EuroByte LLC	EuroByte LLC (AS210079)	18
CLOUDFLARENET	Hostinger International Limited (AS47583)	46
NSONE	AMAZON-02 (AS16509)	62
JSC IOT	JSC IOT (AS29182)	37
YANDEX LLC	Domain names registrar REG.RU, Ltd (AS197695)	3
sdbg.kg	Asiainfo Te (AS8511)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	12
Asiainfo Te	AKNET Ltd. (AS12764)	11
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	24
OVH SAS	OVH SAS (AS16276)	21
Hoster kg, Ltd.	LLC 3data DC (AS198769)	2
insales.ru	HLL LLC (AS51115)	4
second-ns.com	Hetzner Online GmbH (AS24940)	5
CLOUDFLARENET	Hoster kg, Ltd. (AS59684)	24
Cloud DNS Ltd	Ddos-guard Ltd (AS57724)	3
7ml.org	EuroByte LLC (AS210079)	1
hostland.ru	Hostland LTD (AS62082)	10
NSP LLC	NSP LLC (AS213173)	14
astra.kg	Asiainfo Te (AS8511)	1
vdsina.ru	Hosting technology LTD (AS48282)	2
webeskadra.com	Kyrgyz research and education network association (AS197119)	2
fozzy.com	Webzilla B.V. (AS35415)	16
Asiainfo Te	NSP LLC (AS213173)	5
barsacademy.kg	Ddos-guard Ltd (AS57724)	1
checkin.kg	RECONN LLC (AS12722)	1
Asiainfo Te	Beget LLC (AS198610)	3
gransy.com	CASABLANCA INT a.s. (AS15685)	5
membrana.kg	Optima Telecom Ltd. (AS39819)	1
LLC VK	Iron Hosting Centre LTD (AS216139)	1
usoft.kg	Asiainfo Te (AS8511)	1
Asiainfo Te	KKM IT Limited (AS60922)	3
Hoster kg, Ltd.	ElCat Ltd. (AS8449)	3
CLOUDFLARENET	SINGLEHOP-LLC (AS32475)	2
infomir.kg	Optima Telecom Ltd. (AS39819)	1
LDSCHURCH1	LDSCHURCH1 (AS19648)	9
netim.net	Eurofiber France SAS (AS24935)	12
JSC Selectel	Reliable Software, Ltd. (AS35594)	2
Hoster kg, Ltd.	NSP LLC (AS213173)	2
Asiainfo Te	JSC Selectel (AS49505)	10
wbind.com	Sabiedriba ar ierobezotu atbildibu DELSKA Latvia (AS12993)	1
YANDEX LLC	Mega-Line Ltd. (AS41750)	4
patent.kg	OJSC Kyrgyztelecom (AS12997)	1
LLC VK	AMAZON-02 (AS16509)	3
sigma.kg	Asiainfo Te (AS8511)	1
hoster.kz	LLP Kompaniya Hoster.KZ (AS207333)	38
nic.ru	Ddos-guard Ltd (AS57724)	6
ictlab.kg	Hoster kg, Ltd. (AS59684)	1
OVH SAS	P.a.g.m. Ou (AS198068)	13
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	5
Asiainfo Te	Hoster kg, Ltd. (AS59684)	17
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	5
reg.ru	Domain names registrar REG.RU, Ltd (AS197695)	89
com.tr	ISIK Bilgisayar Internet ve Yayincilik Hizmetleri (AS49879)	1
dts-online.net	Claas KGaA mbH (AS208868)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	86
Ak Bulut Soft LLC	Ak Bulut Soft LLC (AS51898)	16
PONYNET	Wildcard UK Limited (AS34119)	3
hoster.kz	LLP Kompaniya Hoster.KZ (AS202958)	11
kroshka.kg	Cjsc telecommunications Company dun (AS48271)	1
registrar-servers.com	NSP LLC (AS213173)	1
chabandes.kg	NLS Kazakhstan LLC (AS200590)	1
afraid.org	KKM IT Limited (AS60922)	2
MICROSOFT-CORP-MSN-AS-BLOCK	Ddos-guard Ltd (AS57724)	1
weblium.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
OVH SAS	Optima Telecom Ltd. (AS39819)	1
YANDEX LLC	KKM IT Limited (AS60922)	3
inai.kg	Kyrgyz research and education network association (AS197119)	1
Internet-Pro LLC	Internet-Pro LLC (AS44128)	7
timecloud.us	MULTA-ASN1 (AS35916)	1
awsdns-22.net	NSP LLC (AS213173)	1
CLOUDFLARENET	Beget LLC (AS198610)	5
CLOUDFLARENET	LUCENT-CIO (AS10455)	1
123ns.eu	LLC astra Cloud (AS41535)	1
cloudns.net	JSC Selectel (AS49505)	6
CLOUDFLARENET	OJSC Dos-Credobank (AS44536)	2
agroprom.kg	Asiainfo Te (AS8511)	1
CLOUDFLARENET	TrustInfo LLC (AS48757)	1
computerbazar.kg	Contabo GmbH (AS51167)	1
itsupport.kg	Mega-Line Ltd. (AS41750)	1
avon.com	HLL LLC (AS51115)	1
thundercloud.uk	Awareness Software Limited (AS34931)	8
srv.cr	Asiainfo Te (AS8511)	1
timeweb.org	Mega-Line Ltd. (AS41750)	1
ps.kz	PS Internet Company LLP (AS48716)	74
ihead.ru	MTS PJSC (AS8359)	2
dig.com	AMAZON-02 (AS16509)	2
Asiainfo Te	DIGITALOCEAN-ASN (AS14061)	6
unknown	Cjsc telecommunications Company dun (AS48271)	15
ElCat Ltd.	ElCat Ltd. (AS8449)	26
bosch.de	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	5
bai.kg	Asiainfo Te (AS8511)	1
dns6tems.com	Euskaltel S.A. (AS12338)	1
if.kg	Asiainfo Te (AS8511)	1
LLC VK	Awareness Software Limited (AS34931)	8
bytebox.de	COLT Technology Services Group Limited (AS8220)	1
alb.de	GBC GmbH Internet Service Center Ingenieurgesellschaft fuer Systemsoftware und Kommunikation (AS24766)	2
OJSC Kyrgyztelecom	OJSC Kyrgyztelecom (AS12997)	46
abalon.kg	Asiainfo Te (AS8511)	1
Hoster kg, Ltd.	Mega-Line Ltd. (AS41750)	11
lemarit.de	AS-VULTR (AS20473)	8
Asiainfo Te	Contabo GmbH (AS51167)	1
awsdns-31.org	AMAZON-02 (AS16509)	1
lite-host.in	Chernyshov Aleksandr Aleksandrovich (AS202984)	2
flexbe.ru	JSC Selectel (AS50340)	12
uteam.kg	JSC Selectel (AS49505)	1
GOOGLE	Wix.com Ltd. (AS58182)	20
1vps.org	LLC Digital Network (AS12695)	1
JSC Selectel	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
YANDEX LLC	TimeWeb LLC (AS9123)	2
Asiainfo Te	Individual Entrepreneur Anton Levin (AS50053)	1
tatadev.dev	Scaleway S.a.s. (AS12876)	2
123ns.de	LKW Walter Internationale Transportorganisation AG (AS34735)	4
CLOUDFLARENET	NetWarm LTD (AS201664)	1
osn.de	OSN Online Service Nuernberg GmbH (AS8859)	1
greengroup.kg	Asiainfo Te (AS8511)	1
scorista.kg	Ak Bulut Soft LLC (AS51898)	1
awsdns-19.net	AMAZON-02 (AS16509)	1
spaceweb.pro	SpaceWeb Ltd (AS44112)	23
Asiainfo Te	Tilda Publishing Ltd. (AS205282)	14
eiva.kg	Scaleway S.a.s. (AS12876)	1
unknown	Hoster kg, Ltd. (AS59684)	2
edgedns.ru	Haicom Limited (AS48988)	1
HURRICANE	Ddos-guard Ltd (AS57724)	2
lab.kg	AKNET Ltd. (AS12764)	1
Hoster kg, Ltd.	Kyrgyz research and education network association (AS197119)	2
mirhosting.ru	Innovative IT Solutions LLC (AS215601)	1
kp.ru	Yandex.Cloud LLC (AS200350)	1
YANDEX LLC	Hoster kg, Ltd. (AS59684)	12
co.uk	Redcentric Solutions Ltd (AS31463)	3
awsdns-03.org	ASN-TEKTRONIX (AS10406)	1
YANDEX LLC	Extra Line LLC (AS42837)	1
Sky Mobile LLC	Sky Mobile LLC (AS41329)	5
bosch.de	Robert Bosch Gesellschaft mit Beschraenkter Haftung (AS9183)	3
invest.kg	Asiainfo Te (AS8511)	1
is-fun.net	TelemaxX Telekommunikation GmbH (AS12843)	7
Hoster kg, Ltd.	JSC Alma Telecommunications (AS39824)	1
safenames.com	Safenames Ltd. (AS60819)	2
Akamai Connected Cloud	Hetzner Online GmbH (AS24940)	5
CLOUDFLARENET	Mega-Line Ltd. (AS41750)	9
Asiainfo Te	Hetzner Online GmbH (AS24940)	6
333.kg	Mega-Line Ltd. (AS41750)	5
fornex.com	Fornex Hosting S.L. (AS44051)	10
Asiainfo Te	Domain names registrar REG.RU, Ltd (AS197695)	5
CLOUDFLARENET	Optima Telecom Ltd. (AS39819)	6
atvirtual.com	Festo Management SE (AS41700)	1
huaweicloud-dns.cn	OVH SAS (AS16276)	1
JSC Selectel	JSC Selectel (AS50340)	11
domeny.tv	Dataspace P.s.a. (AS50599)	3
1media.kg	Asiainfo Te (AS8511)	1
Asiainfo Te	Cloud Services Kazakhstan LLP (AS208795)	1
nadns1.com	Nameshield SAS (AS20756)	2
variomedia.de	ScaleUp Technologies GmbH & Co. KG (AS29014)	1
bitmaster.ru	Tilda Publishing Ltd. (AS205282)	1
netim.net	AMAZON-02 (AS16509)	1
LLC VK	Hostland LTD (AS62082)	2
ceramistica.kg	Asiainfo Te (AS8511)	1
mgmotors.kg	TimeWeb LLC (AS9123)	1
JSC Selectel	JSC Selectel (AS49505)	22
demirbank.kg	Demir Kyrgyz International Bank CJSC (AS61196)	1
portsdns.net	Tele2 SWIPnet (AS1257)	1
megagroup.ru	Megagroup.ru LLC (AS60357)	11
Akamai International B.V.	ASN-EXXONMOBIL (AS1766)	1
