avency.de	avency GmbH (AS12371)	1
portsdns.net	Tele2 SWIPnet (AS1257)	3
markmonitor.com	AMAZON-02 (AS16509)	13
consecom.ch	Datawire Ag (AS48971)	1
checkdomain.de	dogado GmbH (AS8648)	1
rp.ki	AMAZON-02 (AS16509)	1
subdomain.net	Hetzner Online GmbH (AS24940)	2
SECURITYSERVICES	COGECO-PEER1 (AS13768)	3
register.it	Register S.p.A. (AS39729)	3
yahoo.com	VERISIGN-ILG1 (AS30060)	1
IONOS SE	united-domains GmbH (AS202108)	24
markmonitor.com	HILTON-E (AS26529)	3
CLOUDFLARENET	Alibaba US Technology Co., Ltd. (AS45102)	1
eurodns.com	OVH SAS (AS16276)	2
IONOS SE	AMAZON-02 (AS16509)	5
SECURITYSERVICES	CSC (AS19574)	12
Hetzner Online GmbH	Contabo GmbH (AS51167)	18
awsdns-44.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	14
dns-servers.eu	Hetzner Online GmbH (AS24940)	1
awsdns-15.net	Instra Corporation Pty Ltd (AS133104)	1
atom.com	AMAZON-AES (AS14618)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	7
3m.com	AMAZON-02 (AS16509)	2
GANDI SAS	GANDI SAS (AS29169)	5
domainnetwork.se	CSC (AS19574)	2
Akamai International B.V.	Akamai International B.V. (AS20940)	3
checkdomain.de	AMAZON-02 (AS16509)	1
manitu.net	manitu GmbH (AS34240)	1
IONOS SE	AS-VULTR (AS20473)	1
ultradns.biz	SECURITYSERVICES (AS12008)	3
CLOUDFLARENET	AMAZON-AES (AS14618)	1
awsdns-09.com	AMAZON-02 (AS16509)	1
awsdns-25.net	AMAZON-02 (AS16509)	4
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	2
nameshield.net	AMAZON-02 (AS16509)	1
k-sys.io	Adacor Hosting GmbH (AS42442)	1
hetzner.com	Hetzner Online GmbH (AS24940)	3
squadhelp.com	AMAZON-AES (AS14618)	1
domaincontrol.com	AMAZON-02 (AS16509)	1
internex.at	InterNetX GmbH (AS15456)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	2
adacor.net	Adacor Hosting GmbH (AS42442)	1
a2dns.com	A2HOSTING (AS55293)	1
cloudpit.com	dogado GmbH (AS8648)	1
checkdomain.de	GOOGLE-CLOUD-PLATFORM (AS396982)	1
awsdns-02.com	AMAZON-02 (AS16509)	1
co.uk	AMAZON-02 (AS16509)	1
namesecure.de	velia.net Internetdienste GmbH (AS29066)	1
abbviedns.com	SECURITYSERVICES (AS12008)	2
trademarkarea.com	AMAZON-02 (AS16509)	1
amzndns.com	AMAZON-02 (AS16509)	1
google.com	GOOGLE (AS15169)	1
NSONE	GOOGLE (AS15169)	3
facebook.com	FACEBOOK (AS32934)	2
dreamhost.com	DREAMHOST-AS (AS26347)	2
checkdomain.de	Xirra GmbH (AS51191)	4
ronet.de	KOMRO Gesellschaft fuer Telekommunikation mit beschraenkter Haftung (AS29413)	1
wordpress.com	AUTOMATTIC (AS2635)	1
dreamhost.com	FLY (AS40509)	1
GANDI SAS	Mythic Beasts Ltd (AS44684)	1
awsdns-01.com	WBD-AS40703 (AS40703)	1
123ns.de	'ingenit GmbH & Co. KG' (AS57376)	1
awsdns-47.com	AMAZON-02 (AS16509)	1
GANDI SAS	GLASFASER RUHR GmbH & Co. KG (AS12329)	1
idp365.net	Safenames Ltd. (AS60819)	2
CLOUDFLARENET	Yandex.Cloud LLC (AS200350)	1
SECURITYSERVICES	UPS (AS12217)	1
ovh.net	OVH SAS (AS16276)	1
cpanel.guru	Hetzner Online GmbH (AS24940)	1
GANDI SAS	Scaleway S.a.s. (AS12876)	1
safenames.com	Safenames Ltd. (AS60819)	1
epic.com	EPICSYS (AS10359)	1
Akamai International B.V.	CSC (AS19574)	1
netim.net	Eurofiber France SAS (AS24935)	1
perf1.com	Nameshield SAS (AS20756)	1
GANDI SAS	FASTLY (AS54113)	1
com.br	BANCO BRADESCO SA (AS28586)	1
fal.cn	AMAZON-02 (AS16509)	1
azure-dns.com	GIONA (AS22838)	1
siteground.net	GOOGLE (AS15169)	1
rightsdns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
GANDI SAS	Deutsche Telekom AG (AS3320)	1
ns14.net	InterNetX GmbH (AS15456)	1
IONOS SE	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
brandshelter.com	AMAZON-02 (AS16509)	1
instradns.com	OVH SAS (AS16276)	1
GANDI SAS	DIGITALOCEAN-ASN (AS14061)	1
trademarkarea.com	INCAPSULA (AS19551)	2
azure-dns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
IONOS SE	GOOGLE-CLOUD-PLATFORM (AS396982)	1
CLOUDFLARENET	23M GmbH (AS47447)	1
ns14.net	Plusnet GmbH (AS20676)	1
porsche.asia	Dr. Ing. h.c. F. Porsche AG (AS33848)	2
bosch.de	Robert Bosch Gesellschaft mit Beschraenkter Haftung (AS9183)	1
rightsdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
avency.de	VegaSystems GmbH & Co. KG (AS34372)	1
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
vercel-dns.com	AMAZON-02 (AS16509)	1
inwx.ch	Nine Internet Solutions AG (AS29691)	1
Akamai International B.V.	NCUBE-OREGON-AS (AS1219)	1
netflix.net	AMAZON-02 (AS16509)	1
cctld.com	CLOUDFLARENET (AS13335)	1
nike.com	AMAZON-02 (AS16509)	1
awsdns-30.com	WBD-AS40703 (AS40703)	1
ns14.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
