whoisdomain.kr	AMAZON-02 (AS16509)	324
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	877
co.kr	GOOGLE (AS15169)	414
co.kr	AMAZON-02 (AS16509)	24005
co.kr	LG DACOM Corporation (AS3786)	17094
whoisdomain.kr	NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD. (AS135354)	14369
AMAZON-02	AMAZON-02 (AS16509)	11159
win-qfd8vujg72g.	SK Broadband Co Ltd (AS9318)	15
meganameservers.eu	Internet Names for Business Inc (AS9115)	3
cafe24.com	SK Broadband Co Ltd (AS9318)	1027
Host Europe GmbH	AMAZON-02 (AS16509)	5346
cafe24.com	Korea Telecom (AS4766)	30321
dnszi.com	SMILESERV (AS38700)	220
whoisdomain.kr	SK Broadband Co Ltd (AS9318)	379
CLOUDFLARENET	CLOUDFLARENET (AS13335)	5383
co.kr	Korea Telecom (AS4766)	7139
nsgodo.com	NHNCLOUD (AS45974)	1354
markmonitor.com	AMAZON-02 (AS16509)	812
co.kr	SK Broadband Co Ltd (AS9318)	4403
hubweb.net	Korea Telecom (AS4766)	64
register.it	Register S.p.A. (AS39729)	158
GOOGLE	Wix.com Ltd. (AS58182)	1536
CLOUDFLARENET	Korea Telecom (AS4766)	625
co.kr	NAVER Cloud Corp. (AS23576)	1493
co.kr	FASTLY (AS54113)	563
serverhostgroup.com	AS-VULTR (AS20473)	131
dbgdns.de	init AG fuer digitale Kommunikation (AS25516)	1
pangx2.com	SK Broadband Co Ltd (AS9318)	8
sedoparking.com	SEDO GmbH (AS47846)	1357
wding.kr	Korea Telecom (AS4766)	1
CDNetworks	CDNetworks (AS38107)	97
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	85
co.kr	AS-VULTR (AS20473)	1437
CLOUDFLARENET	Kakao Corp (AS38099)	73
ksdom.kr	SK Broadband Co Ltd (AS9318)	1183
jinhak.com	SK Broadband Co Ltd (AS9318)	2
co.kr	Akamai Connected Cloud (AS63949)	120
CLOUDFLARENET	INCAPSULA (AS19551)	423
co.kr	KangNam CableTV (AS9943)	2
NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.	SK Broadband Co Ltd (AS9318)	143
cafe24.com	AMAZON-02 (AS16509)	196
GABIA Inc.	GABIA Inc. (AS17589)	857
DREAMMARK1	DREAMMARK1 (AS17878)	366
AMAZON-02	Team Internet AG (AS61969)	1383
co.kr	GABIA Inc. (AS17589)	450
NSONE	AMAZON-02 (AS16509)	569
Akamai International B.V.	GOOGLE-CLOUD-PLATFORM (AS396982)	46
ipcom GmbH	NorthC Deutschland GmbH (AS15598)	5
Korea Telecom	Korea Telecom (AS4766)	1792
placo.kr	SK Broadband Co Ltd (AS9318)	1
ipcom GmbH	Neue Medien Muennich GmbH (AS34788)	4
co.kr	HyosungITX (AS38690)	255
co.kr	DIGITALOCEAN-ASN (AS14061)	350
AMAZON-02	SK Broadband Co Ltd (AS9318)	114
co.kr	MYTEK TRADING PTY LTD (AS132825)	92
AMAZON-02	NHNCLOUD (AS45974)	7
NetActuate, Inc	AMAZON-02 (AS16509)	6
CLOUDFLARENET	Hetzner Online GmbH (AS215859)	13
SECURITYSERVICES	UPS (AS12217)	3
AS-VULTR	AS-VULTR (AS20473)	167
SECURITYSERVICES	CSC (AS19574)	1143
CLOUDFLARENET	SMILESERV (AS38700)	289
co.kr	KAKAO Enterprise (AS23588)	14
co.kr	Korea Internet Security Agency (AS23600)	8
AMAZON-02	Korea Telecom (AS4766)	219
NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD.	NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD. (AS135354)	474
ksdom.kr	Sony Network Communications Inc. (AS2527)	1
selfdns.net	NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD. (AS135354)	636
dnszi.com	SEJONG NETWORKS (AS9848)	3
co.kr	DLIVE (AS10036)	353
Host Europe GmbH	SCALAHOSTING (AS40476)	1
co.uk	AMAZON-02 (AS16509)	154
cafe24.com	NAVER Cloud Corp. (AS23576)	201
co.kr	ORACLE-BMC-31898 (AS31898)	392
nurihosting.com	SK Broadband Co Ltd (AS9318)	162
AMAZON-02	OVH SAS (AS16276)	541
dav.kr	SK Broadband Co Ltd (AS9318)	1
NSONE	LG DACOM Corporation (AS3786)	1
COMCAST-7922	COMCAST-7922 (AS7922)	5
domainca.com	LG DACOM Corporation (AS3786)	269
SECURITYSERVICES	AMAZON-02 (AS16509)	43
co.kr	Hostway IDC (AS9952)	1634
visionauction.kr	Korea Telecom (AS4766)	1
co.kr	LG CNS (AS4668)	41
Inet Hosting, Inc.	Inet Hosting, Inc. (AS17881)	122
co.kr	SK Telecom (AS9644)	31
Akamai International B.V.	Akamai International B.V. (AS20940)	49
CLOUDFLARENET	AMAZON-02 (AS16509)	2343
Host Europe GmbH	GOOGLE (AS15169)	14
CLOUDFLARENET	KINX (AS9286)	20
Hostway IDC	Hostway IDC (AS9952)	722
