CLOUDFLARENET	CLOUDFLARENET (AS13335)	265
Host Europe GmbH	AMAZON-02 (AS16509)	2002
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
Host Europe GmbH	AMAZON-AES (AS14618)	19
GOOGLE	Wix.com Ltd. (AS58182)	149
Host Europe GmbH	FASTLY (AS54113)	27
Safenames Ltd.	Safenames Ltd. (AS60819)	27
CLOUDFLARENET	AMAZON-02 (AS16509)	102
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	51
Host Europe GmbH	COGECO-PEER1 (AS13768)	21
Host Europe GmbH	SQUARESPACE (AS53831)	85
CLOUDFLARENET	Hostinger International Limited (AS47583)	34
Host Europe GmbH	OVH SAS (AS16276)	11
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	12
EDNS	CENTURYLINK-US-LEGACY-QWEST (AS209)	1
Host Europe GmbH	Cloudflare London, LLC (AS209242)	55
caynetsolutions.com	NAMEHERO-KCDC (AS399250)	1
CLOUDFLARENET	INCAPSULA (AS19551)	11
Host Europe GmbH	UNIFIEDLAYER-AS-1 (AS46606)	11
markmonitor.com	AMAZON-02 (AS16509)	35
vsip-dns.com	PRETECS (AS39962)	2
globat.com	BIZLAND-SD (AS29873)	4
c3.ky	OVH SAS (AS16276)	1
NSONE	AMAZON-AES (AS14618)	6
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	77
inmotionhosting.com	IMH-IAD (AS54641)	6
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	10
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	61
netcluescloud.com	DIGITALOCEAN-ASN (AS14061)	1
Host Europe GmbH	DIGITALOCEAN-ASN (AS14061)	50
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	9
VIRTBIZ-DALLAS	AUTOMATTIC (AS2635)	1
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	38
Host Europe GmbH	WEEBLY (AS27647)	10
NSONE	GOOGLE (AS15169)	3
Host Europe GmbH	CLOUDFLARENET (AS13335)	54
whirlpool.com	WHIRLPOOL-ASN (AS11757)	2
register.com	CENTURYLINK-LEGACY-SAVVIS (AS3561)	2
CLOUDFLARENET	DREAMHOST-AS (AS26347)	23
awsdns-19.net	CLOUDFLARENET (AS13335)	1
EDNS	EDNS (AS16686)	6
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	15
theplanet.com	DIGITALOCEAN-ASN (AS14061)	1
Host Europe GmbH	ORACLE-BMC-31898 (AS31898)	15
SECURITYSERVICES	CSC (AS19574)	32
registrar-servers.com	AMAZON-02 (AS16509)	1
benefits2pt0.ky	CWCAYMAN (AS6639)	1
Host Europe GmbH	E-Commerce Park, N.V. (AS26505)	1
ui-dns.biz	IONOS SE (AS8560)	4
VIRTBIZ-DALLAS	DIGITALOCEAN-ASN (AS14061)	4
Host Europe GmbH	AS-VULTR (AS20473)	6
nearlyfreespeech.net	GRIDFURY-AS (AS40630)	1
netclues.com	DIGITALOCEAN-ASN (AS14061)	2
Host Europe GmbH	Wix.com Ltd. (AS58182)	26
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	2
vercel-dns.com	AMAZON-02 (AS16509)	3
empirion.at	HZ Hosting Ltd (AS59711)	1
bic.ky	CWCAYMAN (AS6639)	1
AMAZON-02	GOOGLE (AS15169)	25
Host Europe GmbH	LIQUIDWEB (AS53824)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	57
Host Europe GmbH	GOOGLE (AS15169)	24
markmonitor.zone	AMAZON-02 (AS16509)	12
Akamai International B.V.	UUNET (AS701)	1
CLOUDFLARENET	OVH SAS (AS16276)	5
BIZLAND-SD	BIZLAND-SD (AS29873)	6
Host Europe GmbH	CRYSTALTECH (AS14992)	1
Host Europe GmbH	Sota Solutions Ltd. (AS31742)	2
cloudhosting.uk	Krystal Hosting Ltd (AS12488)	3
nameshield.net	Nameshield SAS (AS20756)	2
Host Europe GmbH	UKDedicated LTD (AS34282)	1
GOOGLE	METANET AG (AS21069)	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	8
credit-suisse.com	UBS Group AG (AS8729)	6
Host Europe GmbH	Contabo GmbH (AS51167)	4
CLOUDFLARENET	AMAZON-AES (AS14618)	8
dan.com	AMAZON-02 (AS16509)	2
CLOUDFLARENET	SQUARESPACE (AS53831)	7
awsdns-11.net	Hostinger International Limited (AS47583)	1
CLOUDFLARENET	AS-VULTR (AS20473)	3
Host Europe GmbH	ROGERS-COMMUNICATIONS (AS812)	1
bodis.com	AMAZON-02 (AS16509)	3
quicns.net	AS-VULTR (AS20473)	1
awsdns-05.com	AMAZON-02 (AS16509)	1
smartname.com	AMAZON-02 (AS16509)	1
turnkeywebspace.net	TURNKEY-INTERNET (AS40244)	1
totalchoicehosting.com	TOTALCHOICE-HOSTING (AS16556)	1
Host Europe GmbH	FLY (AS40509)	1
NSONE	FASTLY (AS54113)	1
zoneedit.com	EDNS (AS16686)	2
co.uk	AMAZON-AES (AS14618)	4
domain.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
NSONE	INTERNAP-BLOCK-4 (AS14742)	1
INFB2-AS	INFB2-AS (AS30447)	7
Host Europe GmbH	INFB2-AS (AS30447)	4
bravehost.com	COGENT-174 (AS174)	2
AUTOMATTIC	AUTOMATTIC (AS2635)	9
MICROSOFT-CORP-MSN-AS-BLOCK	SQUARESPACE (AS53831)	3
Host Europe GmbH	INFINITY-BROADBAND-LTD (AS16437)	2
GANDI SAS	GANDI SAS (AS29169)	12
DIGICERT	GOOGLE (AS15169)	2
awsdns-15.net	AMAZON-02 (AS16509)	2
domainnameserver.info	Vocus Connect International Backbone (AS4826)	3
Safenames Ltd.	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
Host Europe GmbH	RACKSPACE (AS19994)	1
EDNS	Amarutu Technology Ltd (AS206264)	3
rackspace.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
register.ch	Combell NV (AS34762)	1
Host Europe GmbH	IMH-IAD (AS54641)	2
MICROSOFT-CORP-MSN-AS-BLOCK	Wix.com Ltd. (AS58182)	1
awsdns-28.com	WEBHOST-ASN1 (AS27229)	1
Host Europe GmbH	SALT-TECH (AS397343)	3
webhostbox.net	UNIFIEDLAYER-AS-1 (AS46606)	1
Host Europe GmbH	NIXIHOST (AS46505)	1
VIRTBIZ-DALLAS	AMAZON-02 (AS16509)	1
CLOUDFLARENET	GCI Network Solutions Limited (AS8851)	1
SCALAHOSTING	SCALAHOSTING (AS40476)	5
rebel.ca	AMAZON-AES (AS14618)	1
freehostia.com	LIQUIDNETLTD1 (AS14555)	1
wedos.com	WEDOS Internet, a.s. (AS197019)	1
VIRTBIZ-DALLAS	VIRTBIZ-DALLAS (AS40395)	15
webhostforall.com	LIQUIDWEB (AS53824)	1
dbig-host.com	NAMECHEAP-NET (AS22612)	1
Host Europe GmbH	Parallel Web Cloud Services (AS137035)	2
Host Europe GmbH	RENDER (AS397273)	1
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	4
Host Europe GmbH	INCAPSULA (AS19551)	1
Host Europe GmbH	SUCURI-SEC (AS30148)	3
cbpl.ky	CWCAYMAN (AS6639)	1
NSONE	Akamai International B.V. (AS20940)	4
co.za	MULTA-ASN1 (AS35916)	1
superhosting.bg	SuperHosting.BG Ltd. (AS201200)	1
com.ve	ORACLE-BMC-31898 (AS31898)	8
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	8
Host Europe GmbH	Host Europe GmbH (AS21499)	6
MICROSOFT-CORP-MSN-AS-BLOCK	DIGITALOCEAN-ASN (AS14061)	3
EDNS	Domicilium (IOM) Limited (AS15766)	1
webfeatserver.com	Exabytes Network Singapore Pte. Ltd. (AS38532)	1
islandrealtor.ky	CWCAYMAN (AS6639)	1
Host Europe GmbH	PRIVATESYSTEMS (AS63410)	4
Host Europe GmbH	HOSTA-LAS (AS33398)	1
Host Europe GmbH	NAMECHEAP-NET (AS22612)	4
netflix.net	AMAZON-02 (AS16509)	1
GOOGLE	NbIServ (AS43847)	1
barbero.zone	Akamai International B.V. (AS20940)	1
ports.se	Tele2 SWIPnet (AS1257)	1
trouble-free.net	IS-AS-1 (AS19318)	3
exchange.ky	CWCAYMAN (AS6639)	1
otishome.ky	GO-DADDY-COM-LLC (AS398101)	1
Host Europe GmbH	SCALAHOSTING (AS40476)	5
CLOUDFLARENET	N-V-C (AS14955)	3
bitmex.network	AMAZON-02 (AS16509)	2
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	8
Host Europe GmbH	GO-DADDY-COM-LLC (AS398787)	6
dnsvisa.com	CLOUDFLARENET (AS13335)	1
Host Europe GmbH	XNNET (AS932)	1
websitehostserver.net	SINGLEHOP-LLC (AS32475)	1
awsdns-04.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	GANDI SAS (AS29169)	1
Host Europe GmbH	xneelo (AS37153)	1
dyn.com	Akamai Connected Cloud (AS63949)	1
awsdns-39.org	AMAZON-02 (AS16509)	2
awsdns-16.org	LIQUIDWEB (AS32244)	1
VIRTBIZ-DALLAS	A2HOSTING (AS55293)	1
Host Europe GmbH	HOSTWINDS (AS54290)	1
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	1
hawkhavenonline.net	WHG Hosting Services Ltd (AS36454)	1
trs-dns.com	AMAZON-AES (AS14618)	1
co.uk	Metaregistrar B.V. (AS42585)	1
awsdns-19.com	AMAZON-AES (AS14618)	2
ns0.com	PAIR-NETWORKS (AS7859)	2
AMAZON-02	A2HOSTING (AS55293)	7
srvcp.com	SpeedyPage Ltd (AS142594)	1
ipage.com	BIZLAND-SD (AS29873)	2
SECURITYSERVICES	SECURITYSERVICES (AS12008)	7
storage.ky	CWCAYMAN (AS6639)	1
Host Europe GmbH	LOGIC-36549 (AS36549)	9
xilo.net	Network Services Ltd. (AS44574)	1
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	4
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	8
CLOUDFLARENET	BIGSCOOTS (AS394303)	1
MICROSOFT-CORP-MSN-AS-BLOCK	INMOTION (AS22611)	1
DIGICERT	DIGITALOCEAN-ASN (AS14061)	1
hosting.pe	HOSTING. (AS265839)	1
co.uk	Cloudflare London, LLC (AS209242)	2
volvo.com	Volvo Information Technology AB (AS25252)	1
sticksandstones.ky	GO-DADDY-COM-LLC (AS398101)	1
SECURITYSERVICES	CENTURYLINK-LEGACY-SAVVIS (AS3561)	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	16
hostpapa.com	WEBINT (AS11989)	1
MICROSOFT-CORP-MSN-AS-BLOCK	CORELINK JAPAN (AS136796)	1
Host Europe GmbH	RMH-14 (AS33070)	2
panelbox.net	SQUARESPACE (AS53831)	1
in4ia.net	NAMECHEAP-NET (AS22612)	1
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-AES (AS14618)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	4
awsdns-22.org	AMAZON-AES (AS14618)	2
CLOUDFLARENET	FASTLY (AS54113)	3
Akamai International B.V.	Tinext Cloud SA (AS197352)	1
Host Europe GmbH	The Positive Internet Company Ltd (AS21260)	1
greengeeks.net	SINGLEHOP-LLC (AS32475)	2
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	2
datastiq.com	NAMEHERO-KCDC (AS399250)	1
Akamai International B.V.	Amarutu Technology Ltd (AS206264)	1
EDNS	LOGIC-36549 (AS36549)	2
logic.ky	AMAZON-AES (AS14618)	1
ngwebhosting.com	NAMECHEAP-NET (AS22612)	4
Host Europe GmbH	PAIR-NETWORKS (AS7859)	1
qwest.net	LEVEL3 (AS3356)	1
awsdns-26.net	AMAZON-02 (AS16509)	1
Host Europe GmbH	LEASEWEB-USA-SFO (AS7203)	1
unknown	VIRTBIZ-DALLAS (AS40395)	3
hostgator.com	UKDedicated LTD (AS34282)	1
CLOUDFLARENET	Partner Communications Ltd. (AS12400)	1
