phase8.net	Team Blue Internet Services Uk Limited (AS8622)	24
CLOUDFLARENET	CLOUDFLARENET (AS13335)	2097
Host Europe GmbH	AMAZON-02 (AS16509)	15844
CLOUDFLARENET	SEDO GmbH (AS47846)	74
NSONE	AMAZON-02 (AS16509)	109
bodis.com	AMAZON-02 (AS16509)	62
njalla.in	Net Solutions - Consultoria Em Tecnologias De Informacao, Sociedade Unipessoal LDA (AS47674)	1
Host Europe GmbH	Prager Connect GmbH (AS57878)	1
CLOUDFLARENET	LIQUIDWEB (AS32244)	3
NSONE	SEDO GmbH (AS47846)	137
nameshield.net	Nameshield SAS (AS20756)	6
CLOUDFLARENET	AMAZON-02 (AS16509)	732
oray.net	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	2
OVH SAS	OVH SAS (AS16276)	119
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	871
Host Europe GmbH	NEBULA (AS140224)	2
xundns.com	TERAEXCH (AS399077)	67
SECURITYSERVICES	CSC (AS19574)	167
markmonitor.com	AMAZON-02 (AS16509)	153
Host Europe GmbH	AMAZON-AES (AS14618)	94
Host Europe GmbH	CLOUDFLARENET (AS13335)	442
Host Europe GmbH	SQUARESPACE (AS53831)	545
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	233
IONOS SE	IONOS SE (AS8560)	319
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	19
exhera.com	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	4
domainoffensive.de	Hetzner Online GmbH (AS24940)	4
myhostadmin.net	MOACK.Co.LTD (AS138195)	1
GOOGLE	CLOUDFLARENET (AS13335)	134
AMAZON-AES	AMAZON-AES (AS14618)	499
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	49
Akamai International B.V.	Akamai International B.V. (AS20940)	11
Host Europe GmbH	Cloudflare London, LLC (AS209242)	181
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	97
hover.com	Enflow B.V. (AS209626)	1
SECURITYSERVICES	AMAZON-02 (AS16509)	79
servidoraweb.net	NUT HOST SRL (AS264649)	8
Domain names registrar REG.RU, Ltd	Domain names registrar REG.RU, Ltd (AS197695)	9
CLOUDFLARENET	LINETS CHILE SPA (AS263826)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	41
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	40
GOOGLE	Wix.com Ltd. (AS58182)	335
NSONE	SOFTLAYER (AS36351)	38
checkdomain.de	FASTLY (AS54113)	1
duplika.com	LIQUIDWEB (AS32244)	1
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	119
plusserver.com	PlusServer GmbH (AS61157)	1
NUCDN	SQUARESPACE (AS53831)	1
CLOUDFLARENET	HK Global Cloud DataCenter (AS2042)	1
markmonitor.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
CLOUDFLARENET	AS-COLOCROSSING (AS36352)	5
Safenames Ltd.	Cloudflare London, LLC (AS209242)	1
CLOUDFLARENET	FASTLY (AS54113)	41
OVH SAS	Akenes SA (AS61098)	1
GMO Internet Group, Inc.	GMO Internet Group, Inc. (AS7506)	32
skp.la	AMAZON-02 (AS16509)	1
sedoparking.com	SEDO GmbH (AS47846)	125
dnspod.net	UCLOUD INFORMATION TECHNOLOGY HK LIMITED (AS135377)	1
sonic.it	Intred S.p.A. (AS41497)	2
CLOUDFLARENET	Netsec Limited (AS45753)	10
Host Europe GmbH	Dattatec.com (AS27823)	5
Host Europe GmbH	Enflow B.V. (AS209626)	3
romarg.com	ROMARG SRL (AS205275)	1
Signet B.V.	Signet B.V. (AS20857)	53
dailyrazor.com	OVH SAS (AS16276)	1
AMAZON-02	AMAZON-02 (AS16509)	103
Host Europe GmbH	NSS S.A. (AS16814)	1
name-services.com	LIQUIDWEB (AS32244)	3
myhostadmin.net	CLOUDFLARENET (AS13335)	3
BUNNYWAY, informacijske storitve d.o.o.	Datacamp Limited (AS60068)	6
Vautron Rechenzentrum AG	Vautron Rechenzentrum AG (AS25504)	11
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	2
