CLOUDFLARENET	CLOUDFLARENET (AS13335)	2403
hover.com	TUCOWS (AS15348)	373
Host Europe GmbH	Host Europe GmbH (AS34011)	95
Host Europe GmbH	AMAZON-02 (AS16509)	167
Hetzner Online GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	4
webkeeper.ch	METANET AG (AS21069)	11
Hostpoint AG	Hostpoint AG (AS29097)	3599
ha-dns.net	Hetzner Online GmbH (AS24940)	8
pro.io	Quickline AG (AS15600)	1
swizzonic.ch	Register S.p.A. (AS39729)	1978
METANET AG	METANET AG (AS21069)	820
infomaniak.com	Salt Mobile SA (AS15796)	2
hoststar.hosting	Hetzner Online GmbH (AS24940)	645
GANDI SAS	GANDI SAS (AS29169)	371
CLOUDFLARENET	Inovare-Prim SRL (AS60602)	1
Vautron Rechenzentrum AG	Vautron Rechenzentrum AG (AS25504)	111
vas-hosting.com	SH.cz s.r.o. (AS39392)	4
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	30
netcup GmbH	netcup GmbH (AS197540)	448
OVH SAS	OVH SAS (AS16276)	860
CLOUDFLARENET	AMAZON-02 (AS16509)	429
lemarit.de	AS-VULTR (AS20473)	39
loopia.se	Loopia AB (AS39570)	13
NovaTrend Services GmbH	NovaTrend Services GmbH (AS35206)	244
Nessus GmbH	dogado GmbH (AS208582)	35
sedoparking.com	SEDO GmbH (AS47846)	891
hosttech.ch	Exigo AG (AS31052)	1
systemdns.com	AMAZON-AES (AS14618)	27
web4u.cz	Web4U s.r.o. (AS39790)	18
cyon GmbH	Hetzner Online GmbH (AS24940)	9
AUTOMATTIC	AUTOMATTIC (AS2635)	26
AMAZON-02	AMAZON-02 (AS16509)	190
METANET AG	FASTLY (AS54113)	2
one.com	One.com A/S (AS51468)	282
caraus.de	netcup GmbH (AS197540)	1
alphacron.de	Vodafone GmbH (AS3209)	1
xmelm.ch	Bluewin (AS3303)	3
hosttech.ch	hosttech GmbH (AS207143)	490
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	426
Webland AG	Webland AG (AS25563)	337
CLOUDFLARENET	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
world4you.at	World4You Internet Services GmbH (AS38955)	249
perf1.com	Hermes Europe GmbH (AS29042)	10
domserver.de	InterNetX GmbH (AS15456)	12
register.be	Combell NV (AS34762)	4
IONOS SE	united-domains GmbH (AS202108)	333
swizzonic.ch	Liechtensteinische Landesbank AG (AS202405)	12
Virtualtec Solutions AG	Virtualtec Solutions AG (AS12347)	7
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	1037
ipgo.eu	Hetzner Online GmbH (AS24940)	1
OVH SAS	netcup GmbH (AS197540)	10
Cloud DNS Ltd	GOOGLE-CLOUD-PLATFORM (AS396982)	33
SECURITYSERVICES	IT7NET (AS25820)	2
hyp.net	Domeneshop AS (AS12996)	69
GOOGLE	SEJONG NETWORKS (AS9848)	1
SECURITYSERVICES	CSC (AS19574)	296
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	471
pixels-points.ch	METANET AG (AS21069)	1
kyberna.net	COLT Technology Services Group Limited (AS8220)	1
maik.li	Hetzner Online GmbH (AS24940)	3
Bluewin	NorthC Schweiz AG (AS42346)	1
ch-inter.net	METANET AG (AS21069)	181
hostserv.eu	BSE Software GmbH (AS9044)	49
cluster-team.net	InterNetX GmbH (AS15456)	4
ns35.de	SpaceNet AG (AS5539)	34
pro.io	BSE Software GmbH (AS9044)	2
Vadian.Net AG	Sunrise GmbH (AS6730)	76
Infomaniak Network SA	Infomaniak Network SA (AS29222)	304
tizoo.com	TiZoo Sarl (AS209042)	10
CLOUDFLARENET	Hostinger International Limited (AS47583)	264
NetActuate, Inc	Hetzner Online GmbH (AS24940)	3
one.com	GlobalConnect A/S (AS31027)	1
kyberna.net	METANET AG (AS21069)	4
IONOS SE	IONOS SE (AS8560)	643
NetActuate, Inc	SYNLINQ (AS44486)	2
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	15
infomaniak.com	Infomaniak Network SA (AS29222)	365
Host Europe GmbH	Host Europe GmbH (AS21499)	87
timmehosting.de	Hetzner Online GmbH (AS24940)	8
ch-inter.net	HiHo AG (AS48218)	2
ipcom GmbH	IONOS SE (AS8560)	24
CLOUDFLARENET	Florian Kolb (AS58087)	1
Nessus GmbH	Nessus GmbH (AS47692)	64
SECURITYSERVICES	SECURITYSERVICES (AS12008)	45
DIGICERT	DIGICERT (AS16552)	18
netim.net	DIGITALOCEAN-ASN (AS14061)	1
beep.hu	ATW Internet Kft. (AS41075)	1
pro.io	AMAZON-02 (AS16509)	15
cyon GmbH	SQUARESPACE (AS53831)	5
netim.net	Eurofiber France SAS (AS24935)	118
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	47
lah-g.de	Keyweb AG (AS31103)	4
CLOUDFLARENET	OVH SAS (AS16276)	34
NUCDN	Team Internet AG (AS61969)	85
ack.de	GOOGLE-CLOUD-PLATFORM (AS396982)	1
PlusServer GmbH	InterNetX GmbH (AS15456)	25
Dreamscape Networks Limited	Dreamscape Networks Limited (AS38719)	172
lemarit.de	M-net Telekommunikations GmbH (AS8767)	8
Signet B.V.	Signet B.V. (AS20857)	48
Bluewin	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Newsnet AG	NovaTrend Services GmbH (AS35206)	10
hawkhost.com	SINGLEHOP-LLC (AS32475)	2
quantum-server.net	DIGITALOCEAN-ASN (AS14061)	1
de-nserver.de	dogado GmbH (AS45012)	9
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	6
CLOUDFLARENET	Wix.com Ltd. (AS58182)	3
com2web.ch	Hetzner Online GmbH (AS24940)	4
ips.support	23M GmbH (AS47447)	2
topway.ch	BSE Software GmbH (AS9044)	2
cyon GmbH	Wix.com Ltd. (AS58182)	3
prodomaines.com	Bdl Systemes SAS (AS38926)	1
hosting.zuerich	hosttech GmbH (AS207143)	1
SECURITYSERVICES	COGECO-PEER1 (AS13768)	11
cyon GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	4
dogado.de	Key-Systems GmbH (AS13246)	1
hostcenter.li	hosttech GmbH (AS207143)	11
ipcom GmbH	Hetzner Online GmbH (AS24940)	141
inhostedns.com	Hosting Ukraine LTD (AS200000)	1
cyon GmbH	cyon GmbH (AS47302)	760
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	240
sqr.cloud	Cyso Group B.V. (AS25151)	3
NSONE	SEDO GmbH (AS47846)	85
swizzonic.ch	swizzonic ltd (AS212506)	74
ipcom GmbH	Sunrise GmbH (AS6730)	2
nadns1.com	Nameshield SAS (AS20756)	14
Newsnet AG	Hetzner Online GmbH (AS24940)	4
markmonitor.com	AMAZON-02 (AS16509)	185
register.it	Register S.p.A. (AS39729)	53
