UNIFIEDLAYER-AS-1	SQUARESPACE (AS53831)	2
CLOUDFLARENET	CLOUDFLARENET (AS13335)	5523
Cloud DNS Ltd	HVC-AS (AS29802)	14
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	394
lankahost.net	HVC-AS (AS29802)	1278
CLOUDFLARENET	Hostinger International Limited (AS47583)	2460
NSONE	AMAZON-02 (AS16509)	337
ORANGEHOST	ORANGEHOST (AS19853)	43
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	606
lankahost.net	DIMENOC (AS33182)	328
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	1131
serverhostgroup.com	OVH SAS (AS16276)	26
unknown	Enix Ltd (AS52148)	32
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	240
pvtwebs.com	Onidel Pty Ltd (AS152900)	8
AMAZON-02	AMAZON-02 (AS16509)	227
contabo.net	Contabo GmbH (AS51167)	100
OVH SAS	OVH SAS (AS16276)	106
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	45
markmonitor.com	AMAZON-02 (AS16509)	110
unknown	PUBLIC-DOMAIN-REGISTRY (AS394695)	418
AS40676	AS40676 (AS40676)	131
webserverlive.com	H4Y-TECHNOLOGIES (AS397373)	644
unknown	Hetzner Online GmbH (AS24940)	8
CLOUDFLARENET	AMAZON-02 (AS16509)	358
iaasdns.com	velia.net Internetdienste GmbH (AS29066)	7
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	32
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	6
CLOUDFLARENET	DREAMHOST-AS (AS26347)	210
webspacekit.com	EMAX GLOBAL MEDIA PVT. LTD (AS133694)	5
CLOUDFLARENET	IONOS SE (AS8560)	11
bungalow.lk	Sri Lanka Telecom Internet (AS9329)	1
IS-AS-1	IS-AS-1 (AS19318)	288
SECURITYSERVICES	SECURITYSERVICES (AS12008)	14
dig.com	DISNEYONLINE-AS (AS8137)	4
HVC-AS	HVC-AS (AS29802)	78
CLOUDFLARENET	LIQUIDNETLTD1 (AS14555)	5
