cloudflare.com	CLOUDFLARENET (AS13335)	69
Hetzner Online GmbH	Contabo GmbH (AS51167)	6
managedomains.de	netcup GmbH (AS197540)	1
parkingcrew.net	Team Internet AG (AS61969)	3
CLOUDFLARENET	INCAPSULA (AS19551)	3
cloudflare.com	Contabo GmbH (AS51167)	1
alidns.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	22
trouble-free.net	IS-AS-1 (AS19318)	2
akam.net	Akamai International B.V. (AS20940)	1
GANDI SAS	AMAZON-AES (AS14618)	1
Host Europe GmbH	AMAZON-02 (AS16509)	6
NSONE	AMAZON-02 (AS16509)	3
bodis.com	AMAZON-02 (AS16509)	2
awsdns-01.com	AMAZON-02 (AS16509)	1
dns-h.com	xneelo (AS37153)	1
cscdns.net	CSC (AS19574)	2
cloudflare.com	AMAZON-02 (AS16509)	8
digitalocean.com	DIGITALOCEAN-ASN (AS14061)	1
ipcom GmbH	AMAZON-AES (AS14618)	1
cloudflare.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
GANDI SAS	GANDI SAS (AS29169)	3
Cloud DNS Ltd	Team Internet AG (AS61969)	7
owlhost.net	WIBO Baltic UAB (AS59939)	1
ns0.com	PAIR-NETWORKS (AS7859)	1
ipcom GmbH	Neue Medien Muennich GmbH (AS34788)	1
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
cloudflare.com	SQUARESPACE (AS53831)	1
atom.com	AMAZON-AES (AS14618)	2
inwx.com	InterNetworX Management GmbH (AS48596)	2
awsdns-17.com	AMAZON-02 (AS16509)	1
Cloud DNS Ltd	23M GmbH (AS47447)	1
Cloud DNS Ltd	OVH SAS (AS16276)	1
wedos.com	Hostup AB (AS214640)	1
Hetzner Online GmbH	DIGITALOCEAN-ASN (AS14061)	1
cloudflare.com	Oniks LLC (AS209309)	1
zeecom.services	Voxility LLP (AS3223)	1
Rackspace Ltd.	MTN Business Solutions (AS16637)	1
awsdns-02.org	AMAZON-02 (AS16509)	1
VODACOM-LESOTHO	LIQUIDWEB (AS32244)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	2
cctld.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
vercel-dns.com	AMAZON-02 (AS16509)	2
portsdns.net	Tele2 SWIPnet (AS1257)	1
Hetzner Online GmbH	CLOUDFLARENET (AS13335)	1
VODACOM-LESOTHO	xneelo (AS37153)	1
awsdns-12.org	AMAZON-02 (AS16509)	1
awsdns-16.org	AMAZON-02 (AS16509)	1
afraid.org	Rage4 Networks Limited (AS198412)	1
Hetzner Online GmbH	MTS PJSC (AS209024)	1
dreamhost.com	DREAMHOST-AS (AS26347)	1
im.forsale	DIGITALOCEAN-ASN (AS14061)	1
localsecurity.org	CLOUDFLARENET (AS13335)	3
awsdns-09.org	AMAZON-02 (AS16509)	1
cloudflare.com	Hetzner Online GmbH (AS24940)	2
haxolot.ls	Strato GmbH (AS6724)	1
d.sb	HOSTHATCH (AS63473)	1
dynu.com	Andrews & Arnold Ltd (AS20712)	1
sedoparking.com	SEDO GmbH (AS47846)	1
neubox.net	AS17378 (AS17378)	1
awsdns-32.com	AMAZON-02 (AS16509)	1
ipcom GmbH	Hetzner Online GmbH (AS24940)	1
Rackspace Ltd.	Akamai Connected Cloud (AS63949)	1
co.ls	LEO (AS25695)	2
transnexis.net	Layershift Limited (AS205072)	1
awsdns-04.org	AMAZON-02 (AS16509)	1
cloudflare.com	ORACLE-BMC-31898 (AS31898)	2
cloudflare.com	Gigabit Hosting Sdn Bhd (AS55720)	1
hstgr.cloud	Hostinger International Limited (AS47583)	1
ipcom GmbH	InterNetworX Management GmbH (AS48596)	1
cloudflare.com	Spartan Host Ltd (AS201106)	1
krystal.uk	Krystal Hosting Ltd (AS12488)	1
agxl.name	TURNKEY-INTERNET (AS40244)	1
flashfire.site	UPCLOUDUSA (AS25697)	1
cloudflare.com	AMAZON-AES (AS14618)	1
cloudflare.com	Tencent Building, Kejizhongyi Avenue (AS132203)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	1
spaceship.net	AMAZON-02 (AS16509)	2
radinko.com	Gransy s.r.o. (AS60592)	1
zeecom.africa	LIQUIDWEB (AS32244)	1
host-ww.net	Host-Africa-AS (AS328364)	1
CLOUDFLARENET	FASTLY (AS54113)	2
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	1
cloudflare.com	GOOGLE-CLOUD-PLATFORM (AS396982)	3
ipcom GmbH	netcup GmbH (AS197540)	1
udag.de	united-domains GmbH (AS202108)	1
cloudflare.com	OVH SAS (AS16276)	1
admingate.net	AMAZON-AES (AS14618)	1
cloudflare.com	AS-COLOCROSSING (AS36352)	1
vche.net	MULTA-ASN1 (AS35916)	1
ipcom GmbH	IONOS SE (AS8560)	1
cloudflare.com	FASTLY (AS54113)	1
gofruits.co	GOOGLE-CLOUD-PLATFORM (AS396982)	1
dns.com	Netsec Limited (AS45753)	1
industrialnewsmedia.com	NAMECHEAP-NET (AS22612)	1
Hetzner Online GmbH	OVH SAS (AS16276)	1
pub-ns.me	DataWeb Global Group B.V. (AS39572)	1
roe.ls	Hetzner Online GmbH (AS24940)	1
