hostex.lt	Telia Lietuva, AB (AS43811)	578
CLOUDFLARENET	CLOUDFLARENET (AS13335)	7706
Cloud DNS Ltd	UAB Interneto vizija (AS212531)	464
CLOUDFLARENET	Hostinger International Limited (AS47583)	12802
serveriai.lt	UAB Interneto vizija (AS212531)	35610
GOOGLE	Wix.com Ltd. (AS58182)	910
CLOUDFLARENET	AMAZON-AES (AS14618)	18
balt.net	UAB Interneto vizija (AS212531)	152
serveriai.lt	Hostinger International Limited (AS47583)	585
domenai.lt	UAB Interneto vizija (AS212531)	191
getspace.us	Hetzner Online GmbH (AS24940)	284
serveriai.lt	DIGITALOCEAN-ASN (AS14061)	129
Host Europe GmbH	AMAZON-02 (AS16509)	323
UAB Interneto vizija	UAB ESNET (AS61053)	3
balt.net	UAB Baltnetos komunikacijos (AS15440)	387
Telia Eesti AS	Elkdata OU (AS61189)	385
Hosting Ukraine LTD	Hosting Ukraine LTD (AS200000)	375
hosted-power.com	UpCloud Ltd (AS202053)	2
UAB Interneto vizija	UAB Interneto vizija (AS212531)	1141
domenai.lt	UAB Bartus pro (AS51107)	1791
serveriai.lt	Kauno Technologijos Universitetas (AS2847)	15
OVH SAS	OVH SAS (AS16276)	894
Hetzner Online GmbH	UAB Interneto vizija (AS212531)	35
Zone Media OU	Zone Media OU (AS49604)	1450
domenai.lt	CLOUDFLARENET (AS13335)	164
SECURITYSERVICES	AMAZON-02 (AS16509)	60
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	99
serveriai.lt	UAB Baltnetos komunikacijos (AS15440)	191
CLOUDFLARENET	SIA BITE Latvija (AS2588)	6
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	344
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	379
CLOUDFLARENET	Contabo GmbH (AS51167)	92
serveriai.lt	AMAZON-02 (AS16509)	300
serveriai.lt	Host Europe GmbH (AS44273)	3
dcsaas.net	Atman Sp. z o.o. (AS15694)	9
ipcom GmbH	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	8
Telia Lietuva, AB	UAB Interneto vizija (AS212531)	379
GANDI SAS	GANDI SAS (AS29169)	462
co.uk	UAB Interneto vizija (AS212531)	1
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	56
UAB Penki kontinentai	UAB Penki kontinentai (AS12539)	39
hostex.lt	UAB Interneto vizija (AS212531)	58
bacloud.com	Informacines sistemos ir technologijos, UAB (AS61272)	505
serveriai.lt	UAB ESNET (AS61053)	46
ipcom GmbH	FASTLY (AS54113)	1
nadns1.com	Nameshield SAS (AS20756)	19
Netnod AB	Adacor Hosting GmbH (AS42442)	9
CLOUDFLARENET	GOOGLE (AS15169)	17
serveriai.lt	SQUARESPACE (AS53831)	88
