OVH SAS	OVH SAS (AS16276)	10771
GANDI SAS	GANDI SAS (AS29169)	2581
NUCDN	velia.net Internetdienste GmbH (AS29066)	61
sedoparking.com	SEDO GmbH (AS47846)	539
NUCDN	Team Internet AG (AS61969)	3375
interact.lu	Conostix S.A. (AS197692)	20
IONOS SE	united-domains GmbH (AS202108)	722
Hostpoint AG	Hostpoint AG (AS29097)	135
NUCDN	Datacenter Luxembourg S.A. (AS24611)	3328
CLOUDFLARENET	CLOUDFLARENET (AS13335)	1938
Visual Online S.A.	Visual Online S.A. (AS9008)	1505
PLANETHOSTER-8	OVH SAS (AS16276)	2
infomaniak.com	Infomaniak Network SA (AS29222)	443
SECURITYSERVICES	Akamai International B.V. (AS20940)	9
One.com A/S	One.com A/S (AS51468)	18
SECURITYSERVICES	CSC (AS19574)	1405
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	568
dig.com	AMAZON-02 (AS16509)	14
CLOUDFLARENET	PLANETHOSTER-8 (AS53589)	1
dns.lu	Hetzner Online GmbH (AS24940)	35
nederhost.nl	DirectVPS B.V. (AS29028)	3
ipcom GmbH	Hetzner Online GmbH (AS24940)	123
globe.lu	Hetzner Online GmbH (AS24940)	357
NUCDN	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	110
IONOS SE	IONOS SE (AS8560)	192
perf1.com	Nameshield SAS (AS20756)	87
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	45
dns.lu	OVH SAS (AS16276)	44
AMAZON-02	AMAZON-02 (AS16509)	477
DIGICERT	LVLT-3549 (AS3549)	4
GOOGLE	Wix.com Ltd. (AS58182)	996
AMAZON-02	Leica Geosystems AG (AS208065)	6
CLOUDFLARENET	AMAZON-02 (AS16509)	362
infomaniak.com	GOOGLE-CLOUD-PLATFORM (AS396982)	2
OVH SAS	Luxembourg Online S.A. (AS8632)	7
NUCDN	Conostix S.A. (AS197692)	61
AMAZON-02	GOOGLE (AS15169)	146
MICROSOFT-CORP-MSN-AS-BLOCK	IONOS SE (AS8560)	5
PLANETHOSTER-8	PLANETHOSTER-8 (AS53589)	184
Vautron Rechenzentrum AG	Vautron Rechenzentrum AG (AS25504)	20
NUCDN	Hetzner Online GmbH (AS24940)	409
tentwentyfour.lu	Hetzner Online GmbH (AS24940)	22
ipcom GmbH	AMAZON-02 (AS16509)	683
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	30
stabletransit.com	PCB (AS400000)	1
ipcom GmbH	VSE NET GmbH (AS9063)	2
letsfin.lu	POST Luxembourg (AS6661)	1
Luxembourg Online S.A.	Luxembourg Online S.A. (AS8632)	32
lwsdns.com	AMAZON-02 (AS16509)	19
lwsdns.com	Groupe LWS SARL (AS210403)	1024
NUCDN	OVH SAS (AS16276)	443
ipcom GmbH	Visual Online S.A. (AS9008)	21
Telkea Telecom SA	OVH SAS (AS16276)	21
bdl.lu	Banque De Luxembourg SA (AS20501)	37
AUTOMATTIC	AUTOMATTIC (AS2635)	105
markmonitor.com	AMAZON-02 (AS16509)	625
synergia.lu	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	55
netim.net	Eurofiber France SAS (AS24935)	338
combell.net	dnx network sarl (AS212882)	1
NUCDN	Mittwald CM Service GmbH & Co. KG (AS15817)	50
combell.net	i3D.net B.V (AS49544)	2
pt.lu	POST Luxembourg (AS6661)	463
i-net-hosting.net	Host Europe GmbH (AS8972)	1
Infomaniak Network SA	Infomaniak Network SA (AS29222)	235
ACTIVE 24, s.r.o.	WebSupport s.r.o. (AS51013)	47
hostnet.nl	One.com A/S (AS51468)	261
Centre des technologies de l'information de l'Etat	Centre des technologies de l'information de l'Etat (AS25094)	359
routing.net	Hosting.de GmbH (AS12574)	28
GOOGLE	CLOUDFLARENET (AS13335)	135
register.be	COLT Technology Services Group Limited (AS8220)	16
GANDI SAS	POST Luxembourg (AS6661)	47
Nessus GmbH	Nessus GmbH (AS47692)	46
register.be	Combell NV (AS34762)	186
IONOS SE	DYCKERHOFF GmbH (AS31550)	1
ns14.net	AMAZON-02 (AS16509)	72
root SA	OVH SAS (AS16276)	13
ipcom GmbH	Metaregistrar B.V. (AS42585)	89
NUCDN	LeaseWeb Netherlands B.V. (AS60781)	8
Neue Medien Muennich GmbH	OVH SAS (AS16276)	53
root SA	root SA (AS5577)	773
checkdomain.de	Cloudflare London, LLC (AS209242)	1
luxit.lu	Host Europe GmbH (AS8972)	1
pt.lu	OVH SAS (AS16276)	23
Combell NV	Combell NV (AS34762)	16
WHG Hosting Services Ltd	WHG Hosting Services Ltd (AS213183)	899
CLOUDFLARENET	Hostinger International Limited (AS47583)	711
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	3
Centaur GmbH	Centaur GmbH (AS29145)	13
iptwins.com	OVH SAS (AS16276)	52
ha-dns.net	Hetzner Online GmbH (AS24940)	13
level27.eu	Level 27 BVBA (AS59943)	13
checkdomain.de	ecomDATA GmbH (AS211582)	3
as60391.net	Luxembourg Amateur Radio Union, A.s.b.l. (AS15780)	8
edu.tr	Eclit Bilisim Hizmetleri A.S (AS206192)	1
thednscompany.com	LeaseWeb Netherlands B.V. (AS60781)	10
Signet B.V.	Signet B.V. (AS20857)	355
Fondation RESTENA	Fondation RESTENA (AS2602)	113
root SA	Cloudflare London, LLC (AS209242)	2
NUCDN	AMAZON-02 (AS16509)	371
ipcom GmbH	dogado GmbH (AS45012)	3
ipcom GmbH	InterNetworX Management GmbH (AS48596)	257
NUCDN	Proximus NV (AS5432)	21
AMAZON-02	OVH SAS (AS16276)	297
CLOUDFLARENET	LIQUIDWEB (AS32244)	7
Telkea Telecom SA	Telkea Telecom SA (AS34683)	74
drexel.edu	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Telkea Telecom SA	Telkea Soft S.A. (AS57205)	93
NUCDN	Visual Online S.A. (AS9008)	71
nominalia.com	Register S.p.A. (AS39729)	11
restena.lu	Fondation RESTENA (AS2602)	148
bytecamp.net	e.discom Telekommunikation GmbH (AS12693)	3
OVH SAS	Hetzner Online GmbH (AS24940)	86
checkdomain.de	Hetzner Online GmbH (AS24940)	58
ipcom GmbH	GleSYS AB (AS42708)	26
easyhost.be	Combell NV (AS34762)	104
dns.lu	CLOUDFLARENET (AS13335)	17
Hostpoint AG	OVH SAS (AS16276)	1
CLDIN B.V.	CEWE Stiftung & Co. KGaA (AS49494)	4
timmehosting.de	Hetzner Online GmbH (AS24940)	2
register.be	OVH SAS (AS16276)	12
checkdomain.de	AMAZON-02 (AS16509)	5
NUCDN	Hosting.de GmbH (AS48823)	292
powerdns.de	UD Media GmbH (AS199753)	26
Key-Systems GmbH	SerNet Service Network GmbH (AS41955)	1
combell.net	Combell NV (AS34762)	763
Yelles AB	Yelles AB (AS206170)	38
alphamega.nl	CLDIN B.V. (AS48635)	3
mydnspt.net	Almouroltec Servicos De Informatica E Internet Lda (AS24768)	6
educdesign.lu	LHISP S.A. (AS200129)	42
Visual Online S.A.	CLOUDFLARENET (AS13335)	7
mijndnsserver.nl	LeaseWeb Netherlands B.V. (AS60781)	30
Hetzner Online GmbH	AMAZON-02 (AS16509)	7
NUCDN	Contabo GmbH (AS51167)	52
SECURITYSERVICES	Fiducial Cloud Sasu (AS20917)	6
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	22
GANDI SAS	Societe Francaise Du Radiotelephone - SFR SA (AS15557)	4
Knipp Medien und Kommunikation GmbH	ScaleUp Technologies GmbH & Co. KG (AS29014)	53
axc.nl	CLDIN B.V. (AS48635)	45
GANDI SAS	InterEdge B.V. (AS213753)	1
AMAZON-02	Team Internet AG (AS61969)	127
