SECURITYSERVICES	CSC (AS19574)	782
hostex.lt	Telia Lietuva, AB (AS43811)	33
aslimnica.lv	Jsc Balticom (AS24651)	1
itap.lv	Versija SIA (AS8285)	37
layerip.com	Freethought Internet Limited (AS41000)	16
dns.lv	AMAZON-02 (AS16509)	619
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	363
CLOUDFLARENET	CLOUDFLARENET (AS13335)	6675
CLOUDFLARENET	Hostinger International Limited (AS47583)	1168
serveriai.lt	UAB Interneto vizija (AS212531)	1496
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	49
NUCDN	Datacenter Luxembourg S.A. (AS24611)	288
Institute of Mathematics and Computer Science of University of Latvia	Institute of Mathematics and Computer Science of University of Latvia (AS5538)	1177
CLOUDFLARENET	Ventspils city municipality institution Ventspils Digital Center (AS43028)	5
arvancdn.ir	Noyan Abr Arvan Co. ( Private Joint Stock) (AS205585)	1
Sia Nano IT	mono solutions ApS (AS201595)	31
zoneedit.com	LeaseWeb Netherlands B.V. (AS60781)	1
IONOS SE	DTS Systeme Muenster GmbH (AS12437)	1
temporarius.lv	SIA BITE Latvija (AS20910)	1
GOOGLE	Wix.com Ltd. (AS58182)	871
donau-it.de	R-KOM Regensburger Telekommunikationsgesellschaft mbH (AS12611)	1
CLOUDFLARENET	INCAPSULA (AS19551)	181
areait.lv	LeaseWeb Netherlands B.V. (AS60781)	2833
Sia Nano IT	Sia Nano IT (AS43513)	3082
szk.lv	SIA Tet (AS12578)	2
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	15
dns.lv	DIGITALOCEAN-ASN (AS14061)	408
active24.cz	ACTIVE 24, s.r.o. (AS25234)	65
netim.net	Eurofiber France SAS (AS24935)	339
dns.lv	Hetzner Online GmbH (AS24940)	475
fornex.com	Fornex Hosting S.L. (AS44051)	40
Sabiedriba ar ierobezotu atbildibu DELSKA Latvia	Sabiedriba ar ierobezotu atbildibu DELSKA Latvia (AS12993)	47
Zone Media OU	Zone Media OU (AS49604)	1640
dns.lv	PRIVATESYSTEMS (AS63410)	11
dns.lv	Tilda Publishing Ltd. (AS205282)	180
Host Europe GmbH	Hetzner Online GmbH (AS24940)	21
ZONER a.s.	ZONER a.s. (AS34222)	35
Host Europe GmbH	Host Europe GmbH (AS34011)	11
Hetzner Online GmbH	Telia Cygate Oy (AS29422)	4
CLOUDFLARENET	AMAZON-02 (AS16509)	466
Telia Eesti AS	Elkdata OU (AS61189)	399
dns.lv	SIA Tet (AS12578)	534
dns.lv	GOOGLE-CLOUD-PLATFORM (AS396982)	125
garmtech.net	Ddos-guard Ltd (AS57724)	5
dns.lv	Sabiedriba ar ierobezotu atbildibu DELSKA Latvia (AS12993)	374
Institute of Mathematics and Computer Science of University of Latvia	SQUARESPACE (AS53831)	12
MICROSOFT-CORP-MSN-AS-BLOCK	Hetzner Online GmbH (AS24940)	33
CLOUDFLARENET	Jsc Balticom (AS24651)	18
interna.me	IONOS SE (AS8560)	20
CLOUDFLARENET	DREAMHOST-AS (AS26347)	72
CLDIN B.V.	atom86 BV (AS8455)	1
online.lv	LeaseWeb Netherlands B.V. (AS60781)	5
sedoparking.com	SEDO GmbH (AS47846)	298
SIA Tet	SIA Tet (AS47570)	36
inmotionhosting.com	INMOTION (AS22611)	25
Telenet SIA	Telenet SIA (AS24589)	98
CLOUDFLARENET	SIA Tet (AS5518)	10
team.blue Denmark A/S	team.blue Denmark A/S (AS48854)	49
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	39
ORACLE-BMC-31898	ORACLE-BMC-31898 (AS31898)	6
road-runner.net	Road Tech Computer Systems Ltd. (AS34099)	1
AMAZON-02	OVH SAS (AS16276)	197
AMAZON-02	Team Internet AG (AS61969)	507
Signet B.V.	Signet B.V. (AS20857)	96
dns.lv	Scaleway S.a.s. (AS12876)	29
OVH SAS	OVH SAS (AS16276)	656
epag.net	Plusnet GmbH (AS20676)	2
NSONE	IONOS SE (AS8560)	3
rtu.lv	RTU (AS24620)	1
trialine.lv	Telenet SIA (AS24589)	41
nic.ru	Hetzner Online GmbH (AS24940)	1
hostnet.lv	Sabiedriba ar ierobezotu atbildibu DELSKA Latvia (AS12993)	505
bodis.com	AMAZON-02 (AS16509)	343
altusdns.com	AltusHost B.V. (AS51430)	2
garmtech.com	Garmtech Lp (AS43108)	1340
home.pl	home.pl S.A. (AS12824)	78
garmtech.com	AMAZON-02 (AS16509)	11
AUTOMATTIC	AUTOMATTIC (AS2635)	94
MICROSOFT-CORP-MSN-AS-BLOCK	UAB Interneto vizija (AS212531)	6
serveris.lv	Sabiedriba ar ierobezotu atbildibu DELSKA Latvia (AS12993)	606
gfsrv.net	Gameforge 4D GmbH (AS47195)	9
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	410
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	347
eunethosting.com	ANEXIA Internetdienstleistungs GmbH (AS42473)	1
dns.lv	Institute of Mathematics and Computer Science of University of Latvia (AS5538)	318
GANDI SAS	GANDI SAS (AS29169)	299
UAB Interneto vizija	UAB Interneto vizija (AS212531)	131
dns.lv	SIA Tet (AS5518)	78
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	516
dns.lv	CLOUDFLARENET (AS13335)	540
dns.lv	AS-VULTR (AS20473)	34
MICROSOFT-CORP-MSN-AS-BLOCK	Hostinger International Limited (AS47583)	28
serveris.lv	AMAZON-AES (AS14618)	5
AMAZON-02	AMAZON-02 (AS16509)	259
hostex.lt	SIA Tet (AS12578)	1
phase8.net	Team Blue Internet Services Uk Limited (AS8622)	13
Safenames Ltd.	Safenames Ltd. (AS60819)	200
co.uk	OVH SAS (AS16276)	4
dns.lv	Telenet SIA (AS24589)	114
dnsdata.be	CLDIN B.V. (AS48635)	1
Media Partners Sia	Media Partners Sia (AS199558)	51
SECURITYSERVICES	AMAZON-AES (AS14618)	30
businessmedia.lv	AMAZON-AES (AS14618)	85
greengeeks.net	SINGLEHOP-LLC (AS32475)	1
YANDEX LLC	Jsc Balticom (AS24651)	3
garmtech.com	INMOTION (AS22611)	1
MICROSOFT-CORP-MSN-AS-BLOCK	LeaseWeb Netherlands B.V. (AS60781)	16
dns.lv	Republican Unitary Telecommunication Enterprise Beltelecom (AS6697)	2
dtec.lv	Hetzner Online GmbH (AS24940)	1
online.lv	Sia Nano IT (AS43513)	8
Sia Nano IT	AMAZON-02 (AS16509)	45
vagon.lv	RJ Network OU (AS202759)	1
Enix Ltd	Enix Ltd (AS52148)	7
ANEXIA Internetdienstleistungs GmbH	Tele2 SWIPnet (AS1257)	84
CASABLANCA INT a.s.	CASABLANCA INT a.s. (AS15685)	18
dns.lv	WEEBLY (AS27647)	33
