libyanspider.net	Hetzner Online GmbH (AS24940)	2447
tecz.com	CtrlS (AS18229)	1
libyanspider.net	Libyan-Spider-for-IT-LTD (AS329263)	2015
GOOGLE	Wix.com Ltd. (AS58182)	31
markmonitor.com	AMAZON-02 (AS16509)	64
MICROSOFT-CORP-MSN-AS-BLOCK	Contabo GmbH (AS51167)	1
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	73
AMAZON-02	AMAZON-02 (AS16509)	254
ns.ly	CLOUDFLARENET (AS13335)	53
awsdns-23.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	12
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	3
cloudflare.com	AMAZON-02 (AS16509)	73
cloudflare.com	CLOUDFLARENET (AS13335)	1208
bodis.com	AMAZON-02 (AS16509)	9
smrttx.com	Contabo GmbH (AS51167)	1
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	19
Akamai International B.V.	AKAMAI-AS (AS16625)	2
co.uk	Enix Ltd (AS52148)	1
AMAZON-AES	AMAZON-AES (AS14618)	321
cloudflare.com	Cloudflare London, LLC (AS209242)	13
ns.ly	AMAZON-AES (AS14618)	14
cloudflare.com	Contabo GmbH (AS51167)	15
libyanspider.net	DATABANK-DFW (AS13767)	1
qdsystem.com	CSC (AS19574)	1
AMAZON-02	GOOGLE (AS15169)	27
cloudflare.com	Vietnam Posts and Telecommunications VNPT (AS7643)	1
cloudflare.com	GOOGLE-CLOUD-PLATFORM (AS396982)	37
SECURITYSERVICES	CSC (AS19574)	86
NSONE	AMAZON-02 (AS16509)	104
Host Europe GmbH	AMAZON-02 (AS16509)	183
ns.ly	GOOGLE-CLOUD-PLATFORM (AS396982)	14
NSONE	CLOUDFLARENET (AS13335)	2
websitewelcome.com	UNIFIEDLAYER-AS-1 (AS46606)	29
ns.ly	Alaan-for-Communications-and-Information (AS329297)	3
ns.ly	DIGITALOCEAN-ASN (AS14061)	14
awsdns-27.com	AMAZON-02 (AS16509)	1
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	14
alwaseetderna.ly	Libyan-Spider-for-IT-LTD (AS329263)	1
awsdns-02.com	AMAZON-02 (AS16509)	3
uaegalaxy.net	UNIFIEDLAYER-AS-1 (AS46606)	2
markmonitor.zone	AMAZON-02 (AS16509)	2
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	22
libyanspider.com	Hetzner Online GmbH (AS24940)	54
justgetthingsdone.com	DODW Holding B.V. (AS61029)	1
PRIVATESYSTEMS	PRIVATESYSTEMS (AS63410)	18
General Post and Telecommunication Company	General Post and Telecommunication Company (AS21003)	54
Akamai International B.V.	TDC Holding A/S (AS3292)	2
icona.ly	ICONA-AS (AS37566)	1
cloudflare.com	netcup GmbH (AS197540)	2
Safenames Ltd.	Safenames Ltd. (AS60819)	29
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	4
IONOS SE	united-domains GmbH (AS202108)	30
AMAZON-02	FORTRESSITX (AS25653)	70
cloudflare.com	Akamai Connected Cloud (AS63949)	2
easydns.com	EDNS (AS16686)	2
bridge.ly	Libyan-Spider-for-IT-LTD (AS329263)	3
nskorea.com	LG DACOM Corporation (AS3786)	1
netflix.net	AMAZON-02 (AS16509)	2
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	29
ns.ly	Libyan-Spider-for-IT-LTD (AS329263)	60
abdns.biz	Aruba S.p.A. (AS31034)	4
cloudflare.com	GO-DADDY-COM-LLC (AS398101)	1
ourfam.ly	OVH SAS (AS16276)	1
websitewelcome.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	21
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	34
libyanspider.net	Al-Madar-Al-Jadeed (AS328200)	3
CLOUDFLARENET	AMAZON-02 (AS16509)	201
markmonitor.com	CSC Administrative Services Limited (AS34922)	1
IS-AS-1	IS-AS-1 (AS19318)	18
CLOUDFLARENET	DREAMHOST-AS (AS26347)	25
Akamai International B.V.	NCUBE-OREGON-AS (AS1219)	1
co.za	Web-Africa-Networks-AS (AS328453)	3
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	40
register.it	Register S.p.A. (AS39729)	22
subhosting.net	HVC-AS (AS29802)	2
libyanspider.com	OVH SAS (AS16276)	5
x1.si	T-2, d.o.o. (AS34779)	1
thundercloud.uk	Awareness Software Limited (AS34931)	24
CLOUDFLARENET	Hostinger International Limited (AS47583)	88
nine.ch	Nine Internet Solutions AG (AS29691)	1
co.in	Web Werks India Pvt. Ltd. (AS133296)	1
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	9
netim.net	Eurofiber France SAS (AS24935)	24
CLOUDFLARENET	SQUARESPACE (AS53831)	4
is-fun.net	TelemaxX Telekommunikation GmbH (AS12843)	4
ns.ly	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
awsdns-15.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
AMAZON-02	Akamai Connected Cloud (AS63949)	2
GANDI SAS	GANDI SAS (AS29169)	45
directorysecure.com	HOSTROCKET (AS23535)	2
DIGICERT	GOOGLE-CLOUD-PLATFORM (AS396982)	2
libyanspider.com	SUCURI-SEC (AS30148)	5
giantpanda.com	Akamai Connected Cloud (AS63949)	1
ns.ly	WEEBLY (AS27647)	1
cloudflare.com	FLY (AS40509)	5
libyanspider.net	Hostkey B.v. (AS57043)	1
domeny.tv	Dataspace P.s.a. (AS50599)	3
libyanspider.com	General Post and Telecommunication Company (AS21003)	5
libyanspider.net	AS-DYNASCALE-LAX (AS7296)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	14
bawaaba.ly	Libyan-Spider-for-IT-LTD (AS329263)	1
openprovider.be	DIGITALOCEAN-ASN (AS14061)	1
ns.ly	UpCloud Ltd (AS202053)	11
libyanspider.net	AMAZON-02 (AS16509)	20
ramzi.ly	Libyan-Spider-for-IT-LTD (AS329263)	1
netim.net	OVH SAS (AS16276)	1
libyanspider.com	Libyan-Spider-for-IT-LTD (AS329263)	4
NUCDN	Team Internet AG (AS61969)	4
ui-dns.biz	SQUARESPACE (AS53831)	1
sedoparking.com	SEDO GmbH (AS47846)	46
awsdns-32.com	AMAZON-AES (AS14618)	1
ns.ly	FASTLY (AS54113)	26
ns.ly	AMAZON-02 (AS16509)	50
SUCURI-SEC	General Post and Telecommunication Company (AS21003)	1
AMAZON-02	GO-DADDY-COM-LLC (AS398787)	1
libyanspider.net	Aljeel-net (AS37284)	4
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	24
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	35
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	5
awsdns-55.org	AMAZON-AES (AS14618)	1
SECURITYSERVICES	SECURITYSERVICES (AS12008)	8
registrar-servers.com	AMAZON-AES (AS14618)	3
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	19
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	17
cloudflare.com	GOOGLE (AS15169)	6
awsdns-34.net	AMAZON-02 (AS16509)	1
libyanspider.com	AMAZON-02 (AS16509)	17
AMAZON-02	SUCURI-SEC (AS30148)	1
reg.ru	Yandex.Cloud LLC (AS200350)	1
awsdns-07.net	AMAZON-02 (AS16509)	1
tinyurl.com	HURRICANE (AS6939)	2
libyanspider.com	GOOGLE-CLOUD-PLATFORM (AS396982)	38
CLOUDFLARENET	INCAPSULA (AS19551)	44
libyanspider.net	SUCURI-SEC (AS30148)	23
banahosting.com	SERVERCENTRAL (AS23352)	2
alhram.ly	DATABANK-DFW (AS13767)	1
contabo.net	Contabo GmbH (AS51167)	20
GANDI SAS	FASTLY (AS54113)	1
libyanspider.com	AMAZON-AES (AS14618)	20
SECURITYSERVICES	VERISIGN-ILG1 (AS30060)	2
cloudflare.com	IP ServerOne Solutions Sdn Bhd (AS45352)	1
libyanspider.net	Contabo GmbH (AS51167)	7
NSONE	SOFTLAYER (AS36351)	5
cloudflare.com	COMCAST-7922 (AS7922)	2
awsdns-27.com	AMAZON-AES (AS14618)	1
awsdns-14.com	AMAZON-02 (AS16509)	2
co.uk	AMAZON-02 (AS16509)	15
AMAZON-02	OVH SAS (AS16276)	38
ns.ly	OVH SAS (AS16276)	4
name.ly	Hetzner Online GmbH (AS24940)	1
Akamai International B.V.	AMAZON-AES (AS14618)	1
AMAZON-02	A2HOSTING (AS55293)	12
first-ns.de	Hetzner Online GmbH (AS24940)	1
ns.ly	General Post and Telecommunication Company (AS21003)	9
CLOUDFLARENET	AMAZON-AES (AS14618)	10
web-solutions.dk	Akamai Connected Cloud (AS63949)	1
bitmex.network	AMAZON-02 (AS16509)	1
aftermarket.com	AMAZON-02 (AS16509)	3
1984.is	Akamai Connected Cloud (AS63949)	1
squiz.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
qnetau.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
python1.com	NAMECHEAP-NET (AS22612)	1
NUCDN	AS INFONET (AS8728)	2
ipcom GmbH	AMAZON-02 (AS16509)	17
dns1.de	Key-Systems GmbH (AS13246)	2
dnsimple.com	AMAZON-02 (AS16509)	6
Signet B.V.	Signet B.V. (AS20857)	18
hosting.de	Hosting.de GmbH (AS12574)	4
amanainsurance.ly	Hetzner Online GmbH (AS24940)	1
cloudflare.com	Hetzner Online GmbH (AS24940)	25
yahoo.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
SEDO GmbH	SEDO GmbH (AS47846)	11
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	18
runpay.com	Tunisie-Telecom (AS327934)	3
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	22
awsdns-05.net	AMAZON-02 (AS16509)	3
almadinamisurata.ly	SUCURI-SEC (AS30148)	1
eolas.fr	FASTLY (AS54113)	1
awsdns-07.com	AMAZON-AES (AS14618)	1
ns.ly	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	6
awsdns-13.net	AMAZON-02 (AS16509)	2
alidns.com	Leaseweb Deutschland GmbH (AS28753)	1
SECURITYSERVICES	AMAZON-02 (AS16509)	2
SECURITYSERVICES	COGECO-PEER1 (AS13768)	1
globvill.de	Global Village GmbH (AS13039)	1
PRIVATESYSTEMS	AMAZON-02 (AS16509)	1
ns.ly	Zetta Hosting Solutions LLC. (AS44476)	2
lysecure.com	Hetzner Online GmbH (AS24940)	3
magpiedns.com	NForce Entertainment B.V. (AS43350)	1
cloudflare.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	4
cloudflare.com	Libyan-Spider-for-IT-LTD (AS329263)	14
dnspro.pt	NForce Entertainment B.V. (AS43350)	1
AMAZON-02	WHG Hosting Services Ltd (AS209341)	14
ns.ly	Hetzner Online GmbH (AS24940)	84
checkdomain.de	AMAZON-02 (AS16509)	1
domainers.de	AMAZON-02 (AS16509)	1
libyanspider.com	DIGITALOCEAN-ASN (AS14061)	3
IONOS SE	Combell NV (AS34762)	1
libyanspider.net	FASTLY (AS54113)	2
geant.ly	Libyan-Spider-for-IT-LTD (AS329263)	1
GOOGLE	AMAZON-02 (AS16509)	3
awsdns-36.com	AMAZON-AES (AS14618)	1
libyanspider.net	General Post and Telecommunication Company (AS21003)	5
awsdns-22.org	FASTLY (AS54113)	2
Akamai International B.V.	CSC (AS19574)	2
