cloudflare.com	CLOUDFLARENET (AS13335)	4514
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	127
SOFTLAYER	SOFTLAYER (AS36351)	8797
OVH SAS	OVH SAS (AS16276)	1892
SOFTLAYER	OVH SAS (AS16276)	405
capconnect.com	GOOGLE (AS15169)	304
adk-media.com	IWEB-AS (AS32613)	1341
COGENT-174	COGENT-174 (AS174)	10
DIGITALOCEAN-ASN	AS-VULTR (AS20473)	5
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	840
DIGITALOCEAN-ASN	Hetzner Online GmbH (AS24940)	2769
PRIVATESYSTEMS	PRIVATESYSTEMS (AS63410)	143
CLOUDFLARENET	AMAZON-02 (AS16509)	224
is-fun.net	TelemaxX Telekommunikation GmbH (AS12843)	14
mydomain.com	BIZLAND-SD (AS29873)	1
capconnect.com	Hetzner Online GmbH (AS24940)	1579
NSONE	AMAZON-02 (AS16509)	380
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	214
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	52
capconnect.com	CLOUDFLARENET (AS13335)	590
GANDI SAS	GANDI SAS (AS29169)	320
geniousdns.com	GTCOMM (AS36666)	568
obambu.com	Hetzner Online GmbH (AS24940)	23
CLOUDFLARENET	Hostinger International Limited (AS47583)	4406
geniousdns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	16
IONOS SE	IONOS SE (AS8560)	138
GTCOMM	Hostinger International Limited (AS47583)	5
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	987
Itissalat Al-MAGHRIB	Itissalat Al-MAGHRIB (AS6713)	105
SOFTLAYER	CLOUDFLARENET (AS13335)	199
geniousdns.com	Aruba SAS (AS199653)	1
cloudflare.com	Hostinger International Limited (AS47583)	54
O2switch SAS	O2switch SAS (AS50474)	709
thundercloud.uk	OVH SAS (AS16276)	1
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	201
geniousdns.com	OVH SAS (AS16276)	235
PLANETHOSTER-8	PLANETHOSTER-8 (AS53589)	341
cloudflare.com	AS-VULTR (AS20473)	20
DIGITALOCEAN-ASN	Contabo GmbH (AS51167)	52
koutoubiaholding.com	GTCOMM (AS36666)	3
dns-control.net	OVH SAS (AS16276)	396
mtds.com	MTDS-AS (AS36941)	167
AMAZON-AES	AMAZON-AES (AS14618)	33
DIGITALOCEAN-ASN	AMAZON-02 (AS16509)	178
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	144
dns-control.net	UAB Interneto vizija (AS212531)	1
MAROCCONNECT	OVH SAS (AS16276)	28
SECURITYSERVICES	CSC (AS19574)	436
geniousdns.com	AMAZON-02 (AS16509)	145
cloudflare.com	SpectraIP B.V. (AS62068)	1
geniousdns.com	CLOUDFLARENET (AS13335)	330
GOOGLE	Wix.com Ltd. (AS58182)	295
infomaniak.com	Infomaniak Network SA (AS29222)	60
Itissalat Al-MAGHRIB	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	29
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	20
NAMEHERO-KCDC	NAMEHERO-KCDC (AS399250)	43
GTCOMM	GTCOMM (AS36666)	2040
Host Europe GmbH	AMAZON-02 (AS16509)	368
DIGITALOCEAN-ASN	CLOUDFLARENET (AS13335)	616
AMAZON-02	WHG Hosting Services Ltd (AS51713)	54
DIGITALOCEAN-ASN	IONOS SE (AS8560)	15
ultimehost.com	Scaleway S.a.s. (AS12876)	49
hostns.io	Enix Ltd (AS52148)	76
ultahost.com	Ultahost, Inc. (AS214036)	2
cloudflare.com	NAMECHEAP-NET (AS22612)	27
Rackspace Ltd.	DIGITALOCEAN-ASN (AS14061)	1
chronopost.ma	Itissalat Al-MAGHRIB (AS6713)	1
geniousdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	39
SOFTLAYER	Infomaniak Network SA (AS29222)	22
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	1136
SOFTLAYER	Hetzner Online GmbH (AS24940)	30
markmonitor.com	AMAZON-02 (AS16509)	159
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	13
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	65
net.ma	ASMedi (AS36925)	11
ammc.ma	Itissalat Al-MAGHRIB (AS6713)	1
dns-control.net	Groupe LWS SARL (AS210403)	17
DIGITALOCEAN-ASN	Hostinger International Limited (AS47583)	52
AMAZON-02	SINGLEHOP-LLC (AS32475)	36
SOFTLAYER	Awareness Software Limited (AS34931)	3
MICROSOFT-CORP-MSN-AS-BLOCK	SOFTLAYER (AS36351)	8
SOFTLAYER	AS-VULTR (AS20473)	16
geniousdns.com	RENDER (AS397273)	5
cloudflare.com	OVH SAS (AS16276)	149
webhs.org	Comercio e Prestacao de Servicos Informaticos, Lda (AS59787)	1
PONYNET	PONYNET (AS53667)	12
francedns.com	Hetzner Online GmbH (AS24940)	3
geniousdns.com	SQUARESPACE (AS53831)	12
MAROCCONNECT	DIGITALOCEAN-ASN (AS14061)	4
parktons.com	Gransy s.r.o. (AS60592)	3
cloudflare.com	AMAZON-02 (AS16509)	155
centralauto.ma	OVH SAS (AS16276)	1
OVH SAS	CLOUDFLARENET (AS13335)	53
awsdns-20.org	AMAZON-02 (AS16509)	3
dns-control.net	CLOUDFLARENET (AS13335)	76
