max.md	AMAZON-AES (AS14618)	43
It Concept Srl	It Concept Srl (AS44388)	920
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	139
CLOUDFLARENET	Hostinger International Limited (AS47583)	327
MivoCloud SRL	MivoCloud SRL (AS39798)	110
CLOUDFLARENET	CLOUDFLARENET (AS13335)	1756
Information Technology and Cyber Security Service	Information Technology and Cyber Security Service (AS28990)	636
directmdemail.com	AMAZON-AES (AS14618)	78
HURRICANE	GRIDFURY-AS (AS40630)	1
Information Technology and Cyber Security Service	Inovare-Prim SRL (AS60602)	20
GOOGLE	MivoCloud SRL (AS39798)	1
StarNet Solutii SRL	StarNet Solutii SRL (AS31252)	58
reg.ru	Domain names registrar REG.RU, Ltd (AS197695)	44
CLOUDFLARENET	StarNet Solutii SRL (AS31252)	20
Information Technology and Cyber Security Service	Ddos-guard Ltd (AS57724)	60
ipcom GmbH	AMAZON-02 (AS16509)	35
neovita.md	Information Technology and Cyber Security Service (AS28990)	1
Inovare-Prim SRL	Ddos-guard Ltd (AS57724)	9
GOOGLE	It Concept Srl (AS44388)	2
AMAZON-02	GOOGLE (AS15169)	40
Information Technology and Cyber Security Service	Hetzner Online GmbH (AS24940)	38
vigbo.site	Hetzner Online GmbH (AS24940)	18
awsdns-01.org	DIGITALOCEAN-ASN (AS14061)	1
CLOUDFLARENET	Ddos-guard Ltd (AS57724)	153
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	3
IM Level 7 SRL	IM Level 7 SRL (AS43588)	239
Arax-Impex s.r.l.	Arax-Impex s.r.l. (AS15836)	14
netim.net	Eurofiber France SAS (AS24935)	144
Inovare-Prim SRL	Inovare-Prim SRL (AS60602)	796
Strato GmbH	Strato GmbH (AS6724)	5
Information Technology and Cyber Security Service	OVH SAS (AS16276)	43
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	28
Host Europe GmbH	AMAZON-02 (AS16509)	85
second-ns.com	Hetzner Online GmbH (AS24940)	33
mirohost.net	Internet Invest, Ltd. (AS25393)	6
CLOUDFLARENET	Foxcloud Communications Srl (AS209482)	24
SECURITYSERVICES	CSC (AS19574)	126
digicertdns.com	Akamai Connected Cloud (AS63949)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	176
CLOUDFLARENET	INCAPSULA (AS19551)	86
x10premium.com	SINGLEHOP-LLC (AS32475)	1
Foxcloud Llp	Foxcloud Llp (AS200904)	22
fozzy.com	Webzilla B.V. (AS35415)	36
co.uk	OVH SAS (AS16276)	2
awsdns-12.org	AMAZON-02 (AS16509)	1
register.it	Aruba S.p.A. (AS31034)	2
Information Technology and Cyber Security Service	Servers Tech Fzco (AS216071)	1
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	39
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	20
datahost.md	Datahost SRL (AS62071)	14
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	164
host-age.ro	My Server Media Srl (AS31244)	2
AMAZON-02	OVH SAS (AS16276)	30
Information Technology and Cyber Security Service	It Concept Srl (AS44388)	15
Information Technology and Cyber Security Service	Information Technology and Cyber Security Service (AS39279)	52
Information Technology and Cyber Security Service	StarNet Solutii SRL (AS31252)	14
awsdns-16.com	AMAZON-AES (AS14618)	1
CLOUDFLARENET	GMO Internet Group, Inc. (AS58791)	2
GANDI SAS	GANDI SAS (AS29169)	68
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	10
frigo.md	DANIS SRL (AS43870)	1
Host Europe GmbH	CLOUDFLARENET (AS13335)	1
ROMARG SRL	ROMARG SRL (AS205275)	156
markmonitor.zone	AMAZON-02 (AS16509)	9
igordobinda.com	OVH SAS (AS16276)	2
netim.net	Telia Lietuva, AB (AS43811)	2
netim.net	GOOGLE (AS15169)	8
sedoparking.com	SEDO GmbH (AS47846)	146
AMAZON-02	Team Internet AG (AS61969)	60
awsdns-22.org	AMAZON-02 (AS16509)	2
kvint.md	INTERDNESTRKOM, Sovmestnoe Zakrytoe Aktsionernoe Obshchestvo (AS1547)	1
MICROSOFT-CORP-MSN-AS-BLOCK	GO-DADDY-COM-LLC (AS398101)	1
NSONE	AMAZON-02 (AS16509)	139
markmonitor.com	AMAZON-02 (AS16509)	103
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	52
CLOUDFLARENET	Arax-Impex s.r.l. (AS15836)	2
wolverinedns.com	ASACENET1 (AS22878)	1
CLOUDFLARENET	AMAZON-AES (AS14618)	21
GOOGLE	Wix.com Ltd. (AS58182)	113
senzor.md	Information Technology and Cyber Security Service (AS28990)	1
cscudns.com	Austrian Airlines AG (AS44594)	2
cyberfolks.ro	Cyber_Folks SRL (AS44043)	19
Hetzner Online GmbH	Inovare-Prim SRL (AS60602)	18
ns14.net	PlusServer GmbH (AS61157)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	19
Webhost LLC	Webhost LLC (AS44094)	53
Information Technology and Cyber Security Service	Orange Moldova S.A. (AS25454)	10
Safenames Ltd.	Safenames Ltd. (AS60819)	39
ns14.net	MARCANT AG (AS15726)	1
Pq Hosting Plus S.r.l.	Pq Hosting Plus S.r.l. (AS44477)	6
okens.domains	Team Internet AG (AS61969)	2
web-solutions.dk	Sentia Denmark A/S (AS47292)	2
nmk.md	Information Technology and Cyber Security Service (AS28990)	1
CLOUDFLARENET	Moldtelecom SA (AS8926)	17
mteam-ssc.com	Upnet IT SRL (AS202822)	1
Hetzner Online GmbH	Contabo GmbH (AS51167)	18
123ns.de	'ingenit GmbH & Co. KG' (AS57376)	4
euroweb.ro	Euroweb Romania S.R.L. (AS6663)	1
cerzal.space	DIGITALOCEAN-ASN (AS14061)	2
kasserver.com	Neue Medien Muennich GmbH (AS34788)	3
CLOUDFLARENET	Inovare-Prim SRL (AS60602)	28
securepod.com	Easyhost Srl (AS39756)	1
w2kzx80.net	Hetzner Online GmbH (AS24940)	1
SCAAM0001	Host Europe GmbH (AS8972)	2
MICROSOFT-CORP-MSN-AS-BLOCK	GIONA (AS22838)	1
Information Technology and Cyber Security Service	AMAZON-02 (AS16509)	39
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	122
CLOUDFLARENET	Information Technology and Cyber Security Service (AS39279)	6
Alexhost Srl	Alexhost Srl (AS200019)	42
hostland.ru	Hostland LTD (AS62082)	7
Information Technology and Cyber Security Service	Host Europe GmbH (AS21499)	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	5
Host Europe GmbH	Simpals SRL (AS51954)	76
Information Technology and Cyber Security Service	GTT Communications Inc. (AS3257)	2
MICROSOFT-CORP-MSN-AS-BLOCK	GOOGLE-CLOUD-PLATFORM (AS396982)	2
kenwood.md	Orange Moldova S.A. (AS25454)	1
It Concept Srl	Cloudflare London, LLC (AS209242)	1
