CLOUDFLARENET	CLOUDFLARENET (AS13335)	71386
GANDI SAS	GANDI SAS (AS29169)	3354
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	31399
Host Europe GmbH	AMAZON-02 (AS16509)	151549
GMO Internet Group, Inc.	GOOGLE-CLOUD-PLATFORM (AS396982)	43
GMO Internet Group, Inc.	CLOUDFLARENET (AS13335)	18
nameshield.net	Nameshield SAS (AS20756)	103
GOOGLE	GOOGLE (AS15169)	505
AMAZON-02	Akamai Connected Cloud (AS63949)	763
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	7801
CLOUDFLARENET	Hostinger International Limited (AS47583)	13745
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	1772
NSONE	SOFTLAYER (AS36351)	989
NSONE	SQUARESPACE (AS53831)	11675
OVH SAS	OVH SAS (AS16276)	7296
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	446
second-ns.com	Hetzner Online GmbH (AS24940)	523
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	6094
BIZLAND-SD	BIZLAND-SD (AS29873)	1597
ne.jp	SAKURA Internet Inc. (AS9371)	301
SECURITYSERVICES	FASTLY (AS54113)	8287
CLOUDFLARENET	POWER LINE DATACENTER (AS132839)	55
AUTOMATTIC	AUTOMATTIC (AS2635)	4491
SEDO GmbH	SEDO GmbH (AS47846)	979
NSONE	SEDO GmbH (AS47846)	1893
One.com A/S	One.com A/S (AS51468)	15
dns.com	GNET INC. (AS9294)	128
NSONE	GOOGLE-CLOUD-PLATFORM (AS396982)	1136
CLOUDFLARENET	AMAZON-02 (AS16509)	25337
nic.ru	Jsc ru-center (AS48287)	528
AMAZON-02	AMAZON-02 (AS16509)	6212
CLOUDFLARENET	SQUARESPACE (AS53831)	283
SECURITYSERVICES	AMAZON-02 (AS16509)	4400
Hostinger International Limited	Hostinger International Limited (AS47583)	693
IONOS SE	IONOS SE (AS8560)	14438
CONFLUENCE-NETWORK-INC	CONFLUENCE-NETWORK-INC (AS40034)	67
CLOUDFLARENET	GNET INC. (AS9294)	59
Signet B.V.	Signet B.V. (AS20857)	602
ACTIVE 24, s.r.o.	FASTLY (AS54113)	2
managed-vps.net	Telehouse EAD (AS57344)	10
linode.com	Akamai Connected Cloud (AS63949)	551
CLOUDFLARENET	Nos Comunicacoes, S.A. (AS2860)	7
NSONE	AMAZON-02 (AS16509)	6061
CLOUDFLARENET	EGIHOSTING (AS18779)	10
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	1920
CLOUDFLARENET	AROSS-AS (AS400619)	201
GOOGLE	Wix.com Ltd. (AS58182)	6225
CLOUDFLARENET	Signet B.V. (AS20857)	26
one.com	One.com A/S (AS51468)	1775
CLOUDFLARENET	CNSERVERS (AS40065)	263
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	328
ipcom GmbH	AMAZON-02 (AS16509)	421
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	2910
IS-AS-1	IS-AS-1 (AS19318)	170
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	1898
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	365
AMAZON-02	OVH SAS (AS16276)	781
xundns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	236
ACTIVE 24, s.r.o.	WebSupport s.r.o. (AS51013)	323
hover.com	TUCOWS (AS15348)	5833
SECURITYSERVICES	GITHUB (AS36459)	352
AMAZON-AES	AMAZON-AES (AS14618)	1398
IONOS SE	united-domains GmbH (AS202108)	1871
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	561
hover.com	FASTLY (AS54113)	216
3ds.com	AMAZON-02 (AS16509)	12
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	2487
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	1170
AMAZON-02	AMAZON-AES (AS14618)	957
renewyourname.net	AMAZON-02 (AS16509)	674
SECURITYSERVICES	FRONTIER-FRTR (AS5650)	17
hostvirtual.com	NETACTUATE (AS36236)	6
codero.com	JOESD-18501 (AS18501)	7
CLOUDFLARENET	Data Communication Business Group (AS3462)	39
CLOUDFLARENET	Fastmail Pty Ltd (AS151847)	990
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	2159
Host Europe GmbH	Akamai Connected Cloud (AS63949)	292
GOOGLE	SQUARESPACE (AS53831)	8747
Dreamscape Networks Limited	Dreamscape Networks Limited (AS38719)	778
GOOGLE	AS-26496-GO-DADDY-COM-LLC (AS26496)	283
SECURITYSERVICES	IONOS SE (AS8560)	45
sedoparking.com	SEDO GmbH (AS47846)	2832
rzone.de	Strato GmbH (AS6724)	4516
CLOUDFLARENET	FLY (AS40509)	76
CLOUDFLARENET	SMILESERV (AS38700)	60
Domain names registrar REG.RU, Ltd	Domain names registrar REG.RU, Ltd (AS197695)	382
Akamai Connected Cloud	Hetzner Online GmbH (AS24940)	13
CLOUDFLARENET	NForce Entertainment B.V. (AS43350)	1715
Cloud DNS Ltd	DIGITALOCEAN-ASN (AS14061)	10
lcn.com	Team Blue Internet Services Uk Limited (AS8622)	309
projectachilles.io	DIGITALOCEAN-ASN (AS14061)	1
Host Europe GmbH	OPENFACE (AS11478)	1
GOOGLE	AMAZON-02 (AS16509)	1106
ipcom GmbH	Metaregistrar B.V. (AS42585)	552
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	755
