netim.net	Eurofiber France SAS (AS24935)	12
Telecom-Malagasy	Groupe LWS SARL (AS210403)	1
servermada.com	Hosteur SAS (AS204818)	98
GANDI SAS	OVH SAS (AS16276)	2
OVH SAS	Contabo GmbH (AS51167)	4
markmonitor.com	AMAZON-02 (AS16509)	37
PONYNET	PONYNET (AS53667)	9
Hydra Communications Ltd	Enix Ltd (AS52148)	197
dnshostnetwork.com	UK Dedicated Servers Limited (AS42831)	242
sahamdns.net	GTCOMM (AS36666)	1
nameshield.net	Nameshield SAS (AS20756)	7
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	185
CLOUDFLARENET	OVH SAS (AS16276)	65
sedoparking.com	SEDO GmbH (AS47846)	9
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	4
123ns.de	'ingenit GmbH & Co. KG' (AS57376)	2
perf1.com	Nameshield SAS (AS20756)	21
PLANETHOSTER-8	PLANETHOSTER-8 (AS53589)	40
apple.com	APPLE-ENGINEERING (AS714)	1
wigo.mg	OVH SAS (AS16276)	1
Hydra Communications Ltd	Hydra Communications Ltd (AS25369)	18
CLOUDFLARENET	A2HOSTING (AS55293)	7
justhost.com	UNIFIEDLAYER-AS-1 (AS46606)	2
OVH SAS	OVH SAS (AS16276)	158
NSONE	GOOGLE (AS15169)	3
verifiedlawfirms.com	IS-AS-1 (AS19318)	2
AMAZON-02	AMAZON-AES (AS14618)	1
servermada.com	Hosteur SA (AS207758)	29
GANDI SAS	GANDI SAS (AS29169)	115
inwx.es	InterNetworX Management GmbH (AS48596)	1
Akamai International B.V.	CSC (AS19574)	2
O2switch SAS	O2switch SAS (AS50474)	91
GOOGLE	Wix.com Ltd. (AS58182)	9
cloudns.io	AMAZON-02 (AS16509)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	26
SECURITYSERVICES	CSC (AS19574)	38
dnshostnetwork.com	OVH SAS (AS16276)	4
CLOUDFLARENET	Hostinger International Limited (AS47583)	44
Telecom-Malagasy	Scaleway S.a.s. (AS12876)	1
servermada.com	ORACLE-BMC-31898 (AS31898)	2
CLOUDFLARENET	CLOUDFLARENET (AS13335)	174
servermada.com	Contabo GmbH (AS51167)	22
NUCDN	Datacenter Luxembourg S.A. (AS24611)	9
Telecom-Malagasy	OVH SAS (AS16276)	10
IONOS SE	united-domains GmbH (AS202108)	20
tambazotra.net	Telecom-Malagasy (AS37054)	3
com.br	OVH SAS (AS16276)	1
2cohost.com	IS-AS-1 (AS19318)	3
intellectualreserveinc.org	LDSCHURCH1 (AS19648)	1
COGENT-174	COGENT-174 (AS174)	42
markmonitor.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
NSONE	AMAZON-02 (AS16509)	11
Telecom-Malagasy	Telecom-Malagasy (AS37054)	48
afternic.com	AMAZON-02 (AS16509)	1
COGENT-174	NL-811-40021 (AS40021)	1
Telecom-Malagasy	Societe Francaise Du Radiotelephone - SFR SA (AS15557)	1
OVH SAS	AMAZON-02 (AS16509)	1
AMAZON-02	OVH SAS (AS16276)	17
wordpress.com	AUTOMATTIC (AS2635)	3
simafri.com	Layershift Limited (AS205072)	1
netim.net	Contabo GmbH (AS51167)	1
registrar-servers.com	Cloudflare London, LLC (AS209242)	1
safebrands.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
tanalahy-tech.com	Ikoula Net SAS (AS21409)	1
Telecom-Malagasy	SQUARESPACE (AS53831)	1
CLOUDFLARENET	COGENT-174 (AS174)	3
chrysler.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
ultradns.biz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
AMAZON-02	FORTRESSITX (AS25653)	17
MICROSOFT-CORP-MSN-AS-BLOCK	Mittwald CM Service GmbH & Co. KG (AS15817)	1
ipcom GmbH	AMAZON-02 (AS16509)	10
resolutehost.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
SECURITYSERVICES	Telia Company AB (AS3301)	1
CLOUDFLARENET	INCAPSULA (AS19551)	19
Groupe LWS SARL	Groupe LWS SARL (AS210403)	11
monikerdns.net	AMAZON-02 (AS16509)	1
O2switch SAS	OVH SAS (AS16276)	2
awsdns-24.com	SUCURI-SEC (AS30148)	1
groupedecant.mg	Contabo GmbH (AS51167)	1
Telecom-Malagasy	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
tambazotra.net	Gulfsat-Madagascar-AS (AS328411)	11
CLOUDFLARENET	Infomaniak Network SA (AS29222)	6
main-hosting.eu	Hostinger International Limited (AS47583)	2
CLOUDFLARENET	Hostkey B.v. (AS50867)	5
Telecom-Malagasy	O2switch SAS (AS50474)	6
ns26.de	Pixel X e.K. (AS60380)	5
NUCDN	Koninklijke Luchtvaart Maatschappij N.V. (AS28806)	1
CLOUDFLARENET	Enix Ltd (AS52148)	2
O2switch SAS	CLOUDFLARENET (AS13335)	12
MICROSOFT-CORP-MSN-AS-BLOCK	COGENT-174 (AS174)	2
Orange Madagascar	Orange Madagascar (AS37037)	1
ip-178-33-237.eu	OVH SAS (AS16276)	4
Akamai International B.V.	NCUBE-OREGON-AS (AS1219)	1
dnshostnetwork.com	Groupe LWS SARL (AS210403)	2
O2switch SAS	GOOGLE-2 (AS19527)	3
perf1.com	COGECO-PEER1 (AS13768)	1
reg.ru	Domain names registrar REG.RU, Ltd (AS197695)	2
dnsbox50.com	Contabo GmbH (AS51167)	2
luadns.net	FASTLY (AS54113)	1
dnshostnetwork.com	O2switch SAS (AS50474)	2
Telecom-Malagasy	Enix Ltd (AS52148)	1
ip-162-19-83.eu	OVH SAS (AS16276)	1
Telecom-Malagasy	AMAZON-02 (AS16509)	9
awsdns-04.com	AMAZON-02 (AS16509)	2
astek.mu	MauritiusTelecom (AS23889)	1
odoo.com	OVH SAS (AS16276)	1
samsdesign.mg	Contabo GmbH (AS51167)	4
cloudpit.com	dogado GmbH (AS8648)	1
proxgroup.fr	Serverd SAS (AS62000)	1
unknown	CLOUDFLARENET (AS13335)	1
freeit.org	Hetzner Online GmbH (AS24940)	1
GANDI SAS	Reunicable (AS37002)	1
Akamai International B.V.	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
inmotionhosting.com	INMOTION (AS22611)	1
cloudns.io	Enix Ltd (AS52148)	23
bluehost.com	UNIFIEDLAYER-AS-1 (AS46606)	2
cloudns.net	Hetzner Online GmbH (AS24940)	3
SkyExchange Internet Access	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	1
awsdns-13.com	AMAZON-02 (AS16509)	2
genesys informatica srl	genesys informatica srl (AS24994)	2
Telecom-Malagasy	Infomaniak Network SA (AS29222)	3
DIGITALOCEAN-ASN	DIGITALOCEAN-ASN (AS14061)	5
GANDI SAS	MICROSOFT-CORP-MSN-AS-BLOCK (AS8069)	1
contabo.net	Contabo GmbH (AS51167)	15
G-Core Labs S.A.	DXTL Tseung Kwan O Service (AS134548)	6
OVH SAS	Gulfsat-Madagascar-AS (AS328411)	2
CLOUDFLARENET	INTERNAP-BLOCK-4 (AS14744)	1
IONOS SE	Pixel X e.K. (AS60380)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	5
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	8
Infomaniak Network SA	NETWORK-SOLUTIONS-HOSTING (AS19871)	5
tahztech.net	Contabo GmbH (AS51167)	1
HURRICANE	Groupe LWS SARL (AS210403)	1
DIGICERT	Orange Madagascar (AS37037)	1
ultradns.biz	SECURITYSERVICES (AS12008)	1
meganameservers.eu	CSC Administrative Services Limited (AS34922)	1
ipage.com	BIZLAND-SD (AS29873)	2
kv-gmbh.de	Hetzner Online GmbH (AS24940)	2
Layershift Limited	Layershift Limited (AS205072)	5
NETWORK-SOLUTIONS-HOSTING	Infomaniak Network SA (AS29222)	1
genesys informatica srl	Server Plan S.r.l. (AS52030)	1
NordNet SA	O2switch SAS (AS50474)	1
registrationsdirect.com	UNIFIEDLAYER-AS-1 (AS46606)	1
afraid.org	Infomaniak Network SA (AS29222)	1
CLOUDFLARENET	Domain names registrar REG.RU, Ltd (AS197695)	1
dnshostnetwork.com	Telecom-Malagasy (AS37054)	2
CLOUDFLARENET	Hydra Communications Ltd (AS25369)	3
co.mg	IONOS SE (AS8560)	1
servermada.com	OVH SAS (AS16276)	4
tambazotra.net	Contabo GmbH (AS51167)	2
GANDI SAS	Alphalink SASU (AS25540)	1
Telecom-Malagasy	Hosteur SAS (AS204818)	1
OVH SAS	Wix.com Ltd. (AS58182)	2
audi.de	Audi AG (AS12331)	1
hertz.com	Telecom-Malagasy (AS37054)	1
Infomaniak Network SA	Infomaniak Network SA (AS29222)	7
thewebsquare.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
Alwaysdata Sarl	OVH SAS (AS16276)	3
dns1.de	Key-Systems GmbH (AS13246)	2
tambazotra.net	OVH SAS (AS16276)	5
facebook.com	FACEBOOK (AS32934)	2
Telecom-Malagasy	Hostinger International Limited (AS47583)	2
secureserver.net	GO-DADDY-COM-LLC (AS398101)	1
iptwins.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
telma.mg	Telecom-Malagasy (AS37054)	2
OVH SAS	Free SAS (AS12322)	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
G-Core Labs S.A.	CTG Server Limited (AS152194)	1
da.direct	Enix Ltd (AS52148)	3
reko.mg	Hostinger International Limited (AS47583)	1
serveriai.lt	UAB Interneto vizija (AS212531)	1
siete.mg	Gulfsat-Madagascar-AS (AS328411)	1
co.za	Web-Africa-Networks-AS (AS328453)	1
PLANETHOSTER-8	Server Plan S.r.l. (AS52030)	1
ordipat.fr	Hetzner Online GmbH (AS24940)	1
OVH SAS	Hostinger International Limited (AS47583)	3
tambazotra.net	O2switch SAS (AS50474)	2
co.mg	COGENT-174 (AS174)	6
markmonitor.zone	AMAZON-02 (AS16509)	4
totalenergies.biz	CLOUDFLARENET (AS13335)	1
freehostia.com	LIQUIDNETLTD1 (AS14555)	2
safebrands.com	AGORA CALYCE SpAS (AS47833)	1
ifastnet.com	Wildcard UK Limited (AS34119)	3
beget.com	Beget LLC (AS198610)	1
Hydra Communications Ltd	Contabo GmbH (AS51167)	1
lws-hosting.com	Groupe LWS SARL (AS210403)	3
Telecom-Malagasy	Contabo GmbH (AS51167)	4
bosch.de	Robert Bosch Gesellschaft mit Beschraenkter Haftung (AS9183)	3
vivawebhost.com	Telehouse EAD (AS57344)	3
univ-antananarivo.mg	iRENALA-AS (AS37608)	1
hostpoint.ch	UAB Interneto vizija (AS212531)	1
CLOUDFLARENET	Telecom-Malagasy (AS37054)	6
noc40.com	Binary Racks Limited (AS59895)	1
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	5
OVH SAS	Telecom-Malagasy (AS37054)	6
servermada.com	AMAZON-02 (AS16509)	3
1984.is	OVH SAS (AS16276)	1
servermada.com	Cloudflare London, LLC (AS209242)	2
NordNet SA	PLANETHOSTER-8 (AS53589)	1
GANDI SAS	Fca Information Technology, Excellence And Methods S.p.A. (AS12734)	2
co.uk	AMAZON-02 (AS16509)	5
italents.mg	Hostinger International Limited (AS47583)	1
ovh.ca	Contabo GmbH (AS51167)	1
isa.mg	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	TrueFullstaq B.V. (AS15703)	1
