Host Europe GmbH	AMAZON-02 (AS16509)	3845
markmonitor.com	AMAZON-02 (AS16509)	80
Cloud DNS Ltd	DIGITALOCEAN-ASN (AS14061)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	1629
perf1.com	Nameshield SAS (AS20756)	22
agetic.ml	IKATELNET (AS30985)	52
ipcom GmbH	Enflow B.V. (AS209626)	1
lws-hosting.net	Groupe LWS SARL (AS210403)	1
ipcom GmbH	Metaregistrar B.V. (AS42585)	150
hostnet.nl	One.com A/S (AS51468)	20
Signet B.V.	Signet B.V. (AS20857)	94
SECURITYSERVICES	CSC (AS19574)	70
francedns.com	Eurofiber France SAS (AS24935)	10
agetic.ml	Aeza International Ltd (AS210644)	1
sedoparking.com	SEDO GmbH (AS47846)	27
AMAZON-AES	AMAZON-AES (AS14618)	162
markmonitor.com	NCUBE-OREGON-AS (AS1219)	2
Signet B.V.	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	14
intermax.nl	Intermax Group B.V. (AS24586)	1
Hydra Communications Ltd	Enix Ltd (AS52148)	33
cloudflare.com	CLOUDFLARENET (AS13335)	296
netim.net	Eurofiber France SAS (AS24935)	83
GANDI SAS	GANDI SAS (AS29169)	87
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	11
ipcom GmbH	InterNetworX Management GmbH (AS48596)	21
infomaniak.ch	Infomaniak Network SA (AS29222)	3
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	33
Akamai International B.V.	Akamai International B.V. (AS20940)	8
emirates.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
co.uk	Hostinger International Limited (AS47583)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	49
ipcom GmbH	AMAZON-02 (AS16509)	25
cloudflare.com	Netsec Limited (AS45753)	1
MICROSOFT-CORP-MSN-AS-BLOCK	ANSYS (AS53465)	43
AMAZON-AES	AMAZON-02 (AS16509)	12
freenom.com	AMAZON-02 (AS16509)	2
inhostedns.com	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	INCAPSULA (AS19551)	39
Hetzner Online GmbH	Contabo GmbH (AS51167)	19
parktons.com	Gransy s.r.o. (AS60592)	3
awsdns-30.org	AMAZON-02 (AS16509)	1
