CLOUDFLARENET	CLOUDFLARENET (AS13335)	92
net.mm	Akamai Connected Cloud (AS63949)	4
net.mm	Myanmar Technology Gateway Co., Ltd (AS135149)	70
net.mm	DIGITALOCEAN-ASN (AS14061)	14
net.mm	LIQUIDNETLTD1 (AS14555)	7
joyoma.com	Contabo GmbH (AS51167)	1
net.mm	OVH SAS (AS16276)	4
net.mm	AS-26496-GO-DADDY-COM-LLC (AS26496)	2
net.mm	Global Technology Co., Ltd. (AS133524)	1
net.mm	NAMECHEAP-NET (AS22612)	2
CLOUDFLARENET	Hostinger International Limited (AS47583)	7
net.mm	Cloudflare London, LLC (AS209242)	2
markmonitor.com	AMAZON-02 (AS16509)	3
cscdns.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
vercel-dns.com	AMAZON-02 (AS16509)	1
net.mm	SQUARESPACE (AS53831)	1
site4now.net	Contabo Asia Private Limited (AS141995)	1
net.mm	AMAZON-02 (AS16509)	22
greengeeks.net	SINGLEHOP-LLC (AS32475)	1
net.mm	XIMBO Internet Limited (AS133322)	2
awsdns-48.com	SHOPEE SINGAPORE PRIVATE LIMITED (AS138341)	1
net.mm	A2HOSTING (AS55293)	3
CLOUDFLARENET	GMO-Z com NetDesign Holdings Co., Ltd. (AS135161)	2
com.mm	A2HOSTING (AS55293)	1
CLOUDFLARENET	A2HOSTING (AS55293)	2
cscdns.net	CSC (AS19574)	2
net.mm	Myanma Posts and Telecommunications (AS9988)	1
NSONE	GOOGLE (AS15169)	2
net.mm	Hetzner Online GmbH (AS24940)	8
org.mm	GMO-Z com NetDesign Holdings Co., Ltd. (AS135161)	1
net.mm	Dept. of Information Technology & Cyber Security (AS136465)	1
net.mm	453 Ladplacout Jorakhaebua (AS56067)	1
net.mm	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	7
net.mm	GOOGLE (AS15169)	10
net.mm	Golden TMH Telecom Co. Ltd (AS135307)	1
net.mm	PhoenixNAP (AS59210)	2
CLOUDFLARENET	MaxxB Fiber Internet (AS138166)	1
ev6.net	OVH SAS (AS16276)	2
CLOUDFLARENET	Myint & Associates Telecommunications Ltd (AS134976)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	7
webhostingpad.com	ASN-GIGENET (AS32181)	1
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	5
net.mm	Telecom International Myanmar Co., Ltd (AS136255)	4
net.mm	CSC (AS19574)	4
net.mm	Golden Myanmar Business Exchange Co. Ltd (AS150297)	1
net.mm	IS-AS-1 (AS19318)	2
webhostbox.net	UNIFIEDLAYER-AS-1 (AS46606)	2
digitalocean.com	DIGITALOCEAN-ASN (AS14061)	3
net.mm	NETWORK-SOLUTIONS-HOSTING (AS19871)	5
myanmars.info	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
SECURITYSERVICES	AMAZON-02 (AS16509)	1
net.mm	UNIFIEDLAYER-AS-1 (AS46606)	5
domainoo.fr	AMAZON-02 (AS16509)	1
net.mm	Global Transit Communications - Malaysia (AS24218)	1
siteground.net	GOOGLE (AS15169)	3
azure-dns.com	FASTLY (AS54113)	1
yangonhost.net	IPNG (AS38220)	1
net.mm	ORACLE-BMC-31898 (AS31898)	2
164.15	GOOGLE (AS15169)	1
iseencloud.com	Tier 4 Cloud Services (AS146943)	1
net.mm	Viettel Group (AS7552)	1
siteground.net	DIGITALOCEAN-ASN (AS14061)	1
alidns.com	HUAWEI CLOUDS (AS136907)	1
net.mm	HORIZON TELECOM INTERNATIONAL COMPANY LIMITED (AS132148)	1
net.mm	Yuan-Jhen Info., Co., Ltd (AS131149)	1
net.mm	Yatanarpon Teleport Company Limited (AS18399)	8
net.mm	Hostinger International Limited (AS47583)	3
net.mm	SOFTLAYER (AS36351)	2
net.mm	KDDI CORPORATION (AS2516)	1
net.mm	Dreamscape Networks Limited (AS38719)	2
cldy.com	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	1
qoxy.com	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	1
z.com	GMO-Z com NetDesign Holdings Co., Ltd. (AS135161)	1
net.mm	China Telecom Group (AS4812)	1
com.mm	PhoenixNAP (AS59210)	1
brandshelter.com	CLOUDFLARENET (AS13335)	1
net.mm	The Offices at Central World, 27th floor (AS45530)	2
net.mm	Alibaba US Technology Co., Ltd. (AS45102)	2
awsdns-01.org	AMAZON-02 (AS16509)	1
yangonbay.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
com.mm	Telecom International Myanmar Co., Ltd (AS136255)	1
net.mm	AMAZON-AES (AS14618)	3
mysecurecloudhost.com	WHG Hosting Services Ltd (AS36454)	1
ns14.net	InterNetX GmbH (AS15456)	1
trademarkarea.com	FPT Telecom Company (AS18403)	1
net.mm	GOOGLE-CLOUD-PLATFORM (AS396982)	2
cscdns.net	IPNG (AS38220)	1
net.mm	Myanmar Internet Exchange (AS137955)	2
ne.jp	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
net.mm	DISNEYONLINE-AS (AS8137)	1
net.mm	WHG Hosting Services Ltd (AS204800)	1
net.mm	GMO-Z com NetDesign Holdings Co., Ltd. (AS135161)	5
awsdns-38.com	FASTLY (AS54113)	1
com.mm	GMO-Z com NetDesign Holdings Co., Ltd. (AS135161)	1
cloudns.net	UpCloud Ltd (AS202053)	1
net.mm	Scania CV AB (AS202116)	1
net.mm	GO-DADDY-COM-LLC (AS398101)	1
nexloc.ro	Exim Host SRL (AS211611)	1
net.mm	Connect Gateway Company Limited (AS135433)	2
com.mm	AGB Communication Co.Ltd (AS134739)	1
awsdns-14.net	AMAZON-02 (AS16509)	1
net.mm	IOFLOOD (AS53755)	1
tmdcloud.asia	AS-VULTR (AS20473)	1
net.mm	CLOUDFLARENET (AS13335)	2
CLOUDFLARENET	Contabo Asia Private Limited (AS141995)	1
net.mm	FPT Telecom Company (AS18403)	1
main-hosting.eu	Hostinger International Limited (AS47583)	1
net.mm	IPNG (AS38220)	1
gandi.net	GANDI SAS (AS29169)	1
net.mm	ROGERS-COMMUNICATIONS (AS812)	1
ipage.com	BIZLAND-SD (AS29873)	1
com.mm	OVH SAS (AS16276)	1
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
hostmonster.com	Myanmar Technology Gateway Co., Ltd (AS135149)	1
net.mm	HOSTWINDS (AS54290)	1
net.mm	INCAPSULA (AS19551)	1
net.mm	Telehouse EAD (AS57344)	1
net.mm	OOREDOO MYANMAR (AS132167)	1
net.mm	AnyNet (AS149810)	1
net.mm	Seflow s.r.l. (AS49367)	1
netscriper.com	Exabytes Network Singapore Pte. Ltd. (AS38532)	1
websitewelcome.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
CLOUDFLARENET	IP ServerOne Solutions Sdn Bhd (AS45352)	1
websitehostserver.net	SINGLEHOP-LLC (AS32475)	1
awsdns-33.org	AMAZON-02 (AS16509)	1
a2hosting.com	A2HOSTING (AS55293)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	1
net.mm	Marga Global Telecom Limited (AS136474)	1
awsdns-12.org	AMAZON-02 (AS16509)	1
net.mm	BIZLAND-SD (AS29873)	1
web4umm.com	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
CLOUDFLARENET	NewMedia Express Pte Ltd (AS38001)	1
net.mm	PlusServer GmbH (AS61157)	1
NSONE	AMAZON-02 (AS16509)	1
dreamhost.com	DREAMHOST-AS (AS26347)	1
azure-dns.com	AMAZON-02 (AS16509)	1
net.mm	Myint & Associates Telecommunications Ltd (AS134976)	1
net.mm	Fca Information Technology, Excellence And Methods S.p.A. (AS24771)	1
net.mm	SPRAY-AS (AS26966)	1
CLOUDFLARENET	AS-VULTR (AS20473)	1
schindler.com	FASTLY (AS54113)	1
org.mm	GO-DADDY-COM-LLC (AS398101)	1
net.mm	UDomain Web Hosting Company Ltd (AS23881)	2
144.244	DIGITALOCEAN-ASN (AS14061)	1
awsdns-05.net	AMAZON-02 (AS16509)	1
kitemediagroup.com	PRIVATESYSTEMS (AS63410)	1
net.mm	Exa Bytes Network Sdn.Bhd. (AS46015)	1
