awsdns-27.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	1460
CLOUDFLARENET	AMAZON-02 (AS16509)	902
register.it	Register S.p.A. (AS39729)	13
CLOUDFLARENET	GNET Co.,Ltd Internet Service Provider Mongolia (AS24496)	63
GANDI SAS	GOOGLE-CLOUD-PLATFORM (AS396982)	1
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	47
CLOUDFLARENET	AMAZON-AES (AS14618)	40
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	485
CLOUDFLARENET	Contabo GmbH (AS51167)	33
CLOUDFLARENET	iTools JSC (AS63962)	805
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	8
CLOUDFLARENET	DREAMHOST-AS (AS26347)	43
awsdns-01.com	AMAZON-02 (AS16509)	3
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	634
credit-suisse.com	UBS Group AG (AS8729)	5
CLOUDFLARENET	National Data Center building (AS56301)	174
NSONE	FASTLY (AS54113)	7
MICROSOFT-CORP-MSN-AS-BLOCK	Telia Cygate Oy (AS51188)	1
GOOGLE	Wix.com Ltd. (AS58182)	121
CLOUDFLARENET	FASTLY (AS54113)	78
NSONE	AMAZON-02 (AS16509)	147
AMAZON-02	Team Internet AG (AS206834)	16
CLOUDFLARENET	PRMTC (AS25637)	1
CLOUDFLARENET	Magicnet LLC (AS45237)	1160
CLOUDFLARENET	GOOGLE (AS15169)	154
awsdns-12.org	AMAZON-02 (AS16509)	4
openprovider.be	Akamai Connected Cloud (AS63949)	1
CLOUDFLARENET	NAMECHEAP-NET (AS22612)	50
dnsexit.com	COMCAST-7922 (AS7922)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	235
SECURITYSERVICES	CSC (AS19574)	99
iwantmyname.net	AMAZON-02 (AS16509)	2
ui-dns.biz	IONOS SE (AS8560)	4
UNIFIEDLAYER-AS-1	RackCorp (AS56038)	1
iTools JSC	iTools JSC (AS63962)	195
Telehouse EAD	Telehouse EAD (AS57344)	8
CLOUDFLARENET	Wix.com Ltd. (AS58182)	46
CLOUDFLARENET	BIGCOMMERCE (AS399566)	1
apiname.com	Atak Domain Bilgi Teknolojileri A.S. (AS211401)	1
awsdns-30.com	AMAZON-02 (AS16509)	2
CLOUDFLARENET	OVH SAS (AS16276)	8
GANDI SAS	GANDI SAS (AS29169)	60
Domain names registrar REG.RU, Ltd	Domain names registrar REG.RU, Ltd (AS197695)	13
mobinet.mn	DIGITALOCEAN-ASN (AS14061)	1
netim.net	Eurofiber France SAS (AS24935)	41
markmonitor.com	AMAZON-02 (AS16509)	107
CLOUDFLARENET	Mongolia Telecom (AS9934)	25
ipcom GmbH	AMAZON-02 (AS16509)	21
managed-ip.com	InterNetX GmbH (AS15456)	3
extrainfra.com	Enix Ltd (AS52148)	4
awsdns-27.org	UpCloud Ltd (AS202053)	1
CLOUDFLARENET	Contabo Asia Private Limited (AS141995)	38
sibhoster.ru	Rostelecom (AS12389)	1
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	27
awsdns-15.org	AMAZON-02 (AS16509)	5
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	129
awsdns-35.com	AMAZON-02 (AS16509)	2
CLOUDFLARENET	Mobinet LLC. AS Mobinet Internet Service Provider (AS9484)	187
linode.com	Akamai Connected Cloud (AS63949)	10
Mobinet LLC. AS Mobinet Internet Service Provider	Mobinet LLC. AS Mobinet Internet Service Provider (AS9484)	10
netsons.net	Netsons s.r.l. (AS60087)	2
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	39
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	117
checkdomain.de	Xirra GmbH (AS51191)	2
CLOUDFLARENET	UUNET (AS701)	1
nexloc.ro	Exim Host SRL (AS211611)	15
mobinet.mn	Mobinet LLC. AS Mobinet Internet Service Provider (AS9484)	35
IONOS SE	united-domains GmbH (AS202108)	42
hostway.net	AFFINITY-INTER (AS18447)	2
IS-AS-1	IS-AS-1 (AS19318)	37
CLOUDFLARENET	A2HOSTING (AS55293)	21
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	30
bb-online.info	AS-VULTR (AS20473)	1
Jsc ru-center	Jsc ru-center (AS48287)	18
webhostingireland.ie	AMAZON-02 (AS16509)	1
awsdns-00.com	AMAZON-02 (AS16509)	4
elcompanies.com	AMAZON-02 (AS16509)	3
Knipp Medien und Kommunikation GmbH	Strato GmbH (AS6724)	2
co.kr	AMAZON-02 (AS16509)	8
grundfos.com	Grundfos Holding A/s (AS31131)	1
cafe24.com	SK Broadband Co Ltd (AS9318)	2
Host Europe GmbH	Host Europe GmbH (AS34011)	1
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	1
dditservices.com	JWE S.a r.l. (AS34655)	1
awsdns-05.net	AMAZON-02 (AS16509)	5
AMAZON-02	OVH SAS (AS16276)	40
NUCDN	Team Internet AG (AS61969)	11
CLOUDFLARENET	STXCitinet, Leading Internet & VOIP Service Provider, Ulaanbaatar, Mongolia (AS38805)	54
CLOUDFLARENET	Telehouse EAD (AS57344)	10
CLOUDFLARENET	Ddos-guard Ltd (AS57724)	4
iTools JSC	DIGITALOCEAN-ASN (AS14061)	4
NSONE	SOFTLAYER (AS36351)	28
Domain names registrar REG.RU, Ltd	Vichislitelniy Centr Ltd. (AS61276)	1
awardspace.com	Zetta Hosting Solutions LLC. (AS44476)	1
AMAZON-02	A2HOSTING (AS55293)	31
cave.mn	Jsc Balticom (AS24651)	1
nethubict.pw	Enix Ltd (AS52148)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	20
CLOUDFLARENET	G-Mobile Corporation (AS24559)	9
ns14.net	Hetzner Online GmbH (AS24940)	1
cloudns.net	Alexhost Srl (AS200019)	1
NTHL	NTHL (AS11042)	41
awsdns-25.com	AMAZON-02 (AS16509)	2
CLOUDFLARENET	YOKOZUNANET LLC (AS38818)	27
nameshield.net	Nameshield SAS (AS20756)	7
awsdns-21.org	AMAZON-02 (AS16509)	2
CLOUDFLARENET	Leaseweb UK Limited (AS205544)	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	15
DIGITALOCEAN-ASN	DIGITALOCEAN-ASN (AS14061)	7
ipcom GmbH	CLOUDFLARENET (AS13335)	1
systemdns.com	AMAZON-AES (AS14618)	3
sedoparking.com	SEDO GmbH (AS47846)	20
co.kr	LG DACOM Corporation (AS3786)	4
CLOUDFLARENET	Skymedia Corporation (AS10219)	14
CLOUDFLARENET	BOW LLC (AS137982)	13
SCAAM0001	Host Europe GmbH (AS8972)	5
nexloc.ro	iTools JSC (AS63962)	1
awsdns-03.org	AMAZON-02 (AS16509)	4
uberns.com	CONFLUENCE-NETWORK-INC (AS40034)	1
GMO Internet Group, Inc.	GMO Internet Group, Inc. (AS7506)	8
awsdns-20.com	AMAZON-02 (AS16509)	2
bots.mn	Hetzner Online GmbH (AS24940)	1
iwantmyname.net	InterNetX GmbH (AS15456)	1
awsdns-19.net	AMAZON-02 (AS16509)	2
GANDI SAS	FASTLY (AS54113)	2
CLOUDFLARENET	UNIVISION LLC (AS17882)	163
awsdns-09.net	AMAZON-02 (AS16509)	5
CLOUDFLARENET	SWITCH-LTD (AS23005)	9
CLOUDFLARENET	AS-VULTR (AS20473)	11
CLOUDFLARENET	INCAPSULA (AS19551)	39
CLOUDFLARENET	Meric Internet Teknolojileri A.S. (AS209737)	2
ports.se	Tele2 SWIPnet (AS1257)	1
Virtual Link LLC	Virtual Link LLC (AS139650)	23
GMO Internet Group, Inc.	FASTLY (AS54113)	2
iwantmyname.net	GOOGLE-CLOUD-PLATFORM (AS396982)	9
nestle.com	HLL LLC (AS51115)	1
Beget LLC	Beget LLC (AS198610)	12
net.tr	Doruk Iletisim ve Otomasyon Sanayi ve Ticaret A.S. (AS8685)	4
sputniknews.com	Federal State Unitary Enterprise Rossiya Segodnya International Information Agency (AS57352)	1
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	21
CLOUDFLARENET	Mogul Service LLC (AS133453)	28
Digicom LLC	Digicom LLC (AS4850)	4
mn.us	STATE-OF-MN (AS1998)	2
safebrands.com	AMAZON-02 (AS16509)	5
AMAZON-02	AMAZON-02 (AS16509)	29
CLOUDFLARENET	WEEBLY (AS27647)	23
LDSCHURCH1	LDSCHURCH1 (AS19648)	10
CLOUDFLARENET	LeaseWeb Netherlands B.V. (AS60781)	1
GMO-Z com NetDesign Holdings Co., Ltd.	GMO-Z com NetDesign Holdings Co., Ltd. (AS135161)	11
awsdns-21.net	AMAZON-02 (AS16509)	3
Safenames Ltd.	Safenames Ltd. (AS60819)	16
AMAZON-02	Akamai Connected Cloud (AS63949)	10
markmonitor.com	HILTON-E (AS26529)	3
awsdns-28.com	IDC Frontier Inc. (AS4694)	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	17
CLOUDFLARENET	GEMNET LLC (AS45204)	7
NSONE	AMAZON-AES (AS14618)	3
CLOUDFLARENET	Ultranet Zone LLC (AS131240)	6
abdns.biz	Aruba S.p.A. (AS31034)	3
ht-systems.ru	Citytelecom LLC (AS12616)	2
DIGICERT	DIGICERT (AS16552)	2
hostgator.com	SQUARESPACE (AS53831)	1
NSONE	SEDO GmbH (AS47846)	44
2gis.com	DoubleGIS LLC (AS197482)	1
CLOUDFLARENET	Homenet (AS55342)	26
CLOUDFLARENET	Topica LLC, Internet Service Provider,Ulaanbaatar, Mongolia (AS10109)	22
gocheapweb.com	OVH SAS (AS16276)	1
GOOGLE	CLOUDFLARENET (AS13335)	10
CLOUDFLARENET	IQ PL Sp. z o.o. (AS47544)	1
awsdns-48.com	National Data Center building (AS56301)	1
CLOUDFLARENET	Virtual Link LLC (AS139650)	79
awsdns-21.com	AMAZON-02 (AS16509)	3
CLOUDFLARENET	VPSOR-GLOBAL (AS138538)	1
messagingengine.com	Fastmail Pty Ltd (AS151847)	3
keymachine.de	Keyweb AG (AS31103)	1
CLOUDFLARENET	Golomt Bank (AS134074)	4
CLOUDFLARENET	RackCorp (AS56038)	50
CLOUDFLARENET	GO-DADDY-COM-LLC (AS400754)	2
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	16
evrekatr.com	TurkNet Iletisim Hizmetleri A.S. (AS12735)	1
registrar-servers.com	NAMECHEAP-NET (AS22612)	14
awsdns-00.net	AMAZON-02 (AS16509)	7
mobinet.mn	iTools JSC (AS63962)	2
