prodomaines.com	Bdl Systemes SAS (AS38926)	2
pixellweb.com	OVH SAS (AS16276)	2
CLOUDFLARENET	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
francedns.com	Eurofiber France SAS (AS24935)	7
ORACLE-BMC-31898	OVH SAS (AS16276)	2
Safenames Ltd.	Safenames Ltd. (AS60819)	10
routing.net	Hosting.de GmbH (AS12574)	1
nameshield.net	Nameshield SAS (AS20756)	9
SECURITYSERVICES	CSC (AS19574)	41
netim.net	Infomaniak Network SA (AS29222)	1
zone-srv.net	Scaleway S.a.s. (AS12876)	1
googledomains.com	AMAZON-02 (AS16509)	1
GANDI SAS	GANDI SAS (AS29169)	33
OVH SAS	OVH SAS (AS16276)	18
mediaserv.net	OVH SAS (AS16276)	1
SECURITYSERVICES	SECURITYSERVICES (AS12008)	2
netim.net	Eurofiber France SAS (AS24935)	26
markmonitor.com	AMAZON-02 (AS16509)	17
OVH SAS	PLANETHOSTER-8 (AS53589)	1
Collectivite Territoriale de Martinique	OVH SAS (AS16276)	1
co.uk	AMAZON-AES (AS14618)	2
SECURITYSERVICES	ADISTA SAS (AS16347)	3
oraclecloud.net	OVH SAS (AS16276)	1
SECURITYSERVICES	Bayerische Motoren Werke Aktiengesellschaft (AS8590)	2
dns-parking.com	Hostinger International Limited (AS47583)	4
CLOUDFLARENET	AMAZON-02 (AS16509)	9
eftydns.com	Signet B.V. (AS20857)	1
ui-dns.biz	IONOS SE (AS8560)	2
francedns.com	INCAPSULA (AS19551)	1
ipcom GmbH	AMAZON-02 (AS16509)	28
ecritel.com	Ecritel SASU (AS8304)	1
namebay.com	DIGITALOCEAN-ASN (AS14061)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	16
hodi.host	Canal + Telecom SAS (AS21351)	1
francedns.com	CLOUDFLARENET (AS13335)	1
servidoresdns.net	IONOS SE (AS8560)	2
eolas.fr	OVH SAS (AS16276)	1
ORACLE-BMC-31898	ORACLE-BMC-31898 (AS31898)	1
amzndns.com	AMAZON-02 (AS16509)	1
sdv.fr	SdV-Plurimedia (AS8839)	1
GOOGLE	Wix.com Ltd. (AS58182)	5
awsdns-11.org	AMAZON-02 (AS16509)	1
francedns.com	OVH SAS (AS16276)	4
mediaserv.net	Canal + Telecom SAS (AS21351)	2
routing.net	SQUARESPACE (AS53831)	1
NSONE	Fca Information Technology, Excellence And Methods S.p.A. (AS12734)	1
netim.net	SQUARESPACE (AS53831)	2
francedns.com	Team Blue Carrier Limited (AS29550)	2
CLOUDFLARENET	INCAPSULA (AS19551)	4
OVH SAS	IONOS SE (AS8560)	1
awsdns-18.com	AMAZON-02 (AS16509)	1
ns14.net	InterNetX GmbH (AS15456)	1
SECURITYSERVICES	BAYER-ARCH (AS23167)	1
rightsdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	2
twshosting.ca	OVH SAS (AS16276)	1
safenames.com	Safenames Ltd. (AS60819)	2
nameshield.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
n0c.com	PLANETHOSTER-8 (AS53589)	2
francedns.com	Celeste SAS (AS34177)	1
renault.fr	AMAZON-02 (AS16509)	1
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
domaincontrol.com	Host Europe GmbH (AS44273)	1
mediaserv.net	Orange (AS3215)	2
NSONE	GOOGLE (AS15169)	2
skoda-auto.cz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
domainoo.fr	Planet Service SARL (AS61168)	1
