udag.de	united-domains GmbH (AS202108)	2
douanes.mr	MAURITEL (AS29544)	1
ensss.mr	Infomaniak Network SA (AS29222)	1
mai.mr	Team Blue Carrier Limited (AS29550)	1
Infomaniak Network SA	Infomaniak Network SA (AS29222)	37
whc.ca	GTCOMM (AS36666)	4
O2switch SAS	O2switch SAS (AS50474)	73
CLOUDFLARENET	CLOUDFLARENET (AS13335)	129
omnisdns.net	OVH SAS (AS16276)	1
OVH SAS	OVH SAS (AS16276)	9
gransy.com	CASABLANCA INT a.s. (AS15685)	5
dnsv2.com	NETLAB-SDN (AS979)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	6
CLOUDFLARENET	GOOGLE (AS15169)	1
unknown	NETWORK-SOLUTIONS-HOSTING (AS19871)	13
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	4
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	23
CLOUDFLARENET	AMAZON-02 (AS16509)	34
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	21
CLOUDFLARENET	Hostinger International Limited (AS47583)	37
MAURITEL	MAURITEL (AS29544)	10
CLOUDFLARENET	FASTLY (AS54113)	1
NAMECHEAP-NET	Infomaniak Network SA (AS29222)	1
adk-media.com	IWEB-AS (AS32613)	21
inmotionhosting.com	INMOTION (AS22611)	1
netim.net	Eurofiber France SAS (AS24935)	13
bodis.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	MAURITEL (AS29544)	2
Akamai International B.V.	Akamai International B.V. (AS20940)	1
planethoster.net	PLANETHOSTER-8 (AS53589)	1
routing.net	Hosting.de GmbH (AS12574)	4
AMAZON-02	WHG Hosting Services Ltd (AS209341)	18
Gransy s.r.o.	Gransy s.r.o. (AS60592)	7
CLOUDFLARENET	Netsec Limited (AS45753)	1
GANDI SAS	Claranet Limited (AS8426)	1
eurodns.com	Koninklijke Luchtvaart Maatschappij N.V. (AS28806)	1
mitdps.net	5G NETWORK OPERATIONS PTY LTD (AS24446)	1
NAMECHEAP-NET	NAMECHEAP-NET (AS22612)	24
gransy.com	Gransy s.r.o. (AS60592)	1
chbank.mr	IWEB-AS (AS32613)	1
moudoun.mr	NAMECHEAP-NET (AS22612)	1
bmci.mr	MAURITEL (AS29544)	1
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	1
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	1
MAURITEL	AMAZON-02 (AS16509)	1
avahost.net	ASN-FLEXENTIAL (AS13649)	1
rhostjh.com	UNIFIEDLAYER-AS-1 (AS46606)	2
CLOUDFLARENET	INCAPSULA (AS19551)	11
AMAZON-02	SINGLEHOP-LLC (AS32475)	7
MAURITEL	Hostinger International Limited (AS47583)	1
adk-media.com	LIQUIDNETLTD1 (AS14555)	3
omnisdns.net	Team Blue Carrier Limited (AS29550)	1
awsdns-00.com	AMAZON-02 (AS16509)	1
Groupe LWS SARL	Groupe LWS SARL (AS210403)	8
chinguitel.mr	CHINGUITEL (AS37541)	1
