GOOGLE	Wix.com Ltd. (AS58182)	171
CLOUDFLARENET	Hostinger International Limited (AS47583)	122
CLOUDFLARENET	CLOUDFLARENET (AS13335)	1202
CLOUDFLARENET	INCAPSULA (AS19551)	49
IONOS SE	united-domains GmbH (AS202108)	61
NUCDN	Hosting.de GmbH (AS48823)	4
AMAZON-02	OVH SAS (AS16276)	210
ipcom GmbH	AMAZON-02 (AS16509)	54
cloudserver.gr	Hetzner Online GmbH (AS24940)	1
netim.net	OVH SAS (AS16276)	5
CLOUDFLARENET	AMAZON-AES (AS14618)	10
ns14.net	InterNetX GmbH (AS15456)	4
MICROSOFT-CORP-MSN-AS-BLOCK	AUTOMATTIC (AS2635)	1
Host Europe GmbH	Scaleway S.a.s. (AS12876)	1
hdedi-xlogic4000.org	Hetzner Online GmbH (AS24940)	1
OVH SAS	OVH SAS (AS16276)	13
registrar-servers.com	NAMECHEAP-NET (AS22612)	62
messagingengine.com	Fastmail Pty Ltd (AS151847)	2
DIGITALOCEAN-ASN	AMAZON-02 (AS16509)	9
CLDIN B.V.	CLDIN B.V. (AS48635)	6
AMAZON-02	CLOUDFLARENET (AS13335)	10
inmotionhosting.com	INMOTION (AS22611)	9
Safenames Ltd.	Safenames Ltd. (AS60819)	31
holbihost.com	OVH SAS (AS16276)	2
markmonitor.com	AMAZON-02 (AS16509)	75
NUCDN	Team Internet AG (AS61969)	77
GANDI SAS	GANDI SAS (AS29169)	109
NSONE	AMAZON-02 (AS16509)	56
Host Europe GmbH	DIGITALOCEAN-ASN (AS14061)	5
co.uk	AMAZON-02 (AS16509)	7
MICROSOFT-CORP-MSN-AS-BLOCK	Malta Information Technology Agency (MITA) (AS15892)	233
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	20
maltahosting.biz	UK Dedicated Servers Limited (AS42831)	3
cloudns.net	SQUARESPACE (AS53831)	3
cmshigh.com	Server Plan S.r.l. (AS52030)	1
cloudns.net	OVH SAS (AS16276)	11
tildadns.com	Tilda Publishing Ltd. (AS205282)	3
webempresa.eu	Combell NV (AS34762)	2
SECURITYSERVICES	CSC (AS19574)	138
