mota-engil.pt	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
CLOUDFLARENET	CLOUDFLARENET (AS13335)	75
AMAZON-02	AMAZON-02 (AS16509)	6
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	9
rightsdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
netim.net	Eurofiber France SAS (AS24935)	17
supremepanel.com	LIQUIDNETLTD1 (AS14555)	1
blingmw.com	NAMECHEAP-NET (AS22612)	4
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	9
markmonitor.com	AMAZON-02 (AS16509)	42
NSONE	AMAZON-02 (AS16509)	7
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	4
AMAZON-02	OVH SAS (AS16276)	20
CLOUDFLARENET	Hostinger International Limited (AS47583)	20
CLOUDFLARENET	AMAZON-02 (AS16509)	32
co.uk	AMAZON-02 (AS16509)	7
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	23
credit-suisse.com	UBS Group AG (AS8729)	2
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	4
globe-as	globe-as (AS37098)	28
NSONE	GOOGLE (AS15169)	3
CLOUDFLARENET	INCAPSULA (AS19551)	18
org.mw	A2HOSTING (AS55293)	1
seeweb.it	TIM (AS3269)	1
digitalocean.com	DIGITALOCEAN-ASN (AS14061)	1
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
CLOUDFLARENET	xneelo (AS37153)	1
TELEKOM-NETWORKS-MALAWI	TELEKOM-NETWORKS-MALAWI (AS36913)	21
PONYNET	PONYNET (AS53667)	6
Telehouse EAD	Telehouse EAD (AS57344)	9
TELEKOM-NETWORKS-MALAWI	NAMECHEAP-NET (AS22612)	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	5
SECURITYSERVICES	AMAZON-02 (AS16509)	2
SECURITYSERVICES	CSC (AS19574)	41
Akamai International B.V.	Akamai International B.V. (AS20940)	5
ns14.net	InterNetX GmbH (AS15456)	2
ifastnet.com	Wildcard UK Limited (AS34119)	1
AMAZON-02	IMH-IAD (AS54641)	1
co.uk	IONOS SE (AS8560)	3
ipcom GmbH	AMAZON-02 (AS16509)	3
lovellsnames.org	FACEBOOK (AS32934)	1
globe.mw	globe-as (AS37098)	1
yahoo.com	AMAZON-02 (AS16509)	1
perf1.com	Nameshield SAS (AS20756)	7
awsdns-03.net	AMAZON-02 (AS16509)	1
TELEKOM-NETWORKS-MALAWI	Malawi Telecommunications (AS36969)	1
safenames.com	Safenames Ltd. (AS60819)	7
server283.com	ICDSoft Ltd. (AS8739)	2
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	6
SKYBAND	globe-as (AS37098)	1
newagesolutions.africa	Contabo GmbH (AS51167)	1
org.mw	SIMBANET-MALAWI (AS327941)	4
ericsson.se	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
IONOS SE	Hetzner Online GmbH (AS24940)	1
malawihost.com	UK Dedicated Servers Limited (AS42831)	1
netim.net	SQUARESPACE (AS53831)	1
freelancemw.com	LIQUIDNETLTD1 (AS14555)	5
CLOUDFLARENET	WHG Hosting Services Ltd (AS51713)	8
ultradns.biz	SECURITYSERVICES (AS12008)	2
netim.net	UNIFIEDLAYER-AS-1 (AS46606)	1
cheerstolife.net	OVH SAS (AS16276)	3
servconfig.com	IMH-IAD (AS54641)	8
abaton.at	abaton EDV-Dienstleistungs GmbH (AS42572)	3
AMAZON-02	FORTRESSITX (AS25653)	5
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	1
malawihostit.com	netcup GmbH (AS197540)	1
awsdns-25.org	AMAZON-02 (AS16509)	1
supremedns.com	UK Dedicated Servers Limited (AS42831)	3
supremepanel.com	UK Dedicated Servers Limited (AS42831)	1
barbero.zone	Akamai International B.V. (AS20940)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	4
globe-as	MAREN (AS37215)	2
internetmalawi.com	Access-Communications-Ltd (AS37713)	5
co.za	Web-Africa-Networks-AS (AS328453)	5
meganameservers.eu	AMAZON-02 (AS16509)	1
zoneedit.com	EDNS (AS16686)	1
nl.mw	Strato GmbH (AS6724)	1
WOODYNET-1	OCL-AS (AS328919)	1
udag.de	united-domains GmbH (AS202108)	2
SECURITYSERVICES	ML-1432-54994 (AS54994)	1
globe-as	WHG Hosting Services Ltd (AS51713)	3
awsdns-32.net	AMAZON-02 (AS16509)	1
dns.com	GNET INC. (AS9294)	4
netsto.net	Skycloud Computing co., Ltd. (AS7483)	1
AMAZON-02	WHG Hosting Services Ltd (AS51713)	12
supremedns.com	LIQUIDNETLTD1 (AS14555)	3
gcd-dns.com	AMAZON-02 (AS16509)	1
co.za	AMAZON-AES (AS14618)	3
bluehost.com	UNIFIEDLAYER-AS-1 (AS46606)	3
TELEKOM-NETWORKS-MALAWI	IS-AS-1 (AS19318)	1
dns-h.com	xneelo (AS37153)	1
TELEKOM-NETWORKS-MALAWI	DIGITALOCEAN-ASN (AS14061)	5
freehostia.com	LIQUIDNETLTD1 (AS14555)	1
markmonitor.zone	AMAZON-02 (AS16509)	3
MICROSOFT-CORP-MSN-AS-BLOCK	MAREN (AS37215)	1
awsdns-05.org	AMAZON-02 (AS16509)	1
IS-AS-1	IS-AS-1 (AS19318)	20
SECURITYSERVICES	CENTURYLINK-LEGACY-SAVVIS (AS3561)	2
Safenames Ltd.	Safenames Ltd. (AS60819)	7
co.za	GOOGLE-CLOUD-PLATFORM (AS396982)	1
rightsdns.com	AMAZON-02 (AS16509)	2
dnsvisa.com	CLOUDFLARENET (AS13335)	1
org.mw	TELEKOM-NETWORKS-MALAWI (AS36913)	1
Rackspace Ltd.	Akamai Connected Cloud (AS63949)	7
gmail.com	NAMECHEAP-NET (AS22612)	1
contabo.net	Contabo GmbH (AS51167)	1
Host Europe GmbH	Host Europe GmbH (AS21499)	7
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	3
cooldigital.net	LIQUIDNETLTD1 (AS14555)	2
smartapps.mw	LeaseWeb Netherlands B.V. (AS60781)	3
sedoparking.com	SEDO GmbH (AS47846)	3
netim.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
bb-online.biz	AS-VULTR (AS20473)	3
linode.com	Akamai Connected Cloud (AS63949)	1
myfcloud.com	Akamai Connected Cloud (AS63949)	1
nexloc.ro	AMAZON-02 (AS16509)	1
prowebmw.org	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
WOODYNET-1	Malawi Telecommunications (AS36969)	1
vivawebhost.com	Telehouse EAD (AS57344)	3
zaccodigitaltrustlabs.se	GOOGLE-CLOUD-PLATFORM (AS396982)	1
CLOUDFLARENET	AMAZON-AES (AS14618)	1
bosch.de	Robert Bosch Gesellschaft mit Beschraenkter Haftung (AS9183)	1
NUCDN	Rackspace Ltd. (AS15395)	1
d9hosting.com	UK Dedicated Servers Limited (AS42831)	1
awsdns-09.org	AMAZON-02 (AS16509)	1
netsto.net	OWGELS INTERNATIONAL CO., LIMITED (AS139880)	1
CLOUDFLARENET	AS-VULTR (AS20473)	1
SKYBAND	GOOGLE-CLOUD-PLATFORM (AS396982)	1
co.zw	UTANDE (AS37183)	1
host-ww.net	Host-Africa-AS (AS328364)	3
UNIFIEDLAYER-AS-1	PUBLIC-DOMAIN-REGISTRY (AS394695)	1
SKYBAND	SKYBAND (AS37187)	9
org.mw	AMAZON-AES (AS14618)	1
org.mw	Department-of-E-Government (AS329220)	1
schwarzkuenstler.com	dogado GmbH (AS8648)	1
awsdns-03.org	AMAZON-02 (AS16509)	1
cheers.mw	OVH SAS (AS16276)	1
AMAZON-02	GOOGLE (AS15169)	4
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	1
da.direct	Hostinger International Limited (AS47583)	1
AMAZON-02	xneelo (AS37153)	1
hostingww.com	Instra Corporation Pty Ltd (AS133104)	1
SCAAM0001	HCL Technologies Sweden AB (AS209236)	3
spaceship.net	AMAZON-02 (AS16509)	3
org.mw	Malawi Telecommunications (AS36969)	2
co.uk	CLOUDFLARENET (AS13335)	1
NETWORK-SOLUTIONS-HOSTING	DIGITALOCEAN-ASN (AS14061)	2
NAMEHERO-KCDC	NAMEHERO-KCDC (AS399250)	6
serverhostgroup.com	OVH SAS (AS16276)	3
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	2
securenet-server.net	Mittwald CM Service GmbH & Co. KG (AS15817)	1
greengeeks.net	SINGLEHOP-LLC (AS32475)	2
parktons.com	Gransy s.r.o. (AS60592)	1
whirlpool.com	LIQUIDWEB (AS32244)	2
DIGICERT	DIGICERT (AS16552)	1
ugfischer.com	fischerwerke GmbH & Co. KG (AS207404)	1
africadojo.com	NAMECHEAP-NET (AS22612)	2
inmotionhosting.com	IMH-IAD (AS54641)	6
3m.com	AMAZON-02 (AS16509)	2
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	8
SECURITYSERVICES	Entain Services Austria GmbH (AS13008)	2
netim.net	Contabo GmbH (AS51167)	1
registrar-servers.com	NAMECHEAP-NET (AS22612)	1
safebrands.com	AMAZON-02 (AS16509)	1
ascio.com	EPAG Domainservices GmbH (AS12915)	1
markmonitor.com	GOOGLE (AS15169)	1
Akamai International B.V.	AMAZON-02 (AS16509)	1
xserver.jp	Xserver Inc. (AS131965)	1
SKYBAND	AMAZON-02 (AS16509)	2
TELEKOM-NETWORKS-MALAWI	AMAZON-02 (AS16509)	1
delaval.com	Optimizely AB (AS30811)	1
co.za	Hetzner Online GmbH (AS24940)	1
Akamai International B.V.	LENOVO-NET (AS20111)	1
markmonitor.com	UBIMET GmbH (AS209571)	1
awsdns-25.net	AMAZON-02 (AS16509)	3
alice-it.de	Mittwald CM Service GmbH & Co. KG (AS15817)	1
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	2
unima.mw	MAREN (AS37215)	1
csv-networks.nl	We Dare B.V. (AS20495)	1
co.za	Afrihost (AS37611)	1
awareidc.net	Aware Corporation Autonomous System (AS18356)	2
Malawi Telecommunications	Airtel (AS37440)	1
DIGICERT	SOFTLAYER (AS36351)	1
digicertdns.com	DIGICERT (AS16552)	1
gransy.com	CASABLANCA INT a.s. (AS15685)	1
akzonobel.com	AMAZON-02 (AS16509)	1
Rackspace Ltd.	SKYBAND (AS37187)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	1
MICROSOFT-CORP-MSN-AS-BLOCK	CLOUDFLARENET (AS13335)	1
AMAZON-02	A2HOSTING (AS55293)	4
Akamai International B.V.	CSC (AS19574)	2
volkswagen.de	Volkswagen AG (AS206618)	1
intel.com	INTEL-SC-AS (AS4983)	1
nsroot1.com	CSC (AS19574)	3
gfireservers.in	AS-COLOCROSSING (AS36352)	2
Host Europe GmbH	Host Europe GmbH (AS21501)	2
awsdns-45.com	WBD-AS40703 (AS40703)	1
gandi.net	GANDI SAS (AS29169)	2
markmonitor.com	NTT-DATA-2914 (AS2914)	1
NETWORK-SOLUTIONS-HOSTING	Hostinger International Limited (AS47583)	1
SECURITYSERVICES	Liquid Telecommunications Ltd (AS30844)	1
ipcom GmbH	froxlor GmbH (AS207048)	1
netsto.net	PEG-HK (AS398478)	1
org.mw	Team Blue Carrier Limited (AS29550)	1
agxl.name	TURNKEY-INTERNET (AS40244)	1
hostpoint.ch	GOOGLE-CLOUD-PLATFORM (AS396982)	1
krystal.uk	Krystal Hosting Ltd (AS12488)	2
nexcess.net	LIQUIDWEB (AS32244)	1
CLOUDFLARENET	FASTLY (AS54113)	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	2
ui-dns.biz	IONOS SE (AS8560)	1
dell.com	Akamai International B.V. (AS33905)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	4
routing.net	Eurofiber France SAS (AS24935)	1
dig.com	AMAZON-02 (AS16509)	2
cartrack.com	atom86 BV (AS8455)	1
rackspace.com	RMH-14 (AS33070)	1
ultahost.com	xneelo (AS37153)	1
CLOUDFLARENET	OVH SAS (AS16276)	1
mydnscloud.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
iafrica.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
google.com	GOOGLE (AS15169)	1
warnerbros.com	AMAZON-02 (AS16509)	2
