CLOUDFLARENET	CLOUDFLARENET (AS13335)	21650
mschosting.com	AMAZON-02 (AS16509)	265
CLOUDFLARENET	AMAZON-02 (AS16509)	10893
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	3187
mschosting.com	Binariang Berhad (AS9534)	14
mschosting.com	WEHOSTWEBSITES-COM (AS30475)	21
mschosting.com	Exa Bytes Network Sdn.Bhd. (AS46015)	3315
CLOUDFLARENET	Exa Bytes Network Sdn.Bhd. (AS46015)	150
CLOUDFLARENET	Hostinger International Limited (AS47583)	1044
CLOUDFLARENET	Hong Kong Communications International Co., Limited (AS140227)	1333
CLOUDFLARENET	PEG-LA (AS398823)	681
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	429
Gransy s.r.o.	Gransy s.r.o. (AS60592)	1274
Shinjiru Technology Sdn Bhd	Shinjiru Technology Sdn Bhd (AS45839)	1274
CLOUDFLARENET	Skycloud Computing co., Ltd. (AS7483)	522
Host Europe GmbH	AMAZON-02 (AS16509)	746
CLOUDFLARENET	FD-298-8796 (AS8796)	507
CLOUDFLARENET	Podaon SIA (AS211381)	22
CLOUDFLARENET	CTG Server Limited (AS152194)	1835
zenpipe.com	Extreme Broadband - Total Broadband Experience (AS38182)	11
Hangzhou Alibaba Advertising Co.,Ltd.	Antbox Networks Limited (AS138995)	186
IONOS SE	united-domains GmbH (AS202108)	142
dnsip.com	Netsec Limited (AS45753)	197
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	262
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	1484
SECURITYSERVICES	CLOUDFLARENET (AS13335)	176
CLOUDFLARENET	High Family Technology Co., Limited (AS142032)	1843
CLOUDFLARENET	AROSS-AS (AS400619)	266
CLOUDFLARENET	Dimension Network & Communication Limited (AS59371)	984
mschosting.cloud	Exa Bytes Network Sdn.Bhd. (AS46015)	1417
dnsip.com	FD-298-8796 (AS8796)	959
AMAZON-02	Akamai Connected Cloud (AS63949)	161
CLOUDFLARENET	SonderCloud Limited (AS133199)	440
CLOUDFLARENET	GOOGLE (AS15169)	118
datakl.com	DataKL Solutions Sdn Bhd (AS138359)	160
CLOUDFLARENET	PEG-HK (AS398478)	180
SKSA TECHNOLOGY SDN BHD	SKSA TECHNOLOGY SDN BHD (AS132241)	279
AMAZON-02	AMAZON-02 (AS16509)	522
SECURITYSERVICES	Cloudflare London, LLC (AS209242)	32
CLOUDFLARENET	LLC Baxet (AS51659)	788
dnsip.com	DXTL Tseung Kwan O Service (AS134548)	323
hexonet.net	AMAZON-02 (AS16509)	1
CLOUDFLARENET	AS-COLOCROSSING (AS36352)	119
CLOUDFLARENET	DXTL Tseung Kwan O Service (AS134548)	69
Gigabit Hosting Sdn Bhd	Gigabit Hosting Sdn Bhd (AS55720)	78
mschosting.com	AVM Cloud Sdn. Bhd. (AS138663)	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	70
DIGITALOCEAN-ASN	Extreme Broadband - Total Broadband Experience (AS38182)	477
ipserverone.com	IP ServerOne Solutions Sdn Bhd (AS45352)	107
xundns.com	POWER LINE DATACENTER (AS132839)	415
newipdns.com	iCore Technology Sdn Bhd (AS132198)	71
SECURITYSERVICES	SECURITYSERVICES (AS12008)	51
GOOGLE	FASTLY (AS54113)	6
CLOUDFLARENET	Wix.com Ltd. (AS58182)	24
untrap.app	NAMECHEAP-NET (AS22612)	1
CLOUDFLARENET	LUCIDACLOUD LIMITED (AS139659)	44
serverfreak.biz	Serverfreak Technologies Sdn Bhd (AS150172)	743
SECURITYSERVICES	Alibaba US Technology Co., Ltd. (AS45102)	27
irondns.de	Adacor Hosting GmbH (AS42442)	2
thesimpledns.com	Exabytes Network Singapore Pte. Ltd. (AS38532)	20
ns14.net	Hostinger International Limited (AS47583)	1
com.my	Wix.com Ltd. (AS58182)	2
CLOUDFLARENET	Alibaba US Technology Co., Ltd. (AS45102)	2165
GOOGLE	Wix.com Ltd. (AS58182)	684
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	91
dnsip.com	TERAEXCH (AS399077)	859
OVH SAS	OVH SAS (AS16276)	50
Dreamscape Networks Limited	Dreamscape Networks Limited (AS38719)	75
SECURITYSERVICES	CSC (AS19574)	770
Hangzhou Alibaba Advertising Co.,Ltd.	COGENT-174 (AS174)	156
020.my	IP ServerOne Solutions Sdn Bhd (AS45352)	1
CLOUDFLARENET	Green Floid LLC (AS21100)	35
dnsip.com	UNIT A17,9F SILVERCORP INTL TOWER 707-713 NATHAN RD (AS134175)	111
awania.net	X86 Network Sdn Bhd (AS133936)	39
CLOUDFLARENET	HDTIDC LIMITED (AS136038)	552
CLOUDFLARENET	CNSERVERS (AS40065)	332
mschosting.com	Cloudie Limited (AS55933)	1
syokdc.com	GB Network Solutions Sdn. Bhd. (AS132372)	20
co.kr	LG DACOM Corporation (AS3786)	115
afraid.org	SOFTLAYER (AS36351)	8
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	72
TM TECHNOLOGY SERVICES SDN. BHD.	TM TECHNOLOGY SERVICES SDN. BHD. (AS4788)	748
hover.com	TUCOWS (AS15348)	106
com.my	AIMS Data Centre Sdn Bhd (AS45668)	27
SECURITYSERVICES	AMAZON-02 (AS16509)	224
AUTOMATTIC	AUTOMATTIC (AS2635)	69
com.my	TM TECHNOLOGY SERVICES SDN. BHD. (AS4788)	10
markmonitor.com	AMAZON-02 (AS16509)	481
CLOUDFLARENET	OVH SAS (AS16276)	95
Hangzhou Alibaba Advertising Co.,Ltd.	PEG-HK (AS398478)	395
mschosting.com	Exabytes Network Singapore Pte. Ltd. (AS38532)	240
sedoparking.com	SEDO GmbH (AS47846)	420
webhosting88.net	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	2
CLOUDFLARENET	Overcasts Limited (AS24544)	125
bodis.com	AMAZON-02 (AS16509)	112
dnsip.com	POWER LINE DATACENTER (AS132839)	91
CLOUDFLARENET	Contabo Asia Private Limited (AS141995)	40
dnsip.com	PEG-SV (AS54600)	660
CLOUDFLARENET	NETLAB-SDN (AS979)	623
mschosting.com	Contabo Asia Private Limited (AS141995)	6
enter-system.com	AMAZON-02 (AS16509)	2
dnsip.com	Dimension Network & Communication Limited (AS59371)	69
dnsip.com	GNET INC. (AS9294)	571
dnsip.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	692
NUCDN	Team Internet AG (AS61969)	59
CLOUDFLARENET	GB Network Solutions Sdn. Bhd. (AS132372)	42
DIGICERT	DIGITALOCEAN-ASN (AS14061)	15
Jimat Technology Solution	Jimat Technology Solution (AS136727)	243
Akamai Connected Cloud	OVH SAS (AS16276)	13
CLOUDFLARENET	SEDO GmbH (AS47846)	206
netim.net	Team Internet AG (AS61969)	1
CLOUDFLARENET	AMAZON-AES (AS14618)	34
serverfreak.biz	Gigabit Hosting Sdn Bhd (AS55720)	389
CLOUDFLARENET	COMCAST-7922 (AS7922)	4
Shinjiru Technology Sdn Bhd	AMAZON-AES (AS14618)	9
gransy.com	AS-VULTR (AS20473)	7
CLOUDFLARENET	TM TECHNOLOGY SERVICES SDN. BHD. (AS4788)	69
Exa Bytes Network Sdn.Bhd.	Exa Bytes Network Sdn.Bhd. (AS46015)	176
AIMS Data Centre Sdn Bhd	AIMS Data Centre Sdn Bhd (AS45668)	186
GANDI SAS	GANDI SAS (AS29169)	279
NSONE	AMAZON-02 (AS16509)	362
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	24
CLOUDFLARENET	ZILLION-NETWORK (AS54801)	139
CLOUDFLARENET	Ddos-guard Ltd (AS57724)	4
Hydra Communications Ltd	Enix Ltd (AS52148)	39
iwantmyname.net	InterNetX GmbH (AS15456)	2
CLOUDFLARENET	IT7NET (AS25820)	177
movadns.my	UpCloud Ltd (AS202053)	28
server207.com	ICDSoft Ltd. (AS8739)	1
dnsip.com	SAITEIDC Limited (AS133178)	26
low.how	IP ServerOne Solutions Sdn Bhd (AS45352)	1
AMAZON-02	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	8
PONYNET	Wildcard UK Limited (AS34119)	33
ORACLE-BMC-31898	COGECO-PEER1 (AS13768)	8
