Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	32
EMUNET	moztel-as (AS37110)	1
CLOUDFLARENET	Contabo GmbH (AS51167)	5
Cloud DNS Ltd	UNIFIEDLAYER-AS-1 (AS46606)	2
prodomaines.com	Bdl Systemes SAS (AS38926)	1
mozserver.com	Host-Africa-AS2 (AS329184)	16
CLOUDFLARENET	INCAPSULA (AS19551)	6
noc40.com	Binary Racks Limited (AS59895)	2
OVH SAS	OVH SAS (AS16276)	82
co.za	VODACOM (AS37223)	1
co.mz	Contabo GmbH (AS51167)	41
GOOGLE	Almouroltec Servicos De Informatica E Internet Lda (AS24768)	1
SECURITYSERVICES	CSC (AS19574)	28
webhost4life.com	BIZLAND-SD (AS29873)	1
co.mz	EMUNET (AS31960)	15
supremedns.com	UK Dedicated Servers Limited (AS42831)	5
co.mz	AMAZON-02 (AS16509)	4
Safenames Ltd.	Safenames Ltd. (AS60819)	6
CLOUDFLARENET	Hostinger International Limited (AS47583)	56
AMAZON-02	WHG Hosting Services Ltd (AS211126)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	81
GANDI SAS	xneelo (AS37153)	1
co.mz	NAMECHEAP-NET (AS22612)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	13
CLOUDFLARENET	OVH SAS (AS16276)	6
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	35
net4b.pt	Infocomunicacoes, S.A. (AS9186)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	2
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	11
co.mz	FASTLY (AS54113)	1
NSONE	AMAZON-02 (AS16509)	14
AMAZON-02	A2HOSTING (AS55293)	22
co.mz	Hetzner Online GmbH (AS24940)	29
trouble-free.net	IS-AS-1 (AS19318)	4
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	28
NSONE	CLOUDFLARENET (AS13335)	1
co.mz	CHT Compamy Ltd (AS38731)	1
palodns.com	GOOGLE (AS15169)	16
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	6
co.mz	GOOGLE-CLOUD-PLATFORM (AS396982)	4
fcomet.com	Akamai Connected Cloud (AS63949)	1
markmonitor.com	AMAZON-02 (AS16509)	19
pearson.com	Pearson Shared Services Ltd (AS29016)	2
perf1.com	Nameshield SAS (AS20756)	2
palodns.com	Hostinger International Limited (AS47583)	2
parktons.com	Gransy s.r.o. (AS60592)	1
Hetzner Online GmbH	AMAZON-02 (AS16509)	2
buddyns.com	Akamai Connected Cloud (AS63949)	1
cinfahost.com	PONYNET (AS53667)	1
co.mz	UNIFIEDLAYER-AS-1 (AS46606)	6
nameshield.net	AMAZON-AES (AS14618)	1
AMAZON-02	GOOGLE (AS15169)	5
awsdns-05.net	AMAZON-AES (AS14618)	1
mytechcore.com	EMUNET (AS31960)	1
EMUNET	EMUNET (AS31960)	29
co.mz	webmasters (AS37697)	12
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	3
timana.site	Contabo GmbH (AS51167)	1
saboresdaterra.net	A2HOSTING (AS55293)	4
EMUNET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
unknown	Contabo GmbH (AS51167)	14
NAMECHEAP-NET	NAMECHEAP-NET (AS22612)	7
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	2
co.mz	Comunicacoes Multimedia, Lda (AS25139)	9
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	6
inmotionhosting.com	INMOTION (AS22611)	2
icemaputo.com	Comercio e Prestacao de Servicos Informaticos, Lda (AS59787)	1
Host Europe GmbH	Host Europe GmbH (AS21501)	3
clubnet.mz	moztel-as (AS37110)	8
co.mz	IMH-IAD (AS54641)	3
justhost.com	UNIFIEDLAYER-AS-1 (AS46606)	2
supremepanel.com	LIQUIDNETLTD1 (AS14555)	2
co.mz	VODACOM (AS37223)	24
awsdns-06.org	AMAZON-AES (AS14618)	1
AMAZON-02	WHG Hosting Services Ltd (AS51713)	6
Akamai International B.V.	AMAZON-02 (AS16509)	1
GOOGLE	Wix.com Ltd. (AS58182)	10
co.mz	Nos Comunicacoes, S.A. (AS1897)	1
lemarit.de	AS-VULTR (AS20473)	1
jlrext.com	AMAZON-02 (AS16509)	2
atvirtual.com	Festo Management SE (AS41700)	1
azure-dns.com	KYN-GTS (AS14904)	1
