NSONE	GOOGLE (AS15169)	6
tld-ns.com	DIAMATRIX (AS327979)	2
xc-ns.de	Wurth IT GmbH (AS207481)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	15
CLOUDFLARENET	CLOUDFLARENET (AS13335)	91
Paratus	Wix.com Ltd. (AS58182)	1
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	9
LIQUIDWEB	LIQUIDWEB (AS32244)	8
com.na	xneelo (AS37153)	9
namhost.com	xneelo (AS37153)	46
com.na	Paratus (AS33763)	12
com.na	SALT-ASN (AS37026)	4
supremepanel.com	UK Dedicated Servers Limited (AS42831)	1
second-ns.com	Hetzner Online GmbH (AS24940)	9
namhost.com	LIQUIDWEB (AS32244)	10
SECURITYSERVICES	CSC (AS19574)	15
xneelo	xneelo (AS37153)	56
com.na	AMAZON-02 (AS16509)	2
CLOUDFLARENET	HOSTROUND-LLC (AS397666)	4
TELECOM-NAMIBIA	TELECOM-NAMIBIA (AS36996)	15
nvme-servers.com	Hetzner Online GmbH (AS24940)	1
AMAZON-02	A2HOSTING (AS55293)	9
MICROSOFT-CORP-MSN-AS-BLOCK	20i Limited (AS48254)	1
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-AES (AS14618)	1
Rackspace Ltd.	TELECOM-NAMIBIA (AS36996)	1
Paratus	xneelo (AS37153)	5
Host Europe GmbH	Host Europe GmbH (AS21501)	1
Paratus	Paratus (AS33763)	14
NSONE	AMAZON-02 (AS16509)	3
d9hosting.com	UK Dedicated Servers Limited (AS42831)	1
dns-ns.host	DIAMATRIX (AS327979)	9
IS-AS-1	IS-AS-1 (AS19318)	6
GOOGLE	Wix.com Ltd. (AS58182)	6
co.za	ZA-1-Grid (AS36943)	3
co.za	AMAZON-02 (AS16509)	3
host-ww.net	Host-Africa-AS (AS328364)	1
Click	Click (AS329067)	5
thundercloud.uk	Awareness Software Limited (AS34931)	9
co.za	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
HURRICANE	TELECOM-NAMIBIA (AS36996)	8
awsdns-07.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Host Europe GmbH	AMAZON-02 (AS16509)	3
awsdns-15.org	AMAZON-02 (AS16509)	1
AMAZON-02	WHG Hosting Services Ltd (AS209341)	7
CLOUDFLARENET	xneelo (AS37153)	9
ultradns.biz	Melbikomas UAB (AS56630)	2
Paratus	Host-Africa-AS2 (AS329184)	1
netim.net	Eurofiber France SAS (AS24935)	1
awsdns-25.net	AMAZON-02 (AS16509)	6
