skazy.nc	AMAZON-02 (AS16509)	14
OVH SAS	OVH SAS (AS16276)	403
CLOUDFLARENET	Hostinger International Limited (AS47583)	70
lagoon.nc	OFFRATEL (AS56089)	176
Nautile	Nautile (AS45345)	66
MICROSOFT-CORP-MSN-AS-BLOCK	GOOGLE-CLOUD-PLATFORM (AS396982)	4
AMAZON-02	GOOGLE (AS15169)	66
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	7
skazy.nc	OFFRATEL (AS56089)	4
IONOS SE	IONOS SE (AS8560)	16
CLOUDFLARENET	CLOUDFLARENET (AS13335)	200
canl.nc	CANL (AS17480)	23
e-monsite.com	Scaleway S.a.s. (AS12876)	4
CLOUDFLARENET	AS-VULTR (AS20473)	20
skazy.nc	GOOGLE-CLOUD-PLATFORM (AS396982)	17
Micro Logic Systems	Micro Logic Systems (AS56055)	119
AS-VULTR	AS-VULTR (AS20473)	47
pneu.nc	OVH SAS (AS16276)	1
johnston-concept.nc	CANL (AS17480)	3
Office des Postes et Telecommunications New-Caledonia	CANL (AS17480)	19
NSONE	AMAZON-02 (AS16509)	10
CLOUDFLARENET	AMAZON-02 (AS16509)	29
DIGICERT	DIGITALOCEAN-ASN (AS14061)	2
AS-VULTR	Nautile (AS45345)	2
GOOGLE	Wix.com Ltd. (AS58182)	108
CLOUDFLARENET	OFFRATEL (AS56089)	1
Micro Logic Systems	OVH SAS (AS16276)	36
OVH SAS	CANL (AS17480)	9
CANL	AMAZON-02 (AS16509)	3
geckahost.nc	Micro Logic Systems (AS56055)	16
CLOUDFLARENET	Micro Logic Systems (AS56055)	9
ROLLERNETWORK	GOOGLE-CLOUD-PLATFORM (AS396982)	3
lagoon.nc	AS-VULTR (AS20473)	9
Groupe LWS SARL	Groupe LWS SARL (AS210403)	4
nautile.nc	Micro Logic Systems (AS56055)	1
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	3
isi.nc	Data Services Pacific (AS134405)	4
