microsoftonline.com	AMAZON-02 (AS16509)	1
eurodns.com	Koninklijke Luchtvaart Maatschappij N.V. (AS28806)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	59
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	2
safebrands.com	AMAZON-02 (AS16509)	2
CLOUDFLARENET	CLOUDFLARENET (AS13335)	24
CLOUDFLARENET	Host Europe GmbH (AS21499)	1
SECURITYSERVICES	CSC (AS19574)	14
AMAZON-02	WHG Hosting Services Ltd (AS14670)	2
SONITEL	SONITEL (AS37385)	41
spaceship.net	NAMECHEAP-NET (AS22612)	1
markmonitor.com	AMAZON-02 (AS16509)	7
ns14.net	net-lab GmbH (AS20755)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	3
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	4
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	6
ipcom GmbH	InterNetworX Management GmbH (AS48596)	8
Cloud DNS Ltd	Nos Comunicacoes, S.A. (AS1897)	1
valcato.com	ASN-FLEXENTIAL (AS13649)	4
siteground.net	GOOGLE-CLOUD-PLATFORM (AS396982)	2
AMAZON-02	A2HOSTING (AS55293)	5
SONITEL	OVH SAS (AS16276)	3
netim.net	Eurofiber France SAS (AS24935)	4
he.net	Hostinger International Limited (AS47583)	1
Groupe LWS SARL	Groupe LWS SARL (AS210403)	8
dreamhost.com	SONITEL (AS37385)	1
markmonitor.zone	AMAZON-02 (AS16509)	1
service-dns.net	SINGLEHOP-LLC (AS32475)	2
o2switch.net	O2switch SAS (AS50474)	4
CLOUDFLARENET	Hostinger International Limited (AS47583)	5
nameshield.net	Nameshield SAS (AS20756)	4
messagingengine.com	Fastmail Pty Ltd (AS151847)	1
perf1.com	Nameshield SAS (AS20756)	14
CLOUDFLARENET	FASTLY (AS54113)	3
SONITEL	Akamai Connected Cloud (AS63949)	2
parkingcrew.net	Team Internet AG (AS61969)	2
Cloud DNS Ltd	NForce Entertainment B.V. (AS43350)	2
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	4
contabo.net	Contabo GmbH (AS51167)	1
hostinger.fr	Hostinger International Limited (AS47583)	2
sedoparking.com	SEDO GmbH (AS47846)	3
azure-dns.com	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
CLOUDFLARENET	SQUARESPACE (AS53831)	1
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	1
wixdns.net	Wix.com Ltd. (AS58182)	1
netim.net	AMAZON-02 (AS16509)	1
awsdns-22.com	AMAZON-02 (AS16509)	1
azure-dns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
