AMAZON-02	WHG Hosting Services Ltd (AS204800)	204
asteriskhubs.com	Hetzner Online GmbH (AS24940)	1
palitechnology.com	Hetzner Online GmbH (AS24940)	1
AMAZON-02	AMAZON-02 (AS16509)	8
CLOUDFLARENET	Hostinger International Limited (AS47583)	152
CLOUDFLARENET	CLOUDFLARENET (AS13335)	1155
afraid.org	Awaser Oman LLC (AS204170)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	36
01cloud.com	Hetzner Online GmbH (AS24940)	17
AMAZON-02	WHG Hosting Services Ltd (AS199404)	90
com.np	Mercantile Office Systems (AS4613)	24
AMAZON-02	OVH SAS (AS16276)	4
PONYNET	Wildcard UK Limited (AS34119)	41
HURRICANE	GOOGLE (AS15169)	36
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	33
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	3
com.np	Computer Land Communications Global AS (AS24504)	10
Host Europe GmbH	GOOGLE (AS15169)	3
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	82
NSONE	AMAZON-02 (AS16509)	172
yohocloud.com	WHG Hosting Services Ltd (AS204800)	2
thundercloud.uk	Awareness Software Limited (AS34931)	2
com.np	DIGITALOCEAN-ASN (AS14061)	1
ui-dns.biz	IONOS SE (AS8560)	1
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	30
IS-AS-1	IS-AS-1 (AS19318)	11
Subisu Cablenet Pvt Ltd, Baluwatar, Kathmandu, Nepal	Subisu Cablenet Pvt Ltd, Baluwatar, Kathmandu, Nepal (AS4007)	18
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	62
mavorion.com	Mavorion Systems (AS149037)	2
BIZLAND-SD	BIZLAND-SD (AS29873)	35
sacredhosting.com	NTHL (AS11042)	1
hamro6.com	OVH SAS (AS16276)	1
softsaro-cpanel.com	Hetzner Online GmbH (AS24940)	1
Communications & Communicate Nepal Pvt Ltd	Communications & Communicate Nepal Pvt Ltd (AS23647)	10
CLOUDFLARENET	Ncell Pvt. Ltd. (AS38565)	1
CLOUDFLARENET	Vodafone Ono, S.A. (AS6739)	1
inmotionhosting.com	INMOTION (AS22611)	10
CLOUDFLARENET	GOOGLE (AS15169)	31
CLOUDFLARENET	FASTLY (AS54113)	40
registrar-servers.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	Data Hub Pvt. Ltd. (AS18222)	22
CLOUDFLARENET	AMAZON-02 (AS16509)	90
radiatnserversite.com	NAMECHEAP-NET (AS22612)	3
AMAZON-02	AS-VULTR (AS20473)	2
AMAZON-02	A2HOSTING (AS55293)	21
hostmonster.com	UNIFIEDLAYER-AS-1 (AS46606)	2
CLOUDFLARENET	AMAZON-AES (AS14618)	3
CLOUDFLARENET	WHG Hosting Services Ltd (AS199404)	19
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	5
CLOUDFLARENET	Websurfer Nepal Internet Service Provider (AS24550)	2
com.np	WorldLink Communications Pvt Ltd (AS17501)	57
IONOS SE	IONOS SE (AS8560)	37
awsdns-12.org	AMAZON-02 (AS16509)	1
CLOUDFLARENET	A2HOSTING (AS55293)	5
