SECURITYSERVICES	UPS (AS12217)	1
awsdns-25.net	AMAZON-02 (AS16509)	4
Akamai International B.V.	AMAZON-02 (AS16509)	1
cloudflare.com	CLOUDFLARENET (AS13335)	2
CLOUDFLARENET	AMAZON-02 (AS16509)	9
Akamai International B.V.	Akamai International B.V. (AS20940)	2
markmonitor.com	AMAZON-02 (AS16509)	18
SECURITYSERVICES	CSC (AS19574)	8
net.nr	ICT (AS141368)	2
markmonitor.com	HILTON-E (AS26529)	3
ultradns.biz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
ultradns.biz	SECURITYSERVICES (AS12008)	3
alidns.com	CLOUDFLARENET (AS13335)	1
register.it	Register S.p.A. (AS39729)	3
linode.com	Akamai Connected Cloud (AS63949)	1
novagraaf-dns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
GOOGLE	GOOGLE (AS15169)	1
NSONE	GOOGLE (AS15169)	2
domainnetwork.se	CSC (AS19574)	2
co.uk	AMAZON-02 (AS16509)	1
netnames.net	CSC (AS19574)	2
dnsimple.com	AMAZON-02 (AS16509)	1
ngninfra.net	Host Europe GmbH (AS8972)	1
GANDI SAS	AMAZON-02 (AS16509)	1
azure-dns.com	GIONA (AS22838)	1
nr-dns.net	AMAZON-02 (AS16509)	1
SECURITYSERVICES	SECURITYSERVICES (AS12008)	1
GANDI SAS	GANDI SAS (AS29169)	3
audi.de	Audi AG (AS12331)	1
nsroot1.com	CSC (AS19574)	1
xtom.com	xTom (AS4785)	1
amzndns.com	AMAZON-02 (AS16509)	1
3m.com	AMAZON-02 (AS16509)	2
nike.com	AMAZON-02 (AS16509)	1
aegonins.com	AMAZON-AES (AS14618)	2
CLOUDFLARENET	INCAPSULA (AS19551)	4
awsdns-08.net	AMAZON-AES (AS14618)	1
awsdns-00.net	AMAZON-AES (AS14618)	1
awsdns-04.org	AMAZON-02 (AS16509)	2
nameshield.net	Nameshield SAS (AS20756)	1
dreamhost.com	DREAMHOST-AS (AS26347)	1
microsoftonline.com	SPACEX-STARLINK (AS14593)	1
cloudflare.com	AMAZON-AES (AS14618)	1
att.net	UPS (AS12217)	1
awsdns-02.com	AMAZON-02 (AS16509)	1
netflix.net	AMAZON-02 (AS16509)	1
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
Akamai International B.V.	NCUBE-OREGON-AS (AS1219)	1
philips.com	AMAZON-02 (AS16509)	1
facebook.com	FACEBOOK (AS32934)	1
credit-suisse.com	UBS Group AG (AS8729)	2
awsdns-52.com	AMAZON-AES (AS14618)	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
