GOOGLE	Wix.com Ltd. (AS58182)	1755
net.nz	Voyager Internet Ltd. (AS56030)	12313
net.nz	AS-26496-GO-DADDY-COM-LLC (AS26496)	7
Dreamscape Networks Limited	Dreamscape Networks Limited (AS38719)	9352
CLOUDFLARENET	Dreamscape Networks Limited (AS38719)	223
managed-ip.info	Buhler AG (AS34261)	2
co.nz	SiteHost New Zealand (AS45179)	1977
myhost.nz	SiteHost New Zealand (AS45179)	673
co.nz	Dreamscape Networks Limited (AS38719)	9873
net.au	SYNERGY WHOLESALE PTY LTD (AS45638)	807
CLOUDFLARENET	CLOUDFLARENET (AS13335)	6857
CLOUDFLARENET	INCAPSULA (AS19551)	277
CLOUDFLARENET	Hostinger International Limited (AS47583)	401
co.nz	PRIVATESYSTEMS (AS63410)	3
SECURITYSERVICES	CSC (AS19574)	1192
net.nz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	134
Dreamscape Networks Limited	DIGITALOCEAN-ASN (AS14061)	71
co.nz	AMAZON-02 (AS16509)	437
ipcom GmbH	InterNetworX Management GmbH (AS48596)	38
riverbed.com	AMAZON-AES (AS14618)	2
GOOGLE	SQUARESPACE (AS53831)	578
Dreamscape Networks Limited	SQUARESPACE (AS53831)	441
AMAZON-02	5G NETWORK OPERATIONS PTY LTD (AS24446)	735
co.nz	UNIFIEDLAYER-AS-1 (AS46606)	21
MICROSOFT-CORP-MSN-AS-BLOCK	SQUARESPACE (AS53831)	71
AMAZON-02	SQUARESPACE (AS53831)	146
AMAZON-02	OVH SAS (AS16276)	2136
net.au	5G NETWORK OPERATIONS PTY LTD (AS24446)	9
co.nz	Lightwire LTD (AS45267)	11
co.nz	NAMECHEAP-NET (AS22612)	13
co.nz	Neos Systems Limited (AS132840)	27
IONOS SE	IONOS SE (AS8560)	44
net.nz	AMAZON-AES (AS14618)	90
co.nz	OmniNet Ltd (AS132881)	57
NSONE	SEDO GmbH (AS47846)	103
cms-tool.net	Prodigi Technology Services Limited (AS138398)	357
AMAZON-02	AMAZON-02 (AS16509)	1483
Cloud DNS Ltd	AMAZON-02 (AS16509)	16
metaname.net	RIMU HOSTING LIMITED (AS139580)	331
net.nz	SQUARESPACE (AS53831)	569
net.nz	AUTOMATTIC (AS2635)	37
MICROSOFT-CORP-MSN-AS-BLOCK	Solarix Networks Limited (AS45459)	19
markmonitor.com	AMAZON-02 (AS16509)	454
CLOUDFLARENET	AMAZON-02 (AS16509)	1293
co.nz	Mammoth Media Pty Ltd (AS133159)	6
MICROSOFT-CORP-MSN-AS-BLOCK	Dreamscape Networks Limited (AS38719)	124
SECURITYSERVICES	SECURITYSERVICES (AS12008)	77
Dreamscape Networks Limited	CLOUDFLARENET (AS13335)	482
websolutionfirm.com	A2HOSTING (AS55293)	3
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	57
Host Europe GmbH	AMAZON-02 (AS16509)	626
DIGITALOCEAN-ASN	DIGITALOCEAN-ASN (AS14061)	95
co.nz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	101
metaname.net	GRIDFURY-AS (AS40630)	2
co.nz	Hoopla Hosting Limited (AS133950)	320
domainworx.net	GlobiCom Limited (AS132692)	5
co.nz	Host Networks (AS4851)	1
GANDI SAS	GANDI SAS (AS29169)	589
IONOS SE	united-domains GmbH (AS202108)	124
co.nz	APYLI-AS (AS53628)	5
GlobiCom Limited	GlobiCom Limited (AS132692)	30
Dreamscape Networks Limited	Wix.com Ltd. (AS58182)	86
powd.nz	Societe Cooperative D'amenagement Numerique Icaunaise SCIC (AS201080)	1
bosch.de	Robert Bosch Gesellschaft mit Beschraenkter Haftung (AS9183)	50
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	154
PRIVATESYSTEMS	PRIVATESYSTEMS (AS63410)	17
Dreamscape Networks Limited	Contabo Asia Private Limited (AS141995)	7
unknown	ICONZ Ltd (AS4770)	1
NUCDN	Team Internet AG (AS61969)	87
GOOGLE	CLOUDFLARENET (AS13335)	709
Xserver Inc.	Xserver Inc. (AS131965)	5
MICROSOFT-CORP-MSN-AS-BLOCK	CloudLink Communications (AS139020)	1
hover.com	GOOGLE-CLOUD-PLATFORM (AS396982)	3
net.nz	Dreamscape Networks Limited (AS38719)	465
AMAZON-02	GOOGLE (AS15169)	445
day.biz	Hetzner Online GmbH (AS24940)	419
Safenames Ltd.	Safenames Ltd. (AS60819)	218
webhostingserver.nl	Previder B.V. (AS20847)	2
Dreamscape Networks Limited	ICONZ Ltd (AS4770)	8
Dreamscape Networks Limited	RIMU HOSTING LIMITED (AS139580)	12
co.nz	Wix.com Ltd. (AS58182)	72
myhost.nz	Cloudflare London, LLC (AS209242)	12
Hetzner Online GmbH	Contabo GmbH (AS51167)	31
nameshield.net	Nameshield SAS (AS20756)	202
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	23
net.nz	Spark New Zealand Trading Ltd. (AS4771)	44
bodis.com	AMAZON-02 (AS16509)	113
net.nz	Squiz Pty Ltd (AS55532)	2
AMAZON-02	Solarix Networks Limited (AS45459)	381
onto-it.nz	ORACLE-BMC-31898 (AS31898)	1
Dreamscape Networks Limited	Hostopia Australia Web Pty Ltd (AS55803)	47
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	187
co.nz	GOOGLE (AS15169)	84
CLOUDFLARENET	Fastmail Pty Ltd (AS151847)	111
sedoparking.com	SEDO GmbH (AS47846)	290
net.nz	Cloudflare London, LLC (AS209242)	82
Signet B.V.	Signet B.V. (AS20857)	89
AMAZON-02	Instra Corporation Pty Ltd (AS133104)	117
co.nz	CommArc Consulting Ltd AS (AS24107)	3
NUCDN	Datacenter Luxembourg S.A. (AS24611)	266
Dreamscape Networks Limited	SOFTLAYER (AS36351)	3
CLOUDFLARENET	CSC (AS19574)	13
CLOUDFLARENET	Spark New Zealand Trading Ltd. (AS4771)	29
Akamai International B.V.	Akamai International B.V. (AS20940)	31
NetActuate, Inc	Voyager Internet Ltd. (AS56030)	3
dnspackage.com	SQUARESPACE (AS53831)	45
co.nz	One New Zealand Group Limited (AS9500)	18
co.nz	AS-VULTR (AS20473)	140
takeaway.com	AMAZON-02 (AS16509)	2
myhost.nz	GOOGLE-CLOUD-PLATFORM (AS396982)	21
net.nz	CLOUDFLARENET (AS13335)	484
co.nz	GlobiCom Limited (AS132692)	273
greenfieldconstruction.nz	SiteHost New Zealand (AS45179)	1
AMAZON-02	WEEBLY (AS27647)	21
net.nz	SiteHost New Zealand (AS45179)	392
dns.ie	LeaseWeb Netherlands B.V. (AS60781)	2
whsl206.com	Accelero Limited (AS24466)	226
NSONE	SQUARESPACE (AS53831)	152
net.nz	AMAZON-02 (AS16509)	350
co.nz	DIGITALOCEAN-ASN (AS14061)	142
myhost.nz	AMAZON-02 (AS16509)	41
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	36
AMAZON-02	RIMU HOSTING LIMITED (AS139580)	8
Two Degrees Mobile Limited	CLOUDFLARENET (AS13335)	4
AMAZON-02	VMCENTRAL Cloud Services (AS59356)	22
RIMU HOSTING LIMITED	RIMU HOSTING LIMITED (AS24459)	160
NSONE	SOFTLAYER (AS36351)	15
Dreamscape Networks Limited	GOOGLE-CLOUD-PLATFORM (AS396982)	91
Dreamscape Networks Limited	Akamai Connected Cloud (AS63949)	17
AMAZON-02	WHG Hosting Services Ltd (AS216180)	80
net.nz	5G NETWORK OPERATIONS PTY LTD (AS24446)	457
Dreamscape Networks Limited	FASTLY (AS54113)	66
inmotionhosting.com	INMOTION (AS22611)	67
dnspackage.com	Dreamscape Networks Limited (AS38719)	236
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	180
Dreamscape Networks Limited	AMAZON-02 (AS16509)	252
iwantmyname.net	CLOUDFLARENET (AS13335)	38
AMAZON-02	SiteHost New Zealand (AS45179)	70
myhost.nz	Dreamscape Networks Limited (AS38719)	341
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	134
CLOUDFLARENET	Wix.com Ltd. (AS58182)	52
co.nz	Turbo I.T Limited (AS136797)	3
com.br	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
is-fun.net	DTS LTD (AS24183)	7
Safenames Ltd.	CLOUDFLARENET (AS13335)	1
co.nz	Devoli (AS45177)	13
co.nz	Vector Communications LTD. (AS17492)	5
CLOUDFLARENET	DREAMHOST-AS (AS26347)	236
co.nz	Cloudflare London, LLC (AS209242)	120
myhost.nz	UNIFIEDLAYER-AS-1 (AS46606)	1
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	98
co.nz	NETWORK-SOLUTIONS-HOSTING (AS19871)	13
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	54
net.au	Hostopia Australia Web Pty Ltd (AS55803)	2
MICROSOFT-CORP-MSN-AS-BLOCK	Cloudflare London, LLC (AS209242)	22
net.nz	Vetta Online Ltd (AS64073)	134
net.nz	ICASTCENTER (AS53767)	2
exocad.net	Hetzner Online GmbH (AS24940)	1
com.au	Akamai Connected Cloud (AS63949)	4
co.uk	AMAZON-02 (AS16509)	55
co.nz	Prodigi Technology Services Limited (AS138398)	17
HURRICANE	Voyager Internet Ltd. (AS56030)	1
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	32
metaname.net	Akamai Connected Cloud (AS63949)	9
co.nz	CLOUDFLARENET (AS13335)	400
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	48
net.nz	GOOGLE-CLOUD-PLATFORM (AS396982)	179
net.nz	AS-VULTR (AS20473)	127
samsungnetworks.nz	DIGITALOCEAN-ASN (AS14061)	1
Dreamscape Networks Limited	AMAZON-AES (AS14618)	67
AS-VULTR	AS-VULTR (AS20473)	74
net.au	FASTLY (AS54113)	32
co.nz	Hosting Systems (AS47625)	3
ORACLE-BMC-31898	Akamai International B.V. (AS20940)	10
net.nz	Mercury NZ Limited (AS55850)	21
metaname.net	AMAZON-02 (AS16509)	51
olato.com	AMAZON-AES (AS14618)	228
thiox.com	Two Degrees Mobile Limited (AS9889)	51
net.nz	One New Zealand Group Limited (AS9500)	36
CLOUDFLARENET	Voyager Internet Ltd. (AS56030)	110
co.nz	WEEBLY (AS27647)	37
GlobiCom Limited	Solarix Networks Limited (AS45459)	2
net.nz	A2HOSTING (AS55293)	9
MICROSOFT-CORP-MSN-AS-BLOCK	FASTLY (AS54113)	5
hover.com	CLOUDFLARENET (AS13335)	8
dnspool.net	Two Degrees Mobile Limited (AS9889)	76
CLOUDFLARENET	Vetta Online Ltd (AS64073)	15
net.nz	Solarix Networks Limited (AS45459)	138
start-dns.de	EVANZO e-commerce GmbH (AS42730)	3
co.nz	SQUARESPACE (AS53831)	655
Host Universal Pty Ltd	Host Universal Pty Ltd (AS136557)	60
NetActuate, Inc	Two Degrees Networks Limited (AS9790)	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	103
co.nz	GOOGLE-CLOUD-PLATFORM (AS396982)	138
cms-tool.net	WEEBLY (AS27647)	4
CLOUDFLARENET	MikiPro Ltd (AS132347)	3
net.nz	DTS LTD (AS24183)	9
Dreamscape Networks Limited	Cloudflare London, LLC (AS209242)	83
WEDOS Internet, a.s.	AMAZON-02 (AS16509)	11
