CLOUDFLARENET	INCAPSULA (AS19551)	218
CLOUDFLARENET	CLOUDFLARENET (AS13335)	177
bluecatdns.com	AMAZON-02 (AS16509)	1
digitalocean.com	DIGITALOCEAN-ASN (AS14061)	3
ufinetlatam.net	UFINET PANAMA S.A. (AS52468)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	133
lunarweb.net	HVC-AS (AS29802)	1
AMAZON-02	OVH SAS (AS16276)	54
CLOUDFLARENET	GOOGLE (AS15169)	2
CLOUDFLARENET	KKM IT Limited (AS60922)	1
namecheaphosting.com	NAMECHEAP-NET (AS22612)	4
SECURITYSERVICES	CSC (AS19574)	95
markmonitor.com	AMAZON-02 (AS16509)	83
emirates.com	AMAZON-02 (AS16509)	1
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	41
CLOUDFLARENET	Hostinger International Limited (AS47583)	12
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	7
SECURITYSERVICES	AMAZON-AES (AS14618)	4
Soluciones Corporativas IP, SL	IONOS SE (AS8560)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	3
CLOUDFLARENET	SQUARESPACE (AS53831)	3
GOOGLE	Wix.com Ltd. (AS58182)	6
Host Europe GmbH	AMAZON-02 (AS16509)	20
lemarit.de	Liebherr-IT Services GmbH (AS30915)	1
openprovider.be	Signet B.V. (AS20857)	1
ipcom GmbH	AMAZON-02 (AS16509)	9
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	5
mapfre.net	acens Technologies, S.L. (AS16371)	2
safebrands.com	AMAZON-02 (AS16509)	3
awsdns-10.net	AMAZON-02 (AS16509)	1
ultradns.biz	SECURITYSERVICES (AS12008)	2
markmonitor.com	HILTON-E (AS26529)	5
CLOUDFLARENET	Akamai International B.V. (AS20940)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	3
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
AMAZON-02	CLOUDFLARENET (AS13335)	2
