Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	113
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	625
AMAZON-02	AMAZON-02 (AS16509)	441
SERVERCENTRAL	SERVERCENTRAL (AS23352)	2007
AMAZON-02	AMAZON-AES (AS14618)	353
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	272
ehostingperu.net	OVH SAS (AS16276)	6
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	531
CLOUDFLARENET	CLOUDFLARENET (AS13335)	2951
AMAZON-02	A2HOSTING (AS55293)	232
GANDI SAS	Scaleway S.a.s. (AS12876)	2
OVH SAS	OVH SAS (AS16276)	668
CLOUDFLARENET	Hostinger International Limited (AS47583)	1696
serverhostgroup.com	OVH SAS (AS16276)	10
Red Cientifica Peruana	CLOUDFLARENET (AS13335)	31
CLOUDFLARENET	DREAMHOST-AS (AS26347)	221
net.pe	Red Cientifica Peruana (AS3132)	348
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	148
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	185
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	309
net.pe	Hetzner Online GmbH (AS213230)	14
AMAZON-02	INCAPSULA (AS19551)	5
com.pe	ORACLE-BMC-31898 (AS31898)	1
AMAZON-02	VS-MEDIA-IPV4 (AS395412)	1
Host Europe GmbH	AMAZON-02 (AS16509)	4615
net.pe	DIGITALOCEAN-ASN (AS14061)	116
MICROSOFT-CORP-MSN-AS-BLOCK	LVLT-3549 (AS3549)	1
WI-NET TELECOM S.A.C.	WI-NET TELECOM S.A.C. (AS265691)	12
net.pe	AMAZON-AES (AS14618)	144
TIER-NET	TIER-NET (AS397423)	16
planetahosting.pe	HOSTING. (AS265839)	134
Dattatec.com	Dattatec.com (AS27823)	337
sedoparking.com	SEDO GmbH (AS47846)	76
Red Cientifica Peruana	Red Cientifica Peruana (AS3132)	1095
CLOUDFLARENET	HVC-AS (AS29802)	6
acens Technologies, S.L.	acens Technologies, S.L. (AS16371)	12
accountsupport.com	BIZLAND-SD (AS29873)	2
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	568
lineadns.com	HVC-AS (AS29802)	14
net.pe	Cloudflare London, LLC (AS209242)	36
SECURITYSERVICES	DIGITALOCEAN-ASN (AS14061)	8
com.pe	UNIFIEDLAYER-AS-1 (AS46606)	10
panel.pe	OVH SAS (AS16276)	1
net.pe	SERVERCENTRAL (AS23352)	147
AUTOMATTIC	AUTOMATTIC (AS2635)	54
hostgator.com	GOOGLE-CLOUD-PLATFORM (AS396982)	4
net.pe	AS-26496-GO-DADDY-COM-LLC (AS26496)	12
CLOUDFLARENET	INCAPSULA (AS19551)	424
Safenames Ltd.	Safenames Ltd. (AS60819)	147
Telmex Chile Internet S.A.	Telmex Chile Internet S.A. (AS6429)	31
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	437
net.pe	GOOGLE (AS15169)	53
hpserverdns.com	OVH SAS (AS16276)	458
ably.pe	SERVERCENTRAL (AS23352)	1
CLOUDFLARENET	COGENT-174 (AS174)	4
CLOUDFLARENET	PRIVATESYSTEMS (AS63410)	2
ANEXIA Internetdienstleistungs GmbH	Tele2 SWIPnet (AS1257)	20
Soluciones Corporativas IP, SL	Ddos-guard Ltd (AS57724)	1
PONYNET	PONYNET (AS53667)	27
GOOGLE	Wix.com Ltd. (AS58182)	473
IONOS SE	IONOS SE (AS8560)	189
Host Europe GmbH	AMAZON-AES (AS14618)	77
tuwebpe.com	OVH SAS (AS16276)	4
SECURITYSERVICES	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
WEDOS Internet, a.s.	AMAZON-02 (AS16509)	14
latinoamericahosting.com	AS-VULTR (AS20473)	1
Host Europe GmbH	Wix.com Ltd. (AS58182)	55
net.pe	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	58
net.pe	AMAZON-02 (AS16509)	152
NSONE	AMAZON-02 (AS16509)	121
markmonitor.com	AMAZON-02 (AS16509)	311
MICROSOFT-CORP-MSN-AS-BLOCK	GTD PERU S.A (AS22411)	2
c-onlineweb.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
AMAZON-02	WHG Hosting Services Ltd (AS14670)	268
Host Europe GmbH	CLOUDFLARENET (AS13335)	338
net.pe	ECONOCABLE MEDIA SAC (AS262253)	21
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	253
DFW-DATACENTER	DFW-DATACENTER (AS30277)	93
net.pe	NTHL (AS11042)	3
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	299
SECURITYSERVICES	Hetzner Online GmbH (AS24940)	6
IONOS SE	united-domains GmbH (AS202108)	60
tecnoweb.net	TECNOWEB PERU SAC (AS64114)	137
DIMENOC	DIMENOC (AS33182)	142
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	153
thundercloud.uk	Awareness Software Limited (AS34931)	1
dns-globally.com	SHARKTECH (AS46844)	1
