AMAZON-02	GOOGLE (AS15169)	8
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	3
com.pg	Telikom PNG Satellite Tier 1 AS Internet Service (AS38009)	24
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	5
CLOUDFLARENET	Wix.com Ltd. (AS58182)	1
kgpl.com	AS-VULTR (AS20473)	1
telstra.net	iseek Communications Pty Ltd (AS9723)	1
net.pg	AS-VULTR (AS20473)	3
Dreamscape Networks Limited	Hostopia Australia Web Pty Ltd (AS55803)	5
net.pg	Datec-PNG (AS55792)	31
Dreamscape Networks Limited	Dreamscape Networks Limited (AS38719)	17
DIGICERT	Ddos-guard Ltd (AS57724)	1
net.pg	SQUARESPACE (AS53831)	1
com.au	Hostopia Australia Web Pty Ltd (AS55803)	17
awsdns-06.net	AMAZON-AES (AS14618)	1
net.pg	Global Technologies Limited (AS45924)	28
CLOUDFLARENET	Hostinger International Limited (AS47583)	11
Host Europe GmbH	5G NETWORK OPERATIONS PTY LTD (AS24446)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	12
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	4
doteasy.com	OVH SAS (AS16276)	1
Digitec PNG Limited	Digitec PNG Limited (AS63945)	5
net.au	Wix.com Ltd. (AS58182)	2
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
reefit.cloud	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
totalenergies.biz	CLOUDFLARENET (AS13335)	1
Dreamscape Networks Limited	SQUARESPACE (AS53831)	1
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	3
wixdns.net	Wix.com Ltd. (AS58182)	1
CLOUDFLARENET	GO-DADDY-COM-LLC (AS398787)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	4
ultradns.biz	SECURITYSERVICES (AS12008)	1
com.pg	AMAZON-02 (AS16509)	3
net.pg	AS-26496-GO-DADDY-COM-LLC (AS26496)	1
