CLOUDFLARENET	CLOUDFLARENET (AS13335)	10800
Contabo GmbH	Contabo GmbH (AS51167)	361
GOOGLE	Safenames Ltd. (AS60819)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	257
AMAZON-02	A2HOSTING (AS55293)	418
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	2194
CLOUDFLARENET	Hostinger International Limited (AS47583)	7761
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	3626
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	98
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	1006
IS-AS-1	IS-AS-1 (AS19318)	299
com.pk	WHG Hosting Services Ltd (AS36454)	18
TIER-NET	TIER-NET (AS397423)	395
bodis.com	AMAZON-02 (AS16509)	1287
PRIVATESYSTEMS	PRIVATESYSTEMS (AS63410)	141
tmdcloud.asia	AS-VULTR (AS20473)	4
NSONE	AMAZON-02 (AS16509)	352
Host Europe GmbH	CLOUDFLARENET (AS13335)	78
Cloud DNS Ltd	Hetzner Online GmbH (AS24940)	3
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	178
Akamai Connected Cloud	OVH SAS (AS16276)	129
AMAZON-02	GOOGLE (AS15169)	224
NETWORK-SOLUTIONS-HOSTING	CLOUDFLARENET (AS13335)	19
SECURITYSERVICES	DIGITALOCEAN-ASN (AS14061)	14
AMAZON-02	WHG Hosting Services Ltd (AS14670)	243
Hetzner Online GmbH	CLOUDFLARENET (AS13335)	666
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	254
privatesever.com	WorldStream B.V. (AS49981)	87
com.pk	Hetzner Online GmbH (AS24940)	26
Heart Internet limited	Heart Internet limited (AS20738)	2
zoneedit.com	EDNS (AS16686)	4
SECURITYSERVICES	SECURITYSERVICES (AS12008)	28
PONYNET	PONYNET (AS53667)	107
Host Europe GmbH	AMAZON-02 (AS16509)	281
AMAZON-02	OVH SAS (AS16276)	99
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	4
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	163
SECURITYSERVICES	CLOUDFLARENET (AS13335)	51
deshi.pk	OVH SAS (AS16276)	3
Host Europe GmbH	Data Communication Business Group (AS3462)	190
sedoparking.com	SEDO GmbH (AS47846)	276
serverhostgroup.com	OVH SAS (AS16276)	25
com.tr	ISIK Bilgisayar Internet ve Yayincilik Hizmetleri (AS49879)	1
hostnext.net	TIER-NET (AS397423)	58
pk2domain.com	Hetzner Online GmbH (AS24940)	9
AS-VULTR	AS-VULTR (AS20473)	81
CLOUDFLARENET	INCAPSULA (AS19551)	127
unknown	Hetzner Online GmbH (AS24940)	70
saphsolutions.com	CLOUDFLARENET (AS13335)	4
inventixbrand.com	IS-AS-1 (AS19318)	1
net.pk	Commission on Science and Technology for (AS7590)	23
navicosoft.com	Navicosoft Pty Ltd (AS213848)	77
hostgator.com	CLOUDFLARENET (AS13335)	28
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	60
hosterpk.com	LIMESTONENETWORKS (AS46475)	891
unknown	CLOUDFLARENET (AS13335)	38
aagd.pk	Hetzner Online GmbH (AS24940)	1
BIZLAND-SD	BIZLAND-SD (AS29873)	20
SECURITYSERVICES	INCAPSULA (AS19551)	11
CLOUDFLARENET	GOOGLE (AS15169)	70
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	236
hostyost.com	IOFLOOD (AS53755)	2
com.pk	Binary Racks Limited (AS59895)	7
privatesever.com	OVH SAS (AS16276)	39
aicart.com	SINGLEHOP-LLC (AS32475)	1
AMAZON-02	WHG Hosting Services Ltd (AS209341)	59
ingenieros.pk	CROCWEB (AS63068)	1
AS-GLOBALTELEHOST	AS-GLOBALTELEHOST (AS63023)	59
zhongfeihub.com	Contabo GmbH (AS51167)	1
unlimiteddatahosting.com	AMAZON-02 (AS16509)	2
Hetzner Online GmbH	AMAZON-02 (AS16509)	24
pakihosting.com	Contabo Asia Private Limited (AS141995)	3
contabo.net	Contabo GmbH (AS51167)	133
ideatech.org	Hetzner Online GmbH (AS24940)	15
hostingmadeeasy.com	Multinet Broadband (AS135523)	50
AMAZON-02	FORTRESSITX (AS25653)	32
awsdns-06.net	AMAZON-AES (AS14618)	1
privatesever.com	CLOUDFLARENET (AS13335)	22
lightpakistanexpo.com	Hetzner Online GmbH (AS24940)	3
gohosters.net	IS-AS-1 (AS19318)	7
AMAZON-02	WHG Hosting Services Ltd (AS36454)	103
wehostwebserver.com	Hetzner Online GmbH (AS24940)	88
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	273
Akamai Connected Cloud	SpectraIP B.V. (AS62068)	33
hostingcare.net	Contabo GmbH (AS51167)	179
CLOUDFLARENET	RAILWAY (AS400940)	4
PONYNET	WEBHOSTINGHOLDINGS (AS965)	61
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	99
DIGICERT	DIGITALOCEAN-ASN (AS14061)	16
Safenames Ltd.	Safenames Ltd. (AS60819)	81
techovic.com	Hetzner Online GmbH (AS24940)	7
