Cyber_Folks S.A.	Beyond.pl sp. z o.o. (AS31229)	11308
OVH SAS	OVH SAS (AS16276)	60747
Nazwa.pl Sp.z.o.o.	CLOUDFLARENET (AS13335)	240
ipcom GmbH	GOOGLE (AS15169)	2720
AMAZON-02	Team Internet AG (AS61969)	6144
NUCDN	AMAZON-02 (AS16509)	119
home.pl	home.pl S.A. (AS12824)	54976
AMAZON-02	LH.pl Sp. z o.o. (AS203417)	17930
Cyber_Folks S.A.	Cyber_Folks S.A. (AS29522)	15463
Bradler & Krantz GmbH & Co. KG	Bradler & Krantz GmbH & Co. KG (AS29141)	17
com.pl	Orange Polska Spolka Akcyjna (AS5617)	62
Cyber_Folks S.A.	Cyber_Folks S.A. (AS41079)	40641
Dataspace P.s.a.	Dataspace P.s.a. (AS50599)	23066
cargo.site	AMAZON-AES (AS14618)	27
CLOUDFLARENET	CLOUDFLARENET (AS13335)	41341
AS48707 OPS PL sp. z o.o.	GOOGLE (AS15169)	26
premium.pl	home.pl S.A. (AS12824)	18282
home.pl	AMAZON-AES (AS14618)	221
loopia.se	Loopia AB (AS39570)	686
Atman Sp. z o.o.	Atman Sp. z o.o. (AS57367)	401
INTERNET CZ, a.s.	INTERNET CZ, a.s. (AS24806)	2355
AS48707 OPS PL sp. z o.o.	AS48707 OPS PL sp. z o.o. (AS48707)	70810
registrar-servers.com	NAMECHEAP-NET (AS22612)	5
hostowo.eu	eTOP sp. z o.o. (AS20853)	2
Host Europe GmbH	AMAZON-02 (AS16509)	9667
neteasy.pl	eTOP sp. z o.o. (AS20853)	281
rejestracjadomen.pl	Consulting Service (AS215358)	387
NSONE	AMAZON-02 (AS16509)	1116
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	966
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	1341
Cyber_Folks S.A.	Nazwa.pl Sp.z.o.o. (AS15967)	133
mydevil.net	Atman Sp. z o.o. (AS57367)	6150
Nazwa.pl Sp.z.o.o.	Nazwa.pl Sp.z.o.o. (AS15967)	39006
Webglobe, a.s.	ACTIVE 24, s.r.o. (AS25234)	3
home.pl	Wix.com Ltd. (AS58182)	319
net.pl	IQ PL Sp. z o.o. (AS47544)	7501
neteasy.pl	FEELB SARL (AS207992)	76
one.com	CLOUDFLARENET (AS13335)	35
Nazwa.pl Sp.z.o.o.	Cyber_Folks S.A. (AS41079)	474
one.com	One.com A/S (AS51468)	809
CLOUDFLARENET	Hostinger International Limited (AS47583)	5524
bodis.com	AMAZON-02 (AS16509)	214
iq.pl	IQ PL Sp. z o.o. (AS47544)	3373
domenomania.pl	Artnet Sp. z o.o. (AS197155)	1144
dhosting.pl Sp. z o.o.	dhosting.pl Sp. z o.o. (AS48896)	13939
IQ PL Sp. z o.o.	IQ PL Sp. z o.o. (AS47544)	823
Orange Polska Spolka Akcyjna	Orange Polska Spolka Akcyjna (AS5617)	911
eTOP sp. z o.o.	eTOP sp. z o.o. (AS20853)	613
IONOS SE	united-domains GmbH (AS202108)	1743
ZONER a.s.	ZONER a.s. (AS34222)	389
OVH SAS	Hetzner Online GmbH (AS24940)	968
mydevil.net	Cloudflare London, LLC (AS209242)	5
AMAZON-02	AMAZON-02 (AS16509)	3196
Cyber_Folks S.A.	Cloudflare London, LLC (AS209242)	97
smarthost.pl	Smarthost sp. z o.o. (AS39566)	3479
proudhost.eu	SIMANT Szymon Balart (AS197375)	55
Unix Storm - Michal Gottlieb	Unix Storm - Michal Gottlieb (AS198921)	1789
QUIC-CLOUD	OVH SAS (AS16276)	134
netim.net	Eurofiber France SAS (AS24935)	464
m-networks.pl	GOOGLE-CLOUD-PLATFORM (AS396982)	1
GANDI SAS	GANDI SAS (AS29169)	1164
kylos.pl	LH.pl Sp. z o.o. (AS203417)	2887
Cyber_Folks S.A.	OVH SAS (AS16276)	569
kru.pl	OVH SAS (AS16276)	429
G-Core Labs S.A.	eTOP sp. z o.o. (AS20853)	2723
ATT-INTERNET4	AS17378 (AS17378)	3
Nazwa.pl Sp.z.o.o.	OVH SAS (AS16276)	854
Hostpoint AG	Hostpoint AG (AS29097)	136
AMAZON-02	GOOGLE (AS15169)	368
CLOUDFLARENET	Cyber_Folks S.A. (AS29522)	86
domena.pl	EXEA Sp. z o.o. (AS60713)	2909
elcomsoft.com	Hetzner Online GmbH (AS24940)	1
OVH SAS	LH.pl Sp. z o.o. (AS203417)	210
Host Europe GmbH	CLOUDFLARENET (AS13335)	757
gate.bg	Delta HighTech Ltd. (AS8860)	2
hover.com	TUCOWS (AS15348)	35
IntegraDesign, Mariusz Barczyk	Beyond.pl sp. z o.o. (AS31229)	2
ACTIVE 24, s.r.o.	WebSupport s.r.o. (AS51013)	1439
home.pl	OVH SAS (AS16276)	1605
BUNNYWAY, informacijske storitve d.o.o.	Datacamp Limited (AS212238)	11
DIGICERT	DIGICERT (AS16552)	116
HITME.PL	HITME.PL (AS50840)	1416
pein-gbr.de	active 1 GmbH (AS197071)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	293
getspace.us	Hetzner Online GmbH (AS24940)	1098
MICROSOFT-CORP-MSN-AS-BLOCK	Cyber_Folks S.A. (AS29522)	60
jdm.pl	Hetzner Online GmbH (AS24940)	1101
CLOUDFLARENET	Citynet Marcin Sobala - Piotr Misiuda (AS197572)	1
GOOGLE	Wix.com Ltd. (AS58182)	2563
stabletransit.com	OVH SAS (AS16276)	2
thinline.cz	PRO-ZETA a.s. (AS60606)	104
PUQ Sp. z o.o.	PUQ Sp. z o.o. (AS210913)	28
