one.com	One.com A/S (AS51468)	287
CLOUDFLARENET	AMAZON-02 (AS16509)	128
Hetzner Online GmbH	IP-Projects GmbH & Co. KG (AS48314)	4
OVH SAS	OVH SAS (AS16276)	633
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	22
GOOGLE	FASTLY (AS54113)	3
wallgrind.be	Systemec BV (AS41480)	1
CLOUDFLARENET	Dimension Network & Communication Limited (AS59371)	5
CLOUDFLARENET	ASN-GIGENET (AS32181)	1
Scaleway S.a.s.	Scaleway S.a.s. (AS12876)	53
one.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Signet B.V.	Signet B.V. (AS20857)	32
SERVERSTACK-ASN	SERVERSTACK-ASN (AS46652)	6
GANDI SAS	FASTLY (AS54113)	10
hyp.net	Domeneshop AS (AS12996)	54
CLOUDFLARENET	CLOUDFLARENET (AS13335)	475
markmonitor.com	AMAZON-02 (AS16509)	17
ipcom GmbH	HKN GmbH (AS12676)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	98
O2switch SAS	O2switch SAS (AS50474)	40
sqr.cloud	Cyso Group B.V. (AS25151)	3
ipcom GmbH	InterNetworX Management GmbH (AS48596)	39
ab stract ltd	haoxiangyun (AS141718)	1
dns.nexus	AMAZON-02 (AS16509)	1
OVH SAS	Hetzner Online GmbH (AS24940)	14
PLANETHOSTER-8	GO-DADDY-COM-LLC (AS398101)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	9
NSONE	SEDO GmbH (AS47846)	30
Infomaniak Network SA	Infomaniak Network SA (AS29222)	46
nameshield.net	Nameshield SAS (AS20756)	11
NForce Entertainment B.V.	Kamatera Inc (AS41436)	2
register.it	Register S.p.A. (AS39729)	20
AMAZON-02	OVH SAS (AS16276)	53
NSONE	AMAZON-02 (AS16509)	11
linode.com	HERABIT S.p.A. (AS21309)	1
sedoparking.com	InterNetworX Management GmbH (AS48596)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	28
CLOUDFLARENET	Team Internet AG (AS61969)	14
ipcom GmbH	Hetzner Online GmbH (AS24940)	6
eastman.com	AMAZON-02 (AS16509)	1
bodis.com	AMAZON-02 (AS16509)	18
NSONE	AMAZON-AES (AS14618)	13
Infomaniak Network SA	IT Outsourcing LLC (AS64439)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	11
OVH SAS	Netia SA (AS43939)	1
1and1-dns.biz	PATRONAS Financial Systems GmbH (AS61343)	1
Host Europe GmbH	Host Europe GmbH (AS34011)	25
manitu.net	manitu GmbH (AS34240)	2
epik.com	EPIK-LLC (AS394456)	1
Hetzner Online GmbH	Contabo GmbH (AS51167)	6
SECURITYSERVICES	CSC (AS19574)	28
everymanhosting.com	Binary Racks Limited (AS59895)	1
NetActuate, Inc	FreeTel, s.r.o. (AS8251)	1
NSONE	FASTLY (AS54113)	4
awsdns-08.com	i3D.net B.V (AS49544)	2
Groupe LWS SARL	Groupe LWS SARL (AS210403)	4
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	3
HURRICANE	AS-VULTR (AS20473)	1
ab stract ltd	1984 ehf (AS44925)	3
CLOUDFLARENET	Proximus NV (AS5432)	1
CLOUDFLARENET	INCAPSULA (AS19551)	16
cluster-team.net	Cluster-Team Guenter Haeusler & Andreas Specht GbR (AS202524)	1
NForce Entertainment B.V.	NForce Entertainment B.V. (AS43350)	23
OVH SAS	Orange (AS3215)	6
GANDI SAS	GANDI SAS (AS29169)	132
leaseweb.nl	LeaseWeb Netherlands B.V. (AS60781)	3
nadns1.com	Hetzner Online GmbH (AS24940)	2
CLOUDFLARENET	netcup GmbH (AS197540)	15
perf1.com	Nameshield SAS (AS20756)	25
ScaleUp Technologies GmbH & Co. KG	ScaleUp Technologies GmbH & Co. KG (AS29014)	39
CLOUDFLARENET	Orange (AS3215)	1
awsdns-05.net	Nova Telecommunications & Media Single Member S.A (AS25472)	1
Hostpoint AG	Hostpoint AG (AS29097)	15
CLOUDFLARENET	Previder B.V. (AS20847)	1
ipcom GmbH	uvensys GmbH (AS58010)	4
OVH SAS	Deutsche Telekom AG (AS3320)	1
Cloud DNS Ltd	Advania Island ehf (AS50613)	1
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	22
NUCDN	IONOS SE (AS8560)	1
Hetzner Online GmbH	netcup GmbH (AS197540)	3
Host Europe GmbH	AMAZON-02 (AS16509)	39
netim.net	Hetzner Online GmbH (AS24940)	1
nsdns.info	AMAZON-02 (AS16509)	1
GANDI SAS	Free SAS (AS12322)	1
NUCDN	DNIC-AS-00749 (AS749)	1
tmt.de	TMT GmbH & Co. KG (AS16316)	2
dnsdomene.net	ServeTheWorld AS (AS34989)	1
ns1global.net	AMAZON-02 (AS16509)	1
serveriai.lt	UAB Interneto vizija (AS212531)	1
nordicway.dk	Hetzner Online GmbH (AS24940)	1
xcuse.me	OVH SAS (AS16276)	1
GANDI SAS	AMAZON-02 (AS16509)	13
films.org	AMAZON-AES (AS14618)	4
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	4
host2vps.com	Ikoula Net SAS (AS21409)	1
ab stract ltd	AS-VULTR (AS20473)	1
hyp.net	Hetzner Online GmbH (AS24940)	2
awsdns-30.net	AMAZON-02 (AS16509)	1
dns-servers.cloud	Hetzner Online GmbH (AS24940)	1
netim.net	Eurofiber France SAS (AS24935)	38
Hetzner Online GmbH	DIGITALOCEAN-ASN (AS14061)	1
NSONE	SOFTLAYER (AS36351)	17
CLOUDFLARENET	Tom Gewiese (AS215365)	1
OVH SAS	O2switch SAS (AS50474)	3
sedoparking.com	SEDO GmbH (AS47846)	36
IONOS SE	united-domains GmbH (AS202108)	17
iliad.fr	Free SAS (AS12322)	1
42.pl	Hetzner Online GmbH (AS24940)	1
gkcld.net	Freedom Internet BV (AS206238)	2
webglobe.cz	Webglobe, s.r.o. (AS29134)	2
second-ns.com	Hetzner Online GmbH (AS24940)	5
domeny.tv	Dataspace P.s.a. (AS50599)	2
Host Europe GmbH	Host Europe GmbH (AS20773)	9
ddos-guard.net	Ddos-guard Ltd (AS57724)	1
Cloud DNS Ltd	OVH SAS (AS16276)	1
atom.com	AMAZON-AES (AS14618)	4
CLOUDFLARENET	PONYNET (AS53667)	2
one.com	Stichting DIGI NL (AS206281)	1
azure-dns.com	HOT-SPRINGS-TEL-01 (AS398437)	1
Signet B.V.	AMAZON-02 (AS16509)	3
mediahost.gr	Hetzner Online GmbH (AS24940)	1
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	5
IONOS SE	IONOS SE (AS8560)	2
awsdns-02.net	AMAZON-02 (AS16509)	1
netim.net	FLY (AS40509)	1
idp365.net	Safenames Ltd. (AS60819)	3
inmotionhosting.com	INMOTION (AS22611)	1
amber.systems	OVH SAS (AS16276)	1
CLOUDFLARENET	ESTOXY OU (AS3920)	1
example.com	JSC Selectel (AS49505)	1
Hetzner Online GmbH	Servers Tech Fzco (AS216071)	1
CLOUDFLARENET	OVH SAS (AS16276)	10
GANDI SAS	Scaleway S.a.s. (AS12876)	6
CLOUDFLARENET	SHOCK-1 (AS395092)	1
OVH SAS	AMAZON-AES (AS14618)	2
ipcom GmbH	AMAZON-02 (AS16509)	27
NForce Entertainment B.V.	Hetzner Online GmbH (AS24940)	4
Cronon GmbH	Strato GmbH (AS6724)	6
AMAZON-02	Team Internet AG (AS206834)	13
OVH SAS	Bouygues Telecom SA (AS5410)	2
lwsdns.com	Groupe LWS SARL (AS210403)	24
CLOUDFLARENET	Hetzner Online GmbH (AS212317)	1
easydns.ca	AMAZON-AES (AS14618)	1
NUCDN	Team Internet AG (AS61969)	19
portsdns.net	Tele2 SWIPnet (AS1257)	1
SEDO GmbH	SEDO GmbH (AS47846)	9
Scaleway S.a.s.	Free SAS (AS12322)	7
CLOUDFLARENET	AS-COLOCROSSING (AS36352)	3
edf.fr	Electricite de France SA (AS1301)	1
indomco.com	CSC (AS19574)	5
AMAZON-02	AMAZON-02 (AS16509)	6
ipcom GmbH	SafeBrands S.A.S. (AS34173)	1
iwantmyname.net	InterNetX GmbH (AS15456)	4
AMAZON-02	Team Internet AG (AS61969)	20
dnsip.com	DXTL Tseung Kwan O Service (AS134548)	1
one.com	AS-VULTR (AS20473)	1
ralexm.cloud	OVH SAS (AS16276)	2
OVH SAS	Scaleway S.a.s. (AS12876)	8
celya.fr	GANDI SAS (AS29169)	2
NSONE	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	2
Hetzner Online GmbH	Bastiaan Mathijs Brink (AS215248)	10
ipcom GmbH	Mammoth Media Pty Ltd (AS133159)	1
OVH SAS	Regie du reseau cable du haut sundgau (AS50547)	1
NSONE	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
soverin.net	Soverin B.V. (AS211993)	1
dnsv2.com	Hetzner Online GmbH (AS24940)	1
OVH SAS	Free SAS (AS12322)	4
dnsdomene.net	Tilda Publishing Ltd. (AS205282)	1
Host Europe GmbH	Host Europe GmbH (AS8972)	9
dns26.net	CTS Computers and Telecommunications Systems SAS (AS35393)	1
kei.pl	Cyber_Folks S.A. (AS29522)	1
NForce Entertainment B.V.	AMAZON-02 (AS16509)	5
NForce Entertainment B.V.	ORACLE-BMC-31898 (AS31898)	1
azehosting.net	Hetzner Online GmbH (AS24940)	1
OVH SAS	Societe Francaise Du Radiotelephone - SFR SA (AS15557)	3
GANDI SAS	AMAZON-AES (AS14618)	2
webhosting4.me	Hetzner Online GmbH (AS24940)	1
hostup.se	Hostup AB (AS214640)	2
CLOUDFLARENET	Lyse Tele (AS29695)	4
poliman.net	OVH SAS (AS16276)	1
bb-online.biz	AS-VULTR (AS20473)	4
Cronon GmbH	Cronon GmbH (AS6786)	1
ch-meta.net	METANET AG (AS21069)	1
CLOUDFLARENET	velia.net Internetdienste GmbH (AS29066)	1
Host Europe GmbH	Heart Internet limited (AS20738)	2
GANDI SAS	Hetzner Online GmbH (AS24940)	9
Host Europe GmbH	netcup GmbH (AS197540)	1
gransy.com	CASABLANCA INT a.s. (AS15685)	2
GANDI SAS	Akamai Connected Cloud (AS63949)	1
OVH SAS	CLOUDFLARENET (AS13335)	5
awsdns-06.net	AMAZON-02 (AS16509)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	9
hosting-linux.it	Server Plan S.r.l. (AS52030)	1
CLOUDFLARENET	PrJSC VF UKRAINE (AS21497)	2
CLOUDFLARENET	ML Consultancy (AS9150)	1
routing.net	Hosting.de GmbH (AS12574)	2
NForce Entertainment B.V.	MULTA-ASN1 (AS35916)	2
markmonitor.zone	AMAZON-02 (AS16509)	2
ab stract ltd	IQWeb FZ-LLC (AS59692)	4
NSONE	Netsec Limited (AS45753)	1
MICROSOFT-CORP-MSN-AS-BLOCK	GANDI SAS (AS29169)	1
dnsimple.com	AMAZON-02 (AS16509)	2
ab stract ltd	Clouvider Limited (AS62240)	1
CLOUDFLARENET	Bahnhof AB (AS8473)	1
CLOUDFLARENET	Fastmail Pty Ltd (AS151847)	9
CLOUDFLARENET	Skycloud Computing co., Ltd. (AS7483)	1
co.uk	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
one.com	Netservice (AS202228)	1
CLOUDFLARENET	HOSTWINDS (AS54290)	1
awsdns-08.org	AMAZON-02 (AS16509)	2
register.ch	Combell NV (AS34762)	1
webspeciaal.nl	Serverius Holding B.V. (AS50673)	1
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
GANDI SAS	OVH SAS (AS16276)	12
CLOUDFLARENET	UK Dedicated Servers Limited (AS42831)	2
Hetzner Online GmbH	GOOGLE (AS15169)	1
OVH SAS	netcup GmbH (AS197540)	6
brandshelter.com	AMAZON-02 (AS16509)	3
CLOUDFLARENET	Signet B.V. (AS20857)	1
Infomaniak Network SA	Odido Netherlands B.V. (AS50266)	1
NForce Entertainment B.V.	IONOS SE (AS8560)	1
euro-space.net	Iomart Cloud Services Limited (AS20860)	1
Cloud DNS Ltd	NForce Entertainment B.V. (AS43350)	1
pulseheberg.net	Serverd SAS (AS62000)	3
wilco3d.com	PRIVATESYSTEMS (AS63410)	1
MICROSOFT-CORP-MSN-AS-BLOCK	A2HOSTING (AS55293)	1
ports.se	One.com A/S (AS51468)	1
CLOUDFLARENET	GOOGLE (AS15169)	2
hostnet.nl	One.com A/S (AS51468)	5
ab stract ltd	Regxa Company for Information Technology Ltd (AS215311)	1
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	5
CLOUDFLARENET	Hyperoptic Ltd (AS56478)	2
dominiok.it	Hetzner Online GmbH (AS24940)	1
OVH SAS	AMAZON-02 (AS16509)	14
planethoster.net	PLANETHOSTER-8 (AS53589)	2
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	2
CLOUDFLARENET	Contabo GmbH (AS51167)	5
GANDI SAS	GOOGLE-CLOUD-PLATFORM (AS396982)	2
ab stract ltd	NexonHost Srl (AS62390)	3
ab stract ltd	Virtual Systems LLC (AS30860)	1
ab stract ltd	ab stract ltd (AS39287)	21
awsdns-33.org	AMAZON-02 (AS16509)	1
Host Europe GmbH	Host Europe GmbH (AS21499)	10
inwx.es	InterNetworX Management GmbH (AS48596)	3
inddee.com	20i Limited (AS48254)	1
NUCDN	FASTLY (AS54113)	1
GOOGLE-CLOUD-PLATFORM	GOOGLE-CLOUD-PLATFORM (AS396982)	9
CLOUDFLARENET	Odido Netherlands B.V. (AS50266)	4
behostings.net	VERIXI SA (AS6696)	2
one.com	Hetzner Online GmbH (AS24940)	4
internetdomainnameregistrar.org	Gigacodes GmbH (AS44949)	2
CLOUDFLARENET	HOSTHATCH (AS63473)	1
awsdns-15.org	AMAZON-02 (AS16509)	1
CLOUDFLARENET	EWE-Tel GmbH (AS9145)	1
CLOUDFLARENET	xTom Japan Corporation (AS3258)	1
HURRICANE	FASTLY (AS54113)	1
wedos.com	WEDOS Internet, a.s. (AS197019)	1
NetActuate, Inc	Association GRIFON (AS204092)	1
tweet.pm	AMAZON-02 (AS16509)	1
