linode.com	Akamai Connected Cloud (AS63949)	15
idp365.net	Safenames Ltd. (AS60819)	2
markmonitor.com	AMAZON-02 (AS16509)	24
awsdns-25.net	AMAZON-02 (AS16509)	4
CLOUDFLARENET	CLOUDFLARENET (AS13335)	21
awsdns-49.net	AMAZON-02 (AS16509)	1
eclipse.pn	StrataNet (AS58423)	1
netflix.net	AMAZON-02 (AS16509)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	16
co.nz	AMAZON-02 (AS16509)	3
intel.com	INTEL-SC-AS (AS4983)	1
GANDI SAS	Akamai Connected Cloud (AS63949)	1
anlremote.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
ultranameservers.com	DF-TUKWILA01 (AS3361)	1
HURRICANE	Sony Network Communications Inc. (AS2527)	3
CLOUDFLARENET	INCAPSULA (AS19551)	7
awsdns-29.net	AMAZON-AES (AS14618)	1
netech.net	CDLAN SpA (AS20836)	2
ns14.net	Plusnet GmbH (AS20676)	1
streamguys.net	SERVERCENTRAL (AS23352)	1
HURRICANE	AMAZON-02 (AS16509)	1
netsto.net	OWGELS INTERNATIONAL CO., LIMITED (AS139880)	1
wpdns.host	AS-VULTR (AS20473)	1
MICROSOFT-CORP-MSN-AS-BLOCK	KYN-GTS (AS14904)	2
co.nz	Akamai Connected Cloud (AS63949)	10
h2.pn	StrataNet (AS58423)	1
Akamai International B.V.	MOTOROLA-SOLUTIONS (AS19773)	1
Akamai International B.V.	AMAZON-02 (AS16509)	2
Akamai International B.V.	CSC (AS19574)	1
wwe.com	AMAZON-AES (AS14618)	1
register.it	Register S.p.A. (AS39729)	3
lovellsnames.org	FACEBOOK (AS32934)	2
co.jp	Yahoo Japan (AS24572)	1
awsdns-15.org	GOOGLE-CLOUD-PLATFORM (AS396982)	2
domainnetwork.se	CSC (AS19574)	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	4
ultradns.biz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
SECURITYSERVICES	CENTURYLINK-LEGACY-SAVVIS (AS3561)	1
SECURITYSERVICES	CSC (AS19574)	15
dnsmadeeasy.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
markmonitor.com	HILTON-E (AS26529)	3
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	1
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
volkswagen.de	Volkswagen AG (AS206618)	2
awsdns-06.com	DIGICERT (AS16552)	1
SECURITYSERVICES	SECURITYSERVICES (AS12008)	3
on.pn	StrataNet (AS58423)	1
ultradns.biz	SECURITYSERVICES (AS12008)	1
i.pn	WorldStream B.V. (AS49981)	1
3m.com	AMAZON-02 (AS16509)	2
hosthongkong.com	Tele Asia Limited (AS133398)	1
bb.pn	StrataNet (AS58423)	1
portsdns.net	FASTLY (AS54113)	1
awsdns-03.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	1
co.uk	AMAZON-02 (AS16509)	2
dnsvisa.com	CLOUDFLARENET (AS13335)	1
audi.de	Audi AG (AS12331)	1
SECURITYSERVICES	DXC-AS3360 (AS3360)	1
ip.pn	WorldStream B.V. (AS49981)	1
ovh.net	OVH SAS (AS16276)	1
ipmanagerinc.net	AMAZON-02 (AS16509)	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
GANDI SAS	Scaleway S.a.s. (AS12876)	1
parkingcrew.net	Team Internet AG (AS61969)	1
datapipe.net	AMAZON-AES (AS14618)	1
whirlpool.com	ATT-INTERNET4 (AS7018)	1
siteground.net	GOOGLE (AS15169)	1
yahoo.com	AMAZON-02 (AS16509)	1
whirlpool.com	LUMOS (AS7795)	1
Akamai International B.V.	NCUBE-OREGON-AS (AS1219)	1
zoneedit.com	SiteHost New Zealand (AS45179)	1
rightsdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
vercel-dns.com	AMAZON-02 (AS16509)	1
awsdns-42.org	AMAZON-02 (AS16509)	1
HURRICANE	Akamai Connected Cloud (AS63949)	2
ericsson.se	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	1
sf.pn	StrataNet (AS58423)	1
CLOUDFLARENET	CENTURYLINK-US-LEGACY-QWEST (AS209)	1
awsdns-28.net	AMAZON-02 (AS16509)	1
SECURITYSERVICES	UPS (AS12217)	1
ultradns.biz	ALLST-15290 (AS15290)	1
facebook.com	FACEBOOK (AS32934)	1
awsdns-05.org	AMAZON-02 (AS16509)	1
zoneedit.com	EDNS (AS16686)	1
woop.cc	IONOS SE (AS8560)	1
widhost.net	Aruba S.p.A. (AS31034)	1
Akamai International B.V.	MASTER-7-AS (AS26380)	1
GANDI SAS	GANDI SAS (AS29169)	1
gcd-dns.com	AMAZON-02 (AS16509)	1
keymachine.de	Keyweb AG (AS31103)	2
dr.pn	StrataNet (AS58423)	1
NSONE	GOOGLE (AS15169)	3
IONOS SE	Hotel Reservation Service Robert Ragge GmbH (AS28801)	1
nameshield.net	Nameshield SAS (AS20756)	1
HURRICANE	SQUARESPACE (AS53831)	1
rightsdns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
safenames.com	AMAZON-02 (AS16509)	1
googledomains.com	GOOGLE (AS15169)	1
l3.pn	StrataNet (AS58423)	1
hostpoint.ch	Hostpoint AG (AS29097)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	2
vche.net	MULTA-ASN1 (AS35916)	1
dbpz.com	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	1
digitalocean.com	DIGITALOCEAN-ASN (AS14061)	1
markmonitor.com	AMAZON-AES (AS14618)	1
awsdns-36.com	AMAZON-02 (AS16509)	1
dig.com	AMAZON-02 (AS16509)	1
secureserver.net	GO-DADDY-COM-LLC (AS398101)	1
experian.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
awsdns-03.com	WBD-AS40703 (AS40703)	1
MICROSOFT-CORP-MSN-AS-BLOCK	GIONA (AS22838)	1
registrar-servers.com	Akamai Connected Cloud (AS63949)	1
smart.car	AMAZON-02 (AS16509)	1
bosch.de	Robert Bosch Gesellschaft mit Beschraenkter Haftung (AS9183)	1
CLOUDFLARENET	LeaseWeb Netherlands B.V. (AS60781)	1
warnerbros.com	AMAZON-02 (AS16509)	2
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	2
dreamhost.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
neubox.net	AS17378 (AS17378)	1
awsdns-04.net	AMAZON-02 (AS16509)	1
hosthongkong.net	Tele Asia Limited (AS133398)	1
porsche.asia	Dr. Ing. h.c. F. Porsche AG (AS33848)	1
nic.pn	Akamai Connected Cloud (AS63949)	1
digitalocean.com	FASTLY (AS54113)	1
ipv64.net	Deutsche Telekom AG (AS3320)	1
awsdns-41.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
int.pn	StrataNet (AS58423)	1
awsdns-14.net	OVH SAS (AS16276)	1
safenames.com	Safenames Ltd. (AS60819)	1
netsuccess.net	Sunrise GmbH (AS6730)	1
awsdns-18.org	GSL Networks Pty LTD (AS137409)	1
nic.pn	CLOUDFLARENET (AS13335)	1
perf1.com	Nameshield SAS (AS20756)	1
dreamhost.com	DREAMHOST-AS (AS26347)	1
