nameaction.com	Telmex Chile Internet S.A. (AS6429)	2
CLOUDFLARENET	AMAZON-02 (AS16509)	48
shutterfly.com	AMAZON-02 (AS16509)	1
Host Europe GmbH	INMOTION (AS22611)	1
CLOUDFLARENET	ATT-INTERNET4 (AS7018)	1
SECURITYSERVICES	CSC (AS19574)	44
CLOUDFLARENET	INCAPSULA (AS19551)	19
Safenames Ltd.	Safenames Ltd. (AS60819)	11
SECURITYSERVICES	SECURITYSERVICES (AS12008)	11
CLOUDFLARENET	CLOUDFLARENET (AS13335)	23
ports.se	Tele2 SWIPnet (AS1257)	1
NUCDN	Team Internet AG (AS61969)	3
verisigndns.com	DIGICERT (AS16552)	1
perf1.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	3
emirates.com	AMAZON-02 (AS16509)	1
Akamai International B.V.	MSTRARIN-1 (AS13410)	1
rightsdns.com	AMAZON-02 (AS16509)	2
ipcom GmbH	AMAZON-02 (AS16509)	5
NSONE	AMAZON-02 (AS16509)	3
CLOUDFLARENET	INMOTION (AS22611)	1
ORACLE-BMC-31898	COGECO-PEER1 (AS13768)	2
dtag.de	T-Systems International GmbH (AS34086)	3
netim.net	Eurofiber France SAS (AS24935)	3
dandomain.dk	team.blue Denmark A/S (AS48854)	1
domainnetwork.se	CSC (AS19574)	3
SECURITYSERVICES	UUNET (AS701)	1
bdwebhost.com	velia.net Internetdienste GmbH (AS29066)	1
ultradns.biz	RACKSPACE (AS19994)	1
Akamai International B.V.	LENOVO-NET (AS20111)	4
tu.pr	UNIFIEDLAYER-AS-1 (AS46606)	4
dondominio.com	Soluciones Corporativas IP, SL (AS57910)	4
smart.car	AMAZON-02 (AS16509)	1
rackspace.com	RACKSPACE (AS27357)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	2
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	8
markmonitor.com	AMAZON-02 (AS16509)	30
lemarit.de	Liebherr-IT Services GmbH (AS30915)	1
SCAAM0001	HCL Technologies Sweden AB (AS209236)	2
entorno.com	Adam EcoTech, S.A (AS15699)	1
dreamhost.com	DREAMHOST-AS (AS26347)	1
SECURITYSERVICES	AMAZON-AES (AS14618)	3
AMAZON-02	OVH SAS (AS16276)	11
awsdns-25.net	AMAZON-02 (AS16509)	3
awsdns-13.net	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
Host Europe GmbH	AMAZON-02 (AS16509)	6
SECURITYSERVICES	COGECO-PEER1 (AS13768)	4
domainoo.fr	Planet Service SARL (AS61168)	1
safenames.com	AMAZON-02 (AS16509)	1
NSONE	Mercedes-Benz Group AG (AS31399)	1
namecheaphosting.com	NAMECHEAP-NET (AS22612)	1
totalenergies.biz	CLOUDFLARENET (AS13335)	1
hostmonster.com	Hostinger International Limited (AS47583)	1
netim.net	UNIFIEDLAYER-AS-1 (AS46606)	2
SECURITYSERVICES	Telia Company AB (AS3308)	1
NSONE	AMAZON-AES (AS14618)	2
SECURITYSERVICES	FLOWERS (AS54986)	2
SECURITYSERVICES	15347 (AS15347)	2
gandi.net	OVH SAS (AS16276)	1
co.uk	AMAZON-AES (AS14618)	6
com.br	BANCO BRADESCO SA (AS28586)	1
co.kr	LG DACOM Corporation (AS3786)	1
Akamai International B.V.	TDC Holding A/S (AS3292)	1
zoneedit.com	EDNS (AS16686)	1
Akamai International B.V.	MASTER-7-AS (AS26380)	3
com.pr	UUNET (AS702)	1
awsdns-42.org	AMAZON-02 (AS16509)	1
c6p.net	TIER-NET (AS397423)	1
websitewelcome.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
awsdns-45.net	AMAZON-AES (AS14618)	1
Akamai International B.V.	NCUBE-OREGON-AS (AS1219)	1
com.ar	ATT-INTERNET4 (AS7018)	1
mcafee.com	TRELLIXANY (AS46484)	1
ORACLE-BMC-31898	IFOXNETODPD-ENSONO-DCCS (AS19229)	1
dig.com	AMAZON-02 (AS16509)	4
amigokit.com	NTT-DATA-2914 (AS2914)	1
fn2.de	HVC-AS (AS29802)	1
cloudns.net	NForce Entertainment B.V. (AS43350)	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
NSONE	Akamai International B.V. (AS213120)	1
avnet.com	AVNET-NA (AS14990)	1
webair.net	Webair Internet Development Company LLC (AS60281)	1
ultradns.biz	AUTOMATTIC (AS2635)	1
safenames.com	Safenames Ltd. (AS60819)	8
3m.com	AMAZON-02 (AS16509)	3
amzndns.com	AMAZON-02 (AS16509)	1
dns-parking.com	Hostinger International Limited (AS47583)	2
markmonitor.com	AVAYA (AS18676)	1
cscudns.com	CSC (AS19574)	1
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
awsdns-15.net	CORESPACE-DAL (AS54489)	1
sandalsbeta.com	AMAZON-02 (AS16509)	1
markmonitor.zone	Cloudflare London, LLC (AS209242)	1
awsdns-15.net	UUNET (AS701)	3
plusserver.com	PlusServer GmbH (AS61157)	1
nsroot1.com	Akamai International B.V. (AS33905)	2
one.com	One.com A/S (AS51468)	1
SECURITYSERVICES	INS-AS (AS2386)	1
awsdns-01.org	AMAZON-AES (AS14618)	1
brandshelter.com	AMAZON-02 (AS16509)	1
pearson.com	Pearson Shared Services Ltd (AS29016)	1
ultradns.biz	AMAZON-AES (AS14618)	1
zaccodigitaltrustlabs.se	DIGICERT (AS16552)	1
amigokit.com	GAMELOFT (AS11807)	1
Host Europe GmbH	QTS-MIA (AS11767)	1
awsdns-10.com	AMAZON-AES (AS14618)	1
shell.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
digitalocean.com	DIGITALOCEAN-ASN (AS14061)	2
princess.com	CARNIVALCORP-ASN1 (AS63222)	1
markmonitor.com	GOOGLE (AS15169)	2
awsdns-14.net	AMAZON-AES (AS14618)	1
register.it	Register S.p.A. (AS39729)	4
awsdns-05.org	AMAZON-02 (AS16509)	1
