CLOUDFLARENET	AMAZON-02 (AS16509)	146
AS-VULTR	AS-VULTR (AS20473)	33
CLOUDFLARENET	CLOUDFLARENET (AS13335)	724
Palestine Telecommunications Company (PALTEL)	Palestine Telecommunications Company (PALTEL) (AS12975)	386
CLOUDFLARENET	SQUARESPACE (AS53831)	3
Akamai International B.V.	Akamai International B.V. (AS20940)	8
xado.com	Hetzner Online GmbH (AS24940)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	430
Injazat Technologies LTD	Injazat Technologies LTD (AS208071)	205
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	83
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	21
Atman Sp. z o.o.	Atman Sp. z o.o. (AS15694)	7
gov.ps	Palestine Telecommunications Company (PALTEL) (AS12975)	36
IS-AS-1	IS-AS-1 (AS19318)	12
parking.money	DIGITALOCEAN-ASN (AS14061)	1
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	17
main-hosting.eu	Hostinger International Limited (AS47583)	2
GTT Communications Inc.	GTT Communications Inc. (AS3257)	18
i-net.ps	iNET Solutions for computer Co. (AS48270)	89
inmotionhosting.com	INMOTION (AS22611)	50
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	48
ab stract ltd	Zubritska Valeriia Nikolaevna (AS207560)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Palestine Telecommunications Company (PALTEL) (AS12975)	21
CLOUDFLARENET	Hostinger International Limited (AS47583)	168
ns14.net	IONOS SE (AS8560)	7
wordpress.com	AUTOMATTIC (AS2635)	1
Palestine Telecommunications Company (PALTEL)	DIGITALOCEAN-ASN (AS14061)	7
hadarapal.com	Palestine Telecommunications Company (PALTEL) (AS12975)	1
webhostbox.net	UNIFIEDLAYER-AS-1 (AS46606)	3
youcan.shop	SOFTLAYER (AS36351)	1
vivawebhost.com	Telehouse EAD (AS57344)	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	7
black-friday.ps	Contabo GmbH (AS51167)	1
AMAZON-02	WHG Hosting Services Ltd (AS209341)	35
CLOUDFLARENET	NAMEHERO-KCDC (AS399250)	2
IONOS SE	IONOS SE (AS8560)	25
farid.ps	Akamai Connected Cloud (AS63949)	1
Knipp Medien und Kommunikation GmbH	Host Europe GmbH (AS8972)	2
CLOUDFLARENET	Contabo GmbH (AS51167)	3
netim.net	Eurofiber France SAS (AS24935)	30
BIZLAND-SD	BIZLAND-SD (AS29873)	7
CLOUDFLARENET	INCAPSULA (AS19551)	42
Mada Al-Arab General Services Company	Palestine Telecommunications Company (PALTEL) (AS12975)	3
AMAZON-02	AMAZON-02 (AS16509)	20
register.it	Register S.p.A. (AS39729)	17
example.ltd	Contabo GmbH (AS51167)	1
