GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	10525
CLOUDFLARENET	Vivacom Bulgaria EAD (AS8866)	1
sedoparking.com	SEDO GmbH (AS47846)	321
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	1916
myhostadmin.net	I LAYER LIMITED (AS137899)	107
CLOUDFLARENET	CLOUDFLARENET (AS13335)	5772
timeweb.org	TimeWeb LLC (AS9123)	27
dnscloudserver.in	Hetzner Online GmbH (AS24940)	1
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	276
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	1328
CLOUDFLARENET	FD-298-8796 (AS8796)	106
netim.net	Eurofiber France SAS (AS24935)	12
Beget LLC	Baykov Ilya Sergeevich (AS41745)	1
co.za	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
GMO Internet Group, Inc.	AMAZON-02 (AS16509)	7
Host Europe GmbH	AMAZON-02 (AS16509)	1819
markmonitor.com	AMAZON-02 (AS16509)	86
GOOGLE	SQUARESPACE (AS53831)	205
Domain names registrar REG.RU, Ltd	Mt Finance LLC (AS214822)	5
Hangzhou Alibaba Advertising Co.,Ltd.	Cloudie Limited (AS55933)	57
sytek.net	Hetzner Online GmbH (AS24940)	1
wndp.pt	RELIABLESITE (AS23470)	1
Gransy s.r.o.	Gransy s.r.o. (AS60592)	1079
CLOUDFLARENET	Hostinger International Limited (AS47583)	402
SECURITYSERVICES	CSC (AS19574)	83
Beget LLC	Beget LLC (AS198610)	487
VITAL-DNS	StarHub Ltd (AS4657)	1
Beget LLC	Servers Tech Fzco (AS216071)	4
AMAZON-AES	AMAZON-AES (AS14618)	81
SECURITYSERVICES	COGECO-PEER1 (AS13768)	72
VITAL-DNS	LIWEST Kabelmedien GmbH (AS12605)	1
oray.net	shanghai science and technology network communication limited company (AS17775)	1
SECURITYSERVICES	CNSERVERS (AS40065)	81
CLOUDFLARENET	AMAZON-02 (AS16509)	947
SECURITYSERVICES	AS-COLOCROSSING (AS36352)	12
Host Europe GmbH	WHG Hosting Services Ltd (AS199404)	1
Hangzhou Alibaba Advertising Co.,Ltd.	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	110
koaladns.com	NForce Entertainment B.V. (AS43350)	3
