HURRICANE	AMAZON-02 (AS16509)	13
IRUM SA	IRUM SA (AS210343)	9
ROMARG SRL	ROMARG SRL (AS205275)	23117
AMAZON-02	Team Internet AG (AS61969)	10151
VNET a.s.	VNET a.s. (AS29405)	86
xtensionz.net	IOFLOOD (AS53755)	1
dry-ice.ro	CHML Web Services SRL (AS40975)	2
Hetzner Online GmbH	GTS Telecom SRL (AS5606)	2605
DIGITALOCEAN-ASN	Contabo GmbH (AS51167)	2773
CLOUDFLARENET	OVH SAS (AS16276)	144
CLOUDFLARENET	CLOUDFLARENET (AS13335)	17889
semantik.ro	Voxility LLP (AS3223)	2
GTS Telecom SRL	GTS Telecom SRL (AS5606)	7885
dotdesign.ro	GTS Telecom SRL (AS5606)	33
Space Ro SRL	Space Ro SRL (AS50939)	468
oneithosting.com	Hetzner Online GmbH (AS24940)	20
CLOUDFLARENET	UAB Interneto vizija (AS212531)	28
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	918
gazduire.net	Tes Euro Media SRL (AS51295)	2626
Hetzner Online GmbH	CLAUS WEB srl (AS203053)	9303
OVH SAS	OVH SAS (AS16276)	2444
hostx.ro	GTS Telecom SRL (AS5606)	1289
Hosterion Srl	Hosterion Srl (AS43927)	5991
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	3509
iNES GROUP SRL	iNES GROUP SRL (AS12310)	328
unknown	Contabo GmbH (AS51167)	453
com.ro	SMART InterComp SRL (AS41818)	14
dataserver.ro	M247 Europe SRL (AS9009)	8
webecom.ro	Cyber_Folks SRL (AS34358)	184
nexloc.ro	Exim Host SRL (AS211611)	2070
fabricadepiese.ro	Digi Romania S.A. (AS8708)	1
CLOUDFLARENET	GOOGLE (AS15169)	49
ipcom GmbH	Datacenter Luxembourg S.A. (AS24611)	17
tlh.ro	GTS Telecom SRL (AS5606)	325
register.it	Register S.p.A. (AS39729)	184
My Server Media Srl	My Server Media Srl (AS31244)	1193
spatiul.ro	Space Ro SRL (AS50939)	1766
GOOGLE	Wix.com Ltd. (AS58182)	1680
iova.ro	WIIT AG (AS24961)	1
netim.net	Eurofiber France SAS (AS24935)	661
Hydra Communications Ltd	Enix Ltd (AS52148)	25
ROMARG SRL	AMAZON-02 (AS16509)	175
MICROSOFT-CORP-MSN-AS-BLOCK	Netprotect Srl (AS50667)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	907
Cyber_Folks SRL	Cyber_Folks SRL (AS44043)	1067
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	207
mxserver.ro	Cyber_Folks SRL (AS44043)	2369
CLOUDFLARENET	Digi Romania S.A. (AS8708)	487
Easyhost Srl	Easyhost Srl (AS39756)	770
iphh.de	IPHH Internet Port Hamburg GmbH (AS12731)	2
aicovo-dns.info	Hetzner Online GmbH (AS24940)	8
rohost.com	GTS Telecom SRL (AS5606)	827
M247 Europe SRL	M247 Europe SRL (AS9009)	361
NUCDN	Datacenter Luxembourg S.A. (AS24611)	481
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	133
CLOUDFLARENET	Lansoft Data Srl (AS31554)	153
host-vision.com	GTS Telecom SRL (AS5606)	285
Voxility LLP	Voxility LLP (AS3223)	1480
markmonitor.com	AMAZON-02 (AS16509)	528
cyberfolks.ro	Cyber_Folks SRL (AS44043)	5860
crearesite.ro	ROMARG SRL (AS205275)	4
Rackforest Zrt.	Rackforest Zrt. (AS62214)	146
AMAZON-02	WHG Hosting Services Ltd (AS209341)	116
sol-center.ro	Solutions Center Srl (AS62074)	4
Hetzner Online GmbH	Contabo GmbH (AS51167)	56
GTS Telecom SRL	CLOUDFLARENET (AS13335)	496
getspace.us	Hetzner Online GmbH (AS24940)	723
dnsres.net	AMAZON-02 (AS16509)	1
thirdeye.it	Parvati Srl (AS60975)	1
AMAZON-02	cyon GmbH (AS47302)	2
IONOS SE	united-domains GmbH (AS202108)	633
open-dns.net	LoadEdge Limited (AS32708)	3
datahouse.ro	Opticnet-serv S.r.l. (AS52023)	15
daui.ro	Cyber_Folks SRL (AS44043)	3
MICROSOFT-CORP-MSN-AS-BLOCK	Servergarden Kft. (AS47381)	6
buddyns.com	ROMARG SRL (AS205275)	9
HURRICANE	FASTLY (AS54113)	5
host-vision.com	Cyber_Folks SRL (AS44043)	1890
AMAZON-02	GOOGLE (AS15169)	420
Cloud Vault SRL	Cloud Vault SRL (AS50819)	26
Sc Pidgin Host Srl	Sc Pidgin Host Srl (AS59632)	7
marvo.ro	GTS Telecom SRL (AS5606)	1
myhost.ro	GTS Telecom SRL (AS5606)	890
thinline.cz	PRO-ZETA a.s. (AS60606)	18
CLOUDFLARENET	Hostinger International Limited (AS47583)	2251
online.pro	home.pl S.A. (AS12824)	347
SECURITYSERVICES	SECURITYSERVICES (AS12008)	90
registrar-servers.com	CLOUDFLARENET (AS13335)	23
WebSupport s.r.o.	AMAZON-02 (AS16509)	2
Digi Romania S.A.	Digi Romania S.A. (AS8708)	1298
shopmania.org	M247 Europe SRL (AS9009)	777
Nessus GmbH	CLOUDFLARENET (AS13335)	4
ACTIVE 24, s.r.o.	WebSupport s.r.o. (AS51013)	312
ROMARG SRL	CLOUDFLARENET (AS13335)	711
G-Core Labs S.A.	eTOP sp. z o.o. (AS20853)	394
luconsult.ro	Wolters Kluwer Romania Srl (AS29324)	5
GANDI SAS	GANDI SAS (AS29169)	696
Wildcard UK Limited	CLOUDFLARENET (AS13335)	10
ROMARG SRL	Ddos-guard Ltd (AS57724)	1
audioexcellence.ro	Alsys Net SRL (AS25409)	1
versanus.eu	Invitech ICT Services Kft. (AS12301)	12
Magit'st Srl	Magit'st Srl (AS49468)	701
Easy Media SRL	Easy Media SRL (AS44544)	137
SECURITYSERVICES	CSC (AS19574)	877
voicemedia.ro	Hetzner Online GmbH (AS24940)	116
NSONE	AMAZON-02 (AS16509)	831
Vautron Rechenzentrum AG	Hetzner Online GmbH (AS24940)	50
NUCDN	Team Internet AG (AS61969)	379
Webhost LLC	Webhost LLC (AS44094)	4
Teron Systems Srl	Teron Systems Srl (AS41752)	20
CLOUDFLARENET	INCAPSULA (AS19551)	335
Voxility LLP	CLOUDFLARENET (AS13335)	152
Hetzner Online GmbH	CLOUDFLARENET (AS13335)	248
ipcom GmbH	Tencent Building, Kejizhongyi Avenue (AS132203)	1
Pronet Solutii IT SRL	Pronet Solutii IT SRL (AS35505)	14
afraid.org	Space Ro SRL (AS50939)	1
Cyber_Folks SRL	GTS Telecom SRL (AS5606)	1141
Seonet Multimedia s.r.o.	DIGITALOCEAN-ASN (AS14061)	1
bremen-nord.de	Hetzner Online GmbH (AS24940)	5
gazduire.ro	GTS Telecom SRL (AS5606)	1824
MICROSOFT-CORP-MSN-AS-BLOCK	Hetzner Online GmbH (AS24940)	51
CLOUDFLARENET	Magyar Telekom Plc. (AS5483)	9
ducadu.org	Opticnet-serv S.r.l. (AS52023)	172
CLOUDFLARENET	AMAZON-02 (AS16509)	909
qweb.co	Infopact Netwerkdiensten B.V. (AS21221)	1
PONYNET	PONYNET (AS53667)	32
titools.ro	Digi Romania S.A. (AS8708)	1
CHML Web Services SRL	CHML Web Services SRL (AS40975)	574
taparo.ro	Digi Romania S.A. (AS8708)	1
HURRICANE	Voxility LLP (AS3223)	8
dynamic-sg.ro	CLAUS WEB srl (AS203053)	1
zooku.com	GTS Telecom SRL (AS5606)	227
standardweb.net	Hetzner Online GmbH (AS24940)	18
DIGICERT	DIGICERT (AS16552)	58
orw.ro	Cyber_Folks SRL (AS44043)	3
online.pro	CLOUDFLARENET (AS13335)	69
namebox.ro	GTS Telecom SRL (AS5606)	993
web-host.ro	Chroot Network SRL (AS56430)	728
Prime Telecom srl	Prime Telecom srl (AS39737)	187
IONOS SE	Deutsche Telekom AG (AS3320)	3
openvision.ro	Cyber_Folks SRL (AS34358)	43
