GOOGLE	Wix.com Ltd. (AS58182)	29
Infomaniak Network SA	Infomaniak Network SA (AS29222)	13
Olleh-Rwanda-Networks	Olleh-Rwanda-Networks (AS37228)	363
Contabo GmbH	Contabo GmbH (AS51167)	189
gcd-dns.com	AMAZON-02 (AS16509)	3
Host Europe GmbH	AMAZON-02 (AS16509)	50
sedoparking.com	SEDO GmbH (AS47846)	265
AMAZON-02	WHG Hosting Services Ltd (AS51713)	35
CLOUDFLARENET	CLOUDFLARENET (AS13335)	304
OVH SAS	OVH SAS (AS16276)	92
seodns.one	PONYNET (AS53667)	1
Liquid Telecommunications Ltd	Liquid Telecommunication Rwanda (AS37006)	8
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	102
supremepanel.com	UK Dedicated Servers Limited (AS42831)	8
CLOUDFLARENET	Hostinger International Limited (AS47583)	146
sedoparking.com	AMAZON-02 (AS16509)	60
SECURITYSERVICES	CSC (AS19574)	59
awsdns-16.net	WBD-AS40703 (AS40703)	1
cloudns.net	AMAZON-02 (AS16509)	1
perf1.com	Nameshield SAS (AS20756)	10
NSONE	GOOGLE (AS15169)	3
hostgator.com	ORACLE-BMC-31898 (AS31898)	2
NSONE	AMAZON-02 (AS16509)	122
CLOUDFLARENET	AMAZON-02 (AS16509)	51
awsdns-10.org	AMAZON-AES (AS14618)	2
contabo.net	Contabo GmbH (AS51167)	18
Olleh-Rwanda-Networks	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
ebdhosting.com	LIQUIDNETLTD1 (AS14555)	17
verisigndns.com	DIGICERT (AS16552)	1
Olleh-Rwanda-Networks	ASACENET1 (AS22878)	36
AMAZON-02	GOOGLE (AS15169)	7
Contabo GmbH	AMAZON-02 (AS16509)	6
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	133
iqhosts.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	3
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	6
keysoftrwanda.com	NAMECHEAP-NET (AS22612)	3
hostingo.com	OVH SAS (AS16276)	1
Host Europe GmbH	SEDO GmbH (AS47846)	59
dnshfe.com	velia.net Internetdienste GmbH (AS29066)	20
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	18
Olleh-Rwanda-Networks	Contabo GmbH (AS51167)	1
IS-AS-1	IS-AS-1 (AS19318)	6
name.com	SOFTLAYER (AS36351)	1
SECURITYSERVICES	CENTURYLINK-LEGACY-SAVVIS (AS3561)	1
CLOUDFLARENET	INCAPSULA (AS19551)	13
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	39
AMAZON-02	A2HOSTING (AS55293)	20
netim.net	Eurofiber France SAS (AS24935)	6
AMAZON-02	WHG Hosting Services Ltd (AS209341)	4
secureserver.net	GO-DADDY-COM-LLC (AS398101)	1
intel.com	INTEL-SC-AS (AS4983)	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	5
warnerbros.com	AMAZON-02 (AS16509)	2
co.za	RL5-AS (AS329206)	4
nexloc.ro	Exim Host SRL (AS211611)	3
PONYNET	PONYNET (AS53667)	61
maisha.host	Aptus (AS37349)	1
awsdns-08.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	23
Dyjix SAS	Dyjix SAS (AS212815)	3
hostinguganda.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
PONYNET	AMAZON-02 (AS16509)	1
SECURITYSERVICES	M&g Investment Management Limited (AS202161)	2
asterisktech.website	WHG Hosting Services Ltd (AS51713)	1
safenames.com	Safenames Ltd. (AS60819)	8
dnsmadeeasy.com	SOFTLAYER (AS36351)	1
AMAZON-02	WHG Hosting Services Ltd (AS36454)	10
barakhand.org	NETWORK-SOLUTIONS-HOSTING (AS19871)	4
AMAZON-02	Cloudflare London, LLC (AS209242)	1
kv-gmbh.de	Hetzner Online GmbH (AS24940)	1
yahoo.com	AMAZON-02 (AS16509)	2
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
volkswagen.de	Volkswagen AG (AS206618)	1
markmonitor.com	AMAZON-02 (AS16509)	44
supremepanel.com	AMAZON-02 (AS16509)	1
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	36
centos-webpanel.com	PUBLIC-DOMAIN-REGISTRY (AS394695)	1
galaxygroup.biz	UNIFIEDLAYER-AS-1 (AS46606)	1
emirates.com	AMAZON-02 (AS16509)	1
bk.rw	Bank-Of-Kigali-AS (AS328180)	1
rightsdns.com	AMAZON-02 (AS16509)	2
nameshield.net	Nameshield SAS (AS20756)	6
