AMAZON-AES	AMAZON-AES (AS14618)	20
SECURITYSERVICES	CENTURYLINK-LEGACY-SAVVIS (AS3561)	1
NSONE	AMAZON-02 (AS16509)	22
SECURITYSERVICES	CSC (AS19574)	49
namedserver.net	GMO GlobalSign Holdings K.K. (AS131921)	1
Host Europe GmbH	AMAZON-02 (AS16509)	38
Hostpoint AG	Hostpoint AG (AS29097)	4
ne.jp	SAKURA Internet Inc. (AS9371)	14
seychelles.net	Measat Satellite Systems Sdn. Bhd. (AS38891)	2
CLOUDFLARENET	AMAZON-02 (AS16509)	118
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	13
hello.sc	PRIVATESYSTEMS (AS63410)	3
GMO Internet Group, Inc.	NTT PC Communications, Inc. (AS2514)	5
DIGICERT	Host Europe GmbH (AS21499)	5
CLOUDFLARENET	CLOUDFLARENET (AS13335)	242
ovo.sc	FlokiNET ehf (AS200651)	1
monopost.com	Greysom Limited (AS12678)	1
joker.com	CSL Computer Service Langenbach GmbH (AS5517)	6
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	29
forpsi.cz	INTERNET CZ, a.s. (AS24806)	1
IONOS SE	IONOS SE (AS8560)	46
second-ns.com	Hetzner Online GmbH (AS24940)	5
eftydns.com	Signet B.V. (AS20857)	3
ipcom GmbH	AMAZON-02 (AS16509)	14
AirtelSeychelles	AirtelSeychelles (AS37343)	4
Cloud DNS Ltd	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
abbviedns.com	SECURITYSERVICES (AS12008)	1
IONOS SE	united-domains GmbH (AS202108)	35
muumuu-domain.com	GMO Internet Group, Inc. (AS7506)	5
CLOUDFLARENET	INCAPSULA (AS19551)	25
Xserver Inc.	Xserver Inc. (AS131965)	16
awsdns-08.com	AMAZON-02 (AS16509)	3
aoi.sc	ARTERIA Networks Corporation (AS17506)	1
sgvps.net	GOOGLE (AS15169)	1
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	21
GANDI SAS	GANDI SAS (AS29169)	46
jits.host	NETWORK-SOLUTIONS-HOSTING (AS19871)	4
awsdns-12.org	Akamai Connected Cloud (AS63949)	1
cphosting.io	Mammoth Media Pty Ltd (AS133159)	2
Akamai International B.V.	Akamai International B.V. (AS20940)	6
CLOUDFLARENET	OVH SAS (AS16276)	12
parklogic.com	Akamai Connected Cloud (AS63949)	10
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	10
kagoya.net	KAGOYA JAPAN Inc. (AS24282)	4
Cloud DNS Ltd	Dimension Network & Communication Limited (AS59371)	2
GMO Internet Group, Inc.	GMO Internet Group, Inc. (AS7506)	23
SECURITYSERVICES	SECURITYSERVICES (AS12008)	6
SECURITYSERVICES	COGECO-PEER1 (AS13768)	2
wpdns.host	GOOGLE (AS15169)	1
GOOGLE	Wix.com Ltd. (AS58182)	23
AMAZON-02	AMAZON-02 (AS16509)	10
netim.net	Eurofiber France SAS (AS24935)	14
jits.info	Hostinger International Limited (AS47583)	1
conoha.io	GMO Internet Group, Inc. (AS58791)	1
Host Europe GmbH	Host Europe GmbH (AS21499)	10
CLOUDFLARENET	SYNLINQ (AS44486)	1
hetzner.com	Hetzner Online GmbH (AS24940)	1
BIZLAND-SD	BIZLAND-SD (AS29873)	15
AMAZON-02	OVH SAS (AS16276)	32
awsdns-22.net	INCAPSULA (AS19551)	1
OVH SAS	OVH SAS (AS16276)	38
IONOS SE	GOOGLE-CLOUD-PLATFORM (AS396982)	1
host-food.ru	LLC Eximius (AS207027)	1
awsdns-01.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	17
GOOGLE	CLOUDFLARENET (AS13335)	1
NSONE	CARINET (AS10439)	1
co.ke	Contabo GmbH (AS51167)	1
awsdns-06.net	AMAZON-02 (AS16509)	1
scale.sc	Hetzner Online GmbH (AS24940)	3
OVH SAS	NETWORK-SOLUTIONS-HOSTING (AS19871)	3
Safenames Ltd.	Safenames Ltd. (AS60819)	8
cyon.ch	cyon GmbH (AS47302)	2
intel.com	INTEL-SC-AS (AS4983)	1
NSONE	Internetport Sweden AB (AS49770)	1
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	16
gov.sc	A2HOSTING (AS55293)	1
GANDI SAS	FASTLY (AS54113)	2
bodis.com	AMAZON-02 (AS16509)	10
AMAZON-02	A2HOSTING (AS55293)	7
ns14.net	Aixit GmbH (AS29551)	1
seychelles.net	Cable & Wireless (Seychelles) (AS36958)	13
NSONE	SOFTLAYER (AS36351)	30
webnames.ca	COGECO-PEER1 (AS13768)	1
net.au	SYNERGY WHOLESALE PTY LTD (AS45638)	3
hostingpalvelu.fi	Planeetta Internet Oy (AS58003)	1
