ports.se	Tele2 SWIPnet (AS1257)	1
IS-AS-1	IS-AS-1 (AS19318)	25
CLOUDFLARENET	IDC, China Telecommunications Corporation (AS23724)	1
AMAZON-02	WHG Hosting Services Ltd (AS14670)	25
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	176
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	40
CLOUDFLARENET	Eurofiber France SAS (AS24935)	1
CLOUDFLARENET	INCAPSULA (AS19551)	17
hostwhitelabel.com	CROCWEB (AS63068)	4
CLOUDFLARENET	GMO Internet Group, Inc. (AS58791)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	4
webaccountserver.com	NETACTUATE (AS394344)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	198
CLOUDFLARENET	Hostinger International Limited (AS47583)	45
ghostsd.com	HOSTGW SRL (AS204641)	3
Host Europe GmbH	AMAZON-02 (AS16509)	7
CLOUDFLARENET	AMAZON-02 (AS16509)	51
prowebdns.com	UK Dedicated Servers Limited (AS42831)	3
Contabo GmbH	Contabo GmbH (AS51167)	41
bnamed.eu	Opera Norway AS (AS39832)	2
neema-services.one	IONOS SE (AS8560)	1
PRIVATESYSTEMS	PRIVATESYSTEMS (AS63410)	3
Hydra Communications Ltd	Enix Ltd (AS52148)	67
Rackspace Ltd.	Akamai Connected Cloud (AS63949)	3
loopia.se	Loopia AB (AS39570)	1
awardspace.com	Zetta Hosting Solutions LLC. (AS44476)	1
supremepanel.com	LIQUIDNETLTD1 (AS14555)	51
com.tr	Ziraat Katilim Bankasi AS (AS203925)	1
SKSA TECHNOLOGY SDN BHD	SKSA TECHNOLOGY SDN BHD (AS132241)	5
ui-dns.biz	IONOS SE (AS8560)	7
heliohost.org	HURRICANE (AS6939)	1
eplanters.biz	BIGSCOOTS (AS394303)	1
darfurnet.com	Contabo GmbH (AS51167)	1
inmotionhosting.com	INMOTION (AS22611)	3
siteground.net	GOOGLE (AS15169)	1
abovedomains.com	Trellian Pty. Limited (AS133618)	1
websitewelcome.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
nameshield.net	Nameshield SAS (AS20756)	6
linode.com	Contabo GmbH (AS51167)	5
UK Dedicated Servers Limited	UK Dedicated Servers Limited (AS42831)	8
LIQUIDWEB	LIQUIDWEB (AS32244)	21
novagraaf-dns.com	AMAZON-02 (AS16509)	1
SECURITYSERVICES	CSC (AS19574)	14
AMAZON-02	SINGLEHOP-LLC (AS32475)	8
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	11
supremedns.com	UK Dedicated Servers Limited (AS42831)	12
DIGICERT	Sudatel (AS15706)	3
thundercloud.uk	Awareness Software Limited (AS34931)	14
CLOUDFLARENET	NAMECHEAP-NET (AS22612)	3
