CLOUDFLARENET	FASTLY (AS54113)	65
CLOUDFLARENET	CLOUDFLARENET (AS13335)	4733
GANDI SAS	GANDI SAS (AS29169)	500
Host Europe GmbH	AMAZON-02 (AS16509)	6462
CLOUDFLARENET	Vodien Internet Solutions Pte Ltd (AS58621)	509
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	105
AMAZON-02	AMAZON-02 (AS16509)	1393
nameshield.net	Nameshield SAS (AS20756)	116
CLOUDFLARENET	Dreamscape Networks Limited (AS38719)	2830
mschosting.com	Exabytes Network Singapore Pte. Ltd. (AS38532)	500
Akamai International B.V.	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	12
awesomesites.org	OVH SAS (AS16276)	104
ipcom GmbH	AMAZON-02 (AS16509)	207
AMAZON-02	GOOGLE (AS15169)	892
Host Europe GmbH	Ans Academy Limited (AS61323)	1
AMAZON-02	OVH SAS (AS16276)	1219
mschosting.com	Exa Bytes Network Sdn.Bhd. (AS46015)	273
CLOUDFLARENET	Hostinger International Limited (AS47583)	827
Host Europe GmbH	Cloudflare London, LLC (AS209242)	252
AS-VULTR	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	23
GOOGLE	Wix.com Ltd. (AS58182)	1834
mschosting.com	Contabo Asia Private Limited (AS141995)	7
registrar-servers.com	HVC-AS (AS29802)	1
AMAZON-02	METANET AG (AS21069)	1
AMAZON-02	CLOUDFLARENET (AS13335)	153
jpmorganchase.com	JPMORGAN-CPS-SALEM-NH (AS40010)	1
IONOS SE	united-domains GmbH (AS202108)	415
CLOUDFLARENET	AMAZON-02 (AS16509)	1034
ns14.net	Mandala Internet EDV Service GmbH (AS12460)	20
SECURITYSERVICES	Hetzner Online GmbH (AS24940)	8
com.sg	Dreamscape Networks Limited (AS38719)	65
NUCDN	Datacenter Luxembourg S.A. (AS24611)	200
NUCDN	Team Internet AG (AS61969)	120
ch-inter.net	METANET AG (AS21069)	6
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	162
serveradd.com	Dreamscape Networks Limited (AS38719)	55
domainoo.fr	Planet Service SARL (AS61168)	68
mschosting.com	AMAZON-02 (AS16509)	198
iworldsvcs.net	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
SECURITYSERVICES	CSC (AS19574)	1564
gransy.com	CASABLANCA INT a.s. (AS15685)	5
Telehouse EAD	Telehouse EAD (AS57344)	18
Host Europe GmbH	DIGITALOCEAN-ASN (AS14061)	73
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	28
mschosting.com	AMAZON-AES (AS14618)	22
serverhostgroup.com	OVH SAS (AS16276)	12
markmonitor.com	AMAZON-02 (AS16509)	940
NUCDN	Iconz-Webvisions Pte. Ltd. (AS9892)	2
CLOUDFLARENET	DREAMHOST-AS (AS26347)	177
Dreamscape Networks Limited	Dreamscape Networks Limited (AS38719)	1034
PONYNET	WEBHOSTINGHOLDINGS (AS965)	3
perf1.com	ADELI SAS (AS43142)	1
SG.GS	SG.GS (AS24482)	242
markmonitor.com	CLOUDFLARENET (AS13335)	15
CLOUDFLARENET	GO-DADDY-COM-LLC (AS398101)	4
Host Europe GmbH	SQUARESPACE (AS53831)	301
sleepless.sg	Akamai Connected Cloud (AS63949)	1
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	370
Host Europe GmbH	Wix.com Ltd. (AS58182)	226
Host Europe GmbH	FASTLY (AS54113)	48
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	277
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	48
Ans Academy Limited	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	270
CLOUDFLARENET	INCAPSULA (AS19551)	410
CLOUDFLARENET	M1 NET LTD (AS17547)	23
faweb.sg	AMAZON-02 (AS16509)	1
sgcloudhosting.com	Exabytes Network Singapore Pte. Ltd. (AS38532)	451
farisbooks.sg	Exabytes Network Singapore Pte. Ltd. (AS38532)	1
meganameservers.eu	Internet Names for Business Inc (AS9115)	139
credit-suisse.com	UBS Group AG (AS8729)	10
managed-ip.com	InterNetX GmbH (AS15456)	27
registrar-servers.com	SQUARESPACE (AS53831)	23
mschosting.com	CLOUDFLARENET (AS13335)	360
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	7
co.kr	LG DACOM Corporation (AS3786)	183
bnamed.eu	Opera Norway AS (AS39832)	2
Cloud DNS Ltd	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	440
sgcloudhosting.cloud	Exabytes Network Singapore Pte. Ltd. (AS38532)	597
8hy.cn	CommuniLink Internet Limited. (AS38277)	7
serveradd.com	ORACLE-BMC-31898 (AS31898)	16
co.kr	AMAZON-02 (AS16509)	27
NewMedia Express Pte Ltd	NewMedia Express Pte Ltd (AS38001)	37
net.sg	OVH SAS (AS16276)	1
com.sg	Exabytes Network Singapore Pte. Ltd. (AS38532)	25
Rackspace Ltd.	Akamai Connected Cloud (AS63949)	23
SECURITYSERVICES	AMAZON-AES (AS14618)	26
1984.is	SOLLUTIUM EU Sp z.o.o. (AS43641)	2
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	56
Cloud DNS Ltd	AMAZON-AES (AS14618)	3
Host Europe GmbH	CLOUDFLARENET (AS13335)	857
Exabytes Network Singapore Pte. Ltd.	DIGITALOCEAN-ASN (AS14061)	9
CLOUDFLARENET	LEASEWEB SINGAPORE PTE. LTD. (AS59253)	50
Hangzhou Alibaba Advertising Co.,Ltd.	AS-COLOCROSSING (AS36352)	2
SkyExchange Internet Access	Alibaba US Technology Co., Ltd. (AS45102)	22
Akamai International B.V.	Akamai International B.V. (AS20940)	84
ascio.com	EPAG Domainservices GmbH (AS12915)	23
