Optimus IT d.o.o.	Optimus IT d.o.o. (AS48894)	9111
Hitrost.com Internet Storitve d.o.o.	Hitrost.com Internet Storitve d.o.o. (AS59834)	574
controlpanel.si	Webtasy, d.o.o. (AS43128)	7765
freedns.si	Telemach Slovenija d.o.o. (AS41828)	161
hitrost.net	Hitrost.com Internet Storitve d.o.o. (AS59834)	1325
netim.net	CLOUDFLARENET (AS13335)	27
exit.si	netcup GmbH (AS197540)	123
Safenames Ltd.	Safenames Ltd. (AS60819)	96
Host Europe GmbH	AMAZON-02 (AS16509)	939
sedoparking.com	SEDO GmbH (AS47846)	3667
CLOUDFLARENET	CLOUDFLARENET (AS13335)	4463
SECURITYSERVICES	CSC (AS19574)	606
hitrost.net	Telemach Slovenija d.o.o. (AS41828)	2352
NSONE	AMAZON-02 (AS16509)	131
freedns.si	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	35
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	75
CLOUDFLARENET	VSHosting s.r.o. (AS43541)	4
awsdns-13.org	AMAZON-02 (AS16509)	3
SIEL, d.o.o.	GOOGLE-CLOUD-PLATFORM (AS396982)	8
co.uk	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
TELPROM Informacijske tehnologije d.o.o.	Humanfrog d.o.o. (AS60435)	3
OVH SAS	OVH SAS (AS16276)	646
ORANGE BUSINESS SERVICES U.S. Inc.	Telekom Slovenije, d.d. (AS5603)	1
IONOS SE	united-domains GmbH (AS202108)	346
Telemach Slovenija d.o.o.	Telemach Slovenija d.o.o. (AS41828)	1793
naliniji.com	T-2, d.o.o. (AS34779)	41
cloudns.net	DIGITALOCEAN-ASN (AS14061)	11
M-net Telekommunikations GmbH	Dokumenta AG (AS24657)	6
zabec.net	Humanfrog d.o.o. (AS60435)	680
AMAZON-AES	AMAZON-AES (AS14618)	936
netim.net	Eurofiber France SAS (AS24935)	502
Host Europe GmbH	Optimus IT d.o.o. (AS48894)	34
