aruba.it	Aruba S.p.A. (AS31034)	2
Semplify Srl	Semplify Srl (AS199325)	36
registrar-servers.com	NAMECHEAP-NET (AS22612)	6
Hi-Net Srl	Opiquad SRL (AS8855)	1
Telecom Italia San Marino S.p.A	Telecom Italia San Marino S.p.A (AS15433)	127
splinder.net	Made Network Srl (AS13182)	2
CLOUDFLARENET	INCAPSULA (AS19551)	10
itsfogo.com	Entain Services Austria GmbH (AS13008)	1
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Telecom Italia San Marino S.p.A	Cloudflare London, LLC (AS209242)	1
Telecom Italia San Marino S.p.A	WIIT AG (AS24961)	1
register.it	Combell NV (AS34762)	6
Server Plan S.r.l.	Server Plan S.r.l. (AS52030)	15
register.it	Register S.p.A. (AS39729)	125
CLOUDFLARENET	CLOUDFLARENET (AS13335)	63
register.it	OVH SAS (AS16276)	2
GANDI SAS	GANDI SAS (AS29169)	28
curaden-hosting.ch	Hosting eXperts Switzerland AG (AS200979)	1
nadns1.com	Hetzner Online GmbH (AS24940)	2
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	7
passepartout.net	Passepartout s.p.a. (AS39759)	3
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	2
web-solutions.dk	Rackspace Ltd. (AS15395)	1
domainnetwork.se	Enterprise Services Sverige AB (AS15869)	2
Telecom Italia San Marino S.p.A	Semplify Srl (AS199325)	10
markmonitor.com	AMAZON-02 (AS16509)	35
whi-net.it	Si.el.co. Srl (AS201806)	1
register.it	Aruba S.p.A. (AS31034)	7
Telecom Italia San Marino S.p.A	Hetzner Online GmbH (AS24940)	7
himax.sm	Semplify Srl (AS199325)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	40
inwx.com	InterNetworX Management GmbH (AS48596)	1
Register S.p.A.	Register S.p.A. (AS39729)	10
register.it	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
Telecom Italia San Marino S.p.A	Netsons s.r.l. (AS60087)	2
CLOUDFLARENET	Hostinger International Limited (AS47583)	9
awsdns-25.net	AMAZON-02 (AS16509)	5
dotnice.asia	AMAZON-02 (AS16509)	3
SECURITYSERVICES	CSC (AS19574)	26
dnsvisa.com	COGECO-PEER1 (AS13768)	1
register.it	GOOGLE (AS15169)	5
Aruba S.p.A.	Aruba S.p.A. (AS31034)	9
mvmnet.com	Moviement srl (AS49073)	2
mayoral.com	Orange Espagne SA (AS12479)	2
Telecom Italia San Marino S.p.A	Scaleway S.a.s. (AS12876)	1
domainoo.fr	Planet Service SARL (AS61168)	2
register.it	Team Blue Carrier Limited (AS29550)	2
CLOUDFLARENET	Contabo GmbH (AS51167)	6
materialism.zip	ab stract ltd (AS39287)	1
AMAZON-02	GOOGLE (AS15169)	5
Telecom Italia San Marino S.p.A	CLOUDFLARENET (AS13335)	5
Safenames Ltd.	Safenames Ltd. (AS60819)	6
Telecom Italia San Marino S.p.A	Aruba S.p.A. (AS31034)	10
tld.pl	Toya sp.z.o.o (AS16342)	1
xtsystem.it	Telecom Italia San Marino S.p.A (AS15433)	2
register.it	AMAZON-AES (AS14618)	3
Telecom Italia San Marino S.p.A	Team Blue Carrier Limited (AS29550)	6
Telecom Italia San Marino S.p.A	OVH SAS (AS16276)	16
awsdns-05.net	AMAZON-02 (AS16509)	2
romasong.net	Hetzner Online GmbH (AS24940)	1
hostingtek.it	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
Telecom Italia San Marino S.p.A	SEEWEB s.r.l. (AS12637)	1
micso.it	Micso s.r.l. (AS21034)	1
incubatec.net	INCUBATEC GmbH - Srl (AS34081)	4
managed-ip.com	OVH SAS (AS16276)	1
dns-parking.com	Hostinger International Limited (AS47583)	3
lovellsnames.org	Hosting.de GmbH (AS12574)	1
yahoo.com	AMAZON-02 (AS16509)	1
perf1.com	Nameshield SAS (AS20756)	13
ipcom GmbH	AMAZON-02 (AS16509)	6
digitalocean.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Telecom Italia San Marino S.p.A	Signet B.V. (AS20857)	1
dig.com	AMAZON-02 (AS16509)	2
mvmnet.com	Server Plan S.r.l. (AS52030)	1
ies.sm	Telecom Italia San Marino S.p.A (AS15433)	4
mijn.host	CLOUDFLARENET (AS13335)	1
register.it	Server Plan S.r.l. (AS52030)	6
Akamai International B.V.	AMAZON-02 (AS16509)	2
