GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	3
OVH SAS	OVH SAS (AS16276)	1697
awsdns-07.org	AMAZON-02 (AS16509)	2
netim.net	Eurofiber France SAS (AS24935)	130
awsdns-04.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
Groupe LWS SARL	Groupe LWS SARL (AS210403)	68
Rackspace Ltd.	Akamai Connected Cloud (AS63949)	5
netim.net	GO-DADDY-COM-LLC (AS398101)	3
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	271
SECURITYSERVICES	CSC (AS19574)	100
meganameservers.eu	Internet Names for Business Inc (AS9115)	50
routing.net	Hosting.de GmbH (AS12574)	48
dan.com	AMAZON-02 (AS16509)	3
O2switch SAS	O2switch SAS (AS50474)	145
CLOUDFLARENET	Hostinger International Limited (AS47583)	152
udag.de	united-domains GmbH (AS202108)	8
OVH SAS	Wix.com Ltd. (AS58182)	4
wanekoodns.net	Hetzner Online GmbH (AS24940)	129
Cloud DNS Ltd	Hetzner Online GmbH (AS24940)	3
CLOUDFLARENET	AMAZON-02 (AS16509)	337
lwsdns.com	Groupe LWS SARL (AS210403)	27
OVH SAS	GOOGLE (AS15169)	5
MICROSOFT-CORP-MSN-AS-BLOCK	OVH SAS (AS16276)	9
linode.com	Infomaniak Network SA (AS29222)	2
routing.net	Groupe LWS SARL (AS210403)	1
PLANETHOSTER-8	PLANETHOSTER-8 (AS53589)	130
OVH SAS	Contabo GmbH (AS51167)	34
SONATEL SONATEL-AS Autonomous System	SONATEL SONATEL-AS Autonomous System (AS8346)	17
dnspod.net	Tencent Building, Kejizhongyi Avenue (AS132203)	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
serveriai.lt	UAB Interneto vizija (AS212531)	1
perf1.com	Nameshield SAS (AS20756)	31
NordNet SA	Internet Names for Business Inc (AS9115)	54
ARC-Informatique	ARC-Informatique (AS327809)	36
managed-vps.net	Telehouse EAD (AS57344)	1
netim.net	FASTLY (AS54113)	3
CLOUDFLARENET	AMAZON-AES (AS14618)	2
OVH SAS	GTCOMM (AS36666)	1
GANDI SAS	GANDI SAS (AS29169)	91
OVH SAS	AMAZON-02 (AS16509)	47
sicap.sn	SONATEL SONATEL-AS Autonomous System (AS8346)	1
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	47
OVH SAS	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	8
Infomaniak Network SA	DIGITALOCEAN-ASN (AS14061)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	16
routing.net	Hosteur SA (AS207758)	4
regery.net	Contabo GmbH (AS51167)	1
routing.net	Eurofiber France SAS (AS24935)	24
Infomaniak Network SA	Infomaniak Network SA (AS29222)	65
Contabo GmbH	Contabo GmbH (AS51167)	21
awsdns-11.com	CSC (AS19574)	1
cloudflare.com	CLOUDFLARENET (AS13335)	267
register.it	Register S.p.A. (AS39729)	4
cloudclusters.net	AS40676 (AS40676)	1
OVH SAS	Hostinger International Limited (AS47583)	24
GOOGLE	Wix.com Ltd. (AS58182)	26
dnsprive.com	ESTRUXTURE-QC-10929 (AS10929)	1
cloudflare.com	AMAZON-02 (AS16509)	14
CLOUDFLARENET	INCAPSULA (AS19551)	22
wanagain.net	OVH SAS (AS16276)	2
wordpress.com	AUTOMATTIC (AS2635)	3
OVH SAS	DIGITALOCEAN-ASN (AS14061)	23
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	8
AMAZON-02	A2HOSTING (AS55293)	3
markmonitor.com	AMAZON-02 (AS16509)	52
CLOUDFLARENET	O2switch SAS (AS50474)	3
infomaniak.com	Infomaniak Network SA (AS29222)	58
ascio.com	INMOTION (AS22611)	56
namebay.com	Nameshield SAS (AS20756)	3
NordNet SA	SONATEL SONATEL-AS Autonomous System (AS8346)	3
siitav.sn	Groupe LWS SARL (AS210403)	1
IS-AS-1	IS-AS-1 (AS19318)	5
meganameservers.eu	Groupe LWS SARL (AS210403)	1
FACEBOOK	FACEBOOK (AS32934)	4
Cloud DNS Ltd	Nos Comunicacoes, S.A. (AS1897)	2
neodns.info	NL-811-40021 (AS40021)	4
hodi.host	Reunicable (AS37002)	1
co.uk	AMAZON-02 (AS16509)	4
allianz.com	IS (AS3741)	1
linode.com	Akamai Connected Cloud (AS63949)	4
cloudhostingforlinux.com	OVH SAS (AS16276)	2
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	11
NordNet SA	ARC-Informatique (AS327809)	1
Cloud DNS Ltd	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	6
NSONE	AMAZON-02 (AS16509)	19
NordNet SA	Hostinger International Limited (AS47583)	2
DIGITALOCEAN-ASN	AMAZON-02 (AS16509)	26
ugfischer.com	fischerwerke GmbH & Co. KG (AS207404)	1
infomaniak.com	O2switch SAS (AS50474)	1
OVH SAS	Groupe LWS SARL (AS210403)	24
Infomaniak Network SA	GOOGLE (AS15169)	1
atom.com	AMAZON-AES (AS14618)	4
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	14
CLOUDFLARENET	OVH SAS (AS16276)	12
contaboserver.net	Contabo GmbH (AS51167)	3
justhost.com	CLOUDFLARENET (AS13335)	1
cloudflare.com	Scaleway S.a.s. (AS12876)	12
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	3
NUCDN	Datacenter Luxembourg S.A. (AS24611)	4
nsroot1.com	CSC (AS19574)	4
uam.sn	SONATEL SONATEL-AS Autonomous System (AS8346)	1
service-dns.net	Infomaniak Network SA (AS29222)	1
OVH SAS	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	11
hebersenegal.sn	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
pointe.sn	SONATEL SONATEL-AS Autonomous System (AS8346)	1
OVH SAS	O2switch SAS (AS50474)	6
home.pl	Netia SA (AS12741)	1
cloudflare.com	Tigo (AS37649)	1
ipcom GmbH	AMAZON-02 (AS16509)	25
OVH SAS	SQUARESPACE (AS53831)	3
hosteur.com	Hosteur SAS (AS204818)	7
DIGITALOCEAN-ASN	CLOUDFLARENET (AS13335)	3
CLOUDFLARENET	SUDATEL-SENEGAL (AS37196)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	7
atakdomain.com	Superonline Iletisim Hizmetleri A.S. (AS34984)	1
afternic.com	AMAZON-02 (AS16509)	4
whc.ca	OVH SAS (AS16276)	8
register.be	Cloudflare London, LLC (AS209242)	2
MICROSOFT-CORP-MSN-AS-BLOCK	Contabo GmbH (AS51167)	1
cloudflare.com	Aruba SAS (AS200185)	1
safenames.com	Safenames Ltd. (AS60819)	8
GANDI SAS	CTS Computers and Telecommunications Systems SAS (AS35393)	1
mtds.com	ASMedi (AS36925)	1
ceimo.sn	WAW-SAS (AS328259)	1
Cloud DNS Ltd	GleSYS AB (AS42708)	1
routing.net	PLANETHOSTER-8 (AS53589)	1
sedo.com	SEDO GmbH (AS47846)	2
eisdns1.	Infomaniak Network SA (AS29222)	1
IOFLOOD	IOFLOOD (AS53755)	8
z-ns.net	Hetzner Online GmbH (AS24940)	2
servconfig.com	INMOTION (AS22611)	12
mecalux.sn	UUNET (AS702)	1
topinfo.sn	WAW-SAS (AS328259)	1
CLOUDFLARENET	Infomaniak Network SA (AS29222)	3
ifastnet.com	Wildcard UK Limited (AS34119)	2
globvill.de	Hetzner Online GmbH (AS24940)	1
service-dns.net	GTCOMM (AS36666)	9
SECURITYSERVICES	AMAZON-02 (AS16509)	5
DIGITALOCEAN-ASN	OVH SAS (AS16276)	3
netflix.net	AMAZON-02 (AS16509)	1
ipaim.sn	WAW-SAS (AS328259)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	11
inmotionhosting.com	INMOTION (AS22611)	6
OVH SAS	Infomaniak Network SA (AS29222)	5
CLOUDFLARENET	AUTOMATTIC (AS2635)	2
OVH SAS	GO-DADDY-COM-LLC (AS398101)	4
perf1.com	FASTLY (AS54113)	1
OVH SAS	Cloudflare London, LLC (AS209242)	8
quicns.com	Groupe LWS SARL (AS210403)	1
gouv.sn	ADIE-AS (AS328148)	20
dns.com	Kaopu Cloud HK Limited (AS138915)	6
Hangzhou Alibaba Advertising Co.,Ltd.	PEG-TY (AS398993)	9
NordNet SA	Scaleway S.a.s. (AS12876)	3
ip-141-95-146.eu	OVH SAS (AS16276)	1
spiderzdns.com	AMAZON-02 (AS16509)	1
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	21
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	10
Hydra Communications Ltd	Enix Ltd (AS52148)	19
Host Europe GmbH	AMAZON-02 (AS16509)	20
MICROSOFT-CORP-MSN-AS-BLOCK	Eurofiber France SAS (AS24935)	2
nlxs.nl	Signet B.V. (AS20857)	1
synten.com	SYNTEN Sarl (AS35344)	1
routing.net	Infomaniak Network SA (AS29222)	1
esi-web.be	Maehdros S.A. (AS49677)	1
cloudflare.com	RENDER (AS397273)	1
IONOS SE	IONOS SE (AS8560)	12
O2switch SAS	DIGITALOCEAN-ASN (AS14061)	5
cloudflare.com	Infomaniak Network SA (AS29222)	1
OVH SAS	Hetzner Online GmbH (AS24940)	6
ARC-Informatique	Register S.p.A. (AS39729)	1
Hetzner Online GmbH	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
netim.net	OVH SAS (AS16276)	3
GOOGLE	FASTLY (AS54113)	1
dnsbrr.com	Hetzner Online GmbH (AS24940)	1
beget.com	Beget LLC (AS198610)	1
OVH SAS	PLANETHOSTER-8 (AS53589)	4
ctsmanagement.sn	WAW-SAS (AS328259)	1
markmonitor.zone	AMAZON-02 (AS16509)	4
accountsupport.com	BIZLAND-SD (AS29873)	1
justice.sn	Contabo GmbH (AS51167)	3
francedns.com	Hostinger International Limited (AS47583)	1
cloudflare.com	OVH SAS (AS16276)	11
AMAZON-02	WHG Hosting Services Ltd (AS36454)	3
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	8
netim.net	Contabo GmbH (AS51167)	1
netim.net	Combell NV (AS34762)	1
Contabo GmbH	Tigo (AS37649)	1
SECURITYSERVICES	AZO (AS16677)	1
imantouch.net	AMAZON-AES (AS14618)	3
CLOUDFLARENET	Groupe LWS SARL (AS210403)	4
SONATEL SONATEL-AS Autonomous System	OVH SAS (AS16276)	4
ARC-Informatique	KEYYO SA (AS13193)	28
GOOGLE	GOOGLE (AS15169)	4
OVH SAS	AMAZON-AES (AS14618)	8
SONATEL SONATEL-AS Autonomous System	Internet Names for Business Inc (AS9115)	3
G-Core Labs S.A.	POWER LINE DATACENTER (AS132839)	1
NordNet SA	WAW-SAS (AS328259)	1
namebay.com	UNIFIEDLAYER-AS-1 (AS46606)	1
contabo.net	NL-811-40021 (AS40021)	1
servidoresdns.net	IONOS SE (AS8560)	2
CLOUDFLARENET	Enix Ltd (AS52148)	4
register.be	Combell NV (AS34762)	2
PLANETHOSTER-8	AMAZON-02 (AS16509)	6
francedns.com	Scaleway S.a.s. (AS12876)	2
hotnetinfo.com	Hetzner Online GmbH (AS24940)	3
twentic.com	OVH SAS (AS16276)	1
SECURITYSERVICES	CSC Administrative Services Limited (AS34922)	2
netim.net	GANDI SAS (AS203476)	1
service-dns.net	AMAZON-02 (AS16509)	1
jlrext.com	AMAZON-02 (AS16509)	1
OVH SAS	SONATEL SONATEL-AS Autonomous System (AS8346)	7
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	7
dariss.sn	OVH SAS (AS16276)	1
register.eu	Elkdata OU (AS61189)	1
123ns.de	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	7
ipcom GmbH	OVH SAS (AS16276)	4
sfera.net	Keliweb S.R.L (AS202675)	1
itsolutions.it	Retelit Digital Services S.p.A. (AS28716)	1
eisdns1.	Host Europe GmbH (AS21499)	3
cloudflare.com	SUDATEL-SENEGAL (AS37196)	1
wootel.sn	ARC-Informatique (AS327809)	1
justhost.com	UNIFIEDLAYER-AS-1 (AS46606)	3
francedns.com	Eurofiber France SAS (AS24935)	21
domainit.de	Bradler & Krantz GmbH & Co. KG (AS29141)	1
NSONE	Akamai International B.V. (AS20940)	1
kreativmedia.ch	METANET AG (AS21069)	1
awsdns-02.net	AMAZON-02 (AS16509)	1
sspi.sn	ARC-Informatique (AS327809)	1
Contabo GmbH	GOOGLE (AS15169)	1
netim.net	CLOUDFLARENET (AS13335)	4
kelihost.com	OVH SAS (AS16276)	2
unknown	OVH SAS (AS16276)	6
regzone.cz	ZONER a.s. (AS34222)	2
OVH SAS	Scaleway S.a.s. (AS12876)	6
jenhosting.net	UK Dedicated Servers Limited (AS42831)	1
cctld.sn	SONATEL SONATEL-AS Autonomous System (AS8346)	2
SECURITYSERVICES	COGECO-PEER1 (AS13768)	2
ip-217-182-173.eu	OVH SAS (AS16276)	1
AMAZON-02	GOOGLE (AS15169)	5
verisigndns.com	CLT-NIC (AS10515)	1
OVH SAS	CLOUDFLARENET (AS13335)	22
SECURITYSERVICES	PIONEER (AS4868)	1
dnsip.com	PEG-TY (AS398993)	13
wanekoodns.net	Contabo GmbH (AS51167)	9
meganameservers.eu	SONATEL SONATEL-AS Autonomous System (AS8346)	9
service-dns.net	Groupe LWS SARL (AS210403)	1
SECURITYSERVICES	SECURITYSERVICES (AS12008)	5
orderbox-dns.com	UNIFIEDLAYER-AS-1 (AS46606)	1
velux.sn	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
Infomaniak Network SA	AMAZON-02 (AS16509)	2
parkingcrew.net	Team Internet AG (AS61969)	1
OVH SAS	UNIFIEDLAYER-AS-1 (AS46606)	3
DIGITALOCEAN-ASN	AMAZON-AES (AS14618)	1
wanekoodns.net	Infomaniak Network SA (AS29222)	1
automatronic.be	OVH SAS (AS16276)	1
totalenergies.biz	SONATEL SONATEL-AS Autonomous System (AS8346)	1
caly.sn	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
NordNet SA	CTS Computers and Telecommunications Systems SAS (AS35393)	1
SECURITYSERVICES	Optimizely AB (AS30811)	1
nestle.com	FASTLY (AS54113)	2
cloudflare.com	Cloudflare London, LLC (AS209242)	1
francedns.com	OVH SAS (AS16276)	4
acens Technologies, S.L.	acens Technologies, S.L. (AS16371)	1
awsdns-27.com	AMAZON-02 (AS16509)	1
cloudflare.com	Melbikomas UAB (AS56630)	1
MICROSOFT-CORP-MSN-AS-BLOCK	UNIFIEDLAYER-AS-1 (AS46606)	2
ARC-Informatique	Infomaniak Network SA (AS29222)	1
cloudflare.com	PLANETHOSTER-8 (AS53589)	1
nameshield.net	IONOS SE (AS8560)	1
ressourcenmangel.de	Host Europe GmbH (AS8972)	1
Bdl Systemes SAS	CSC (AS19574)	5
amenworld.com	Register S.p.A. (AS39729)	7
francedns.com	Contabo GmbH (AS51167)	1
supercp.com	A2HOSTING (AS55293)	2
ports.se	InterNetX GmbH (AS15456)	1
acens Technologies, S.L.	GOOGLE-CLOUD-PLATFORM (AS396982)	2
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
starbuffet.sn	WAW-SAS (AS328259)	1
netim.net	Host Europe GmbH (AS21499)	4
awsdns-23.com	AMAZON-02 (AS16509)	1
cloudflare.com	DIGITALOCEAN-ASN (AS14061)	1
awsdns-40.org	AMAZON-02 (AS16509)	1
DIGITALOCEAN-ASN	Hetzner Online GmbH (AS24940)	1
Cloud DNS Ltd	Contabo GmbH (AS51167)	1
easywms.sn	UUNET (AS702)	1
hostway.net	AFFINITY-INTER (AS18447)	1
gouv.sn	SONATEL SONATEL-AS Autonomous System (AS8346)	3
OVH SAS	Akamai Connected Cloud (AS63949)	4
OVH SAS	GANDI SAS (AS203476)	5
MICROSOFT-CORP-MSN-AS-BLOCK	GOOGLE-CLOUD-PLATFORM (AS396982)	2
freehostia.com	LIQUIDNETLTD1 (AS14555)	1
awsdns-13.org	AMAZON-02 (AS16509)	1
fsg.sn	WAW-SAS (AS328259)	1
qwe.pt	Hostinger International Limited (AS47583)	1
apple.com	APPLE-ENGINEERING (AS714)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
CLOUDFLARENET	PUBLIC-DOMAIN-REGISTRY (AS394695)	1
dns.com	PEG-TY (AS398993)	5
sonatelwholesalesolutions.sn	SONATEL SONATEL-AS Autonomous System (AS8346)	1
Akamai International B.V.	Nestle Nespresso SA (AS48307)	1
SECURITYSERVICES	UUNET (AS701)	2
kserv.sn	WAW-SAS (AS328259)	1
OVH SAS	INMOTION (AS22611)	1
philips.com	AMAZON-02 (AS16509)	1
OVH SAS	SOFTLAYER (AS36351)	1
OVH SAS	GOOGLE-CLOUD-PLATFORM (AS396982)	6
second-ns.com	Hetzner Online GmbH (AS24940)	2
DIGITALOCEAN-ASN	Groupe LWS SARL (AS210403)	1
awsdns-02.org	AMAZON-02 (AS16509)	1
markmonitor.com	HILTON-E (AS26529)	3
cloudflare.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
labobio24.sn	SONATEL SONATEL-AS Autonomous System (AS8346)	1
sedoparking.com	SEDO GmbH (AS47846)	4
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	4
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	2
ip-54-38-106.eu	OVH SAS (AS16276)	2
gouv.sn	Contabo GmbH (AS51167)	1
netim.net	M247 Europe SRL (AS9009)	3
inwx.de	InterNetworX Management GmbH (AS48596)	3
mauritanie-hosting.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	1
awsdns-49.org	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
OVH SAS	FASTLY (AS54113)	8
hostoweb.com	HOSTOWEB (AS37738)	2
ANEXIA Internetdienstleistungs GmbH	Tele2 SWIPnet (AS1257)	2
CLOUDFLARENET	SONATEL SONATEL-AS Autonomous System (AS8346)	4
GOOGLE-CLOUD-PLATFORM	UNIFIEDLAYER-AS-1 (AS46606)	1
BIZLAND-SD	BIZLAND-SD (AS29873)	11
Tigo	Tigo (AS37649)	9
contabo.net	Contabo GmbH (AS51167)	7
squadhelp.com	AMAZON-AES (AS14618)	2
netim.net	Hetzner Online GmbH (AS24940)	5
uu.net	WUCHICAGO (AS16744)	1
glipac.ch	Bluewin (AS3303)	1
warnerbros.com	AMAZON-02 (AS16509)	1
hostpapavps.net	ONIAAS (AS40092)	1
easydns.com	OVH SAS (AS16276)	1
lng-consulting.com	OVH SAS (AS16276)	1
namebay.com	CTS Computers and Telecommunications Systems SAS (AS35393)	1
sicsa.sn	PLANETHOSTER-8 (AS53589)	1
hostinginuae.com	Redcentric Solutions Ltd (AS31463)	1
OVH SAS	IONOS SE (AS8560)	5
routing.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
CLOUDFLARENET	IS-AS-1 (AS19318)	2
elicense.sn	IONOS SE (AS8560)	1
Cloud DNS Ltd	NForce Entertainment B.V. (AS43350)	6
cloudflare.com	netcup GmbH (AS197540)	1
com.br	SEBRATEL TECNOLOGIA LTDA (AS53167)	1
ip-37-187-73.eu	OVH SAS (AS16276)	3
lws-hosting.com	Groupe LWS SARL (AS210403)	5
gransy.com	CASABLANCA INT a.s. (AS15685)	2
PLANETHOSTER-8	CLOUDFLARENET (AS13335)	2
CLOUDFLARENET	TrueFullstaq B.V. (AS15703)	1
nameshield.net	Nameshield SAS (AS20756)	7
yahoo.com	AMAZON-02 (AS16509)	2
dnsmadeeasy.com	SOFTLAYER (AS36351)	1
belabori.net	OVH SAS (AS16276)	1
