AMAZON-02	SINGLEHOP-LLC (AS32475)	7
CARIBBEAN COMMUNICATION SERVICES	CARIBBEAN COMMUNICATION SERVICES (AS263799)	42
dan.com	AMAZON-02 (AS16509)	1
AMAZON-02	A2HOSTING (AS55293)	4
CLOUDFLARENET	CLOUDFLARENET (AS13335)	48
gumair.sr	SINGLEHOP-LLC (AS32475)	1
ipage.com	BIZLAND-SD (AS29873)	3
domaincontrol.com	GO-DADDY-COM-LLC (AS398101)	2
techno-vate.net	AS-VULTR (AS20473)	1
CARIBBEAN COMMUNICATION SERVICES	AMAZON-02 (AS16509)	2
co.uk	GOOGLE-CLOUD-PLATFORM (AS396982)	1
CLOUDFLARENET	IMH-IAD (AS54641)	1
ipage.com	AMAZON-02 (AS16509)	1
hetzner.com	Hetzner Online GmbH (AS24940)	1
websitewelcome.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	3
hostnet.nl	Hostnet B.V. (AS197902)	1
easydns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
CLOUDFLARENET	TELNET (AS27553)	2
CARIBBEAN COMMUNICATION SERVICES	Signet B.V. (AS35470)	1
efapel.pt	Dominios, S.A. (AS33876)	1
SECURITYSERVICES	CSC (AS19574)	8
curaden-hosting.ch	Hosting eXperts Switzerland AG (AS200979)	1
neostrada.nl	CLDIN B.V. (AS48635)	2
idp365.net	Cloudflare London, LLC (AS209242)	1
eurodns.com	Datacenter Luxembourg S.A. (AS24611)	2
inmotionhosting.com	IMH-IAD (AS54641)	3
inmotionhosting.com	INMOTION (AS22611)	2
nscluster.eu	AMAZON-02 (AS16509)	1
openprovider.be	Duocast B.V. (AS31477)	1
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	3
CARIBBEAN COMMUNICATION SERVICES	CLDIN B.V. (AS48635)	1
yourdomainprovider.net	AMAZON-02 (AS16509)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	12
CLOUDFLARENET	INMOTION (AS22611)	3
mijn.host	Voxility LLP (AS3223)	2
trouble-free.net	IS-AS-1 (AS19318)	1
ACTIVE 24, s.r.o.	WebSupport s.r.o. (AS51013)	3
nadns1.com	Nameshield SAS (AS20756)	1
inmotionhosting.com	IWEB-AS (AS32613)	1
dreamhost.com	DREAMHOST-AS (AS26347)	1
aftermarket.com	AMAZON-02 (AS16509)	1
webhostnow.be	Serverius Holding B.V. (AS50673)	1
hostnet.nl	One.com A/S (AS51468)	2
awsdns-04.org	AMAZON-02 (AS16509)	1
markmonitor.com	AMAZON-02 (AS16509)	8
ns0.nl	Signet B.V. (AS20857)	1
AMAZON-02	GOOGLE (AS15169)	3
CLOUDFLARENET	SINGLEHOP-LLC (AS32475)	1
webhostingserver.nl	UNIFIEDLAYER-AS-1 (AS46606)	1
azure-dns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
arvixeshared.com	UNIFIEDLAYER-AS-1 (AS46606)	2
parkingcrew.net	Team Internet AG (AS206834)	1
google.com	GOOGLE (AS15169)	1
awsdns-07.net	AMAZON-02 (AS16509)	1
awsdns-09.org	AMAZON-02 (AS16509)	1
bitdynamics-hosting.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
mysecurecloudhost.com	WHG Hosting Services Ltd (AS14670)	1
CLOUDFLARENET	Wix.com Ltd. (AS58182)	1
AMAZON-02	INCAPSULA (AS19551)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	5
dnsprotect.com	DIMENOC (AS33182)	1
digitalocean.com	DIGITALOCEAN-ASN (AS14061)	2
net.au	SYNERGY WHOLESALE PTY LTD (AS45638)	1
ui-dns.biz	AMAZON-02 (AS16509)	1
websitehostserver.net	SINGLEHOP-LLC (AS32475)	1
ipmanagerinc.net	AMAZON-02 (AS16509)	1
werkarmen.local	Telecommunicationcompany Suriname - TeleSur (AS27775)	3
vip.nl	CLDIN B.V. (AS48635)	1
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	5
inwx.de	Hetzner Online GmbH (AS24940)	1
SECURITYSERVICES	DIGIKEY (AS14738)	1
or.jp	SAKURA Internet Inc. (AS7684)	1
nameshield.net	AMAZON-02 (AS16509)	1
awsdns-33.org	AMAZON-AES (AS14618)	1
sedoparking.com	SEDO GmbH (AS47846)	2
mijn.host	OVH SAS (AS16276)	1
CARIBBEAN COMMUNICATION SERVICES	Hostinger International Limited (AS47583)	1
DIGICERT	SOFTLAYER (AS36351)	1
netlinknv.com	UNIFIEDLAYER-AS-1 (AS46606)	1
bluehost.com	UNIFIEDLAYER-AS-1 (AS46606)	2
awsdns-04.net	AMAZON-02 (AS16509)	1
gandi.net	GANDI SAS (AS29169)	1
awsdns-09.org	WBD-AS40703 (AS40703)	1
CLOUDFLARENET	GOOGLE (AS15169)	1
CARIBBEAN COMMUNICATION SERVICES	Hetzner Online GmbH (AS213230)	2
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	2
