YANDEX LLC	Beget LLC (AS198610)	74
Hosting Ltd	Hosting Ltd (AS43362)	356
CLOUDFLARENET	CLOUDFLARENET (AS13335)	4743
Domain names registrar REG.RU, Ltd	Domain names registrar REG.RU, Ltd (AS197695)	10126
Internet-Pro LLC	Internet-Pro LLC (AS44128)	513
Beget LLC	Beget LLC (AS198610)	5339
timeweb.org	TimeWeb LLC (AS9123)	2806
JSC IOT	JSC IOT (AS29182)	616
nic.ru	Jsc ru-center (AS48287)	3913
EuroByte LLC	Iron Hosting Centre LTD (AS216139)	169
CLOUDFLARENET	Ddos-guard Ltd (AS57724)	2038
JSC Mediasoft ekspert	JSC Mediasoft ekspert (AS48347)	434
LLC astra Cloud	LLC astra Cloud (AS41535)	230
Domain names registrar REG.RU, Ltd	QWARTA LLC (AS50214)	1
nameself.com	Zelenaya Tochka TOMSK LLC (AS200982)	1
unknown	JSC ER-Telecom Holding (AS12768)	1
EuroByte LLC	Ddos-guard Ltd (AS57724)	13
hostland.ru	Hostland LTD (AS62082)	423
sprinthost.net	Sprinthost.ru LLC (AS35278)	530
Domain names registrar REG.RU, Ltd	DIGITALOCEAN-ASN (AS14061)	27
guzelhosting.com	GNET Internet Telekomunikasyon A.S. (AS42846)	1
febras.ru	Rostelecom (AS12332)	1
YANDEX LLC	PINVDS OU (AS41909)	1
timeweb.org	HLL LLC (AS51115)	1
jeka.su	First Server Limited (AS50113)	1
Domain names registrar REG.RU, Ltd	Ddos-guard Ltd (AS57724)	572
lemarit.de	net.de AG (AS15743)	2
JSC RTComm.RU	PJSC Moscow city telephone network (AS25513)	3
YANDEX LLC	Ztv Corp LLC (AS43581)	2
LLC masterhost	LLC masterhost (AS25532)	1001
11z.ru	Kontel LLC (AS204490)	1
HOSTISERVER	HOSTISERVER (AS32338)	120
Domain names registrar REG.RU, Ltd	Internet-Pro LLC (AS44128)	16
Domain names registrar REG.RU, Ltd	Serverio technologijos MB (AS51247)	2
hoster.ru	Citytelecom LLC (AS12616)	160
nic.ru	MTS PJSC (AS35473)	1
aeza-dns.net	Aeza International Ltd (AS210644)	62
JSC RTComm.RU	JSC RTComm.RU (AS8342)	1044
Domain names registrar REG.RU, Ltd	TimeWeb LLC (AS9123)	181
rf.ru	JSC Selectel (AS50340)	2002
YANDEX LLC	Invest Palata LLC (AS206710)	1
i7.ru	JSC RTComm.RU (AS8342)	100
LLC Smart Ape	Laser Company Ltd (AS57391)	33
LLC masterhost	TimeWeb LLC (AS9123)	16
nameself.com	Edinaya Set Limited Liability Company (AS39134)	175
Relink LTD	Relink LTD (AS56577)	22
JSC RTComm.RU	TimeWeb LLC (AS9123)	10
LLC VK	Trader soft LLC (AS201848)	1
HURRICANE	Rostelecom (AS42610)	5
nameself.com	JSC RTComm.RU (AS8342)	2
handyhost.ru	System Service Ltd. (AS50448)	115
LLC astra Cloud	Ddos-guard Ltd (AS57724)	5
AMAZON-02	Team Internet AG (AS61969)	328
sedoparking.com	SEDO GmbH (AS47846)	258
nic.ru	HLL LLC (AS51115)	15
YANDEX LLC	LLC Smart Ape (AS56694)	9
you-online-dns.net	Okay-Telecom Ltd. (AS199669)	11
LLC masterhost	Cloud.ru (AS208677)	3
OVH SAS	OVH SAS (AS16276)	163
CLOUDFLARENET	Telezon-Seti LLC (AS34858)	1
CLOUDFLARENET	UCLOUD INFORMATION TECHNOLOGY HK LIMITED (AS135377)	1
JSC Selectel	JSC Selectel (AS49505)	194
Beget LLC	IQWeb FZ-LLC (AS59692)	9
CLOUDFLARENET	Hosting technology LTD (AS48282)	8
timeweb.org	ASNET (AS26383)	1
Hetzner Online GmbH	JSC Selectel (AS50340)	5
wm.ru	Webmaster Agency Ltd (AS56564)	4
fastnic.ru	Technology & Networks LLC (AS30833)	3
LLC masterhost	JSC IOT (AS29182)	20
hostiman.ru	LLC Smart Ape (AS56694)	1
Global Connectivity Solutions Llp	Global Connectivity Solutions Llp (AS215540)	13
JSC RTComm.RU	Joint Stock Company TransTeleCom (AS20485)	1
spaceweb.pro	SpaceWeb Ltd (AS44112)	997
artplanet.su	ArtPlanet LLC (AS49542)	4
Domain names registrar REG.RU, Ltd	PVimpelCom (AS8402)	26
sm.su	JSC Selectel (AS49505)	2
JSC Selectel	JSC Selectel (AS50340)	70
satom.ru	ServTech LTD (AS208626)	25
Domain names registrar REG.RU, Ltd	JSC Selectel (AS49505)	126
awsdns-05.org	FRITZ EGGER GmbH & Co. OG (AS198211)	1
domenus.ru	Hetzner Online GmbH (AS24940)	20
nameself.com	BitWeb LLC (AS57271)	1
YANDEX LLC	ZAO Web Hosting (AS30943)	1
adminvps.net	AdminVPS OOO (AS211183)	51
lvs.su	Megacom-it LLC (AS44587)	1
timeweb.org	Ddos-guard Ltd (AS57724)	90
CLOUDFLARENET	Servers Tech Fzco (AS216071)	30
EuroByte LLC	JSC IOT (AS29182)	4
Domain names registrar REG.RU, Ltd	JSC Selectel (AS50340)	107
Domain names registrar REG.RU, Ltd	Hetzner Online GmbH (AS24940)	106
timeweb.org	Rostelecom (AS12389)	10
nameself.com	Atomdata Jsc (AS199860)	4
EuroByte LLC	EuroByte LLC (AS210079)	406
Domain names registrar REG.RU, Ltd	Beget LLC (AS198610)	75
Domain names registrar REG.RU, Ltd	TigrisNet (AS48407)	1
flexbe.ru	JSC Selectel (AS50340)	89
CLOUDFLARENET	P.a.g.m. Ou (AS198068)	6
snparking.ru	Serverel Inc. (AS50245)	400
Domain names registrar REG.RU, Ltd	IQWeb FZ-LLC (AS59692)	48
CLOUDFLARENET	EUROHOSTER Ltd. (AS207728)	7
Gransy s.r.o.	Gransy s.r.o. (AS60592)	15
Domain names registrar REG.RU, Ltd	JSC IOT (AS29182)	227
Jsc ru-center	Jsc ru-center (AS48287)	85
Hangzhou Alibaba Advertising Co.,Ltd.	1984 ehf (AS44925)	5
safebrands.com	AMAZON-02 (AS16509)	4
Domain names registrar REG.RU, Ltd	LLC smart Center (AS48763)	1
webcraft.ua	Hetzner Online GmbH (AS24940)	1
ucoz.net	Webhost LLC (AS44094)	102
YANDEX LLC	SkyNet Ltd. (AS35807)	5
aezadns.com	TimeWeb LLC (AS9123)	3
park-web.ru	Stek Kazan LLC (AS60651)	4
nameself.com	LLC astra Cloud (AS41535)	2
Domain names registrar REG.RU, Ltd	Sprinthost.ru LLC (AS35278)	11
bysu.net	OVH SAS (AS16276)	1
nic.ru	Domain names registrar REG.RU, Ltd (AS197695)	39
LLC VK	Beget LLC (AS198610)	16
linode.com	Hetzner Online GmbH (AS24940)	16
link-host.net	Hetzner Online GmbH (AS24940)	22
nic.ru	TimeWeb LLC (AS9123)	70
HURRICANE	Clodo Cloud Service Co. L.L.C (AS216154)	1
ucoz.net	Ddos-guard Ltd (AS57724)	2
LLC VK	Internet-Pro LLC (AS44128)	2
CLOUDFLARENET	netcup GmbH (AS197540)	1
SECURITYSERVICES	InterNetX GmbH (AS15456)	1
zoneedit.com	AMAZON-02 (AS16509)	2
metrex.ru	Metrex Engineering LTD (AS56975)	1
megagroup.ru	Megagroup.ru LLC (AS60357)	487
nic.ru	Ray-Svyaz Ltd. (AS48327)	1
Beget LLC	First Server Limited (AS200740)	14
artesc.su	Scalaxy B.V. (AS58061)	1
Beget LLC	Partner Hosting LTD (AS215826)	16
Beget LLC	Fornex Hosting S.L. (AS44051)	2
fozzy.com	GOOGLE (AS15169)	1
Interhost Communication Solutions Ltd.	Interhost Communication Solutions Ltd. (AS61102)	5
ivk.ru	PJSC MegaFon (AS31261)	1
CLOUDFLARENET	Domain names registrar REG.RU, Ltd (AS197695)	49
YANDEX LLC	TimeWeb LLC (AS9123)	94
vdsina.ru	Hosting technology LTD (AS48282)	9
nameself.com	JSC Selectel (AS49505)	93
Hetzner Online GmbH	Contabo GmbH (AS51167)	34
Jsc ru-center	Atomdata Jsc (AS199860)	3
GOOGLE	Wix.com Ltd. (AS58182)	80
optibit.ru	Optibit LLC (AS8496)	10
CLOUDFLARENET	JSC IOT (AS29182)	110
CLOUDFLARENET	IQWeb FZ-LLC (AS59692)	43
1cloud.ru	EUROHOSTER Ltd. (AS207728)	3
CLOUDFLARENET	Yandex.Cloud LLC (AS200350)	38
Domain names registrar REG.RU, Ltd	xTom GmbH (AS3214)	31
vvvg.ru	Citytelecom LLC (AS29076)	1
nameself.com	SpaceWeb Ltd (AS44112)	5
nameself.com	Domain names registrar REG.RU, Ltd (AS197695)	18
HLL LLC	HLL LLC (AS51115)	94
cloudns.net	FASTLY (AS54113)	1
unknown	GleSYS AB (AS42708)	1
ryohome.su	Mt Finance LLC (AS214822)	1
Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH (AS28753)	5
depotelecom.ru	LLC Digital Network (AS12695)	1
WHG Hosting Services Ltd	WHG Hosting Services Ltd (AS14670)	257
Beget LLC	AltusHost B.V. (AS51430)	3
nic.ru	Ddos-guard Ltd (AS57724)	191
CLOUDFLARENET	INCAPSULA (AS19551)	50
mango-office.ru	HLL LLC (AS51115)	1
OVH SAS	P.a.g.m. Ou (AS198068)	101
Citytelecom LLC	Citytelecom LLC (AS12616)	174
nic.ru	JSC IOT (AS29182)	20
Domain names registrar REG.RU, Ltd	SpaceWeb Ltd (AS44112)	6
Beget LLC	TimeWeb LLC (AS9123)	44
Internet-Cosmos LLC	CityLanCom LTD (AS25308)	1
LLC masterhost	tbank Jsc (AS43399)	1
markmonitor.com	AMAZON-02 (AS16509)	36
ps.kz	JSC Kazteleport - subsidiary of Halyk Bank of Kazakhstan (AS51162)	1
YANDEX LLC	Sbcloud LLC (AS209805)	4
hoster.ru	Ddos-guard Ltd (AS57724)	4
Best-Hoster Group Co. Ltd.	Best-Hoster Group Co. Ltd. (AS49693)	23
Beget LLC	ADCIL-ASN-01 (AS401152)	17
Domain names registrar REG.RU, Ltd	MTS PJSC (AS42087)	1
SECURITYSERVICES	CSC (AS19574)	66
Domain names registrar REG.RU, Ltd	Vichislitelniy Centr Ltd. (AS61276)	44
YANDEX LLC	Jsc ru-center (AS48287)	75
iotech.su	JSC Selectel (AS50340)	1
JSC Selectel	Ddos-guard Ltd (AS57724)	17
hoster.kz	LLP Kompaniya Hoster.KZ (AS207333)	31
OVH SAS	EuroByte LLC (AS210079)	1
timeweb.org	Hosting technology LTD (AS48282)	1
YANDEX LLC	Megasvyaz LLC (AS34602)	1
nic.ru	JSC Selectel (AS50340)	37
EuroByte LLC	KKM IT Limited (AS60922)	1
hoster.by	Republican Unitary Telecommunication Enterprise Beltelecom (AS6697)	24
JSC Selectel	Yandex.Cloud LLC (AS200350)	8
106.10	PEKITEL Ltd. (AS198654)	1
CLOUDFLARENET	Aeza International Ltd (AS210644)	29
Servers Tech Fzco	Servers Tech Fzco (AS216071)	10
WorldStream B.V.	WorldStream B.V. (AS49981)	77
nameself.com	LeaseWeb Netherlands B.V. (AS60781)	7
pega.st	JSC Comcor (AS8732)	3
bernet.ru	EuroByte LLC (AS210079)	67
LLC astra Cloud	EUROHOSTER Ltd. (AS207728)	1
aezadns.com	E-Large HongKong (AS142578)	1
timeweb.org	JSC ER-Telecom Holding (AS25446)	73
Beget LLC	KKM IT Limited (AS60922)	9
netim.net	Eurofiber France SAS (AS24935)	52
Domain names registrar REG.RU, Ltd	Cloud Hosting Solutions, Limited. (AS199785)	3
nic.ru	Limited Liability Company TTK-Svyaz (AS15774)	3
Domain names registrar REG.RU, Ltd	OVH SAS (AS16276)	32
spaceweb.pro	Sprinthost.ru LLC (AS35278)	1
link-host.net	Hostkey B.v. (AS57043)	6
CLOUDFLARENET	SkyNet Ltd. (AS35807)	3
First Server Limited	I-servers Ltd (AS209641)	33
xxu.su	JSC IOT (AS29182)	1
fghfgh.	IQWeb FZ-LLC (AS59692)	1
sigmaparking.ru	JSC Selectel (AS49505)	38
netim.net	DIGITALOCEAN-ASN (AS14061)	2
udag.de	united-domains GmbH (AS202108)	1
YANDEX LLC	JSC IOT (AS29182)	83
worldbyte.net	OVH SAS (AS16276)	6
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	112
fitnessdom.ru	JSC Avantel (AS25227)	1
yandexcloud.net	JSC Selectel (AS49505)	4
Beget LLC	Stek Kazan LLC (AS60651)	1
nic.ru	JSC Selectel (AS49505)	46
amvnews.ru	Hetzner Online GmbH (AS24940)	4
platformalp.ru	JSC Selectel (AS50340)	14
YANDEX LLC	EuroByte LLC (AS210079)	30
Domain names registrar REG.RU, Ltd	JSC Mediasoft ekspert (AS48347)	57
Beget LLC	Domain names registrar REG.RU, Ltd (AS197695)	12
nic.ru	Jsc ru-center (AS39494)	44
LLC Baxet	LLC Baxet (AS51659)	53
wizart.pro	JSC Selectel (AS49505)	1
LLC Digital Network	LLC Digital Network (AS12695)	31
YANDEX LLC	Citytelecom LLC (AS12616)	6
CLOUDFLARENET	TimeWeb LLC (AS9123)	74
YANDEX LLC	Rostelecom (AS12389)	16
multi-dom.su	Jsc ru-center (AS48287)	1
porkbun.com	The Infrastructure Group B.V. (AS60404)	1
TimeWeb LLC	TimeWeb LLC (AS9123)	43
Jsc ru-center	JSC IOT (AS29182)	22
devufol.corp	Pjsc tattelecom (AS28840)	1
Hetzner Online GmbH	Pq Hosting Plus S.r.l. (AS44477)	1
YANDEX LLC	Hetzner Online GmbH (AS24940)	43
Hosting Ltd	Hetzner Online GmbH (AS24940)	5
cloudns.net	Ddos-guard Ltd (AS57724)	23
Domain names registrar REG.RU, Ltd	Information Network, LLC (AS48416)	3
CLOUDFLARENET	JSC Selectel (AS50340)	32
Contabo GmbH	Contabo GmbH (AS51167)	21
Arvid Logicum OU	Arvid Logicum OU (AS202376)	5
Domain names registrar REG.RU, Ltd	Optik Line LLC (AS43273)	2
chaban.su	Aruba S.p.A. (AS31034)	2
Domain names registrar REG.RU, Ltd	Iron Hosting Centre LTD (AS216139)	4
Beget LLC	Ddos-guard Ltd (AS57724)	134
OVH SAS	JSC Selectel (AS49505)	76
aezadns.com	Hostinger International Limited (AS47583)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	15
Domain names registrar REG.RU, Ltd	AMAZON-02 (AS16509)	31
AUTOMATTIC	AUTOMATTIC (AS2635)	7
Start LLC	Start LLC (AS61400)	20
LLC astra Cloud	LLC astra Cloud (AS6903)	46
Domain names registrar REG.RU, Ltd	RETN Limited (AS9002)	1
Knipp Medien und Kommunikation GmbH	ScaleUp Technologies GmbH & Co. KG (AS29014)	7
zelec.su	PVimpelCom (AS3216)	1
Domain names registrar REG.RU, Ltd	Cgi Global Limited (AS56971)	10
Jsc ru-center	Hetzner Online GmbH (AS24940)	18
NSONE	AMAZON-02 (AS16509)	41
JSC Selectel	Rostelecom (AS42610)	1
nic.ru	LeaseWeb Netherlands B.V. (AS60781)	1
nic.ru	OOO Suntel (AS31430)	3
Webhost LLC	Webhost LLC (AS44094)	153
Jsc ru-center	JSC Selectel (AS50340)	6
hostiman.ru	JSC Selectel (AS50340)	98
LLC astra Cloud	TimeWeb LLC (AS9123)	6
timeweb.org	P.a.k.t LLC (AS39087)	1
nic.ru	OVH SAS (AS16276)	5
YANDEX LLC	LLC astra Cloud (AS205952)	1
ps.kz	JSC Kazakhtelecom (AS9198)	1
JSC RTComm.RU	JSC Ufanet (AS24955)	1
JSC Selectel	JSC IOT (AS29182)	21
HURRICANE	Hetzner Online GmbH (AS24940)	24
i-actions.ru	JSC Original (AS41388)	3
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	52
Domain names registrar REG.RU, Ltd	Fornex Hosting S.L. (AS44051)	5
Domain names registrar REG.RU, Ltd	Ip Server LLC (AS44812)	2
CLOUDFLARENET	Beget LLC (AS198610)	53
Cloud DNS Ltd	Ddos-guard Ltd (AS57724)	43
YANDEX LLC	JSC Selectel (AS50340)	26
nameself.com	euNetworks GmbH (AS13237)	1
YANDEX LLC	Domain names registrar REG.RU, Ltd (AS197695)	117
timeweb.org	PINVDS OU (AS41909)	22
Domain names registrar REG.RU, Ltd	Site LLC (AS30745)	1
Domain names registrar REG.RU, Ltd	Pq Hosting Plus S.r.l. (AS44477)	13
Ddos-guard Ltd	Webhost LLC (AS44094)	1
giph.su	Jsc ru-center (AS48287)	1
Domain names registrar REG.RU, Ltd	HLL LLC (AS51115)	25
First Server Limited	First Server Limited (AS50113)	37
lordserial.su	Scalaxy B.V. (AS58061)	1
nic.ru	Individual Entrepreneur Anton Levin (AS50053)	1
JSC Selectel	LLC Vpsville (AS59504)	2
Beget LLC	Hetzner Online GmbH (AS24940)	39
CLOUDFLARENET	ADCIL-ASN-01 (AS401152)	11
YANDEX LLC	OOO SET (AS48176)	1
ds-servers.com	International Hosting Company Limited (AS216127)	1
LLC VK	JSC IOT (AS29182)	12
nameself.com	AMAZON-02 (AS16509)	3
tl-shops.click	KKM IT Limited (AS60922)	40
Domain names registrar REG.RU, Ltd	MTS PJSC (AS8359)	12
yandexcloud.net	PJSC MegaFon (AS12714)	1
Domain names registrar REG.RU, Ltd	ZHOUYISAT-COMMUNICATIONS (AS400992)	6
nvhost.ru	Adman LLC (AS57494)	10
Jsc ru-center	JSC Selectel (AS49505)	14
or.jp	AUTOMATTIC (AS2635)	1
Jsc ru-center	Jsc ru-center (AS39494)	34
timeweb.org	Beget LLC (AS198610)	27
platformalp.ru	JSC Selectel (AS49505)	17
nic.ru	Citytelecom LLC (AS29076)	4
CLOUDFLARENET	Storm Networks LLC (AS43298)	5
AMAZON-02	Akamai Connected Cloud (AS63949)	10
mirstekla.su	Hetzner Online GmbH (AS24940)	1
trust-host.ru	Hetzner Online GmbH (AS24940)	2
CLOUDFLARENET	OVH SAS (AS16276)	33
SECURITYSERVICES	AMAZON-02 (AS16509)	5
Beget LLC	Zomro B.V. (AS204601)	9
Beget LLC	Green Floid LLC (AS59729)	3
Domain names registrar REG.RU, Ltd	Tilda Publishing Ltd. (AS205282)	7
nocsu.com	Okb Progress LLC (AS39238)	9
timeweb.org	Hetzner Online GmbH (AS24940)	13
hoster.ru	Citytelecom LLC (AS29076)	4
nameself.com	TimeWeb LLC (AS9123)	21
rs-class.org	FAI Russian Maritime Register of Shipping (AS59399)	3
Domain names registrar REG.RU, Ltd	Hosting technology LTD (AS48282)	14
r3.ru	PVimpelCom (AS3216)	1
dnska.ru	JSC ER-Telecom Holding (AS25446)	3
CLOUDFLARENET	Tilda Publishing Ltd. (AS205282)	66
freeones.com	AS-VULTR (AS20473)	1
YANDEX LLC	JSC Selectel (AS49505)	51
nameself.com	Yandex.Cloud LLC (AS200350)	8
ANEXIA Internetdienstleistungs GmbH	Tele2 SWIPnet (AS1257)	6
adminvps.net	CLOUDFLARENET (AS13335)	11
timeweb.org	Novotelecom Ltd (AS31200)	1
timeweb.org	OVH SAS (AS16276)	4
LLC VK	FASTLY (AS54113)	3
nameself.com	RTP LLC (AS50636)	1
OVH SAS	Zomro B.V. (AS204601)	50
YANDEX LLC	Sprinthost.ru LLC (AS35278)	11
gaga.su	JSC IOT (AS29182)	1
com.ua	Serverius Holding B.V. (AS50673)	2
Domain names registrar REG.RU, Ltd	Yandex.Cloud LLC (AS200350)	72
laserpack.ru	Fiord Networks, UAB (AS28917)	1
palax.info	Domain names registrar REG.RU, Ltd (AS49352)	1
LLC masterhost	JSC Mediasoft ekspert (AS48347)	7
Domain names registrar REG.RU, Ltd	Inetcom Carrier LLC (AS35598)	2
Beget LLC	Miran Ltd. (AS41722)	3
unknown	Alexhost Srl (AS200019)	1
Domain names registrar REG.RU, Ltd	WorldStream B.V. (AS49981)	5
ravenol.su	Domain names registrar REG.RU, Ltd (AS197695)	3
CLOUDFLARENET	JSC Selectel (AS49505)	56
abcp.ru	EuroByte LLC (AS210079)	41
spaceweb.pro	TimeWeb LLC (AS9123)	3
acheron.ru	EuroByte LLC (AS210079)	1
LLC VK	Ddos-guard Ltd (AS57724)	26
nic.ru	Beget LLC (AS198610)	30
LLC VK	TimeWeb LLC (AS9123)	20
mokr.net	JSC Comcor (AS8732)	1
Domain names registrar REG.RU, Ltd	Baykov Ilya Sergeevich (AS41745)	9
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	66
