1984.is	Stichting Hivos (AS60526)	1
SECURITYSERVICES	CSC (AS19574)	98
CLOUDFLARENET	AMAZON-02 (AS16509)	87
udag.de	united-domains GmbH (AS202108)	6
CLOUDFLARENET	COMCAST-7922 (AS7922)	3
co.uk	AMAZON-AES (AS14618)	9
CLOUDFLARENET	CLOUDFLARENET (AS13335)	166
AMAZON-02	WHG Hosting Services Ltd (AS36454)	12
CLOUDFLARENET	INCAPSULA (AS19551)	22
Host Europe GmbH	Host Europe GmbH (AS60253)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	3
webhostbox.net	UNIFIEDLAYER-AS-1 (AS46606)	3
markmonitor.com	AMAZON-02 (AS16509)	92
GOOGLE	Wix.com Ltd. (AS58182)	11
lineadns.com	HVC-AS (AS29802)	8
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	5
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	10
CLOUDFLARENET	Hostinger International Limited (AS47583)	21
Host Europe GmbH	SQUARESPACE (AS53831)	1
CLOUDFLARENET	China Telecom (AS151185)	1
ipcom GmbH	InterNetworX Management GmbH (AS48596)	7
tured.sv	ICONEX SPA (AS270024)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	11
SECURITYSERVICES	SECURITYSERVICES (AS12008)	7
cloudserver22.com	NL-811-40021 (AS40021)	1
SERVERCENTRAL	SERVERCENTRAL (AS23352)	8
indomco.com	Koninklijke Luchtvaart Maatschappij N.V. (AS28806)	1
awsdns-13.com	AMAZON-AES (AS14618)	1
aplus.net	INFB2-AS (AS30447)	4
ns14.net	Plusnet GmbH (AS20676)	1
cloudns.net	OVH SAS (AS16276)	1
Soluciones Corporativas IP, SL	AMAZON-02 (AS16509)	1
lineadns.com	OVH SAS (AS16276)	3
SECURITYSERVICES	AMAZON-AES (AS14618)	2
perf1.com	Nameshield SAS (AS20756)	6
coop.ch	Hetzner Online GmbH (AS24940)	1
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	5
HVC-AS	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	3
DIGICERT	DIGICERT (AS16552)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	6
hostpoint.ch	Hostpoint AG (AS29097)	1
freehostia.com	LIQUIDNETLTD1 (AS14555)	1
serverstack.com	SERVERSTACK-ASN (AS46652)	1
nscluster.ee	Signet B.V. (AS20857)	1
cisco.com	CISCOSYSTEMS (AS109)	1
nameshield.net	Nameshield SAS (AS20756)	8
Host Europe GmbH	AMAZON-02 (AS16509)	12
NUCDN	Team Internet AG (AS61969)	5
exclusivehosting.net	LIQUIDNETLTD1 (AS14555)	2
GOOGLE-CLOUD-PLATFORM	20i Limited (AS48254)	5
Akamai International B.V.	DEERE (AS10846)	2
GANDI SAS	GANDI SAS (AS29169)	16
interdomain.net	acens Technologies, S.L. (AS16371)	1
AMAZON-02	AMAZON-02 (AS16509)	6
AMAZON-02	OVH SAS (AS16276)	36
fasttrackdns.com	AMAZON-02 (AS16509)	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	22
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
ui-dns.biz	AMAZON-AES (AS14618)	1
netfirms.com	BIZLAND-SD (AS29873)	4
CLOUDFLARENET	SQUARESPACE (AS53831)	3
AMAZON-02	GOOGLE (AS15169)	10
brandsight-dns.com	AMAZON-02 (AS16509)	1
webempresa.eu	Combell NV (AS34762)	2
indomco.com	CSC (AS19574)	3
HVC-AS	HVC-AS (AS29802)	7
Akamai International B.V.	CSC (AS19574)	1
ns14.net	Hetzner Online GmbH (AS24940)	1
SECURITYSERVICES	Hetzner Online GmbH (AS213230)	2
easybroker.com	AMAZON-AES (AS14618)	1
cloudgbox.net	WEBLINE19 (AS29757)	1
awsdns-17.net	AMAZON-AES (AS14618)	1
Host Europe GmbH	Host Europe GmbH (AS21499)	1
Host Europe GmbH	Cloudflare London, LLC (AS209242)	2
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	20
aplus.net	GOOGLE (AS15169)	1
bodis.com	AMAZON-02 (AS16509)	4
co.uk	AMAZON-02 (AS16509)	1
NSONE	AMAZON-02 (AS16509)	15
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	10
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	5
birdnetworks.net	IT Heinrich GmbH (AS206303)	2
hostns.io	Enix Ltd (AS52148)	2
awsdns-25.net	AMAZON-02 (AS16509)	6
apple.com	APPLE-ENGINEERING (AS714)	3
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	6
bb-online.biz	AS-VULTR (AS20473)	3
CLOUDFLARENET	CHARTER-20115 (AS20115)	1
rdserver.xyz	PRIVATESYSTEMS (AS63410)	2
awsdns-16.org	AMAZON-AES (AS14618)	1
com.sv	ICOMSA S.A. de C.V. (AS16592)	3
servicio-online.net	acens Technologies, S.L. (AS16371)	3
awsdns-23.net	Telecom Argentina S.A. (AS7303)	1
plusserver.com	PlusServer GmbH (AS61157)	1
MILLICOM CABLE EL SALVADOR S.A. DE C.V.	METRORED S.A. DE C.V. (AS23383)	1
CLOUDFLARENET	DinaHosting S.L. (AS42612)	1
NSONE	GO-DADDY-COM-LLC (AS398101)	1
cloudns.net	BACOM (AS577)	1
MICROSOFT-CORP-MSN-AS-BLOCK	Under Servicos de Internet Ltda (AS28209)	2
grupoinverdose.com	NAMECHEAP-NET (AS22612)	1
awsdns-14.net	M-net Telekommunikations GmbH (AS8767)	1
com.sv	GO-DADDY-COM-LLC (AS398101)	1
atom.com	AMAZON-AES (AS14618)	1
elsalvadormaps.sv	GOOGLE-CLOUD-PLATFORM (AS396982)	1
co.uk	CLOUDFLARENET (AS13335)	2
whirlpool.com	AMAZON-AES (AS14618)	1
rgfi.net	dogado GmbH (AS45012)	1
HVC-AS	Hetzner Online GmbH (AS24940)	1
aplus.net	GOOGLE-CLOUD-PLATFORM (AS396982)	1
register.it	Register S.p.A. (AS39729)	1
