CLOUDFLARENET	AMAZON-02 (AS16509)	972
HURRICANE	SYNLINQ (AS44486)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	291
dnsip.com	Netsec Limited (AS45753)	5
CLOUDFLARENET	MYTEK TRADING PTY LTD (AS132825)	26
GANDI SAS	GANDI SAS (AS29169)	53
ab stract ltd	Hetzner Online GmbH (AS24940)	1
awsdns-02.com	AMAZON-AES (AS14618)	1
GOOGLE	Wix.com Ltd. (AS58182)	30
SECURITYSERVICES	CSC (AS19574)	57
linkshare.org	NTHL (AS11042)	1
xundns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	211
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	6
ipcom GmbH	AMAZON-02 (AS16509)	7
nodefield.net	Suomi Communications Oy (AS16302)	1
koaladns.com	LEASEWEB-USA-LAX (AS395954)	4
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	18
CLOUDFLARENET	MULTA-ASN1 (AS35916)	4
CLOUDFLARENET	CORENET (AS976)	1
beget.com	Pq Hosting Plus S.r.l. (AS44477)	1
Cloud DNS Ltd	Jsc ru-center (AS39494)	1
nameshield.net	Nameshield SAS (AS20756)	10
hostnet.nl	Hostnet B.V. (AS197902)	1
nnns.de	NetzNutz GmbH (AS57342)	1
hostgator.com	INCAPSULA (AS19551)	1
gzo.com	HVC-AS (AS29802)	2
markmonitor.com	AMAZON-02 (AS16509)	35
rackspace.com	RMH-14 (AS33070)	1
NUCDN	DIGITALOCEAN-ASN (AS14061)	2
NUCDN	Team Internet AG (AS61969)	43
netcup GmbH	netcup GmbH (AS197540)	9
Akamai Connected Cloud	Akamai Connected Cloud (AS63949)	7
tld.pl	Cyber_Folks S.A. (AS43758)	3
Cloud DNS Ltd	NForce Entertainment B.V. (AS43350)	3
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	1
CLOUDFLARENET	CTG Server Limited (AS152194)	23
dnsip.com	TERAEXCH (AS399077)	51
CLOUDFLARENET	INCAPSULA (AS19551)	38
dns.com	CNSERVERS (AS40065)	11
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	54
renewyourexpireddomain.com	Team Internet AG (AS61969)	1
CLOUDFLARENET	OVH SAS (AS16276)	8
dns.com	Dimension Network & Communication Limited (AS59371)	46
Dreamscape Networks Limited	Dreamscape Networks Limited (AS38719)	9
CLOUDFLARENET	SERVERCENTRAL (AS23352)	1
afraid.org	Hostinger International Limited (AS47583)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	8
prh.com	AMAZON-AES (AS14618)	1
parkingcrew.net	Team Internet AG (AS206834)	4
GOOGLE	CLOUDFLARENET (AS13335)	5
CLOUDFLARENET	IONOS SE (AS8560)	2
GANDI SAS	AMAZON-02 (AS16509)	2
nic.ru	Jsc ru-center (AS48287)	5
cirtex.biz	Host Universal Pty Ltd (AS136557)	1
Cloud DNS Ltd	ASN-FLEXENTIAL (AS13649)	1
infoserve.de	gridscale GmbH (AS29423)	2
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
lindt.com	Alter Way SAS (AS13273)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	9
IONOS SE	united-domains GmbH (AS202108)	20
G-Core Labs S.A.	CTG Server Limited (AS152194)	18
bodis.com	AMAZON-02 (AS16509)	18
040services.net	Hetzner Online GmbH (AS24940)	1
domainnamedns.com	SHINE TELECOM CO., LTD. (AS63902)	4
dnsip.com	GNET INC. (AS9294)	6
Astutium Limited	Astutium Limited (AS29527)	2
CLOUDFLARENET	COGENT-174 (AS174)	1
dnsip.com	UNIT A17,9F SILVERCORP INTL TOWER 707-713 NATHAN RD (AS134175)	7
CLOUDFLARENET	NEBULA (AS140224)	1
dnsip.com	ASLINE LIMITED (AS137951)	4
films.org	AMAZON-AES (AS14618)	2
CLOUDFLARENET	NETLAB-SDN (AS979)	8
dnsip.com	SAITEIDC Limited (AS133178)	3
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	11
OVH SAS	OVH SAS (AS16276)	59
CLOUDFLARENET	CNSERVERS (AS40065)	41
GANDI SAS	Akamai Connected Cloud (AS63949)	1
CLOUDFLARENET	ABCDE GROUP (AS133201)	4
Safenames Ltd.	Safenames Ltd. (AS60819)	6
CLOUDFLARENET	Slovak Telekom, a.s. (AS6855)	1
Host Europe GmbH	Zylon (AS8312)	1
bb-online.biz	DIGITALOCEAN-ASN (AS14061)	2
justhost.com	UNIFIEDLAYER-AS-1 (AS46606)	1
CLOUDFLARENET	OWGELS INTERNATIONAL CO., LIMITED (AS153656)	12
anykey.sx	IMH-IAD (AS54641)	4
Host Europe GmbH	Host Europe GmbH (AS34011)	3
xundns.com	19 Chun Wang Street, Tseung Kwan O Industrial Estate, N.T. Hong Kong (AS135581)	1
CLOUDFLARENET	SQUARESPACE (AS53831)	6
dnsip.com	CTG Server Limited (AS152194)	7
AMAZON-02	OVH SAS (AS16276)	5
register.it	Register S.p.A. (AS39729)	5
dns.com	Netsec Limited (AS45753)	3
awsdns-01.com	AMAZON-AES (AS14618)	1
OVH SAS	FASTLY (AS54113)	1
iwantmyname.net	SAKURA Internet Inc. (AS7684)	1
stackdns.com	20i Limited (AS48254)	2
ab stract ltd	netcup GmbH (AS197540)	1
dns.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	13
ihordns.net	First Server Limited (AS50113)	1
awsdns-27.org	GOOGLE-CLOUD-PLATFORM (AS396982)	1
CLOUDFLARENET	LUCIDACLOUD LIMITED (AS139659)	1
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	4
LIQUIDWEB	LIQUIDWEB (AS32244)	11
Host Europe GmbH	AMAZON-02 (AS16509)	12
CLOUDFLARENET	HostUS (AS7489)	1
Rackspace Ltd.	Akamai Connected Cloud (AS63949)	3
ipcom GmbH	uvensys GmbH (AS58010)	1
awsdns-09.org	AMAZON-02 (AS16509)	1
LEASEWEB-USA-SFO	LeaseWeb Netherlands B.V. (AS60781)	7
sedoparking.com	SEDO GmbH (AS47846)	12
hostingcentar.com	Hetzner Online GmbH (AS24940)	1
awsdns-25.net	AMAZON-02 (AS16509)	5
IONOS SE	AMAZON-02 (AS16509)	1
sawsells.com	AS-VULTR (AS20473)	2
AMAZON-AES	AMAZON-AES (AS14618)	10
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	10
SERVERSTACK-ASN	SERVERSTACK-ASN (AS46652)	6
xundns.com	ABCDE GROUP (AS133201)	7
xundns.com	FEDERAL-ONLINE-GROUP-LLC (AS395776)	10
CLOUDFLARENET	FD-298-8796 (AS8796)	2
akuma.org	PONYNET (AS53667)	1
teamviewer.com	ANEXIA Internetdienstleistungs GmbH (AS42473)	1
fryngehosting.com	PRIVATESYSTEMS (AS63410)	1
parklogic.com	Akamai Connected Cloud (AS63949)	6
SECURITYSERVICES	AMAZON-02 (AS16509)	10
MICROSOFT-CORP-MSN-AS-BLOCK	SHARKTECH (AS46844)	1
dnssrv.nl	CLDIN B.V. (AS48635)	2
easydns.com	EDNS (AS16686)	5
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	4
CLOUDFLARENET	AMAZON-AES (AS14618)	9
mythic-beasts.com	Mythic Beasts Ltd (AS44684)	2
NUCDN	Hetzner Online GmbH (AS24940)	3
CLOUDFLARENET	SHINE TELECOM CO., LTD. (AS63902)	1
ahwebhost.com	PRIVATESYSTEMS (AS63410)	1
netim.net	Eurofiber France SAS (AS24935)	20
porsche.asia	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
openprovider.be	Signet B.V. (AS20857)	1
one.com	FASTLY (AS54113)	1
AMAZON-02	Akamai Connected Cloud (AS63949)	7
gcdn.services	Freakhosting (AS215703)	1
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
drom.ru	Tendence LLC (AS214881)	1
CLOUDFLARENET	Dimension Network & Communication Limited (AS59371)	21
AMAZON-02	Cloudflare London, LLC (AS209242)	1
G-Core Labs S.A.	CNSERVERS (AS40065)	2
hostnet.nl	One.com A/S (AS51468)	7
whoisdomain.kr	NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD. (AS135354)	3
CLOUDFLARENET	AS40676 (AS40676)	1
iwantmyname.net	AMAZON-02 (AS16509)	2
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	1
beit.de	BEIT GmbH (AS211784)	2
cloudsingularity.ca	AMAZON-02 (AS16509)	1
neostrada.nl	Hostinger International Limited (AS47583)	1
Hangzhou Alibaba Advertising Co.,Ltd.	DXTL Tseung Kwan O Service (AS134548)	3
awsdns-42.org	AMAZON-02 (AS16509)	2
GANDI SAS	FASTLY (AS54113)	3
reg.ru	Domain names registrar REG.RU, Ltd (AS197695)	1
poise.se	Admax AB (AS39806)	1
iwantmyname.net	InterNetX GmbH (AS15456)	2
Signet B.V.	Signet B.V. (AS20857)	10
safebrands.com	AMAZON-02 (AS16509)	6
dodns.net	WIIT AG (AS24961)	1
xundns.com	POWER LINE DATACENTER (AS132839)	12
GOOGLE	Plus.line AG (AS12306)	1
dan.com	AMAZON-02 (AS16509)	1
pro-serve.eu	Signet B.V. (AS21155)	1
NSONE	AMAZON-02 (AS16509)	5
site5.com	LIQUIDWEB (AS32244)	1
awsdns-37.org	AMAZON-02 (AS16509)	1
ipcom GmbH	netcup GmbH (AS197540)	2
Cloud DNS Ltd	Claranet Limited (AS8426)	1
yourdomainprovider.net	KPN B.V. (AS1136)	1
NSONE	AMAZON-AES (AS14618)	4
dnsip.com	DXTL Tseung Kwan O Service (AS134548)	3
cyon.ch	cyon GmbH (AS47302)	2
OVH SAS	Hetzner Online GmbH (AS24940)	1
ddos-guard.net	IQWeb FZ-LLC (AS59692)	1
CLOUDFLARENET	HDTIDC LIMITED (AS136038)	1
filmon.com	FILMO (AS54303)	1
Hangzhou Alibaba Advertising Co.,Ltd.	MOACK.Co.LTD (AS138195)	1
G-Core Labs S.A.	Dimension Network & Communication Limited (AS59371)	3
accuwebhosting.com	WEHOSTWEBSITES-COM (AS30475)	1
Cloud DNS Ltd	TechoServers LTD (AS215845)	1
CLOUDFLARENET	AS-GLOBALTELEHOST (AS63023)	1
intel.com	INTEL-SC-AS (AS4983)	1
cloudpit.com	dogado GmbH (AS8648)	1
onlydomains.com	OVH SAS (AS16276)	3
messagingengine.com	AS-COLOCROSSING (AS36352)	1
ab stract ltd	ab stract ltd (AS39287)	1
reviced.nl	CLDIN B.V. (AS48635)	1
HURRICANE	AS-VULTR (AS20473)	1
HURRICANE	aurologic GmbH (AS30823)	1
OVH SAS	Zomro B.V. (AS204601)	1
jwwebservices.nl	CLDIN B.V. (AS48635)	5
alfahosting.info	dogado GmbH (AS45012)	6
afternic.com	AMAZON-02 (AS16509)	3
NUCDN	TrueFullstaq B.V. (AS15703)	2
ns14.net	InterNetX GmbH (AS15456)	1
cdmon.net	10dencehispahard, S.L. (AS197712)	1
cphosting.io	Mammoth Media Pty Ltd (AS133159)	2
CLOUDFLARENET	SUCURI-SEC (AS30148)	1
cronon.de	Strato GmbH (AS6724)	1
CLOUDFLARENET	HONG KONG Megalayer Technology Co.,Limited (AS139646)	1
normanzi.de	netcup GmbH (AS197540)	8
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	13
AUTOMATTIC	AUTOMATTIC (AS2635)	4
dnsip.com	ABCDE GROUP (AS133201)	1
xellenthost.com	UNIFIEDLAYER-AS-1 (AS46606)	1
webhost1.com	Webhost LLC (AS44094)	1
wwdh.hu	Hetzner Online GmbH (AS24940)	1
dnscluster.be	WorldStream B.V. (AS49981)	4
zxcs.be	Stichting DIGI NL (AS206281)	3
Akamai Connected Cloud	DATABANK-LATISYS (AS5693)	1
namecheaphosting.com	NAMECHEAP-NET (AS22612)	2
topdns.com	NForce Entertainment B.V. (AS43350)	1
hostnet.nl	Akamai Connected Cloud (AS63949)	1
realssl.com	IMDC-AS12025 (AS12025)	1
webmo.fr	CTS Computers and Telecommunications Systems SAS (AS35393)	1
CLOUDFLARENET	SIA VEESP (AS42532)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	7
loopia.se	Loopia AB (AS39570)	1
GANDI SAS	GANDI SAS (AS203476)	1
AMAZON-02	LIQUIDWEB (AS32244)	1
unknown	IMH-IAD (AS54641)	8
jarekayhosting.com	IMH-IAD (AS54641)	1
nameservers8.net	DIGITALOCEAN-ASN (AS14061)	1
wordpress.com	AUTOMATTIC (AS2635)	3
mediafusion.ca	COGECO-PEER1 (AS13768)	2
prodomaines.com	Bdl Systemes SAS (AS38926)	1
globvill.de	Global Village GmbH (AS13039)	1
IONOS SE	Vodafone GmbH (AS3209)	1
CLOUDFLARENET	IQWeb FZ-LLC (AS59692)	1
firstfind.nl	CLDIN B.V. (AS48635)	1
CLOUDFLARENET	netcup GmbH (AS197540)	2
park-my-domain.net	Hetzner Online GmbH (AS24940)	1
CLOUDFLARENET	ESTOXY OU (AS3920)	1
AMAZON-02	AMAZON-02 (AS16509)	6
awsdns-02.net	AMAZON-02 (AS16509)	2
v4ns.biz	AMAZON-02 (AS16509)	1
SECURITYSERVICES	COGECO-PEER1 (AS13768)	2
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
acwebconnecting.com	SC Web Software Development SRL (AS47836)	4
ipcom GmbH	Hetzner Online GmbH (AS24940)	3
argewebhosting.com	Accenture B. V. (AS8315)	3
OVH SAS	GOOGLE-CLOUD-PLATFORM (AS396982)	1
MICROSOFT-CORP-MSN-AS-BLOCK	CLOUDFLARENET (AS13335)	4
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	5
systemdns.com	TUCOWS (AS15348)	2
dnsip.com	PEG-SV (AS54600)	12
CLOUDFLARENET	GOOGLE-2 (AS19527)	2
AMAZON-02	WHG Hosting Services Ltd (AS36218)	18
awsdns-05.net	Vall De Soller Telecomunicacions Slu (AS201704)	1
idnz.net	AMAZON-02 (AS16509)	1
nic.ru	Ddos-guard Ltd (AS57724)	1
glipac.ch	Bluewin (AS3303)	1
2020dns.net	Twentytwentymedia Limited (AS31493)	1
siteground.net	GOOGLE (AS15169)	2
yandex.net	Ddos-guard Ltd (AS57724)	1
safenames.com	Safenames Ltd. (AS60819)	2
secureparkme.com	Dreamscape Networks Limited (AS38719)	3
kasserver.com	Neue Medien Muennich GmbH (AS34788)	3
netflix.net	AMAZON-02 (AS16509)	1
NUCDN	Hosting.de GmbH (AS48823)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	2
xwebnetwork.com	CABLE-NET-1 (AS6128)	1
ipcom GmbH	COLT Technology Services Group Limited (AS8220)	1
agenturserver.co	Mittwald CM Service GmbH & Co. KG (AS15817)	1
a2hosting.com	A2HOSTING (AS55293)	1
CLOUDFLARENET	Spartan Host Ltd (AS50131)	1
greengeeks.net	SINGLEHOP-LLC (AS32475)	2
Akamai International B.V.	Akamai International B.V. (AS20940)	3
ultradns.biz	SECURITYSERVICES (AS12008)	1
