Syrian Telecommunication Private Closed Joint Stock Company	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	451
CLOUDFLARENET	CLOUDFLARENET (AS13335)	196
matrixclouds.net	DIGITALOCEAN-ASN (AS14061)	1
CLOUDFLARENET	NAMECHEAP-NET (AS22612)	9
CLOUDFLARENET	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	7
nsnexus.net	Contabo GmbH (AS51167)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	43
bitakat.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	3
site4now.net	SHARKTECH (AS46844)	10
noblesint.net	RICAWEBSERVICES (AS26832)	2
hifi.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	2
IWEB-AS	IWEB-AS (AS32613)	330
reg.sy	FASTLY (AS54113)	1
vultr.com	AS-VULTR (AS20473)	2
entorno.cat	Adam EcoTech, S.A (AS15699)	1
scaa.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
alnashra.org	WHG Hosting Services Ltd (AS14670)	1
awsdns-28.net	AMAZON-02 (AS16509)	1
novagraaf-dns.com	AMAZON-02 (AS16509)	1
ui-dns.biz	IONOS SE (AS8560)	2
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	5
parspack.co	Pars Parva System LLC (AS60631)	1
healthcare.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	8
RICAWEBSERVICES	RICAWEBSERVICES (AS26832)	7
nsone.net	AMAZON-02 (AS16509)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	33
first-ns.de	Hetzner Online GmbH (AS24940)	8
tss-est.net	Hetzner Online GmbH (AS24940)	2
wolverinedns.com	ASACENET1 (AS22878)	1
PERFECT-INTERNATIONAL	PERFECT-INTERNATIONAL (AS22439)	44
unknown	Hostinger International Limited (AS47583)	1
CLOUDFLARENET	Contabo GmbH (AS51167)	2
CLOUDFLARENET	Superonline Iletisim Hizmetleri A.S. (AS34984)	3
Syrian Telecommunication Private Closed Joint Stock Company	Hetzner Online GmbH (AS24940)	13
com.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	23
truspark.sy	Bamboozle Web Services MEA FZ-LLC (AS200851)	1
unknown	PERFECT-INTERNATIONAL (AS22439)	35
IWEB-AS	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	3
medica.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
doroyal.com	UNREAL-SERVERS (AS64236)	2
skrptat.com	Hetzner Online GmbH (AS24940)	1
co.uk	AMAZON-02 (AS16509)	5
souwq.com	Hetzner Online GmbH (AS24940)	1
sama-athletic.com	Hetzner Online GmbH (AS24940)	1
main-hosting.eu	Hostinger International Limited (AS47583)	2
cscdns.net	Babiel GmbH (AS198913)	1
AMAZON-02	WHG Hosting Services Ltd (AS14670)	5
yildizhosting.com	Uzak Yazilim Ve Bilisim Sistemleri Tic. Ltd. Sti (AS56643)	2
Syrian Telecommunication Private Closed Joint Stock Company	NL-811-40021 (AS40021)	3
syea.sy	Contabo GmbH (AS51167)	1
ifastnet.com	Wildcard UK Limited (AS34119)	1
imtyaz.sy	Hetzner Online GmbH (AS24940)	2
nobalaa.com	PRIVATESYSTEMS (AS63410)	4
ipratiche.com	OVH SAS (AS16276)	4
supremepanel.com	UK Dedicated Servers Limited (AS42831)	3
binary-deb.com	Hetzner Online GmbH (AS24940)	1
tasjeel.ae	WHG Hosting Services Ltd (AS212660)	1
unknown	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	12
tatweer.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
vercel-dns.com	AMAZON-02 (AS16509)	4
nestle.com	AMAZON-AES (AS14618)	1
flexsolutiondomains.com	UK-2 Limited (AS13213)	4
MK Netzdienste GmbH & Co. KG	MK Netzdienste GmbH & Co. KG (AS25394)	24
CLOUDFLARENET	AS-VULTR (AS20473)	1
tarassul.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	3
am.sy	Hetzner Online GmbH (AS24940)	1
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	1
foryou-ads.com	OVH SAS (AS16276)	1
microsoftonline.com	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
siran.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
Syrian Telecommunication Private Closed Joint Stock Company	DIGITALOCEAN-ASN (AS14061)	3
zad.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	3
firatstore.sy	Contabo GmbH (AS51167)	1
chilledserver.com	AS-COLOCROSSING (AS36352)	1
bot.sy	IONOS SE (AS8560)	1
silaset.us	NTHL (AS11042)	1
AMAZON-02	WHG Hosting Services Ltd (AS204800)	2
dan.com	AMAZON-02 (AS16509)	4
sisc.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
wahdati.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
windmedya.com	Onur Ekren (AS203576)	1
AMAZON-02	Contabo GmbH (AS51167)	1
NUCDN	Adam EcoTech, S.A (AS15699)	5
rightsdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	2
souria.net	Iomart Cloud Services Limited (AS20860)	4
job-shop.sy	Contabo GmbH (AS51167)	1
contabo.net	Contabo GmbH (AS51167)	1
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	3
tasjeel.ae	WHG Hosting Services Ltd (AS51713)	1
fast-speed.co	Hetzner Online GmbH (AS24940)	1
nobalaa.com	Emirates Telecommunications Group Company (etisalat Group) Pjsc (AS5384)	2
sajjel.net	Contabo GmbH (AS51167)	2
parkingcrew.net	Team Internet AG (AS61969)	2
Abu-Ghazaleh Intellectual Property Ltd.	CSC (AS19574)	1
CLOUDFLARENET	IONOS SE (AS8560)	1
sawa-host.net	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	3
netsto.net	Spartan Host Ltd (AS201106)	2
NETWORK-SOLUTIONS-HOSTING	NETWORK-SOLUTIONS-HOSTING (AS19871)	5
hypernet.sy	123NET (AS12129)	1
ebsher.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
syriajob.sy	IDIGITAL (AS54643)	4
omaya.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
yalagroup.net	Hetzner Online GmbH (AS24940)	1
guzelhosting.com	OVH SAS (AS16276)	1
domaincontrol.com	Cloudflare London, LLC (AS209242)	1
colt.net	GTT Communications Inc. (AS3257)	3
mn.sy	IONOS SE (AS8560)	1
ta-cshs.org	WHG Hosting Services Ltd (AS14670)	3
deliveroojoud.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
AMAZON-02	WHG Hosting Services Ltd (AS36454)	1
Syrian Telecommunication Private Closed Joint Stock Company	Virgin Media (AS5089)	1
alrehab.sy	Bamboozle Web Services MEA FZ-LLC (AS200851)	1
firatnet.sy	Contabo GmbH (AS51167)	1
registrar-servers.com	AS-COLOCROSSING (AS36352)	1
gcb.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
gaia-group.co	Hetzner Online GmbH (AS24940)	1
gov.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	3
buildex.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
register.it	Register S.p.A. (AS39729)	1
privatesystems.net	PRIVATESYSTEMS (AS63410)	1
ownmyserver.com	OVH SAS (AS16276)	4
fixit.sy	Hetzner Online GmbH (AS24940)	1
erp.sy	Bamboozle Web Services MEA FZ-LLC (AS200851)	1
Syrian Telecommunication Private Closed Joint Stock Company	Enflow B.V. (AS209626)	1
talabak.sy	Contabo GmbH (AS51167)	1
eolas.fr	FASTLY (AS54113)	1
inwx.de	Neue Medien Muennich GmbH (AS34788)	1
mosy.sy	Hetzner Online GmbH (AS24940)	2
wmk.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
dunia.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
emkan.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
syriabooking.sy	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
CLOUDFLARENET	rainbow network limited (AS138968)	2
finishup.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
shadows-it.com	Hetzner Online GmbH (AS24940)	1
unknown	Telefonica Germany (AS6805)	1
net.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
guzelhosting.com	ORACLE-BMC-31898 (AS31898)	1
prosoluce.fr	Prosoluce SAS (AS201868)	1
registrar-servers.com	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
syr963.com	IWEB-AS (AS32613)	2
bbs.sy	Contabo GmbH (AS51167)	1
brm.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
ameesoft.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
freehosting.com	Hetzner Online GmbH (AS24940)	1
hotelco.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
rar-it.net	dataforest GmbH (AS58212)	2
concerto.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	3
alnobalaa.sy	Emirates Telecommunications Group Company (etisalat Group) Pjsc (AS5384)	1
CLOUDFLARENET	MULTA-ASN1 (AS35916)	1
SCAAM0001	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
ultaria.com	Alpha Internet Limited (AS58051)	1
CLOUDFLARENET	OVH SAS (AS16276)	1
myfcloudde.com	Akamai Connected Cloud (AS63949)	1
benkhadra.sy	Bamboozle Web Services MEA FZ-LLC (AS200851)	1
renwa.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
centos-webpanel.com	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
cloudns.net	NForce Entertainment B.V. (AS43350)	2
halafly.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
interserver.net	IS-AS-1 (AS19318)	1
syriatech.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
forsa.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
CLOUDFLARENET	Tilaa B.V. (AS196752)	1
inwx.de	InterNetworX Management GmbH (AS48596)	1
price.sy	IONOS SE (AS8560)	1
noc102.com	Binary Racks Limited (AS59895)	1
idvdns.com	AS-COLOCROSSING (AS36352)	2
bluehost.com	AMAZON-02 (AS16509)	1
one.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
RICAWEBSERVICES	Hetzner Online GmbH (AS24940)	1
Abu-Ghazaleh Intellectual Property Ltd.	Abu-Ghazaleh Intellectual Property Ltd. (AS38968)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	1
perfict.sy	NL-811-40021 (AS40021)	1
afternic.com	AMAZON-02 (AS16509)	1
shukra.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	2
unknown	Hetzner Online GmbH (AS24940)	1
keepfit.sy	Syrian Telecommunication Private Closed Joint Stock Company (AS29256)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	1
IWEB-AS	AMAZON-02 (AS16509)	1
