porsche.asia	Dr. Ing. h.c. F. Porsche AG (AS33848)	2
CLOUDFLARENET	SingTel Optus Pty Ltd (AS7474)	1
mdnsservice.com	TUCOWS (AS15348)	159
nexcess.net	NEXCESS-NET (AS36444)	1
CLOUDFLARENET	CLOUDFLARENET (AS13335)	157
markmonitor.com	AMAZON-02 (AS16509)	45
server-routing.com	Hetzner Online GmbH (AS24940)	3
yaptracker.com	AMAZON-02 (AS16509)	1
apple.com	APPLE-ENGINEERING (AS714)	1
DIGICERT	SOFTLAYER (AS36351)	1
inmotionhosting.com	GO-DADDY-COM-LLC (AS398101)	1
markmonitor.zone	AMAZON-02 (AS16509)	2
doit.tc	GNET Internet Telekomunikasyon A.S. (AS42846)	1
Host Europe GmbH	AMAZON-02 (AS16509)	110
nic.tc	Network Presence (AS45570)	1
d-zone.ca	TRANSCONTINENTAL-INC (AS54910)	3
CLOUDFLARENET	DREAMHOST-AS (AS26347)	7
ICDSoft Ltd.	ICDSoft Ltd. (AS8739)	6
oranum.com	JWE S.a r.l. (AS34655)	1
inmotionhosting.com	INMOTION (AS22611)	7
ihsdnsx40.com	IHS Kurumsal Teknoloji Hizmetleri A.S (AS49126)	1
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	9
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	8
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	7
AMAZON-02	OVH SAS (AS16276)	11
net.tr	Bank Audi SAL - Audi Saradar Group (AS57914)	1
amzndns.com	AMAZON-02 (AS16509)	1
nic.tc	DIGITALOCEAN-ASN (AS14061)	2
SECURITYSERVICES	SECURITYSERVICES (AS12008)	8
b2yazilim.com	PremierDC Veri Merkezi Anonim Sirketi (AS42910)	1
ipcom GmbH	AMAZON-02 (AS16509)	4
cashparking.com	AMAZON-02 (AS16509)	3
elinuxservers.com	IHNET (AS33494)	2
ihsdns.com	Cizgi Telekomunikasyon Anonim Sirketi (AS34619)	1
a2dns.com	A2HOSTING (AS55293)	1
m-otion.com	COLT Technology Services Group Limited (AS8220)	1
CLOUDFLARENET	LIQUIDWEB (AS53824)	1
awsdns-00.com	DIGITALOCEAN-ASN (AS14061)	1
server290.com	ICDSoft Ltd. (AS8739)	1
register.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	2
Safenames Ltd.	Safenames Ltd. (AS60819)	19
hosttech.at	BSE Software GmbH (AS9044)	1
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	99
ihsdns.com	IHS Kurumsal Teknoloji Hizmetleri A.S (AS49126)	11
veon.ch	Hostpoint AG (AS29097)	1
natrohost.com	Cizgi Telekomunikasyon Anonim Sirketi (AS34619)	34
DIGICERT	GOOGLE-CLOUD-PLATFORM (AS396982)	1
nic.tc	FREE RANGE CLOUD (AS53356)	1
GANDI SAS	AMAZON-02 (AS16509)	2
server287.com	SQUARESPACE (AS53831)	1
natrohost.com	HostLAB Bilisim Teknolojileri A.S. (AS207326)	1
AMAZON-AES	AMAZON-AES (AS14618)	5
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	28
SECURITYSERVICES	TCIS (AS22747)	1
destechinternet.com	Teknet Yazlim Ve Bilgisayar Teknolojileri (AS57152)	2
ovh.net	OVH SAS (AS16276)	1
nudrv.com	LIQUIDWEB (AS32244)	1
ihsdns.com	Superonline Iletisim Hizmetleri A.S. (AS34984)	3
MICROSOFT-CORP-MSN-AS-BLOCK	Akamai Connected Cloud (AS63949)	1
nadns1.com	Hetzner Online GmbH (AS24940)	1
NTT PC Communications, Inc.	NTT PC Communications, Inc. (AS2514)	7
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
GANDI SAS	GANDI SAS (AS29169)	23
netflix.net	AMAZON-02 (AS16509)	1
rightsdns.com	AMAZON-02 (AS16509)	1
ihsdnsx53.com	IHS Kurumsal Teknoloji Hizmetleri A.S (AS49126)	1
awsdns-07.net	Binotel LLC (AS205722)	1
CLOUDFLARENET	AMAZON-02 (AS16509)	31
nic.tc	Netinternet Bilisim Teknolojileri AS (AS51559)	48
first-ns.de	Hetzner Online GmbH (AS24940)	1
co.nz	DIGITALOCEAN-ASN (AS14061)	1
nic.tc	AMAZON-02 (AS16509)	5
sunucucozumleri.com	TALIDO Bilisim Teknolojileri Sanayi ve Ticaret Anonim Sirketi (AS42724)	2
awsdns-14.org	FASTLY (AS54113)	1
SECURITYSERVICES	CSC (AS19574)	49
flokinet.net	FlokiNET ehf (AS200651)	2
NSONE	AMAZON-02 (AS16509)	2
Akamai International B.V.	Akamai International B.V. (AS20940)	3
CLOUDFLARENET	INCAPSULA (AS19551)	5
CLOUDFLARENET	FASTLY (AS54113)	3
isminiyaz.com	Bradler & Krantz GmbH & Co. KG (AS29141)	1
abbviedns.com	SECURITYSERVICES (AS12008)	1
linode.com	Symbio Networks (AS38333)	1
credit-suisse.com	UBS Group AG (AS8729)	3
hostingww.com	Instra Corporation Pty Ltd (AS133104)	1
ayhan.tc	AS-VULTR (AS20473)	1
att.net	UPS (AS12217)	1
SECURITYSERVICES	AMAZON-02 (AS16509)	4
safenames.com	AMAZON-02 (AS16509)	1
server306.com	ICDSoft Ltd. (AS8739)	1
turhost.com	Cizgi Telekomunikasyon Anonim Sirketi (AS42807)	4
NUCDN	Keepit A/S (AS9120)	1
dnsip.com	CNSERVERS (AS40065)	1
awsdns-09.net	Superonline Iletisim Hizmetleri A.S. (AS34984)	1
IONOS SE	Hotel Reservation Service Robert Ragge GmbH (AS28801)	1
SECURITYSERVICES	Optimizely AB (AS30811)	1
GANDI SAS	GOOGLE-CLOUD-PLATFORM (AS396982)	1
nic.tc	OVH SAS (AS16276)	1
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	4
MICROSOFT-CORP-MSN-AS-BLOCK	KYN-GTS (AS14904)	2
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	4
nameshield.net	Nameshield SAS (AS20756)	1
whirlpool.com	LUMOS (AS7795)	2
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	33
ofsbilisim.com	Bursabil Teknoloji A.S. (AS60721)	1
CLOUDFLARENET	Is Net Elektonik Bilgi Uretim Dagitim Ticaret ve Iletisim Hizmetleri A.S. (AS9021)	2
dnsenable.com	Isimtescil Bilisim A.S. (AS51557)	18
nic.tc	CHEAPY-HOST (AS401120)	1
vercel-dns.com	AMAZON-02 (AS16509)	2
d-zone.ca	OVH SAS (AS16276)	3
CLOUDFLARENET	SQUARESPACE (AS53831)	3
tinyurl.com	HURRICANE (AS6939)	2
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
