vodafone.com	Vodafone Italia S.p.A. (AS12663)	2
akuma.org	PONYNET (AS53667)	7
O2switch SAS	O2switch SAS (AS50474)	35
OVH SAS	OVH SAS (AS16276)	353
CLOUDFLARENET	CLOUDFLARENET (AS13335)	474
lebureau.coop	Hetzner Online GmbH (AS24940)	2
GANDI SAS	Aalto University Student Union (AS39857)	1
netim.net	Eurofiber France SAS (AS24935)	23
Aqua Ray SAS	Aqua Ray SAS (AS41653)	5
planethoster.net	PLANETHOSTER-8 (AS53589)	2
Signet B.V.	KPN B.V. (AS1136)	2
mdnsservice.com	TUCOWS (AS15348)	92
AMAZON-02	Team Internet AG (AS206834)	12
NForce Entertainment B.V.	OVH SAS (AS16276)	7
GANDI SAS	GANDI SAS (AS29169)	55
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	7
Infomaniak Network SA	Infomaniak Network SA (AS29222)	44
NSONE	AMAZON-02 (AS16509)	19
n0c.com	PLANETHOSTER-8 (AS53589)	2
CLOUDFLARENET	Open Fibre Networks (wholesale) Limited (AS48945)	1
Hostpoint AG	Hostpoint AG (AS29097)	12
CLOUDFLARENET	AMAZON-02 (AS16509)	46
Infomaniak Network SA	IONOS SE (AS8560)	1
Host Europe GmbH	AMAZON-02 (AS16509)	31
CLOUDFLARENET	ab stract ltd (AS39287)	1
CLOUDFLARENET	OVH SAS (AS16276)	9
NForce Entertainment B.V.	IS-AS-1 (AS19318)	1
awsdns-10.com	AMAZON-02 (AS16509)	1
Scaleway S.a.s.	Scaleway S.a.s. (AS12876)	47
OVH SAS	SQUARESPACE (AS53831)	1
NSONE	GOOGLE (AS15169)	3
OVH SAS	aurologic GmbH (AS30823)	1
NForce Entertainment B.V.	NForce Entertainment B.V. (AS43350)	13
NSONE	SEDO GmbH (AS47846)	13
NForce Entertainment B.V.	FASTLY (AS54113)	3
hyp.net	Domeneshop AS (AS12996)	22
agenturserver.co	Mittwald CM Service GmbH & Co. KG (AS15817)	2
potager.org	Octopuce s.a.r.l. (AS28855)	1
AMAZON-02	OVH SAS (AS16276)	12
daknob.net	Antonios A. Chariton (AS4601)	1
SEDO GmbH	SEDO GmbH (AS47846)	13
SECURITYSERVICES	CSC (AS19574)	18
mydomain.com	BIZLAND-SD (AS29873)	3
routing.net	Hosting.de GmbH (AS12574)	3
OVH SAS	Free SAS (AS12322)	7
OVH SAS	AMAZON-02 (AS16509)	10
sedoparking.com	SEDO GmbH (AS47846)	25
ipcom GmbH	Akamai Connected Cloud (AS63949)	1
lwsdns.com	Groupe LWS SARL (AS210403)	9
GANDI SAS	AMAZON-02 (AS16509)	4
IONOS SE	AMAZON-02 (AS16509)	1
NForce Entertainment B.V.	Orange (AS3215)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	12
GOOGLE	GOOGLE (AS15169)	1
microsoftonline.com	AS-COLOCROSSING (AS36352)	1
fdjeux.net	La Francaise des Jeux (AS51870)	3
ipcom GmbH	InterNetworX Management GmbH (AS48596)	19
caubin.fr	OVH SAS (AS16276)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	41
ipcom GmbH	AMAZON-02 (AS16509)	11
register.it	Register S.p.A. (AS39729)	19
one.com	One.com A/S (AS51468)	66
romarg.com	ROMARG SRL (AS205275)	1
NUCDN	Vodafone Limited (AS25310)	1
markmonitor.com	AMAZON-02 (AS16509)	15
kasserver.com	Neue Medien Muennich GmbH (AS34788)	3
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	9
awsdns-21.com	FASTLY (AS54113)	1
iwantmyname.net	DIGITALOCEAN-ASN (AS14061)	2
epik.com	Hetzner Online GmbH (AS24940)	1
NSONE	OVH SAS (AS16276)	1
NUCDN	AS-VULTR (AS20473)	1
egensajt.se	Hetzner Online GmbH (AS24940)	1
NForce Entertainment B.V.	GOOGLE-CLOUD-PLATFORM (AS396982)	2
GANDI SAS	GANDI SAS (AS203476)	3
Scaleway S.a.s.	Hetzner Online GmbH (AS24940)	2
Infomaniak Network SA	Hetzner Online GmbH (AS24940)	2
instradns.com	OVH SAS (AS16276)	1
AMAZON-02	Team Internet AG (AS61969)	12
CLOUDFLARENET	AS-VULTR (AS20473)	3
safenames.com	Safenames Ltd. (AS60819)	5
host.land	NAMECHEAP-NET (AS22612)	1
OVH SAS	IS-AS-1 (AS19318)	1
IONOS SE	united-domains GmbH (AS202108)	10
netim.net	Hetzner Online GmbH (AS24940)	2
shockhosting.net	SHOCK-1 (AS395092)	1
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	4
second-ns.com	Hetzner Online GmbH (AS24940)	2
ipcom GmbH	uvensys GmbH (AS58010)	2
AMAZON-02	AMAZON-02 (AS16509)	6
ultradns.biz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
m-ou.se	Signet B.V. (AS20857)	1
perf1.com	Nameshield SAS (AS20756)	18
CLOUDFLARENET	TEMPEST-HOSTING (AS36231)	1
DIGICERT	Akamai Connected Cloud (AS63949)	2
OVH SAS	Societe Francaise Du Radiotelephone - SFR SA (AS15557)	1
GANDI SAS	OVH SAS (AS16276)	7
ns0.nl	CLDIN B.V. (AS48635)	7
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	6
bodis.com	AMAZON-02 (AS16509)	11
jjj.domains	Akamai Connected Cloud (AS63949)	1
porsche.asia	AMAZON-02 (AS16509)	2
sytek.net	Hetzner Online GmbH (AS24940)	1
limenet.de	Cyberse GmbH & Co. KG (AS208208)	1
CLOUDFLARENET	HostUS (AS7489)	1
CLOUDFLARENET	NextGenWebs, S.L. (AS41608)	1
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	12
almin.tf	Free SAS (AS12322)	1
OVH SAS	Hetzner Online GmbH (AS24940)	7
lerelaisinternet.com	Scaleway S.a.s. (AS12876)	1
NForce Entertainment B.V.	WIIT AG (AS24961)	1
BUNNYWAY, informacijske storitve d.o.o.	Datacamp Limited (AS60068)	3
atw.hu	ATW Internet Kft. (AS41075)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	11
csof.net	GOOGLE-CLOUD-PLATFORM (AS396982)	2
nfoservers.com	NUCLEARFALLOUT-SEA (AS32751)	3
servidoresdns.net	IONOS SE (AS8560)	3
Hetzner Online GmbH	FASTLY (AS54113)	1
Cloud DNS Ltd	GOOGLE (AS15169)	1
iwantmyname.com	Host Europe GmbH (AS21501)	1
Scaleway S.a.s.	Free SAS (AS12322)	4
awsdns-20.org	Akamai Connected Cloud (AS63949)	1
netcup.net	netcup GmbH (AS197540)	2
Infomaniak Network SA	netcup GmbH (AS197540)	2
SERVERSTACK-ASN	SERVERSTACK-ASN (AS46652)	6
ipcom GmbH	Universitaet Stuttgart (AS553)	1
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	1
NForce Entertainment B.V.	Nomotech SAS (AS35184)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	14
epik.com	EPIK-LLC (AS394456)	2
NForce Entertainment B.V.	CLOUDFLARENET (AS13335)	5
ngninfra.net	HCL Technologies Sweden AB (AS209236)	3
parklogic.com	Akamai Connected Cloud (AS63949)	3
45st.com	Xtudio Networks S.L.U. (AS60458)	2
paw-fox.net	VeloxServ Communications Ltd (AS3170)	1
Scaleway S.a.s.	Orange (AS3215)	1
Signet B.V.	Combell NV (AS34762)	1
OVH SAS	Vialis SEM (AS12727)	1
ipcom GmbH	BrainStorm Network, Inc (AS136258)	1
NUCDN	OVH SAS (AS16276)	1
ui-dns.biz	Orange (AS3215)	1
itglobal.com	Itglobal.com Nl B.v. (AS208951)	1
NUCDN	Team Internet AG (AS61969)	11
nom-domaine.fr	OVH SAS (AS16276)	2
pulseheberg.net	Serverd SAS (AS62000)	1
lws-hosting.biz	Groupe LWS SARL (AS210403)	1
Scaleway S.a.s.	OVH SAS (AS16276)	6
awsdns-19.net	AMAZON-02 (AS16509)	1
