markmonitor.com	AMAZON-02 (AS16509)	51
TimeWeb LLC	TimeWeb LLC (AS9123)	85
Hetzner Online GmbH	Contabo GmbH (AS51167)	9
Beget LLC	Domain names registrar REG.RU, Ltd (AS197695)	4
unknown	TimeWeb LLC (AS9123)	53
CLOUDFLARENET	Ddos-guard Ltd (AS57724)	22
Eastera Ltd.	Ddos-guard Ltd (AS57724)	3
timeweb.org	TimeWeb LLC (AS9123)	266
YANDEX LLC	VOODOO1 (AS19867)	2
Opened Joint Stock Company Tojiktelecom	LLC Babilon-T (AS24722)	4
fintech.tj	CJSC Telecomm Technology (AS8847)	3
OVH SAS	OVH SAS (AS16276)	10
hetzner.com	Hetzner Online GmbH (AS24940)	4
LLC Babilon-T	AKNET Ltd. (AS12764)	1
Opened Joint Stock Company Tojiktelecom	Opened Joint Stock Company Tojiktelecom (AS51346)	109
LLC Babilon-T	LLC Babilon-T (AS24722)	269
reg.ru	Domain names registrar REG.RU, Ltd (AS197695)	235
CLOUDFLARENET	UpCloud Ltd (AS202053)	1
bunny.net	Datacamp Limited (AS60068)	1
Beget LLC	Beget LLC (AS198610)	157
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	27
CLOUDFLARENET	Hostinger International Limited (AS47583)	20
LLC Babilon-T	Domain names registrar REG.RU, Ltd (AS197695)	2
CLOUDFLARENET	AMAZON-02 (AS16509)	68
SECURITYSERVICES	Silverhill Group Holding Ltd (AS202492)	1
OJSC Alif Bank	JSC IOT (AS29182)	5
sedoparking.com	SEDO GmbH (AS47846)	44
ipcom GmbH	AMAZON-02 (AS16509)	8
CLOUDFLARENET	CLOUDFLARENET (AS13335)	161
EuroByte LLC	EuroByte LLC (AS210079)	11
shedevr.name	AdminVPS OOO (AS211183)	13
CJSC Telecomm Technology	CJSC Telecomm Technology (AS8847)	22
LLC Babilon-T	TimeWeb LLC (AS9123)	7
is-fun.net	TelemaxX Telekommunikation GmbH (AS12843)	6
CLOUDFLARENET	AMAZON-AES (AS14618)	3
Eastera Ltd.	Eastera Ltd. (AS49472)	52
YANDEX LLC	Beget LLC (AS198610)	2
ovh.net	LLC Babilon-T (AS24722)	1
TimeWeb LLC	Skynet Telecom, LLC (AS207369)	1
turkticaret.net	TURKTICARET.NET YAZILIM HIZMETLERI SAN. ve TIC. A.S. (AS197720)	2
register.it	Register S.p.A. (AS39729)	18
Beget LLC	ESTRUXTURE-QC-10929 (AS10929)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	4
spaceweb.pro	SpaceWeb Ltd (AS44112)	17
EuroByte LLC	Iron Hosting Centre LTD (AS216139)	5
SECURITYSERVICES	UPS (AS12217)	1
ruvds.com	JSC Mediasoft ekspert (AS48347)	2
awsdns-54.org	GOOGLE-CLOUD-PLATFORM (AS396982)	1
YANDEX LLC	JSC IOT (AS29182)	1
yoonix.ru	Jsc aviel (AS35271)	1
JSC Selectel	JSC Selectel (AS50340)	8
fastdns24.com	JSC IOT (AS29182)	1
webspace.uz	Inform-Service TV Ltd. (AS57016)	1
SECURITYSERVICES	CSC (AS19574)	55
mcafee.com	AMAZON-02 (AS16509)	1
credit-suisse.com	UBS Group AG (AS8729)	5
LLC astra Cloud	LLC astra Cloud (AS41535)	15
hostven03.com	Arvid Logicum OU (AS202376)	1
markmonitor.com	UBIMET GmbH (AS209571)	1
TimeWeb LLC	Hostinger International Limited (AS47583)	3
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	20
ssb.tj	LLC Babilon-T (AS24722)	1
unknown	EuroByte LLC (AS210079)	1
hoster.ru	Citytelecom LLC (AS12616)	5
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	6
Beget LLC	ADCIL-ASN-01 (AS401152)	1
timeweb.org	Eastera Ltd. (AS49472)	2
YANDEX LLC	PS Internet Company LLP (AS48716)	1
TimeWeb LLC	LLC Babilon-T (AS24722)	11
GANDI SAS	GANDI SAS (AS29169)	8
mega.tj	Hostinger International Limited (AS47583)	1
ns1.	LLC net Solutions (AS208592)	8
ttt.tj	Spitamen Alexander Internet LLC. (AS44027)	1
dnsuk.net	Redcentric Solutions Ltd (AS31463)	4
Eastera Ltd.	LLC Babilon-T (AS24722)	1
cprapid.com	M247 Europe SRL (AS9009)	2
ok.ru	LLC VK (AS47764)	1
OJSC Alif Bank	Edinaya Set Limited Liability Company (AS39134)	1
TimeWeb LLC	Cjsc Indigo Tajikistan (AS47139)	2
