CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	154
GOOGLE	Wix.com Ltd. (AS58182)	8
freenom.com	Joint Stock Company TransTeleCom (AS20485)	1
mmpr.tk	DA International Group Ltd. (AS203380)	1
CLOUDFLARENET	AS-COLOCROSSING (AS36352)	34
freenom.com	Model Telecom Ltd (AS60110)	1
AMAZON-02	Team Internet AG (AS206834)	23
CLOUDFLARENET	CLOUDFLARENET (AS13335)	2316
dominiok.it	genesys informatica srl (AS24994)	1
CLOUDFLARENET	DigiRock, Inc. (AS37907)	195
freenom.com	Host Europe GmbH (AS21499)	1624
CLOUDFLARENET	AMAZON-02 (AS16509)	97
tonekahost.ir	Hetzner Online GmbH (AS24940)	1
freenom.com	Hostkey B.v. (AS57043)	1
3yoh.com	SAKURA Internet Inc. (AS7684)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	224
registrar-servers.com	Hetzner Online GmbH (AS24940)	1
YANDEX LLC	Team Blue Carrier Limited (AS34920)	1
7-dns.de	netcup GmbH (AS197540)	1
teamviewer.com	ANEXIA Internetdienstleistungs GmbH (AS42473)	1
freenom.com	Kamatera Inc (AS204548)	1
Host Europe GmbH	Host Europe GmbH (AS21499)	334
hyp.net	Domeneshop AS (AS12996)	3
dnspod.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
freenom.com	Asia Pacific On-line Service Inc. (AS7482)	2
fastnext.com	HVC-AS (AS29802)	1
freenom.com	LLC VK (AS47764)	1
freenom.com	GOOGLE-CLOUD-PLATFORM (AS396982)	30
wedgiebuddies.tk	DA International Group Ltd. (AS203380)	1
freenom.com	UNIFIEDLAYER-AS-1 (AS46606)	62
freenom.com	LLC IPLS (AS44300)	1
dot.tk	Strato GmbH (AS6724)	1
freenom.com	SK Broadband Co Ltd (AS9318)	19
NSONE	GOOGLE (AS15169)	3
com.tr	Sh Online Iletisim Anonim Sirketi (AS49334)	3
freenom.com	IONOS SE (AS8560)	10
kasperskylabs.net	Kaspersky Lab Switzerland GmbH (AS200107)	1
hrdev.tk	Hetzner Online GmbH (AS24940)	1
AMAZON-AES	GOOGLE-CLOUD-PLATFORM (AS396982)	2
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	2
CLOUDFLARENET	Infomaniak Network SA (AS29222)	1
ns14.net	Mittwald CM Service GmbH & Co. KG (AS15817)	1
Host Europe GmbH	AMAZON-02 (AS16509)	194
freenom.com	GOOGLE (AS15169)	35
freenom.com	AMAZON-02 (AS16509)	16
Artfiles New Media GmbH	Artfiles New Media GmbH (AS8893)	6
CLOUDFLARENET	AS-VULTR (AS20473)	9
O2switch SAS	O2switch SAS (AS50474)	17
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	38
one.com	One.com A/S (AS51468)	8
dnspod.net	AS-COLOCROSSING (AS36352)	1
CLOUDFLARENET	RICAWEBSERVICES (AS26832)	24
freenom.com	FASTLY (AS54113)	22
shamiko.tk	IncogNET LLC (AS210630)	1
ovh.net	OVH SAS (AS16276)	2
Signet B.V.	Signet B.V. (AS20857)	24
ui-dns.biz	IONOS SE (AS8560)	5
freenom.com	Virgin Media (AS5089)	4
dizihaberleri.tk	Onur Ekren (AS203576)	1
byethost23.org	Wildcard UK Limited (AS34119)	3
netim.net	Eurofiber France SAS (AS24935)	5
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	12
freenom.com	Digi Romania S.A. (AS8708)	9
muziksever.tk	Onur Ekren (AS203576)	1
freenom.com	ORACLE-BMC-31898 (AS31898)	27
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	12
freenom.com	TelemaxX Telekommunikation GmbH (AS12843)	1
dnspod.net	Chinanet (AS4134)	20
dnsmadeeasy.com	DIGICERT (AS16552)	1
freenom.com	netcup GmbH (AS197540)	5
markmonitor.com	AMAZON-02 (AS16509)	105
gargera.online	HOST4GEEKS-LLC (AS393960)	4
freenom.com	dogado GmbH (AS8648)	2
CLOUDFLARENET	Hostinger International Limited (AS47583)	31
sedoparking.com	SEDO GmbH (AS47846)	21
CLOUDFLARENET	GMO Internet Group, Inc. (AS58791)	94
xvveb.net	Hutchison Drei Austria GmbH (AS8437)	1
ne.jp	SAKURA Internet Inc. (AS9371)	17
CLOUDFLARENET	Atman Sp. z o.o. (AS57367)	11
Xserver Inc.	Xserver Inc. (AS131965)	9
iwantmyname.net	InterNetX GmbH (AS15456)	3
freenom.com	Hetzner Online GmbH (AS24940)	23
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	6
Akamai International B.V.	NCUBE-OREGON-AS (AS1219)	1
domenomania.pl	Artnet Sp. z o.o. (AS197155)	1
Domain names registrar REG.RU, Ltd	Domain names registrar REG.RU, Ltd (AS197695)	5
IONOS SE	united-domains GmbH (AS202108)	186
CLOUDFLARENET	ZEN-ECN (AS21859)	5
CLOUDFLARENET	Exabytes Network Singapore Pte. Ltd. (AS38532)	1
freenom.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
Hangzhou Alibaba Advertising Co.,Ltd.	Chinanet (AS4134)	18
CLOUDFLARENET	GRIDFURY-AS (AS40630)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	15
CLOUDFLARENET	GOOGLE (AS15169)	20
freenom.com	HOSTWINDS (AS54290)	1
lws-hosting.biz	Groupe LWS SARL (AS210403)	3
Hangzhou Alibaba Advertising Co.,Ltd.	Data Communication Business Group (AS3462)	1
defaultsharedweb.com	Advin Services LLC (AS206216)	2
OVH SAS	OVH SAS (AS16276)	17
CLOUDFLARENET	Chinanet (AS4134)	22
cyon.ch	cyon GmbH (AS47302)	3
awardspace.com	Zetta Hosting Solutions LLC. (AS44476)	16
CLOUDFLARENET	IT7NET (AS25820)	30
freenom.com	Wildcard UK Limited (AS34119)	12
CLOUDFLARENET	Contabo Asia Private Limited (AS141995)	1
freenom.com	ROGERS-COMMUNICATIONS (AS812)	1
freenom.com	Bahnhof AB (AS8473)	2
grserver.gr	Combell NV (AS34762)	1
WII	WII (AS32097)	14
digitalrevolution.nl	Duocast B.V. (AS31477)	1
metanet.ch	METANET AG (AS21069)	2
ipcom GmbH	Telekom Austria (AS8562)	1
freenom.com	OVH SAS (AS16276)	29
safenames.com	Safenames Ltd. (AS60819)	4
CLOUDFLARENET	ATT-INTERNET4 (AS7018)	1
freenom.com	DIGITALOCEAN-ASN (AS14061)	9
lh1.in	OVH SAS (AS16276)	1
freenom.com	AMAZON-AES (AS14618)	5
Host Europe GmbH	Host Europe GmbH (AS20773)	2
ipcom GmbH	InterNetworX Management GmbH (AS48596)	47
freenom.com	IT7NET (AS25820)	13
linode.com	Akamai Connected Cloud (AS63949)	6
IONOS SE	WEEBLY (AS27647)	1
CLOUDFLARENET	Home Internet Ltd (AS42893)	1
CLOUDFLARENET	ASN-FLEXENTIAL (AS13649)	1
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	10
hostinger.ph	Hostinger International Limited (AS47583)	10
start-dns.de	EVANZO e-commerce GmbH (AS42730)	3
dot.tk	Telecommunications Tokelau Corporation - Teletok (AS55523)	1
CLOUDFLARENET	CHINA UNICOM China169 Backbone (AS4837)	14
cloudns.net	Afrihost (AS37611)	1
homeplex.tk	OVH SAS (AS16276)	2
freenom.com	VNPT Corp (AS45899)	2
dot.tk	Heart Internet limited (AS20738)	1
ORACLE-BMC-31898	Contabo GmbH (AS51167)	1
freenom.com	AS-COLOCROSSING (AS36352)	9
your-hosting.net	Zetta Hosting Solutions LLC. (AS44476)	1
dnspod.net	ORACLE-BMC-31898 (AS31898)	5
GleSYS AB	GleSYS AB (AS42708)	5
freenom.com	TUCOWS (AS15348)	1
CLOUDFLARENET	FDCSERVERS (AS30058)	2
freenom.com	First Server Limited (AS50113)	2
Hetzner Online GmbH	uvensys GmbH (AS58010)	1
wroclaw.pl	OVH SAS (AS16276)	1
phpnet.org	CTS Computers and Telecommunications Systems SAS (AS35393)	3
WIBO Baltic UAB	WIBO Baltic UAB (AS59939)	7
ipcom GmbH	Walde IT-Systeme (AS203226)	4
takeda.tk	TWC-20001-PACWEST (AS20001)	1
CLOUDFLARENET	OVH SAS (AS16276)	16
IONOS SE	Equinix (Germany) GmbH (AS24989)	2
HURRICANE	HURRICANE (AS6939)	8
Infomaniak Network SA	Infomaniak Network SA (AS29222)	13
freenom.com	Contabo GmbH (AS51167)	12
CLOUDFLARENET	China Telecom Group (AS4812)	2
linode.com	TEKTONIC (AS55045)	1
awsdns-10.org	AMAZON-AES (AS14618)	1
combell.net	Combell NV (AS34762)	2
dynu.com	British Telecommunications PLC (AS2856)	1
xssl.net	Iomart Cloud Services Limited (AS20860)	1
Wildcard UK Limited	Wildcard UK Limited (AS34119)	5
stablehost.com	CYBERCON (AS7393)	1
cloudpit.com	dogado GmbH (AS8648)	7
easyname.eu	Nessus GmbH (AS47692)	2
obambu.com	Hetzner Online GmbH (AS24940)	2
registrar-servers.com	NAMECHEAP-NET (AS22612)	5
NForce Entertainment B.V.	DIGITALOCEAN-ASN (AS14061)	1
brandsight-dns.com	AMAZON-02 (AS16509)	1
pixelx.de	Pixel X e.K. (AS60380)	1
robotdns.de	Hetzner Online GmbH (AS24940)	1
dnspod.net	Forewin Telecom Group Limited, ISP at (AS38186)	1
ne.jp	ARTERIA Networks Corporation (AS2519)	2
ligarba.com	Sh Online Iletisim Anonim Sirketi (AS49334)	2
keyper.net	Cloudflare London, LLC (AS209242)	1
ydns.io	VNPT Corp (AS45899)	1
CARINET	CARINET (AS10439)	9
freenom.com	scientific-industrial Firm volz Limited Liability Company (AS12963)	1
inwx.ch	InterNetworX Management GmbH (AS48596)	2
UNIFIEDLAYER-AS-1	UNIFIEDLAYER-AS-1 (AS46606)	5
1api.net	1api GmbH (AS44569)	1
serverdrift.com	ODERLAND Webbhotell AB (AS44136)	1
NSONE	ATT-INTERNET4 (AS7018)	1
1cloud.ru	Cloud Hosting Solutions, Limited. (AS199785)	1
aftermarket.hosting	AS48707 OPS PL sp. z o.o. (AS48707)	1
afraid.org	DELTA Fiber Nederland B.V. (AS15435)	1
ipcom GmbH	Deutsche Telekom AG (AS3320)	3
digires.net	Vertixo BV (AS59545)	2
io89.tk	OOO Suntel (AS31430)	1
gazduire.net	Tes Euro Media SRL (AS51295)	1
CLOUDFLARENET	FRONTIER-FRTR (AS5650)	1
IONOS SE	Contabo GmbH (AS51167)	2
linode.com	Hetzner Online GmbH (AS24940)	1
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH (AS34788)	15
Host Europe GmbH	SQUARESPACE (AS53831)	3
Safenames Ltd.	Safenames Ltd. (AS60819)	15
dnspod.net	GMO Internet Group, Inc. (AS58791)	3
ipcom GmbH	netcup GmbH (AS197540)	5
dot.tk	GOOGLE (AS15169)	3
ipcom GmbH	AMAZON-02 (AS16509)	10
awsdns-03.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	SAKURA Internet Inc. (AS7684)	1
markmonitor.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	5
