markmonitor.com	AMAZON-02 (AS16509)	61
co.za	Host-Africa-AS (AS328364)	1
IS-AS-1	AMAZON-02 (AS16509)	638
sandvik.com	Sandvik IT Services AB (AS44013)	1
8hy.cn	CommuniLink Internet Limited. (AS38277)	17
CLOUDFLARENET	CLOUDFLARENET (AS13335)	68
dnspod.net	CHINA UNICOM China169 Backbone (AS4837)	4
ipcom GmbH	froxlor GmbH (AS207048)	5
CLOUDFLARENET	State Company of Electro Communications Turkmentelecom (AS20661)	7
SECURITYSERVICES	CSC (AS19574)	108
ipcom GmbH	RACKSPACE (AS27357)	1
AMAZON-AES	AMAZON-AES (AS14618)	225
awsdns-24.com	OVH SAS (AS16276)	1
dditservices.com	JWE S.a r.l. (AS34655)	1
xincache.com	China Unicom Beijing Province Network (AS4808)	87
zoneedit.com	AS-XFERNET (AS27630)	1
cnmsn.net	CHINANET Guangdong province Shenzhen MAN network (AS134774)	1
YANDEX LLC	YANDEX LLC (AS13238)	1
awsdns-15.com	AMAZON-02 (AS16509)	1
managed-ip.com	OVH SAS (AS16276)	2
dnspod.net	DXTL Tseung Kwan O Service (AS134548)	1
NSONE	GOOGLE (AS15169)	8
CLOUDFLARENET	INCAPSULA (AS19551)	18
Hangzhou Alibaba Advertising Co.,Ltd.	AMAZON-02 (AS16509)	18
01isp.com	UCLOUD INFORMATION TECHNOLOGY HK LIMITED (AS135377)	23
is-fun.net	TelemaxX Telekommunikation GmbH (AS12843)	8
CLOUDFLARENET	AMAZON-02 (AS16509)	53
timeweb.org	State Company of Electro Communications Turkmentelecom (AS20661)	1
no-ip.com	MVPS LTD (AS202448)	1
Beget LLC	Ddos-guard Ltd (AS57724)	1
xincache.com	Chinanet (AS4134)	76
GOOGLE	Wix.com Ltd. (AS58182)	1
xincache.com	KDDI CORPORATION (AS2516)	46
xincache.com	NetEase Building No.16 Ke Yun Road (AS45062)	1
xincache.com	China Telecom Group (AS4835)	2
digitalocean.com	Hostinger International Limited (AS47583)	1
ns14.net	InterNetX GmbH (AS15456)	7
nmugroup.com	Nordisk Media Utveckling AB (AS204074)	5
123ns.de	LKW Walter Internationale Transportorganisation AG (AS34735)	4
xincache.com	Alibaba US Technology Co., Ltd. (AS45102)	1
intellyhosting.be	Eurofiber Nederland BV (AS39686)	1
dwhost.net	Hetzner Online GmbH (AS24940)	1
oderland.com	ODERLAND Webbhotell AB (AS44136)	2
nic.ac	IS-AS-1 (AS19318)	7
GANDI SAS	Akamai International B.V. (AS20940)	1
CHINANET SiChuan Telecom Internet Data Center	ZEN-ECN (AS21859)	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	12
kriweb.com	Dorabase Veri Merkezi Hizmetleri A.S. (AS48737)	2
name-services.com	TUCOWS-3 (AS32491)	25
dnsnw.com	AMAZON-02 (AS16509)	1
xincache.com	UNIFIEDLAYER-AS-1 (AS46606)	2
perf1.com	Nameshield SAS (AS20756)	6
bb-online.biz	AS-VULTR (AS20473)	2
SECURITYSERVICES	SECURITYSERVICES (AS12008)	11
xincache.com	IDC, China Telecommunications Corporation (AS23724)	1
dnssrv.nl	KPN B.V. (AS3265)	1
SECURITYSERVICES	Entain Services Austria GmbH (AS13008)	9
domainoo.fr	Planet Service SARL (AS61168)	3
State Company of Electro Communications Turkmentelecom	State Company of Electro Communications Turkmentelecom (AS20661)	5
portsdns.net	FASTLY (AS54113)	1
Domain names registrar REG.RU, Ltd	KKM IT Limited (AS60922)	1
nic.ru	State Company of Electro Communications Turkmentelecom (AS20661)	2
hostpoint.ch	Hostpoint AG (AS29097)	1
GANDI SAS	GANDI SAS (AS29169)	19
bookmyname.com	Scaleway S.a.s. (AS12876)	1
kreativmedia.ch	METANET AG (AS21069)	1
hoster.kz	JSC Selectel (AS49505)	1
lemarit.de	Claas KGaA mbH (AS208868)	1
icloud.tm	Hetzner Online GmbH (AS24940)	2
ndns.cn	HK Broadband Network Ltd. (AS10103)	1
register.it	Register S.p.A. (AS39729)	14
xincache.com	HK Broadband Network Ltd. (AS10103)	1
dnsnw.com	CHINANET SiChuan Telecom Internet Data Center (AS38283)	6
rrpproxy.net	Leaseweb Deutschland GmbH (AS28753)	1
Akamai International B.V.	WBD-AS5662 (AS5662)	4
credit-suisse.com	UBS Group AG (AS8729)	5
dcsix.net	Hetzner Online GmbH (AS24940)	1
constellix.com	Ans Academy Limited (AS61323)	1
safenames.com	Safenames Ltd. (AS60819)	1
glipac.ch	Bluewin (AS3303)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	9
awsdns-41.org	AMAZON-02 (AS16509)	1
markmonitor.zone	AMAZON-02 (AS16509)	1
awsdns-04.org	WBD-AS40703 (AS40703)	1
portsdns.net	Tele2 SWIPnet (AS1257)	7
iptwins.com	OVH SAS (AS16276)	5
dotnice.asia	AMAZON-02 (AS16509)	1
skoda-auto.cz	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
ipcom GmbH	AMAZON-02 (AS16509)	13
xincache.com	AMAZON-02 (AS16509)	4
nadns1.com	Hetzner Online GmbH (AS24940)	3
lexsynergy.net	Akamai Connected Cloud (AS63949)	1
dig.com	AMAZON-02 (AS16509)	1
MICROSOFT-CORP-MSN-AS-BLOCK	CENTURYLINK-LEGACY-SAVVIS (AS3561)	2
ezdnscenter.com	SonderCloud Limited (AS133199)	2
dnshost.net	GleSYS AB (AS42708)	3
dnsnw.com	CHINA UNICOM China169 Backbone (AS4837)	2
dnspod.net	Cloudie Limited (AS55933)	1
team.blue Denmark A/S	team.blue Denmark A/S (AS48854)	4
CHINANET SiChuan Telecom Internet Data Center	Beijing Baidu Netcom Science and Technology Co., Ltd. (AS55967)	1
Akamai International B.V.	CSC (AS19574)	2
GANDI SAS	Telephone Network of Ashgabat CJSC (AS51495)	1
Shenzhen Tencent Computer Systems Company Limited	Saitis Network, N.Desir (AS6893)	2
dnspod.net	Henan Mobile Communications Co.,Ltd (AS24445)	1
AMAZON-02	OVH SAS (AS16276)	18
xincache.com	CNSERVERS (AS40065)	2
SECURITYSERVICES	CSC Administrative Services Limited (AS34922)	3
srv53.com	OVH SAS (AS16276)	7
managed-ip.com	Deutsche Telekom AG (AS3320)	1
Host Europe GmbH	AMAZON-02 (AS16509)	7
CLOUDFLARENET	JSC ER-Telecom Holding (AS42116)	1
AMAZON-02	DIGITALOCEAN-ASN (AS14061)	2
awsdns-25.net	AMAZON-02 (AS16509)	4
hostland.ru	State Company of Electro Communications Turkmentelecom (AS20661)	1
EPAG Domainservices GmbH	CSC Administrative Services Limited (AS34922)	6
xincache.com	Overcasts Limited (AS24544)	2
xincache.com	SonderCloud Limited (AS133199)	1
GANDI SAS	Aznetwork SAS (AS199167)	1
name-services.com	AMAZON-02 (AS16509)	8
pbsg.com	AFFILIATED (AS13913)	1
xincache.com	UCLOUD INFORMATION TECHNOLOGY HK LIMITED (AS135377)	7
xincache.com	West263 International Limited (AS139021)	2
volkswagen.de	Volkswagen AG (AS206618)	1
SECURITYSERVICES	ADESTIS GmbH (AS204053)	1
cdns.net	Domain names registrar REG.RU, Ltd (AS197695)	1
boydakholding.net	Erciyes Anadolu Holding A.s. (AS51703)	1
Beget LLC	State Company of Electro Communications Turkmentelecom (AS20661)	2
bosch.de	Robert Bosch Gesellschaft mit Beschraenkter Haftung (AS9183)	6
topdns.com	Hetzner Online GmbH (AS24940)	1
foundationdns.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
mchost.com	EuroByte LLC (AS210079)	1
xincache.com	Cloudie Limited (AS55933)	1
co.uk	AMAZON-02 (AS16509)	10
atvirtual.com	Festo Management SE (AS41700)	1
ikoula.com	Ikoula Net SAS (AS21409)	1
awsdns-03.net	Cloudflare London, LLC (AS209242)	1
arcor-ip.de	IONOS SE (AS8560)	1
awsdns-11.com	Tehno Merkez CJSC (AS215487)	1
xincache.com	HK Kwaifong Group Limited (AS133115)	1
NSONE	AUTOMATTIC (AS2635)	1
xincache.com	CHINA UNICOM China169 Backbone (AS4837)	4
Akamai International B.V.	MASTER-7-AS (AS26380)	2
CHINANET SiChuan Telecom Internet Data Center	Hong Kong Broadband Network Ltd. (AS9269)	2
dnsnw.com	West263 International Limited (AS139021)	2
awsdns-08.org	AMAZON-02 (AS16509)	1
world4you.at	World4You Internet Services GmbH (AS38955)	1
nic.ru	TimeWeb LLC (AS9123)	1
NSONE	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	2
markmonitor.com	HILTON-E (AS26529)	3
NUCDN	SWAGELOK (AS17199)	1
ndns.cn	Beijing Baidu Netcom Science and Technology Co., Ltd. (AS55967)	2
ipcom GmbH	DIGITALOCEAN-ASN (AS14061)	2
123ns.de	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
awsdns-01.com	Tehno Merkez CJSC (AS215487)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	6
nameshield.net	Nameshield SAS (AS20756)	4
bgdns.net	SuperHosting.BG Ltd. (AS201200)	1
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	4
cnolnic.com	Beijing Baidu Netcom Science and Technology Co., Ltd. (AS55967)	7
abovedomains.com	Trellian Pty. Limited (AS133618)	3
SCAAM0001	HCL Technologies Sweden AB (AS209236)	7
dnsnw.com	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	3
markmonitor.com	Itm8 A/S (AS44398)	1
verio.com	BIZLAND-SD (AS29873)	2
consignia.com	Radware Ltd (AS198949)	1
GANDI SAS	Mittwald CM Service GmbH & Co. KG (AS15817)	1
name-services.com	HVC-AS (AS29802)	2
ezdnscenter.com	CNSERVERS (AS40065)	3
YANDEX LLC	Domain names registrar REG.RU, Ltd (AS197695)	1
iphh.de	IPHH Internet Port Hamburg GmbH (AS12731)	1
awsdns-08.net	AMAZON-AES (AS14618)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	4
dnspod.net	CHINANET Guangdong province network (AS134764)	1
ferma.tm	scientific-industrial Firm volz Limited Liability Company (AS12963)	1
xincache.com	Huawei Cloud Service data center (AS55990)	1
zaccodigitaltrustlabs.se	DIGICERT (AS16552)	1
dnspod.net	ZILLION-NETWORK (AS54801)	1
CHINANET SiChuan Telecom Internet Data Center	West263 International Limited (AS139021)	2
co.uk	ORACLE-BMC-31898 (AS31898)	1
CLOUDFLARENET	SIA Tet (AS12578)	1
ipcom GmbH	BT Italia S.p.A. (AS3313)	1
domaincontrol.com	GO-DADDY-COM-LLC (AS398101)	1
Akamai International B.V.	VERISIGN-ILG1 (AS30060)	1
MICROSOFT-CORP-MSN-AS-BLOCK	INCAPSULA (AS19551)	1
123ns.de	'ingenit GmbH & Co. KG' (AS57376)	4
awsdns-12.org	AMAZON-02 (AS16509)	1
sedoparking.com	SEDO GmbH (AS47846)	7
hostland.ru	Hostland LTD (AS62082)	1
iptwins.com	Free SAS (AS12322)	1
dnsplaces.com	State Company of Electro Communications Turkmentelecom (AS20661)	1
ztomy.com	CONFLUENCE-NETWORK-INC (AS40034)	1
Akamai International B.V.	Marubeni OKI Network Solutions Inc. (AS4677)	1
time4vps.com	State Company of Electro Communications Turkmentelecom (AS20661)	1
ipcom GmbH	IBH IT-Service GmbH (AS15372)	1
awsdns-04.org	AMAZON-02 (AS16509)	1
pointdnshere.net	RM B, 2F 88 KWAI CHEONG ROAD (AS132056)	1
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	1
lexsynergy.info	The Positive Internet Company Ltd (AS21260)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	4
mcafee.com	AMAZON-02 (AS16509)	1
cnolnic.net	Beijing Baidu Netcom Science and Technology Co., Ltd. (AS55967)	5
fptindustrial.com	Fca Information Technology, Excellence And Methods S.p.A. (AS24771)	1
bitmex.network	AMAZON-02 (AS16509)	2
Beget LLC	Beget LLC (AS198610)	5
mail.ru	Domain names registrar REG.RU, Ltd (AS197695)	2
foundationdns.com	CLOUDFLARENET (AS13335)	1
scan-plus.com	q.beyond AG (AS12399)	1
safebrands.com	AMAZON-02 (AS16509)	1
awsdns-02.net	GOOGLE (AS15169)	1
time4vps.com	UAB Interneto vizija (AS212531)	1
Akamai International B.V.	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
dnsip.com	OWGELS INTERNATIONAL CO., LIMITED (AS139880)	1
MMC	RACKSPACE (AS27357)	1
sentia.net	Accenture B. V. (AS8315)	1
Hangzhou Alibaba Advertising Co.,Ltd.	AMAZON-AES (AS14618)	1
aofk.com	AMAZON-02 (AS16509)	2
wixdns.net	Wix.com Ltd. (AS58182)	4
nordnet.fi	Nordnet Bank AB (AS24819)	1
SECURITYSERVICES	INTERNAP-BLK (AS10912)	1
xincache.com	AbitcoolChina Inc. (AS9308)	6
awsdns-04.org	AMAZON-AES (AS14618)	1
LDSCHURCH1	LDSCHURCH1 (AS19648)	7
YANDEX LLC	FASTLY (AS54113)	1
Shenzhen Tencent Computer Systems Company Limited	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	1
SECURITYSERVICES	Bayerische Motoren Werke Aktiengesellschaft (AS8590)	2
societynext.org	NForce Entertainment B.V. (AS43350)	1
dtag.de	T-Systems International GmbH (AS34086)	5
nic.ru	Domain names registrar REG.RU, Ltd (AS197695)	1
markmonitor.com	SOFTLAYER (AS36351)	1
tnbk.tm	State Company of Electro Communications Turkmentelecom (AS20661)	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	2
hostsila.com	Hostpro Lab LLC (AS196645)	1
SECURITYSERVICES	CHEVRON (AS7862)	2
Shenzhen Tencent Computer Systems Company Limited	Chinanet (AS4134)	1
wwe.com	AMAZON-AES (AS14618)	1
name-services.com	Phoenix Nap, LLC. (AS60558)	1
messagingengine.com	Akamai Connected Cloud (AS63949)	1
SECURITYSERVICES	UUNET (AS702)	1
xincache.com	HKBN Enterprise Solutions Limited (AS17444)	2
phase8.net	Team Blue Internet Services Uk Limited (AS8622)	1
ezdnscenter.com	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	2
myhostadmin.net	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	3
ipage.com	BIZLAND-SD (AS29873)	2
awsdns-25.org	Tehno Merkez CJSC (AS215487)	1
leaseweb.nl	LeaseWeb Netherlands B.V. (AS60781)	2
veniceplaza.net	State Company of Electro Communications Turkmentelecom (AS20661)	1
apiname.com	Atak Domain Bilgi Teknolojileri A.S. (AS211401)	1
awsdns-12.com	AMAZON-02 (AS16509)	1
Domain names registrar REG.RU, Ltd	Domain names registrar REG.RU, Ltd (AS197695)	3
greengeeks.net	SINGLEHOP-LLC (AS32475)	1
register.it	State Company of Electro Communications Turkmentelecom (AS20661)	1
SECURITYSERVICES	CONNECTRIA-ASN-1 (AS11734)	1
Akamai International B.V.	NCUBE-OREGON-AS (AS1219)	1
SECURITYSERVICES	Mittwald CM Service GmbH & Co. KG (AS15817)	1
IONOS SE	Hotel Reservation Service Robert Ragge GmbH (AS28801)	1
com.ua	LeaseWeb Netherlands B.V. (AS60781)	1
