SECURITYSERVICES	Hetzner Online GmbH (AS24940)	44
Host Europe GmbH	AMAZON-02 (AS16509)	21175
CLOUDFLARENET	CLOUDFLARENET (AS13335)	4266
register.it	Register S.p.A. (AS39729)	31
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	3524
IONOS SE	united-domains GmbH (AS202108)	31
yoursrs.com	FASTLY (AS54113)	1
AMAZON-02	AMAZON-02 (AS16509)	339
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	32
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	349
sedoparking.com	SEDO GmbH (AS47846)	140
SECURITYSERVICES	FASTLY (AS54113)	92
mdnsservice.com	TUCOWS (AS15348)	155
inmotionhosting.com	IMH-IAD (AS54641)	6
CLOUDFLARENET	AMAZON-02 (AS16509)	839
AMAZON-02	Team Internet AG (AS206834)	78
ne.jp	SAKURA Internet Inc. (AS9371)	113
SECURITYSERVICES	CLOUDFLARENET (AS13335)	124
CLOUDFLARENET	Alibaba US Technology Co., Ltd. (AS45102)	5
justhost.com	UNIFIEDLAYER-AS-1 (AS46606)	3
cheap.to	Streams Telecommunicationsservices GmbH (AS13022)	1
ACTIVE 24, s.r.o.	WebSupport s.r.o. (AS51013)	53
AMAZON-02	Akamai Connected Cloud (AS63949)	205
robinson.to	netcup GmbH (AS197540)	1
AMAZON-02	UK-2 Limited (AS13213)	1
Hostpoint AG	Hostpoint AG (AS29097)	19
ns14.net	InterNetX GmbH (AS15456)	7
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	294
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	55
GOOGLE	AMAZON-AES (AS14618)	4
SECURITYSERVICES	AMAZON-02 (AS16509)	453
axoservers.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
genesys informatica srl	Vodafone Italia S.p.A. (AS30722)	2
propagation.net	CORESPACE-DAL (AS54489)	1
CLOUDFLARENET	Scalaxy B.V. (AS58061)	2
parklogic.com	Akamai Connected Cloud (AS63949)	456
CLOUDFLARENET	EDGECAST (AS15133)	2
suptech.cz	O2 Czech Republic, a.s. (AS12570)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	97
fatcow.com	BIZLAND-SD (AS29873)	4
ad.jp	NTT PC Communications, Inc. (AS2514)	18
geaar.com	Hetzner Online GmbH (AS24940)	2
Knipp Medien und Kommunikation GmbH	Hetzner Online GmbH (AS24940)	3
CLOUDFLARENET	GOOGLE (AS15169)	20
markmonitor.com	AMAZON-02 (AS16509)	67
GMO GlobalSign Holdings K.K.	GMO GlobalSign Holdings K.K. (AS131921)	27
co.jp	NTT PC Communications, Inc. (AS2514)	3
AMAZON-AES	AMAZON-AES (AS14618)	160
openprovider.be	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	19
site5.com	COGECO-PEER1 (AS13768)	1
xns.to	netcup GmbH (AS197540)	6
20dragons.com	UK Dedicated Servers Limited (AS42831)	7
ne.jp	SAKURA Internet Inc. (AS7684)	10
void.pl	Multinet24 Sp.zoo (AS197099)	1
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM (AS396982)	107
syntax.to	COMCAST-7922 (AS7922)	1
rzone.de	Strato GmbH (AS6724)	9
CLOUDFLARENET	Annarsy SRL (AS39383)	1
hostingww.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
genesys informatica srl	genesys informatica srl (AS24994)	7
SECURITYSERVICES	GOOGLE (AS15169)	11
myradns.net	SOPRADO GmbH (AS20546)	1
Xserver Inc.	Xserver Inc. (AS131965)	83
contabo.net	Contabo GmbH (AS51167)	5
weblynx.co	HOST4GEEKS-LLC (AS393960)	1
SECURITYSERVICES	AMAZON-AES (AS14618)	109
netim.net	Eurofiber France SAS (AS24935)	23
NUCDN	Datacenter Luxembourg S.A. (AS24611)	5
widhost.net	Aruba S.p.A. (AS31034)	2
come-up.to	Asahi Net (AS4685)	1
awsdns-00.org	AMAZON-AES (AS14618)	3
dnspod.net	CHINA UNICOM China169 Backbone (AS4837)	1
PAIR-NETWORKS	PAIR-NETWORKS (AS7859)	17
zoneedit.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
INTERNET CZ, a.s.	Sudolio a.s. (AS214396)	1
agenturserver.co	Mittwald CM Service GmbH & Co. KG (AS15817)	2
CLOUDFLARENET	Mojohost B.v. (AS42567)	1
cloudns.net	Scalaxy B.V. (AS58061)	6
parspack.net	Pars Parva System LLC (AS60631)	1
mxprime.net	TOLEDOTELNET (AS21577)	2
ab stract ltd	AMAZON-02 (AS16509)	1
VITAL-DNS	CLOUDFLARENET (AS13335)	1
DIGICERT	UpCloud Ltd (AS202053)	1
CLOUDFLARENET	FASTLY (AS54113)	32
IONOS SE	IONOS SE (AS8560)	74
AMAZON-02	GOOGLE (AS15169)	39
webreality.org	Bol Bg Iztok Ltd (AS60656)	1
fabulous.com	Team Internet AG (AS61969)	5
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	156
SECURITYSERVICES	HVC-AS (AS29802)	3
AMAZON-02	Cloudflare London, LLC (AS209242)	3
NSONE	AMAZON-02 (AS16509)	207
wrdns.it	Logica S.r.l. (AS206205)	1
lolipop.jp	GMO Internet Group, Inc. (AS7506)	71
Host Europe GmbH	DEDICATED (AS63018)	1
bodis.com	AMAZON-02 (AS16509)	89
SECURITYSERVICES	OVH SAS (AS16276)	21
markmonitor.com	GOOGLE-CLOUD-PLATFORM (AS396982)	5
AS-VULTR	DIGITALOCEAN-ASN (AS14061)	6
ipcom GmbH	Hetzner Online GmbH (AS24940)	10
films.org	AMAZON-AES (AS14618)	19
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	10
sowingcircle.com	HVC-AS (AS29802)	1
rackspeed-cloud.com	comtrance service GmbH (AS30962)	7
sitesdepot.com	Interspace Ltd. (AS21350)	3
resellerinterface.de	Hetzner Online GmbH (AS24940)	1
awsdns-33.net	CLOUDFLARENET (AS13335)	1
EDNS	DIGITALOCEAN-ASN (AS14061)	5
asadal.net	LG DACOM Corporation (AS3786)	3
SECURITYSERVICES	World Registry of Internet Domains LTD (AS199029)	1
SECURITYSERVICES	SonderCloud Limited (AS133199)	1
Host Europe GmbH	BROADBANDONE (AS13645)	1
SECURITYSERVICES	RENDER (AS397273)	28
CLOUDFLARENET	DREAMHOST-AS (AS26347)	86
fragodt.com	Akamai Connected Cloud (AS63949)	1
iwantmyname.net	ORACLE-BMC-31898 (AS31898)	1
SECURITYSERVICES	IS-AS-1 (AS19318)	21
powweb.com	BIZLAND-SD (AS29873)	3
proserwer.pl	OVH SAS (AS16276)	1
conoha.io	GMO Internet Group, Inc. (AS7506)	7
OVH SAS	Korea Telecom (AS4766)	1
awsdns-15.org	AMAZON-AES (AS14618)	2
CLOUDFLARENET	sprint S.A. (AS197226)	2
ignum.eu	Webglobe, s.r.o. (AS29134)	2
emaga.bg	Hetzner Online GmbH (AS24940)	1
