CLOUDFLARENET	CLOUDFLARENET (AS13335)	218033
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	1965
GOOGLE	CLOUDFLARENET (AS13335)	3368
CLOUDFLARENET	Hostinger International Limited (AS47583)	7090
AMAZON-02	AMAZON-02 (AS16509)	41185
sigma-ktv.ru	KKM IT Limited (AS60922)	1
co.uk	Adm Computer Services Limited (AS49829)	1
academiacredis.ro	AMAZON-02 (AS16509)	1
AMAZON-02	Cloudflare London, LLC (AS209242)	3484
bettercom.de	Hetzner Online GmbH (AS24940)	3
CLOUDFLARENET	Pars Shabakeh Azarakhsh LLC (AS208161)	13
SEDO GmbH	SEDO GmbH (AS47846)	151
unknown	Scalaxy B.V. (AS58061)	1730
CLOUDFLARENET	AMAZON-02 (AS16509)	9505
TUNISIANA	OVH SAS (AS16276)	1
dnszi.com	NHNCLOUD (AS45974)	2
Host Europe GmbH	Cloudflare London, LLC (AS209242)	2235
NSONE	SQUARESPACE (AS53831)	166
Domain names registrar REG.RU, Ltd	HLL LLC (AS51115)	96
esselink.nu	Combell NV (AS34762)	1
corpinter.de	AMAZON-02 (AS16509)	36
CLOUDFLARENET	Hetzner Online GmbH (AS24940)	3290
AMAZON-02	AUREON-5056 (AS5056)	6
DIGICERT	ATT-INTERNET4 (AS7018)	19
CLOUDFLARENET	BIGCOMMERCE (AS399566)	569
OVH SAS	Infomaniak Network SA (AS29222)	67
ne.jp	BroadBand Tower, Inc. (AS9607)	34
hyp.net	Optimizely AB (AS30811)	18
sinkhole.systems	Akamai Connected Cloud (AS63949)	1
CLOUDFLARENET	SUCURI-SEC (AS30148)	325
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	796
CLOUDFLARENET	GLOBALCOMPASS (AS22653)	5
VIETNAM POSTS AND TELECOMMUNICATIONS GROUP	VIETNAM POSTS AND TELECOMMUNICATIONS GROUP (AS135905)	265
solfix.com	Superonline Iletisim Hizmetleri A.S. (AS34984)	3
Domain names registrar REG.RU, Ltd	Domain names registrar REG.RU, Ltd (AS197695)	1849
TNG Stadtnetz GmbH	Citti Handelsgesellschaft mbH & Co KG (AS203889)	9
Xserver Inc.	Xserver Inc. (AS131965)	1298
NForce Entertainment B.V.	WorldStream B.V. (AS49981)	8
team.blue Denmark A/S	team.blue Denmark A/S (AS48854)	307
DIGICERT	AMAZON-02 (AS16509)	708
register.it	CLOUDFLARENET (AS13335)	133
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	2858
SECURITYSERVICES	AUTOMATTIC (AS2635)	79
rzone.de	VSE NET GmbH (AS9063)	3
Alibaba US Technology Co., Ltd.	PEG-HK (AS398478)	4518
domains24.gr	SYNAPSECOM S.A. Provider of Telecommunications and Internet Services (AS8280)	1
redip.cl	CTC. CORP S.A. TELEFONICA EMPRESAS (AS16629)	1
MICROSOFT-CORP-MSN-AS-BLOCK	ODERLAND Webbhotell AB (AS44136)	7
MICROSOFT-CORP-MSN-AS-BLOCK	FROEDTERT-COMMUNITY-HELATH (AS36600)	2
siteground352.com	GOOGLE (AS15169)	1
CLOUDFLARENET	Datacamp Limited (AS212238)	191
IONOS SE	Hetzner Online GmbH (AS24940)	494
or.th	INCAPSULA (AS19551)	2
AMAZON-02	AMAZON-AES (AS14618)	7321
world4you.at	Host Europe GmbH (AS8972)	3
Host Europe GmbH	CLOUDFLARENET (AS13335)	11260
Webglobe, a.s.	RADIOKOMUNIKACE a.s. (AS25248)	7
Tecnocratica Centro de Datos, S.L.	Rural Servicios Informaticos SL (AS57117)	5
CLOUDFLARENET	AMAZON-AES (AS14618)	1486
co.kr	LG DACOM Corporation (AS3786)	230
MICROSOFT-CORP-MSN-AS-BLOCK	HHSNET-NOC-ASN (AS26810)	8
MICROSOFT-CORP-MSN-AS-BLOCK	CROWNCASTLE-AS46887 (AS46887)	1
wwi.dk	AMAZON-AES (AS14618)	1
IONOS SE	OVH SAS (AS16276)	209
nowcndns.com	PEG-HK (AS398478)	32840
VITAL-DNS	Cloudflare London, LLC (AS209242)	7
Noyan Abr Arvan Co. ( Private Joint Stock)	Noyan Abr Arvan Co. ( Private Joint Stock) (AS205585)	889
nerdyit.com	AMAZON-02 (AS16509)	1
hostedby.eu	Combell NV (AS34762)	2
CLDIN B.V.	OSSO B.V. (AS43366)	1
DIGITALOCEAN-ASN	PE Skurykhin Mukola Volodumurovuch (AS56851)	1
Host Europe GmbH	AMAZON-02 (AS16509)	8606
Akamai International B.V.	AKAMAI-AS (AS16625)	1538
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	2366
viamedica.pl	Orange Polska Spolka Akcyjna (AS5617)	1
NSONE	AMAZON-02 (AS16509)	1618
enetsolutions.net	Cloudflare London, LLC (AS209242)	1
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	7193
cms-france.net	Scaleway S.a.s. (AS12876)	6
ipcom GmbH	Hetzner Online GmbH (AS24940)	400
Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.	SOPRADO GmbH (AS20546)	1
yandexcloud.net	Yandex.Cloud LLC (AS200350)	356
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	287
GOOGLE	AMAZON-02 (AS16509)	825
Aruba S.p.A.	GOOGLE-CLOUD-PLATFORM (AS396982)	22
netcup GmbH	netcup GmbH (AS197540)	155
AMAZON-02	FASTLY (AS54113)	2198
VITAL-DNS	HostSlim B.V. (AS207083)	1
co.kr	Korea Telecom (AS4766)	376
firethorndev3.com	IMH-IAD (AS54641)	1
CENTURYLINK-US-LEGACY-QWEST	SOFTLAYER (AS36351)	1
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	1358
