barbero.zone	IBH IT-Service GmbH (AS15372)	2
pbsg.com	AFFILIATED (AS13913)	1
Misaka Network, Inc.	GOOGLE-CLOUD-PLATFORM (AS396982)	3
glipac.ch	Bluewin (AS3303)	1
ipcom GmbH	CSC Administrative Services Limited (AS34922)	1
markmonitor.com	AMAZON-02 (AS16509)	56
markmonitor.zone	AMAZON-02 (AS16509)	3
SECURITYSERVICES	CSC (AS19574)	73
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	5
CLOUDFLARENET	CLOUDFLARENET (AS13335)	119
Host Europe GmbH	GO-DADDY-COM-LLC (AS398787)	1
servidoresdns.net	IONOS SE (AS8560)	1
markmonitor.com	HILTON-E (AS26529)	4
register.it	Register S.p.A. (AS39729)	4
CLOUDFLARENET	AMAZON-02 (AS16509)	36
CLOUDFLARENET	INCAPSULA (AS19551)	12
safenames.com	DXC-AS3360 (AS3360)	1
dig.com	AMAZON-02 (AS16509)	3
GOOGLE	GOOGLE (AS15169)	3
GANDI SAS	AMAZON-02 (AS16509)	3
domainnetwork.se	CSC (AS19574)	3
DIGICERT	GOOGLE-CLOUD-PLATFORM (AS396982)	1
thorntontomasetti.com	LEVEL3 (AS3356)	1
Misaka Network, Inc.	CLOUDFLARENET (AS13335)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	6
Akamai International B.V.	AMAZON-AES (AS14618)	1
doteasy.com	WHG Hosting Services Ltd (AS36218)	2
rightsdns.com	AMAZON-02 (AS16509)	1
SECURITYSERVICES	AUTOMATTIC (AS2635)	2
wordpress.com	AUTOMATTIC (AS2635)	1
nameshield.net	AMAZON-02 (AS16509)	1
ns14.net	Plusnet GmbH (AS20676)	1
SECURITYSERVICES	COGECO-PEER1 (AS13768)	1
Akamai International B.V.	Akamai International B.V. (AS20940)	8
MICROSOFT-CORP-MSN-AS-BLOCK	GOOGLE-CLOUD-PLATFORM (AS396982)	2
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
mobiusltd.com	SINGLEHOP-LLC (AS32475)	1
amigokit.com	UNINET (AS8151)	3
Akamai International B.V.	GOOGLE-CLOUD-PLATFORM (AS396982)	2
Akamai International B.V.	AKAMAI-AS (AS16625)	1
SECURITYSERVICES	BAYER-ARCH (AS23167)	1
CLOUDFLARENET	Cloudflare London, LLC (AS209242)	4
CLOUDFLARENET	PEG-SV (AS54600)	1
GOOGLE	UUNET (AS701)	1
regery.net	Hetzner Online GmbH (AS24940)	1
whirlpool.com	LUMOS (AS7795)	1
Safenames Ltd.	Safenames Ltd. (AS60819)	8
SECURITYSERVICES	Bayerische Motoren Werke Aktiengesellschaft (AS8590)	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	8
